Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location,url1,url2,url3,Missing
20018,YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287,BETHEL,AK,99559,BETHEL,9075436300,Acute Care Hospitals,Tribal,TRUE,TRUE,3,This hospital's star rating only includes data reported on inpatient services.,Same as the national average,,Not Available,Results are not available for this reporting period.,Above the national average,,Below the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"PO BOX 287 BETHEL, AK",https://www.ykhc.org/,https://www.ykhc.org/story/about-ykhc/,https://www.ahd.com/free_profile/020018/Yukon-Kuskokwim_Delta_Regional_Hospital/Bethel/Alaska/,TRUE
30071,FORT DEFIANCE INDIAN HOSPITAL,PO BOX 649,FORT DEFIANCE,AZ,86504,APACHE,9287298000,Acute Care Hospitals,Government - Federal,TRUE,TRUE,1,This hospital's star rating only includes data reported on inpatient services.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Below the national average,,Below the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"PO BOX 649 FORT DEFIANCE, AZ",http://www.fdihb.org/,http://www.fdihb.org/tsehootsooi,https://fortdefianceindianhospital.appone.com/,TRUE
30073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,PO BOX 600,TUBA CITY,AZ,86045,COCONINO,9282832501,Acute Care Hospitals,Voluntary non-profit - Other,FALSE,TRUE,2,This hospital's star rating only includes data reported on inpatient services.,Not Available,Results are not available for this reporting period.,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"PO BOX 600 TUBA CITY, AZ",http://tchealth.org/home.html,http://tchealth.org/,http://tchealth.org/contact.html,TRUE
30077,SAN CARLOS APACHE HEALTHCARE,103 MEDICINE WAY ROAD,PERIDOT,AZ,85542,GILA,9284751200,Acute Care Hospitals,Government - Federal,FALSE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"103 MEDICINE WAY ROAD PERIDOT, AZ",https://www.scahealth.org/,https://www.scahealth.org/careers/job-opportunities/,https://www.scahealth.org/contact/contact-us/,TRUE
40018,SPARKS MEDICAL CENTER - VAN BUREN,EAST MAIN AND SOUTH 20TH STREET,VAN BUREN,AR,72956,CRAWFORD,4794743401,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period.,"EAST MAIN AND SOUTH 20TH STREET VAN BUREN, AR",https://health.usnews.com/best-hospitals/area/ar/summit-medical-center-6710618/contact,https://www.baptisthealthfortsmithvanburen.com/,https://www.mapquest.com/us/arkansas/sparks-med-center-van-buren-373541241,TRUE
50280,MERCY MEDICAL CENTER REDDING,"2175 ROSALINE AVE, CLAIRMONT HGTS",REDDING,CA,96001,SHASTA,5302256102,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Below the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,"2175 ROSALINE AVE, CLAIRMONT HGTS REDDING, CA",https://www.dignityhealth.org/north-state/locations/mercy-redding,https://www.dignityhealth.org/north-state/locations/mercy-redding/patients-and-visitors/phone-directory,https://www.yelp.com/biz/mercy-medical-center-redding-redding,TRUE
50684,MENIFEE VALLEY MEDICAL CENTER,28400 MCCALL B0ULEVARD,SUN CITY,CA,92585,RIVERSIDE,9516798888,Acute Care Hospitals,Physician,FALSE,TRUE,1,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Not Available,Results are not available for this reporting period.,"28400 MCCALL B0ULEVARD SUN CITY, CA",http://www.menifeevalleymedicalcenter.com/,http://www.menifeevalleymedicalcenter.com/pages/contact-us,https://www.yelp.com/biz/menifee-valley-medical-center-menifee,TRUE
50717,LAC RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR,7601 EAST IMPERIAL HIGHWAY,DOWNEY,CA,90242,LOS ANGELES,5624017022,Acute Care Hospitals,Government - Local,FALSE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"7601 EAST IMPERIAL HIGHWAY DOWNEY, CA",http://dhs.lacounty.gov/wps/portal/dhs/rancho,https://www.yelp.com/biz/rancho-los-amigos-national-rehabilitation-center-downey-4,https://en.wikipedia.org/wiki/Rancho_Los_Amigos_National_Rehabilitation_Center,TRUE
53302,CHILDREN'S HOSP OF LOS ANGELES,4650 SUNSET BLVD,LOS ANGELES,CA,90027,LOS ANGELES,3236692164,Childrens,Voluntary non-profit - Private,TRUE,TRUE,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,"4650 SUNSET BLVD LOS ANGELES, CA",https://www.chla.org/,https://www.chla.org/contact-us,https://www.chla.org/locations-and-directions,TRUE
70008,JOHNSON MEMORIAL HOSPITAL STAFFORD SPRINGS CT,201 CHESTNUT HILL ROAD,STAFFORD SPRINGS,CT,6076,TOLLAND,8606844251,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,"201 CHESTNUT HILL ROAD STAFFORD SPRINGS, CT",http://www.jmmc.com/stafford,http://www.jmmc.com/careers-1133,http://www.jmmc.com/contact-us-1210,TRUE
100054,TWIN CITIES HOSPITAL,2190 HWY 85 N,NICEVILLE,FL,32578,OKALOOSA,8506784131,Acute Care Hospitals,Proprietary,TRUE,TRUE,4,,Same as the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Above the national average,,Below the national average,,"2190 HWY 85 N NICEVILLE, FL",https://tchospital.com/,https://tchospital.com/careers/,https://tchospital.com/about/phone-directory/,TRUE
100204,NORTH FLORIDA REGIONAL MEDICAL CENTER,6500 NEWBERRY RD,GAINESVILLE,FL,32605,ALACHUA,3523334100,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,"6500 NEWBERRY RD GAINESVILLE, FL",https://nfrmc.com/,https://www.yelp.com/biz/north-florida-regional-medical-center-gainesville-3,https://www.facebook.com/NorthFloridaRegional/,TRUE
110030,CARTERSVILLE MEDICAL CENTER,960 JOE FRANK HARRIS PARKWAY,CARTERSVILLE,GA,30120,BARTOW,7703878182,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"960 JOE FRANK HARRIS PARKWAY CARTERSVILLE, GA",https://cartersvillemedical.com/,https://cartersvillemedical.com/careers/search.dot,https://cartersvillemedical.com/about/department-directory/,TRUE
110038,JOHN D ARCHBOLD MEMORIAL HOSPITAL,915 GORDON AVENUE & MIMOSA DRIVE,THOMASVILLE,GA,31792,THOMAS,2292282880,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,,Same as the national average,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Below the national average,,Below the national average,,"915 GORDON AVENUE &amp; MIMOSA DRIVE THOMASVILLE, GA",https://archbold.org/,https://archbold.org/about,https://archbold.org/about/contact,TRUE
140002,ALTON MEMORIAL HOSPITAL,ONE MEMORIAL DRIVE,ALTON,IL,62002,MADISON,6184637300,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,Above the national average,,"ONE MEMORIAL DRIVE ALTON, IL",https://www.altonmemorialhospital.org/,https://www.altonmemorialhospital.org/About-Us/Phone-Directory,https://www.altonmemorialhospital.org/For-Providers/Office-Managers-Council/Contact-Information,TRUE
140018,MT SINAI HOSPITAL MEDICAL CENTER,15TH STREET AT CALIFORNIA,CHICAGO,IL,60608,COOK,7735422000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,"15TH STREET AT CALIFORNIA CHICAGO, IL",http://www.sinai.org/,http://www.sinai.org/content/mount-sinai-hospital-0,http://www.sinai.org/content/mount-sinai-hospital,TRUE
170166,MORTON COUNTY HOSPITAL,445 N HILLTOP,ELKHART,KS,67950,MORTON,6206972141,Acute Care Hospitals,Government - Local,TRUE,TRUE,3,,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Above the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"445 N HILLTOP ELKHART, KS",http://www.mchswecare.com/,http://www.elkhart.com/,https://www.yelp.com/biz/morton-county-hospital-elkhart,TRUE
