BRONSON HEALTHCARE GROUP,,,
PHARMACY CHARGEMASTER,,,
"AS OF JANUARY 1, 2019",,,
,,,
Medication,11 Digit NDC Code,Charge Per 1 Unit,
ABACAVIR 300 MG TABLET,68084002121, 23.29 ,BMH
ABACAVIR 300 MG TABLET,00904652304, 18.72 ,BMH
ABACAVIR 300 MG-LAMIVUDINE 150 MG-ZIDOVUDINE 300 MG TABLET,68180028607, 73.31 ,BMH
ABACAVIR 600 MG-LAMIVUDINE 300 MG TABLET,49702020613, 149.00 ,BMH
ABATACEPT (WITH MALTOSE) 250 MG INTRAVENOUS SOLUTION,00003218710," 3,319.30 ",BMH
ABCIXIMAB 10 MG/5 ML INTRAVENOUS SOLUTION,57894020001, 798.94 ,BMH
ABCIXIMAB 10 MG/5 ML INTRAVENOUS SOLUTION,00002714001, 734.27 ,BMH
ABDHR GEL TOPICAL SYRINGE,09900000392, 11.70 ,BMH
ACEBUTOLOL 200 MG CAPSULE,00378120001, 2.74 ,BMH
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) INTRAVENOUS SOLUTION",43825010201, 1.66 ,BMH
ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY,00713011806, 3.24 ,BMH
ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY,51672211500, 2.24 ,BMH
ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY,51672211504, 1.49 ,BMH
ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY,00713011850, 2.85 ,BMH
ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY,45802073230, 1.74 ,BMH
ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY,45802073200, 1.74 ,BMH
ACETAMINOPHEN 120 MG-CODEINE 12 MG/5 ML (5 ML) ORAL SOLUTION,00121050405, 0.93 ,BMH
ACETAMINOPHEN 120 MG-CODEINE 12 MG/5 ML ORAL SOLUTION,50383007916, 0.03 ,BMH
ACETAMINOPHEN 160 MG/5 ML (5 ML) ORAL SUSPENSION,00121178105, 0.58 ,BMH
ACETAMINOPHEN 160 MG/5 ML (5 ML) ORAL SUSPENSION,68094058759, 0.55 ,BMH
ACETAMINOPHEN 160 MG/5 ML (5 ML) ORAL SUSPENSION,00121178100, 0.58 ,BMH
ACETAMINOPHEN 160 MG/5 ML (5 ML) ORAL SUSPENSION,68094001559, 1.05 ,BMH
ACETAMINOPHEN 160 MG/5 ML (5 ML) ORAL SUSPENSION,68094001562, 1.01 ,BMH
ACETAMINOPHEN 160 MG/5 ML (5 ML) ORAL SUSPENSION,68094001561, 1.05 ,BMH
ACETAMINOPHEN 160 MG/5 ML DYE FREE ORAL SUSPENSION,96295013054, 0.59 ,BMH
ACETAMINOPHEN 160 MG/5 ML DYE FREE ORAL SUSPENSION,70000020501, 0.59 ,BMH
ACETAMINOPHEN 300 MG-CODEINE 30 MG TABLET,00406048462, 2.63 ,BMH
ACETAMINOPHEN 300 MG-CODEINE 30 MG TABLET,68084037201, 4.32 ,BMH
ACETAMINOPHEN 300 MG-CODEINE 30 MG/12.5 ML (12.5 ML) ORAL SOLUTION,00121050412, 0.52 ,BMH
ACETAMINOPHEN 325 MG RECTAL SUPPOSITORY,00713016406, 3.09 ,BMH
ACETAMINOPHEN 325 MG RECTAL SUPPOSITORY,00713016450, 3.06 ,BMH
ACETAMINOPHEN 325 MG RECTAL SUPPOSITORY,51672211604, 1.69 ,BMH
ACETAMINOPHEN 325 MG RECTAL SUPPOSITORY,51672211600, 1.83 ,BMH
ACETAMINOPHEN 325 MG TABLET,00904198260, 0.63 ,BMH
ACETAMINOPHEN 325 MG TABLET,00904198261, 1.45 ,BMH
ACETAMINOPHEN 325 MG TABLET,50580050110, 0.88 ,BMH
ACETAMINOPHEN 325 MG TABLET,50580060002, 0.88 ,BMH
ACETAMINOPHEN 325 MG TABLET,00536322210, 0.82 ,BMH
ACETAMINOPHEN 500 MG TABLET,00904198860, 0.57 ,BMH
ACETAMINOPHEN 500 MG TABLET,00904198859, 1.20 ,BMH
ACETAMINOPHEN 500 MG TABLET,00904198324, 1.89 ,BMH
ACETAMINOPHEN 500 MG TABLET,00536323101, 0.69 ,BMH
ACETAMINOPHEN 500 MG TABLET,00603026829, 1.07 ,BMH
ACETAMINOPHEN 500 MG TABLET,00904198359, 1.07 ,BMH
ACETAMINOPHEN 500 MG TABLET,00904198351, 0.95 ,BMH
ACETAMINOPHEN 500 MG TABLET,57896022101, 0.88 ,BMH
ACETAMINOPHEN 500 MG TABLET,00904198861, 1.51 ,BMH
ACETAMINOPHEN 500 MG TABLET,00904673061, 1.58 ,BMH
ACETAMINOPHEN 500 MG TABLET,00904672080, 1.01 ,BMH
ACETAMINOPHEN 500 MG TABLET,00904673060, 0.57 ,BMH
ACETAMINOPHEN 650 MG RECTAL SUPPOSITORY,00713016506, 1.50 ,BMH
ACETAMINOPHEN 650 MG RECTAL SUPPOSITORY,00713016550, 1.47 ,BMH
ACETAMINOPHEN 650 MG/20.3 ML ORAL SOLUTION,00121065721, 0.14 ,BMH
ACETAMINOPHEN 650 MG/20.3 ML ORAL SOLUTION,00121197100, 0.26 ,BMH
ACETAMINOPHEN 650 MG/20.3 ML ORAL SOLUTION,00121197121, 0.26 ,BMH
ACETAMINOPHEN 80 MG DISINTEGRATING TABLET,37205051665, 0.14 ,BMH
ACETAMINOPHEN 80 MG DISINTEGRATING TABLET,00904575146, 0.17 ,BMH
ACETAMINOPHEN 80 MG DISINTEGRATING TABLET,00904579146, 0.12 ,BMH
ACETAMINOPHEN 80 MG RECTAL SUPPOSITORY,51672211404, 2.07 ,BMH
ACETAMINOPHEN 80 MG RECTAL SUPPOSITORY,51672211400, 2.24 ,BMH
ACETAMINOPHEN 80 MG RECTAL SUPPOSITORY,00472120001, 2.24 ,BMH
ACETAZOLAMIDE 250 MG TABLET,51672402301, 7.98 ,BMH
ACETAZOLAMIDE 500 MG SOLUTION FOR INJECTION,25021081710, 166.61 ,BMH
ACETAZOLAMIDE 500 MG SOLUTION FOR INJECTION,39822019007, 64.08 ,BMH
ACETAZOLAMIDE 500 MG SOLUTION FOR INJECTION,39822019001, 64.08 ,BMH
ACETAZOLAMIDE 500 MG SOLUTION FOR INJECTION,00143950301, 52.20 ,BMH
"ACETAZOLAMIDE ER 500 MG CAPSULE,EXTENDED RELEASE",23155012001, 5.61 ,BMH
ACETIC ACID 0.25 % IRRIGATION SOLUTION,00264230410, 0.06 ,BMH
ACETONE LIQUID,00395001994, 0.79 ,BMH
ACETYLCHOLINE CHLORIDE 1 % (10 MG/ML) INTRAOCULAR KIT,24208053920, 270.17 ,BMH
ACETYLCYSTEINE 200 MG/ML (20 %) INTRAVENOUS SOLUTION,66220020730, 22.91 ,BMH
ACETYLCYSTEINE 200 MG/ML (20 %) INTRAVENOUS SOLUTION,63323096330, 20.81 ,BMH
ACETYLCYSTEINE 200 MG/ML (20 %) INTRAVENOUS SOLUTION,00574080530, 7.47 ,BMH
ACETYLCYSTEINE 200 MG/ML (20 %) INTRAVENOUS SOLUTION,55150025930, 7.25 ,BMH
ACETYLCYSTEINE 200 MG/ML (20 %) SOLUTION,63323069210, 5.45 ,BMH
ACETYLCYSTEINE 200 MG/ML (20 %) SOLUTION,00517760425, 5.45 ,BMH
ACETYLCYSTEINE 200 MG/ML (20 %) SOLUTION,63323069030, 3.12 ,BMH
ACETYLCYSTEINE 200 MG/ML (20 %) SOLUTION,00517763003, 2.95 ,BMH
ACETYLCYSTEINE 600 MG CAPSULE,79854004097, 1.76 ,BMH
ACETYLCYSTEINE 600 MG CAPSULE,27434000211, 4.02 ,BMH
"ACIDOPHILUS 25 MILLION CELL-PECTIN, CITRUS 100 MG TABLET",00536718001, 0.61 ,BMH
ACIDOPHILUS-SPOROGENES 35 MILLION-25 MILLION CELL TABLET,00536718101, 0.56 ,BMH
ACTIVATED CHARCOAL 50 GRAM/240 ML ORAL SUSPENSION,00574012176, 0.25 ,BMH
ACTIVATED CHARCOAL 50 GRAM/240 ML ORAL SUSPENSION,66689020108, 0.37 ,BMH
ACTIVATED CHARCOAL-SORBITOL 50 GRAM/240 ML ORAL SUSPENSION,00574012076, 0.25 ,BMH
ACYCLOVIR 200 MG CAPSULE,00093894001, 2.68 ,BMH
ACYCLOVIR 200 MG CAPSULE,60505004206, 3.95 ,BMH
ACYCLOVIR 200 MG CAPSULE,69076014601, 3.74 ,BMH
ACYCLOVIR 200 MG CAPSULE,61442011101, 3.20 ,BMH
ACYCLOVIR 200 MG CAPSULE,75834012401, 1.81 ,BMH
ACYCLOVIR 200 MG/5 ML ORAL SUSPENSION,50383081016, 4.20 ,BMH
ACYCLOVIR 200 MG/5 ML ORAL SUSPENSION,00472008216, 3.61 ,BMH
ACYCLOVIR 200 MG/5 ML ORAL SUSPENSION,40085084296, 3.76 ,BMH
ACYCLOVIR 800 MG TABLET,00093894701, 2.69 ,BMH
ACYCLOVIR 800 MG TABLET,61442011301, 2.69 ,BMH
ACYCLOVIR 800 MG TABLET,31722077801, 2.28 ,BMH
ACYCLOVIR 800 MG TABLET,60505530701, 2.69 ,BMH
ACYCLOVIR SODIUM 50 MG/ML INTRAVENOUS SOLUTION,63323032510, 7.82 ,BMH
ACYCLOVIR SODIUM 50 MG/ML INTRAVENOUS SOLUTION,63323032520, 7.28 ,BMH
ACYCLOVIR SODIUM 500 MG INTRAVENOUS SOLUTION,55390061210, 19.18 ,BMH
ADALIMUMAB 40 MG/0.8 ML SUBCUTANEOUS PEN KIT,00074433906," 5,185.36 ",BMH
ADENOSINE (DIAGNOSTIC) 3 MG/ML INTRAVENOUS SOLUTION,00469087120, 36.17 ,BMH
ADENOSINE (DIAGNOSTIC) 3 MG/ML INTRAVENOUS SOLUTION,00469087130, 33.36 ,BMH
ADENOSINE (DIAGNOSTIC) 3 MG/ML INTRAVENOUS SOLUTION,25021030730, 21.71 ,BMH
ADENOSINE (DIAGNOSTIC) 3 MG/ML INTRAVENOUS SOLUTION,00703877701, 14.13 ,BMH
ADENOSINE (DIAGNOSTIC) 3 MG/ML INTRAVENOUS SOLUTION,00703877601, 8.53 ,BMH
ADENOSINE (DIAGNOSTIC) 3 MG/ML INTRAVENOUS SOLUTION,67457085730, 5.36 ,BMH
ADENOSINE 3 MG/250 ML NS IV,09900000081, 0.04 ,BMH
ADENOSINE 3 MG/ML INTRAVENOUS SOLUTION,00641611301, 26.62 ,BMH
ADENOSINE 3 MG/ML INTRAVENOUS SOLUTION,00641611310, 26.62 ,BMH
ADENOSINE 3 MG/ML INTRAVENOUS SOLUTION,25021030102, 12.50 ,BMH
ADENOSINE 3 MG/ML INTRAVENOUS SOLUTION,17478054202, 11.40 ,BMH
ADENOSINE 3 MG/ML INTRAVENOUS SOLUTION,63323065102, 9.07 ,BMH
ADENOSINE 3 MG/ML INTRAVENOUS SOLUTION,55390006710, 0.08 ,BMH
ADENOSINE 3 MG/ML INTRAVENOUS SYRINGE,00469823412, 75.04 ,BMH
ADENOSINE 3 MG/ML IV (CODE),25021030102, 12.50 ,BMH
ADENOSINE 3 MG/ML IV (CODE),63323065102, 9.07 ,BMH
ADENOSINE 3 MG/ML IV (CODE),55390006710, 0.08 ,BMH
ADENOSINE 6 MG/500 ML NS IV,09900000080, 0.47 ,BMH
ADO-TRASTUZUMAB EMTANSINE 100 MG INTRAVENOUS SOLUTION,50242008801," 13,415.72 ",BMH
AGALSIDASE BETA 35 MG INTRAVENOUS SOLUTION,58468004001," 15,018.28 ",BMH
AGALSIDASE BETA 5 MG INTRAVENOUS SOLUTION,58468004101," 2,640.58 ",BMH
ALBENDAZOLE 200 MG TABLET,52054055028, 361.62 ,BMH
ALBENDAZOLE 200 MG TABLET,52054055022, 764.15 ,BMH
"ALBUMIN, HUMAN 25 % CONTINUOUS INFUSION",00944049301, 3.78 ,BMH
"ALBUMIN, HUMAN 25 % INTRAVENOUS SOLUTION",13533068420, 4.11 ,BMH
"ALBUMIN, HUMAN 25 % INTRAVENOUS SOLUTION",00944049301, 3.78 ,BMH
"ALBUMIN, HUMAN 25 % INTRAVENOUS SOLUTION",44206025105, 2.95 ,BMH
"ALBUMIN, HUMAN 5 % INTRAVENOUS SOLUTION",00944049505, 0.79 ,BMH
ALBUTEROL SULFATE 2.5 MG/3 ML (0.083 %) SOLUTION FOR NEBULIZATION,00487950101, 1.41 ,BMH
ALBUTEROL SULFATE 2.5 MG/3 ML (0.083 %) SOLUTION FOR NEBULIZATION,00487950103, 0.87 ,BMH
ALBUTEROL SULFATE CONCENTRATE 2.5 MG/0.5 ML SOLUTION FOR NEBULIZATION,00487990130, 3.31 ,BMH
