Charge Code,Description,Primary Price
1001002,COL W/LESION REMVL BY SNARE,"$2,380.75"
1001003,COL DIAG W/SPECIMEN BRSH/WASH,"$1,991.21"
1001005,EGD DX BRSH/WASH SPEC T-ORAL,"$1,971.60"
1001006,EGD REMOVE LESION SNARE/FLEX,"$3,621.00"
1001008,ESOPH DIL SNG/MULT UNGUIDED,"$1,971.60"
1001009,ESOPH MOTILITY STUDY REC/INTP,"$1,128.25"
1001017,EGD G/WIRE FLEX/PASS T-ORAL,"$1,971.60"
1001020,ERCP CHOL/ANGIO/PANCRE GRPH,"$5,675.75"
1001021,EGD PLACE G-TUBE FLEX/PERC,"$3,621.00"
1001028,PARACENTESIS ABD DX TX W/O IMG,"$1,898.50"
1001035,GAST/ESOPH NASAL RFLX REC INTP,"$1,128.25"
1001036,ESOPH FLEX BX T-ORAL SNG/MULT,"$3,621.00"
1001043,EGD BX SING/MUL FLEX T-ORAL,"$1,971.60"
1001045,EGD VARICES/BAND LIGATION FLEX,"$3,621.00"
1001046,EGD REMOVE FB FLEXIBLE,"$1,971.60"
1001047,EGD DILATE STRICTURE FLEX,"$3,621.00"
1001048,EGD CAUTERY TUMOR HOT FORCEP,"$3,621.00"
1001049,EGD CNT BLEED FLEX T-ORAL,"$3,621.00"
1001050,ERCP CHOL/ANGIO/PANCRE GRPH BX,"$5,675.75"
1001052,ERCP REMV DUCT CALC/DBRD,"$5,675.75"
1001053,ERCP LITHO CALCULI ANY METHOD,"$7,126.50"
1001062,ENDO SMALL BOWEL REMOVE FB,"$2,877.90"
1001064,ENTEROSCOPY W/HBF,$772.00
1001068,COL THRU STOMA BY BRUSH/WASH,"$1,991.21"
1001073,SIG W/ BX FLEX SNG/MULTI,"$1,811.25"
1001076,SIG W/ CONTRL BLEED ANY METHOD,"$2,380.75"
1001079,COL FLEXIBLE W/ BIOPSY,"$2,380.75"
1001080,COL W/CONTROL BLEED ANY METHOD,"$2,380.75"
1001081,COL W/LESION REMVL HOT FORCEP,"$2,380.75"
1001082,ANOSCOPY DX INCLUDES SPEC,$950.85
1001093,OFFICE/OUTPT VISIT EST LEVEL 1,$192.75
1001095,EGD US ESOPH EXAM DUO/JEJ FLEX,"$3,621.00"
1001100,THORACENTESIS ASP W/O IMG,"$1,546.50"
1001113,SYSTEM ENDO SUT OVERSTITCH,"$1,598.00"
1001114,TISS HELIX OVERSTITCH,$453.00
1001115,SUT POLY 2-0 OVERSTITCH,$168.00
1001116,CINCH SUT OVERSTITCH,$183.00
