"Service Description","CPT Code","Charge Type","Christiana Facility Price"
"02 DETERMINATION STUDY,STATISICAL",94618,Stat,$0.00
"1/2 OF 25-WEEK MEDICAL WMP PRO",,Hospital,$0.00
"1/2 OF FIT4LIFE PROGRAM",,Hospital,$507.00
"111 IN DTPA/0.5 MCI",A9548,Hospital,$922.50
"123 IODINE PER 100UC TOT 999UC",A9516,Hospital,$102.50
"123 IODINE,DX,PER MCI(1-4 MCI)",A9509,Hospital,$540.00
"131 IODINE 1 MCI,CAPSULE,TX",A9517,Hospital,$60.00
"133 XENON,DX,PER 10 MCI",A9558,Hospital,$125.50
"17 OH PROG",83498,Hospital,$162.00
"17-OH PREGNENOLONE",82542,Hospital,$185.50
"18F SODIUM FLUORIDE,DX,UP TO 3",A9580,Hospital,$489.50
"25 WEEK MEDICAL WMP",,Hospital,"$2,731.00"
"32 P SODIUM,PER MCI",A9563,Hospital,$486.00
"3D FLUORO STATISTICAL",,Stat,$0.00
"3D FLUOROSCOPY GLP",,Stat,$0.00
"3D FLUOROSCOPY NR",,Stat,$0.00
"3D RECONSTRUCTION,INDEPENDENT WORKSTATION,W CT/MRI/US,CONCUR SUPERV,RS&I GLB",76377,Hospital,$119.50
"3D RECONSTRUCTION,INDEPENDENT WORKSTATION,W CT/MRI/US,CONCUR SUPERV,RS&I GLR",76377,Hospital,$262.50
"3D RECONSTRUCTION,INDEPENDENT WORKSTATION,W CT/MRI/US,RS&I PFR",76377,Physician,$125.00
"3D RECONSTRUCTION,NOT INDEPENDENT WORKSTATION,W CT/MRI/US,CONCUR SUPERV,RS&I",76376,Hospital,$685.50
"5% ALBUMIN 250ML",P9045,Hospital,$471.00
"5' NUCLETOTIDASE",83915,Hospital,$83.50
"89 STRONTIUM PER MCI",A9600,Hospital,"$3,821.50"
"99MTC MDP(MEDRONATE),DX,STUDY",A9503,Hospital,$134.50
"A-PEEL, DELIVERY SYSTEM",,Hospital,"$2,231.25"
"AB TITER,AHG",86886,Hospital,$269.00
"AB TITER,NON-AHG",86157,Hospital,$133.00
"ABATACEPT 10MG INJ",J0129,Hospital,$90.00
"ABI VEST",,Hospital,"$1,371.00"
"ABLATION,1 OR > LIVER TUMOR,RADIOFREQUENCY,PERC GLB",47382,Hospital,"$11,917.00"
"ABLATION,1 OR > LIVER TUMOR,RADIOFREQUENCY,PERC GLP",47382,Hospital,"$11,917.00"
"ABLATION,1 OR > LIVER TUMOR,RADIOFREQUENCY,PERC NR",47382,Hospital,"$11,917.00"
"ABLATION,1 OR >,RENAL LESION,CRYOSURGICAL,W US GUIDE,OPEN",50250,Hospital,"$5,943.50"
"ABLATION,1 OR >,RENAL LESION,CRYOSURGICAL,W US GUIDE,OPEN GLB",50250,Hospital,"$5,943.50"
"ABLATION,1 OR >,RENAL TUMOR,RADIOFREQUENCY,UNI,PERC GLB",50592,Hospital,"$7,687.50"
"ABLATION,1 OR >,RENAL TUMOR,RADIOFREQUENCY,UNI,PERC GLP",50592,Hospital,"$7,687.50"
"ABLATION,1 OR >,RENAL TUMOR,RADIOFREQUENCY,UNI,PERC NR",50592,Hospital,"$7,687.50"
"ABLATION,1 OR MORE LIVER TUMORS,CRYOABLATION,PERC GLP",47383,Hospital,"$6,469.50"
"ABLATION,1 OR MORE LIVER TUMORS,CRYOABLATION,PERC NR",47383,Hospital,"$6,469.50"
"ABLATION,ADTL INTRACARDIAC,LT/RT ATRIUM,TREATMENT AFIB AFT PULM VEIN ISOLATION",93657,Hospital,"$10,623.00"
"ABLATION,BONE TUMOR,CRYOABLATION,W GUID,=>1 TUMOR,PERC GLP",20983,Hospital,"$5,067.50"
"ABLATION,BONE TUMOR,CRYOABLATION,W GUID,=>1 TUMOR,PERC NR",20983,Hospital,"$5,067.50"
"ABLATION,BONE TUMOR,RADIOFREQ,W GUID,=>1 TUMOR,PERC GLP",20982,Hospital,"$1,702.00"
"ABLATION,BONE TUMOR,RADIOFREQ,W GUID,=>1 TUMOR,PERC NR",20982,Hospital,"$1,702.00"
"ABLATION,CRYOSURGICAL,FIBROADENOMA EA,W US NR",19105,Hospital,"$3,386.50"
"ABLATION,ENDOVENOUS,INCOMP VEIN,EXTREMITY,IMG/MON,PERC,MECHANOCHEMICAL,1ST VEIN",36473,Hospital,"$2,767.50"
"ABLATION,ENDOVENOUS,INCOMP VEIN,EXTREMITY,IMG/MON,PERC,MECHANOCHEMICAL,1ST VEIN GLP",36473,Hospital,"$2,767.50"
"ABLATION,ENDOVENOUS,INCOMP VEIN,EXTREMITY,IMG/MON,PERC,MECHANOCHEMICAL,SUBSEQ VEIN",36474,Hospital,"$2,767.50"
"ABLATION,ENDOVENOUS,INCOMP VEIN,EXTREMITY,IMG/MON,PERC,MECHANOCHEMICAL,SUBSEQ VEIN GLP",36474,Hospital,"$2,767.50"
"ABLATION,ENDOVENOUS,INCOMPETENT VEIN EXTREMITY,LASER,1ST VEIN,PERC",36478,Hospital,"$3,003.50"
"ABLATION,ENDOVENOUS,INCOMPETENT VEIN EXTREMITY,LASER,1ST VEIN,PERC GLB",36478,Hospital,"$3,003.50"
"ABLATION,ENDOVENOUS,INCOMPETENT VEIN EXTREMITY,LASER,ADTL VEIN,PERC",36479,Hospital,$682.50
"ABLATION,ENDOVENOUS,INCOMPETENT VEIN EXTREMITY,LASER,ADTL VEIN,PERC GLB",36479,Hospital,$682.50
"ABLATION,ENDOVENOUS,INCOMPETENT VEIN EXTREMITY,RADIOFREQUENCY,1ST VEIN,PERC",36475,Hospital,"$4,307.50"
"ABLATION,ENDOVENOUS,INCOMPETENT VEIN EXTREMITY,RADIOFREQUENCY,1ST VEIN,PERC GLB",36475,Hospital,"$4,307.50"
"ABLATION,ENDOVENOUS,INCOMPETENT VEIN EXTREMITY,RADIOFREQUENCY,ADTL VEIN,PERC",36476,Hospital,$665.00
"ABLATION,ENDOVENOUS,INCOMPETENT VEIN EXTREMITY,RADIOFREQUENCY,ADTL VEIN,PERC GLB",36476,Hospital,$665.00
"ABLATION,INTRACARDIAC CATH, ATRIOVENTRICULAR NODE FUNCTION,DISC",93650,Hospital,"$15,936.00"
"ABLATION,INTRACARDIAC CATH,ATRIOVENTRICULAR NODE FUNCTION",93650,Hospital,"$21,247.50"
"ABLATION,INTRACARDIAC CATH,DISCRETE MECHANISM,TREAT ARRHYTHMIA",93655,Hospital,"$21,247.50"
"ABLATION,PERC,CRYOABLATION,IMG GUID,LOWER EXTREM,DIST/PERIP NERVE",0441T,Hospital,"$5,937.50"
"ABLATION,PERC,CRYOABLATION,IMG GUID,NERVE PLEXUS/OTHR TRUNCAL NERVE",0442T,Hospital,"$5,937.50"
"ABLATION,PERC,CRYOABLATION,IMG GUID,UPPER EXTREM,DIST/PERIP NERVE",0440T,Hospital,"$5,937.50"
"ABLATION,PULMONARY TUMOR(S),CRYOABLATION,PERC,UNI GLP",32994,Hospital,"$4,840.00"
