Essentia Health-St. Mary's Medical Center (Duluth),
,
DESCRIPTION, CHARGE 
SHUNT AXIUS CORONARY 2.0X18.0  OF-2000,318
SUTURE VICRYL TIE 2-0 DYD 18IN  J635H,9
LACTOBACILLUS GG CAPSULE ,10
AORTOGRAPHY ABDOMINAL S&I(T),"4,039"
ETHACRYNIC ACID 25 MG TABLET ,39
BIT DRILL 3.5MM X 152MM AO DBA3-152,645
BALLOON OTW P 10.0X 60X135CM X.018 STERLING H74939032106010,962
PLATE SYNT 2.7/3.5MM VA-LCP EXT MEDL DIS HUM 1H 72MM LT SH 02.117.701,"2,824"
KNIFE DUAL BEVEL ANGLED 1.0MM 6/BX 8065921540,35
VERAPAMIL 2.5 MG/ML SOLUTION ,20
SCREW 5.0 X 45MM MAS SOLERA 55840005045,"1,600"
NASO/OROGASTRIC TUBE(T),457
US ABDOMEN TC,714
STEM ECHO BIO FRACTURE STD OFFSET 11MM 12-151311,"2,117"
INSERT TIBIAL RP AOX CURED 10M M SZ3 1961-92-031,"2,938"
OCCUPATIONAL THERAPY EVAL MOD COMPLEX,228
BLADE SAW SAGITTAL WIDE THICK 2108151000,167
MESH HERNIA VENTRALIGHT ST ELL IPSE 4X6IN 30.5X35.6CM 1 CA 5954460,767
SCREW ART TI CORTICAL LOW PROF ILE 2.4 X 14MM AR-8724-14,330
SODIUM CHLORIDE 0.45 % 0.45 % SOLUTION ,9
BALLOON RX COR 2.0 X 20MM MAVERICK H7493892820200,623
CEMENT BONE 41G FULL DOSE TOBR AMYCIN SIMPLEX  P 6197-9-001,901
TROCAR XCEL HASSON 12X100MM H12LP,114
APRACLONIDINE 1 % SOLUTION 1 EACH PLAS CONT ,102
CATHETER GUIDING SIM2 5FR  CG511,212
SUTURE VICRYL 4-0 8-18IN CRRB- 1 J714D,40
DEXMEDETOMIDINE 200 MCG/2ML SOLUTION ,27
NEEDLE TRANSSEPTAL 18G 98CM AD ULT 407206,720
LIDOCAINE 1.4% - PHENYLEPHRINE 0.28% STERILE TOPICAL SOLUTION ,10
GUIDEWIRE 1.4 X 150MM UNTHREADED 705233,548
PEG THREADED LOCKING 2.3MM X 30MM TPLS-23300-TS,238
PLATE KLS LP STRAIGHT 16H REG 50-368-16,329
SCREW CANN LCK 3.7 X 42MM  02.240.042,581
BEARING TIBIAL PS 12 MM X 79/83 MM VANGUARD BIOMET 183662,"2,123"
WIRE K WIRE SYNT 2MM DBL END T ROCARPOINT 150MM 292.58,338
CANNULA VENOUS 36/46FR X 40CM TRIPLE STAGE TRF3646O2A,182
"WASH SET 125ML, 225 ML",368
CITRATE - REF,165
SCREW ART TI 2.5 MICRO COMPRE SSION FT FULL THRD CANN 16MM AR-8725-16H,738
CT ORBIT/EAR/FOSSA W/O & W/DYE,"1,436"
DEXTROSE 10% 10 % SOLUTION 500 ML FLEX CONT ,47
SCREW SNI CORT S-TAP 3.5 X 20MM 71821320,71
EGD BALLOON DIL ESOPH30 MM/>,"1,577"
PLATE SYNT 3.5MM LCP MEDIAL PROX TIB 8H RT 145MM 239.958,"3,477"
TRG GENE REARRANGEMENT ANAL - REF,406
STENT SYNERGY MR 2.25MM X 12MM  H7493926012220,"3,290"
NICOTINE 10 MG INHALER 168 EACH INHALER ,6
STENT PROMUS PREMIER MR 2.25 M M X 16 M H7493952816220,"2,820"
RESP SYNCYTIAL AG EIA,103
TX/PRO/DX INJ NEW DRUG ADON,164
CATHETER DEVICE ENDO 24 X 106C M EKOSONIC MACH 4 500-55124,"7,039"
GUIDEWIRE AMPLATZ SUPER STIFF 75CM .035 M001465631,100
STRIP FASCIA LATA .3CM X 12CMTUTOPLAST 68028,"1,188"
LIGHT FIBER LED XPRESS 6X 20MM LOPROFILE PATH ASSIST LPLF-106,"3,467"
"INJ/INFUS,LUMBAR/SACRAL W/O IMAGE GUIDANCE",971
BRONCHO RESPONSE PRE & POST TC,337
TROCAR XCEL HASSON 12X100MM  H12LP,114
BALLOON EUPHORA RX 1.5X15MM  EUP1515X,435
SUTURE SILK 3-0 BRAIDED 12-18IN A184H,31
CARDIO TILT TABLE EVAL,"1,898"
NAIL EX SYNT TI CANN TIBIAL W/PROX BEND 11 X 405MM STRL 04.034.561S,"2,515"
"AMINOSYN II 10% 10 % SOLUTION 2,000 ML PLAS CONT ",203
SCREW SYNT CORT S-TAP 4.5 X 30 MM 214.830,81
BRACE FOREARM TITAN W/THUMB LT HW-459-L,126
SUTURE PROLENE 5-0 DYD 18IN RB-1 8756H,19
CAP END ECG LEAD PIN USE W/ 5M M IS-1 / 3.2MM LP END 58673M,96
LAB IMM SPIN X-MATCH,141
SCREW LOCKING 3MM X12MM ANCHORAGE PLSL3012,525
LENS IOL SN60WF 19.0D ACRYSOF IQ SN60WF.190,632
GUIDEWIRE W/TROCAR TIP ARTH TH READED .034IN AR-8737-40,91
MESH MEDIUM LEFT 3.1IN X 5.3IN  0117310,556
BALLOON COR 2.0 X 15MM EMERGE MR H7493918915200,472
SUTURE PROLENE 10-0 DYD 8IN ST C-6 1713G,57
PLATE FEMUR DISTAL LAT 379MM 18 HOLE STERILE 627648S,"6,050"
SCREW SYNT CORT S-TAP STRDRV 1.5 X 12MM 200.812,113
DEFIBRILLATOR MOMENTRUM EL ICD VR IS1 DF1 D120,"31,498"
CAGE SPINAL TI 18MM 21-27MM X-CORE 2 AUTOLOCK 7180027A,"15,382"
LEAD INGEVITY MRI ACTIVE FIXAT ION 7741 7741,"1,125"
MARKER SNAP ON SPHERZ 4 PK  PM8004,105
POST SYNT OUTRIGGER 30DEG 11MM  390.012,404
SCREW SOLERA MAS 5.5 X 30MM  55840005530,"1,897"
CATHETER 4F 40CM .035 KUMPE,53
TUBING SMOKE EVACUATOR 3/8IN X 10FT VT38S1010,29
SPHERE EMBOSPHERE 2ML 700 900,780
SUTURE QUILL PDO #2 DYD 36 X 3 6CM RA-1065Q,94
CHEMODENERV 1 EXTREM 5/> EA,668
PLATE SYNT TI MATRIX PRE BENT MAXIL 8MM ADVNT 0.8MM THK RT 04.511.388,"1,052"
US GUIDE NEEDLE BX S&I,610
SCISSORS CVD  ES0101,"1,879"
STEM DISTAL BIO ARCOS 16X150MM SPL TPR 11-300816,"7,732"
CATHETER DXTERITY 6F LCB  DXT6LCB,33
GRAFT VASCULAR GELWEAVE VALSALVA 28MM X 15CM (1 PER CA) 730028ADP,"6,674"
GRAFT 4-7MM X 40CM STANDARD WALL S47040,"1,276"
CATHETER EP SUPRA CS 60CM BIVALVE F5ADP282RT,727
PLATE SYNT TI TOMOFIX LAT DISTFEM 4H LT 440.874,"2,779"
DEVICE TORQUE ACCOMODATES,28
KETOTIFEN 0.025 % SOLUTION 10 ML BOTTLE ,29
CANNULA CEMENT 11G IVAS VERTEP,183
CIDOFOVIR 75 MG/ML SOLUTION 5 ML VIAL ,963
HANDPIECE IRR ASP 45 DEG SILIC ONE TIP- 2.0MM INCISION 85915ST,87
CUTTER SURGICAL 9. 0MM FLIPCUTTER II SHORT AR-1204AS-90,732
"SET TUBE ""Y"" LATEX FREE 19909",32
STENT PROMUS PREMIER MR 3.50 M M X 12 M H7493952812350,"2,820"
BRA POST SURG FITS 46 54 C E XX LARGE 705,114
SHEATH GUIDING STRAIGHT 12 FR,263
"ESOPHAGOSCOPY,FINE NEEDL BX,US GUIDE","3,301"
SUTURE ENDO STITCH W/ SOFSILK 2-0 48IN ES9 170004,233
PACK EYE  SEY5BETSML,124
OLMESARTAN 5 MG TABLET ,11
CATHETER URETH 16FR 5ML FOLEY LATEX 0165L16,20
BIT DRILL TWIST 5X1/8 KM166-00-04,30
AMPUTATION FINGER/THUMB,"3,687"
GRAFT VASCULAR PROPATEN 8MM X50CM X 40CM HT084050A,"4,169"
CERTOLIZUMAB PEGOL 2 X 200 MG KIT ,"7,375"
KIT HANDCONTROLLER ANGIO TOUCH  AT-P65,95
CATHETER ANGIOGRAPHIC 5FR DIAG NOSTIC CATHETER AL2 H74908526982,35
BALLOON COR 1.2 X 20MM EMERGE MR PUSH H7493919020120,472
NUSINERSEN 12 MG/5ML SOLUTION ,"2,292"
ADAPTER BRONCHOSCOPE EDGE  SD300BAPK,215
BRACE KNEE IMMOBILE XLG COMFOR-K 20IN W/PATELLA STRAP 08142465,70
CATHETER DXTERITY 6F AL 1.0  DXT6AL10,33
CARTRIDGE BONE MILL STRY FINE  5400-702-000,"1,000"
HEPARIN IN 0.9% SODIUM CHLORIDE SOLUTION 10 ML SYRINGE ,45
GUIDEWIRE ASAHI PROWATER FLEX 180 82358-01,333
STEM SUMMIT DUOFIX TAP SZ9 HI OFF 1570-12-165,"8,143"
TRIAMCINOLONE HEXACETONIDE,6
"DNA, AB, NATIVE/DBL STRND - REF",124
CATHETER SUPERTORQUE PLUS 6FR JR4.0 533-621,23
TUBE FEEDING GASTRO MIC BOLUS G 18FR 0110-18,149
BLADE SAGCUT DUAL 4111-127-090,230
BALLOON RX COR 3.5 X 15 NC EUPHORA NCEUP3515X,435
SCREW SYNT SCHANZ SPADE POINT6 X 190MM 294.68,278
PREPUTIAL STRETCHING,294
MOPATH PROCEDURE LEVEL 5 - REF,853
XRAY ARTHROGRAM ELBOW TC,525
CANNULA T-FIX 5 X 55MM 014623,129
STEM FEMORAL TRI LOCK BPS W/GR IPTION SZ 8X101MM HIGH OFF 1012-14-080,"4,700"
ROD SPINAL MEDT 5.5 TI CPR NS CURVE 50MM 1553201050,653
CK TOTAL - REF,42
SCREW SYNT CORT LOW PROF T15 STRDRV 3.5 X 20MM 02.206.220,103
HEAD HUM 19MM 48MM SHLDR ANATOMIC RESTOR VARIABLE ADJUSTMENT AR-9148-19P,"3,496"
SCREW PERIPHERAL 5.0MM X 34MM NON-STERILE DWJ334,300
LENS IOL SN60WF 20.5D ACRYSOF IQ SN60WF.205,632
GUIDEWIRE STANDARD .035IN X 48 0 CM G13816,178
STEM ML TAPER SIZE 4 REDUCED OFFSET 00771100410,"6,545"
BEARING TIBIAL BIO CR E-POLY 10MM X63/67 MM VANGUARD EP-183420,"5,159"
KIT NOVASURE ENDO ABLATION NS2007US,"2,867"
ESOPHAGOSCP RIG TRNSO BIOPSY,"1,650"
SHEET SILICONE 1 MM (2/PKG)  20-10680,88
BLADE TFNA HELICAL 115MM STRL 04.038.415S,"1,157"
RELOAD STAPLER VASCULAR WHITE 35MM VASECR35,370
BALLOON COR 2.0 X 20MM SAFIRE II PRO SEMI COMPLIANT 220-203-5UU,480
INA MAGNUM 2 KNOTLESS IMPLANT  OM-1502,994
CATHETER BALLOON BILIARY RX SYSTEMS 10MM X 4CM HURRICANE M00545960,897
BUDESONIDE 0.25 MG/2ML SUSPENSION ,27
BECLOMETHASONE 40 MCG/ACT AERO SOLN 8.7 G INHALER ,141
SCREW BIO LOCKING S-DRILL 2.4X 14MM 73-2414,330
BONE AGE STUDIES TC,193
SCREW ART CORTEX LOW PROFILE3.5 X 16MM AR-8835-16,167
SUTURE SILK 0 BRAIDED 6-30IN  A306H,31
SCREW SYNT HEADLESS COMPRESSION LT 3 X 26MM 02.226.126,856
CATHETER 5F PAPA LAUNCHER  LA5PAPA,175
SET ACCESS VENACUREEVLT 0.46MM X 45CM 11403004,"2,604"
GUIDEWIRE AMPLATZ SS.035X260 S ST M001465261,177
PLATE MIDFOOT FUSION SMALL 8240-74-001,"1,701"
CEFAZOLIN IN D3W 2 G / 50 ML 2-3 GM-% RECON SOLN 1 EACH FLEX CONT ,15
KIT TRANSDUCER PRESSURE DISPOSABLE TRUWVE 60IN PX260,167
SCREW SYNT SCHANZ BLUNTED TROCAR POINT 4.5 X 150MM 294.74,202
SCREW SYNT HEADLESS COMPRESSIO N ST 3 X 32MM 02.226.032,697
SNARE 5.5 X 240 X 2.5CM 7FR W STIFF WIRE G22629,32
CATHETER FOLEY 22FR SILICONE 3WAY 30ML 73022SI,42
CT PELVIS W/O & W/DYE,"1,604"
SCREW OSTE 1.6 X 10MM FULL THREAD 331-1610,293
GUIDEWIRE .035 X 145CM ANGIOGRAPHIC FIXED CORE STRAIGHT H965970001011,38
SCREW SYNT CORT S-TAP 2.7 X 12MM 202.812,119
ERYTHROPIETIN - REF,168
SUTURE GORE-TEX CV-6 36IN TTC-13 6N04A,100
SCREW JNJ PINNACLE CANC BONE 6 .5 X 25MM 1217-25-500,323
TETRAHYDROZOLINE 0.05 % SOLUTION 15 ML BOTTLE ,12
SCREW TSRH OG THIN 6.5MM X 45M M 83565459,698
WIRE K-WIRE ARTHREX .062 IN X3 IN AR-2663,70
SELENIUM - REF,133
SCREW SYNT CANN LONG THREAD 4 X 46MM 207.746,600
BRIMONIDINE 0.2 % SOLUTION ,74
SHEARS 45CM HARMONIC ACE HARH45,"1,557"
WIRE K WIRE SYNT 1MM W  TROCAR POINT 150MM 292.10,287
ZOLPIDEM CR 12.5 MG TABLET EXTENDED RELEASE ,13
BAG SUCTION TRU CLOSE W/,113
IMPLANT SPEED 15 X 15 X 15MM SE-1515,"3,514"
FENTANYL 0.05 MG/ML SOLUTION 2 ML VIAL ,11
BALLOON OTW P 7.0X 60X 75CM X.035 MUSTANG H74939171070670,750
BRA POST SURG FITS 38-44 B-D X-LARGE 704,114
BALLOON EXTRACTION FUSION 8.5 12 15 INJECTION ABOVE BALLOON G31537,315
STEM HIP HI SUMMIT SIZE 8  1570-11-150,"6,416"
"MRA, NECK W/OUT CONTRAST","2,396"
NORETHINDRONE-ETHINYL ESTRADIOL 1-20 MG-MCG TABLET 21 EACH DISP PACK ,44
BIT DRILL PARAGON FENESTRATION BONE PERFORATOR P99-100-2009,443
PROTHROMBIN COMPLEX CONCENTRATE - HUMAN 500 UNITS KIT ,8
SUPPORT SCROTAL BANDB XL MEM201352Z,56
ANCHOR BIO-PUSHLOCK 2.5X8MM MINI AR-8825B,850
CASSETTE VAC VERALINK ULTLNK0500,179
BEARING TIBIAL BIO SSK PSC16X71/75 VANGUARD 183886,"4,667"
SCREW SYNT LCK S-TAP STRDRV 3.5 X 65MM 212.125,447
SCREW TRI2 CORT LAG 3.2 X 20MM LAG3.2-20,315
LENS IOL AO60 12.5D AKREOS ADVANCED OPTICS ASPHERIC AO60P1250,390
