Facility,MS DRG,Description,Average Charge
Greene Memorial Hospital,004,"Trach W Mv >96 Hrs Or Pdx Exc Face, Mouth & Neck W/O Maj O.R."," $349,744 "
Greene Memorial Hospital,056,Degenerative Nervous System Disorders W Mcc," $30,114 "
Greene Memorial Hospital,057,Degenerative Nervous System Disorders W/O Mcc," $25,867 "
Greene Memorial Hospital,060,Multiple Sclerosis & Cerebellar Ataxia W/O Cc/Mcc," $22,730 "
Greene Memorial Hospital,064,Intracranial Hemorrhage Or Cerebral Infarction W Mcc," $54,970 "
Greene Memorial Hospital,065,Intracranial Hemorrhage Or Cerebral Infarction W Cc Or Tpa In 24 Hrs," $37,011 "
Greene Memorial Hospital,066,Intracranial Hemorrhage Or Cerebral Infarction W/O Cc/Mcc," $34,678 "
Greene Memorial Hospital,069,Transient Ischemia W/O Thrombolytic," $29,725 "
Greene Memorial Hospital,071,Nonspecific Cerebrovascular Disorders W Cc," $38,406 "
Greene Memorial Hospital,072,Nonspecific Cerebrovascular Disorders W/O Cc/Mcc," $27,211 "
Greene Memorial Hospital,073,Cranial & Peripheral Nerve Disorders W Mcc," $69,217 "
Greene Memorial Hospital,074,Cranial & Peripheral Nerve Disorders W/O Mcc," $30,201 "
Greene Memorial Hospital,081,Nontraumatic Stupor & Coma W/O Mcc," $7,636 "
Greene Memorial Hospital,090,Concussion W/O Cc/Mcc," $27,479 "
Greene Memorial Hospital,091,Other Disorders Of Nervous System W Mcc," $71,821 "
Greene Memorial Hospital,092,Other Disorders Of Nervous System W Cc," $28,945 "
Greene Memorial Hospital,093,Other Disorders Of Nervous System W/O Cc/Mcc," $22,608 "
Greene Memorial Hospital,100,Seizures W Mcc," $109,793 "
Greene Memorial Hospital,101,Seizures W/O Mcc," $31,733 "
Greene Memorial Hospital,103,Headaches W/O Mcc," $24,879 "
Greene Memorial Hospital,123,Neurological Eye Disorders," $33,276 "
Greene Memorial Hospital,153,Otitis Media & Uri W/O Mcc," $10,424 "
Greene Memorial Hospital,154,"Other Ear, Nose, Mouth & Throat Diagnoses W Mcc"," $66,448 "
Greene Memorial Hospital,155,"Other Ear, Nose, Mouth & Throat Diagnoses W Cc"," $17,478 "
Greene Memorial Hospital,156,"Other Ear, Nose, Mouth & Throat Diagnoses W/O Cc/Mcc"," $10,851 "
Greene Memorial Hospital,163,Major Chest Procedures W Mcc," $142,958 "
Greene Memorial Hospital,165,Major Chest Procedures W/O Cc/Mcc," $105,734 "
Greene Memorial Hospital,175,Pulmonary Embolism W Mcc," $40,483 "
Greene Memorial Hospital,176,Pulmonary Embolism W/O Mcc," $33,519 "
Greene Memorial Hospital,177,Respiratory Infections & Inflammations W Mcc," $48,062 "
Greene Memorial Hospital,178,Respiratory Infections & Inflammations W Cc," $48,595 "
Greene Memorial Hospital,181,Respiratory Neoplasms W Cc," $30,942 "
Greene Memorial Hospital,183,Major Chest Trauma W Mcc," $47,592 "
Greene Memorial Hospital,184,Major Chest Trauma W Cc," $53,333 "
Greene Memorial Hospital,185,Major Chest Trauma W/O Cc/Mcc," $57,003 "
Greene Memorial Hospital,186,Pleural Effusion W Mcc," $61,852 "
Greene Memorial Hospital,187,Pleural Effusion W Cc," $16,559 "
Greene Memorial Hospital,189,Pulmonary Edema & Respiratory Failure," $35,083 "
Greene Memorial Hospital,190,Chronic Obstructive Pulmonary Disease W Mcc," $33,425 "
Greene Memorial Hospital,191,Chronic Obstructive Pulmonary Disease W Cc," $28,673 "
Greene Memorial Hospital,192,Chronic Obstructive Pulmonary Disease W/O Cc/Mcc," $28,220 "
Greene Memorial Hospital,193,Simple Pneumonia & Pleurisy W Mcc," $40,638 "
Greene Memorial Hospital,194,Simple Pneumonia & Pleurisy W Cc," $26,924 "
Greene Memorial Hospital,195,Simple Pneumonia & Pleurisy W/O Cc/Mcc," $25,174 "
Greene Memorial Hospital,199,Pneumothorax W Mcc," $72,445 "
Greene Memorial Hospital,200,Pneumothorax W Cc," $68,968 "
Greene Memorial Hospital,201,Pneumothorax W/O Cc/Mcc," $22,345 "
Greene Memorial Hospital,202,Bronchitis & Asthma W Cc/Mcc," $22,622 "
Greene Memorial Hospital,203,Bronchitis & Asthma W/O Cc/Mcc," $38,582 "
Greene Memorial Hospital,204,Respiratory Signs & Symptoms," $53,905 "
Greene Memorial Hospital,205,Other Respiratory System Diagnoses W Mcc," $67,008 "
Greene Memorial Hospital,206,Other Respiratory System Diagnoses W/O Mcc," $16,115 "
Greene Memorial Hospital,207,Respiratory System Diagnosis W Ventilator Support >96 Hours Or Peripheral ECMO," $172,232 "
Greene Memorial Hospital,208,Respiratory System Diagnosis W Ventilator Support <=96 Hours," $91,929 "
Greene Memorial Hospital,240,Amputation For Circ Sys Disorders Exc Upper Limb & Toe W Cc," $52,644 "
Greene Memorial Hospital,264,Other Circulatory System O.R. Procedures," $31,738 "
