Prisma Health - Upstate CDM,Valid Date: 4/3/2019,,,
RECORD TYPE,RECORD ID,PROCEDURE DESCRIPTION,UNIT PRICE,COMMENTS
PX,PX00435560000002,HC  ABLATION PERC LOWER EXT NERVE,"$4,594.80 ",
PX,PX00435560000003,HC  ASPERGILLUS ANTIGEN QL/SQ EIA,$93.00 ,
PX,PX00435560000004,HC  CATH CV MULTI LUMEN POWER KIT,$589.00 ,
PX,PX00435560000005,HC  CATH DUAL LUMEN 16CM 7FR KIT,$570.00 ,
PX,PX00435560000006,HC  CATH SWAN GANZ CCO,"$1,206.00 ",
PX,PX00435560000007,HC  H PYLORI STOOL ANTIGEN QL/SQ EIA,$218.00 ,
PX,PX00435560000008,HC  HEPATITIS B SURFACE ANTIGEN QL/SQ EIA,$67.00 ,
PX,PX00435560000009,HC  HISTOPLASMA ANTIGEN QL/SQ EIA,$298.30 ,
PX,PX00435560000010,"HC  LIPOPROTEIN, PLA2",$365.90 ,
PX,PX00435560000011,HC  MARKER BIOPSY BRST SENOMARK,$400.00 ,
PX,PX00435560000012,HC  MARKER BIOPSY BRST SENOMARK ULTRACOR,$346.00 ,
PX,PX00435560000013,HC  MARKER BIOPSY SITE CELER0MARK,$400.00 ,
PX,PX00435560000014,HC  MARKER GEL MARK ULTRACOR,$385.00 ,
PX,PX00435560000015,HC  MARKER SECURMARK-CELERO,$330.00 ,
PX,PX00435560000016,HC  MARKER TISSUE BREAST WING,$388.10 ,
PX,PX00435560000017,HC  PROBE BX BREAST ENCOR 10G,$945.00 ,
PX,PX00435560000018,HC  ROTAVIRUS ANTIGEN QL/SQ EIA,$99.40 ,
PX,PX00435560000019,HC  SIMULATION INT,"$1,344.00 ",
PX,PX00435560000020,HC  TRASDUCER QUAD,$192.50 ,
PX,PX00435560000021,HC  TUBE ENDOBRONCHIAL DOUBLE LUMEN,$282.10 ,
PX,PX00435560000022,HC (EB) EPSTEIN-BARR NUCLEAR ANTIGEN ANTIBODY (EBNA),$125.30 ,
PX,PX00435560000023,HC (EP) EPSTEIN-BARR EARLY ANTIGEN ANTIBODY,$313.80 ,
PX,PX00435560000024,HC (EP) EPSTEIN-BARR VIRAL CAPSID ANTIGEN ANTIBODY (VCA),$125.30 ,
PX,PX00435560000025,HC 1 25 DIHYDROXY INC FRACTION,$168.40 ,
PX,PX00435560000026,HC 17-HYDROXYPREGNENOLONE,$166.10 ,
PX,PX00435560000027,"HC 2D TEE W OR W/O FOL W/CONTRAST, IN","$1,861.00 ",
PX,PX00435560000028,"HC 2D TTE W OR W/O FOL W/CONTRAST, CO",$949.00 ,
PX,PX00435560000029,"HC 2D TTE W OR W/O FOL W/CONTRAST, F/U",$783.00 ,
PX,PX00435560000030,HC 2ND PERC THROMB EA ADD VESSEL,"$2,504.60 ",
PX,PX00435560000031,HC 3-DAY VAGINAL DELIVERY FLAT FE,"$4,438.90 ",
PX,PX00435560000032,HC 3D RENDER W/O POSTPROCESS,$525.00 ,
PX,PX00435560000033,HC ABDOMEN PARACENTESIS W/IMAGING,"$1,347.30 ",
PX,PX00435560000034,HC ABDOMEN PARACENTESIS W/O IMAGING,$948.50 ,
PX,PX00435560000035,HC ABL1 GENE,$713.90 ,
PX,PX00435560000036,HC ABLAT EXTREM MECHAN 1ST,"$6,621.00 ",
PX,PX00435560000037,HC ABLAT EXTREM MECHAN ADDL,"$3,310.00 ",
PX,PX00435560000038,HC ABLAT EXTREM RADIOFREQ 1ST,"$11,100.00 ",
PX,PX00435560000039,HC ABLATE ARRHYTHMIA ADD ON,"$7,947.70 ",
PX,PX00435560000040,HC ABLATION ATRIOVENTRICULAR FNCT,"$10,659.00 ",
PX,PX00435560000041,HC ABLATION BONE TUMR PERC W/CT,"$9,423.60 ",
