Charge Code,Charge Description,Rev Code,HCPCS/CPT Code2,Modifier,ALT CPT/HCPC DRIVER,ALT CPT/HCPC ,ALT REV DRIVER,ALT REV ,ALT REV DRIVER3,ALT REV 2,2019 Charge,2019 Tiered Pricing
11000005,HC ROOM & BOARD - HOSPICE,0656,,,GSH,Q5005,,,,,"$1,176.00",
11012002,HC ROOM & BOARD - PRIVATE PSYCH,0124,,,,,,,,,"$1,612.00",
11012007,HC ROOM & BOARD - PRIVATE,0110,,,,,,,,,"$1,612.00",
11012009,HC ROOM & BOARD - ANTEPARTUM I,0112,,,,,,,,,"$2,081.00",
11012010,HC ROOM & BOARD - ANTEPARTUM II,0112,,,,,,,,,"$2,331.00",
11012011,HC ROOM & BOARD - PRIVATE ISOLATION,0164,,,,,,,,,"$1,667.00",
11012012,HC ROOM & BOARD - ICU LV I ISOLATION,0164,,,,,,,,,"$2,716.00",
11012013,HC ROOM & BOARD - ICU LV II ISOLATION,0164,,,,,,,,,"$2,206.00",
11070001,HC ROOM & BOARD - TOTAL JOINT RPLMT,0110,,,,,,,,,"$1,861.00",
11070002,HC ROOM & BOARD - PRIVATE REHAB,0118,,,,,,,,,"$1,040.00",
12000005,HC ROOM & BOARD - SEMI PRIVATE,0120,,,,,,,,,"$1,001.00",
12070000,HC ROOM & BOARD - MH DETOX,0126,,,,,,,,,"$1,567.00",
17000001,HC ROOM & BOARD - NEWBORN,0171,,,,,,,,,"$1,326.00",
17070000,HC ROOM & BOARD - NEWBORN LV II,0172,,,,,,,,,"$2,011.00",
17070002,HC ROOM & BOARD - NEWBORN LV I,0171,,,,,,,,,"$1,392.00",
18000002,HC LEAVE OF ABSENCE DURING ADMISSION,0180,,,,,,,,,$0.01,
20070000,HC ROOM & BOARD - ICU LV II,0206,,,,,,,,,"$2,150.00",
20070001,HC ROOM & BOARD - ICU LV I,0202,,,,,,,,,"$2,661.00",
25000024,HC HEPATITIS A VIRUS VACCINE,0250,90632,,,,,,,,$84.00,
25000060,HC INJECTION SQ/IM,0260,96372,,,,,,,,$164.00,
26000001,HC IV PUSH INITIAL,0260,96374,,,,ER,0450,,,$206.00,
26000002,HC IV PUSH SAME DRUG ADDL SUB > 30 MIN APART,0260,96376,,,,ER,0450,,,$146.00,
26000003,HC IV SEQUENTIAL PUSH NEW DRUG,0260,96375,,,,ER,0450,,,$215.00,
26000004,HC IV MEDICATION INFUSION INITIAL 1 HOUR,0260,96365,,,,ER,0450,,,$445.00,
26000005,HC IV MEDICATION INFUSION ADDL WHOLE HOUR,0260,96366,,,,ER,0450,,,$202.00,
26000006,HC IV MEDICATION INFUSION SUB MED INITIAL 1 HOUR,0260,96367,,,,ER,0450,,,$138.00,
26000007,HC IV MEDICATION INFUSION CONCURRENT DRUG SEP IV SITE,0260,96368,,,,ER,0450,,,$123.00,
26000008,HC INJECTION SQ/IM,0260,96372,,,,ER,0450,,,$164.00,
26000009,HC IV INFUSION HYDRATION INITIAL 1 HOUR,0260,96360,,,,ER,0450,,,$429.00,
26000010,HC IV INFUSION HYDRATION ADDL WHOLE HOUR,0260,96361,,,,ER,0450,,,$164.00,
26070000,HC SC INFUSION FOR THER/PROPH/DIAG INITIAL UP TO 1HR,0260,96369,,,,ER,0450,,,$225.00,
26070001,HC SC INFUSION FOR THER/PROPH/DIAG ADD HR,0260,96370,,,,ER,0450,,,$201.00,
26070002,HC APPLICATION OF ON-BODY INJECTOR,0761,96377,,,,,,,,$164.00,
27000050,HC ARM ELEVATOR BUNNY DISP LG,0271,,,,,,,,,$55.00,
27000220,HC AMPLATZ SUPER STIFF,0272,C1769,,,,,,,,$97.50,
27000284,HC BALLOON TREK/VOYAGER NC,0272,C1725,,,,,,,,$673.00,
27000419,HC CATH 3 WAY 18FR 5CC BALLOON,0272,,,,,,,,,$25.00,
27000524,HC CATH FOLEY 10FR 3CC BALLOON,0272,,,,,,,,,$14.00,
27000527,HC CATH FOLEY 14FR 5CC BALLOON,0272,,,,,,,,,$35.00,
27000529,HC CATH FOLEY 16FR 5CC BALLOON,0272,,,,,,,,,$35.00,
27000546,HC CATH FOLEY COUDE 14FR 5CC,0272,,,,,,,,,$45.00,
27000550,HC CATH FOLEY COUDE 18FR 5CC,0272,,,,,,,,,$45.00,
27000562,HC CATHETER GUIDE CORDIS,0278,C1887,,,,,,,,$92.00,
27000584,HC CATH OMNI FLUSH 5FR,0278,C1887,,,,,,,,$134.00,
27000599,HC CATH PLAIN COUDE 14FR,0272,A4352,,,,,,,,$156.88,
27000600,HC CATH PLAIN COUDE 16FR,0272,,,,,,,,,$45.00,
27000610,HC CATHETER RENEGADE,0278,C1887,,,,,,,,$533.00,
27000622,HC CATH SWAN GANZ THERMODILUTION 7.5FR,0278,C1751,,,,,,,,"$1,137.50",
27000655,HC CATHETER KUMPE,0272,C1887,,,,,,,,$62.00,
27000684,HC CLOSURE DEVICE ANGIOSEAL 6FR,0278,C1760,,,,,,,,$915.50,
27001594,HC DILATOR VESSEL,0272,,,,,,,,,$147.00,
27001744,HC DRESSING MEPILEX 6X6 BORDERED,0272,A6213,,,,,,,,$19.00,
27001859,HC FILTER IVC,0278,C1880,,,,,,,,"$2,637.00",
27001981,HC GLIDECATH 4FR 100CM ANGLED,0278,C1887,,,,,,,,$158.50,
27001982,HC GLIDECATH 4FR 120CM ANGLE,0278,C1887,,,,,,,,$158.50,
27001993,HC GLIDEWIRE ANGLED .035 260,0272,C1769,,,,,,,,$721.50,
27001995,HC GLIDEWIRE ANGLED SS.035,0272,C1769,,,,,,,,$148.00,
27002184,HC GUIDEWIRE BMW,0272,C1769,,,,,,,,$330.00,
27002194,HC GUIDEWIRE MIRACLEBROS 180CM,0272,C1769,,,,,,,,$331.50,
27002199,HC GUIDEWIRE PILOT,0272,C1769,,,,,,,,$212.00,
27002218,HC GUIDEWIRE WHOLEY,0272,C1769,,,,,,,,$277.00,
27002331,HC INTRODUCER 6F,0272,C1894,,,,,,,,$34.50,
27002334,HC INTRODUCER 7FR 45CM,0272,C1894,,,,,,,,$365.75,
27002339,HC INTRODUCER ACCUSTICK,0272,C1894,,,,,,,,$235.00,
27002446,HC KIT MULTI SUBCLAVIAN ARROW,0278,C1751,,,,,,,,$324.00,
27002509,HC KYPHON BONE BIOPSY EXPRESS,0272,,,,,,,,,$229.50,
27002510,HC KYPHON CEMENT/MIXER KIT,0272,,,,,,,,,$331.50,
27002557,HC LEAD PACER CAPSURE 4574,0275,C1898,,,,,,,,$806.00,
27002559,HC LEAD PACER CAPSUREFX 5076,0275,C1898,,,,,,,,$806.00,
27002579,HC LEAD TENDRIL ST 1788,0275,C1898,,,,,,,,"$1,275.00",
27002693,HC MICROPUNCTURE SET 4F ADLT/PED,0272,C1894,,,,,,,,$130.00,
27002895,HC NEEDLE CHIBA,0272,,,,,,,,,$40.50,
27002915,HC NEEDLE GUIDE STEREO,0272,,,,,,,,,$40.00,
27003048,HC PACER ADAPTA DR,0275,C1785,,,,,,,,"$8,400.00",
27003050,HC PACER ADAPTA SR,0275,C1786,,,,,,,,"$7,869.00",
27003068,HC PACER SENSIA DR,0275,C1785,,,,,,,,"$7,350.00",
27003070,HC PACER SENSIA SR,0275,C1786,,,,,,,,"$5,760.00",
27003074,HC PACER VERSA DR,0275,C1785,,,,,,,,"$7,950.00",
27004387,HC SHEATH 5FR 10CM,0272,C1894,,,,,,,,$301.00,
27004430,HC SHEATH PINNACLE 6FR 10CM .035,0272,C1894,,,,,,,,$101.00,
27004817,HC STENT COVER ICAST 6MMX22MMX120,0278,C1874,,,,,,,,"$7,545.00",
27004818,HC STENT COVER ICAST 6MMX38MMX120,0278,C1874,,,,,,,,"$7,545.00",
27004820,HC STENT COVER ICAST 8MMX38MMX120,0278,C1874,,,,,,,,"$7,545.00",
27004821,HC STENT COVER ICAST 8MMX59MMX120,0278,C1874,,,,,,,,"$8,325.00",
27004890,HC STENT VISION,0278,C1876,,,,,,,,"$1,500.00",
27004894,HC STENT XIENCE,0278,C1874,,,,,,,,"$2,490.00",
27005022,HC SURGISEAL,0272,,,,,,,,,$42.00,
27005963,HC VORTEX COIL,0278,,,,,,,,,$907.50,
27006003,HC WIRE GLIDE STIFF SHAFT,0272,C1769,,,,,,,,$98.50,
27006009,HC WIRE GUIDE 32 260CM EXCHANGE,0272,C1769,,,,,,,,$40.00,
27006012,HC WIRE GUIDE GRAND SLAM EA,0272,C1769,,,,,,,,$272.00,
27006025,HC WIRE MAGIC TORQUE 180,0272,C1769,,,,,,,,$522.00,
27006031,HC WIRE ROSEN 035 260CM,0272,C1769,,,,,,,,$67.00,
27006061,HC KYPHON ELEVATE BONE TAMP 15/3,0272,,,,,,,,,"$2,200.00",
27006066,HC GUIDEWIRE WIGGLE WIRE,0272,C1769,,,,,,,,$277.50,
27006093,HC SHEATH EX BENT TIP RETRIEVAL,0272,C1894,,,,,,,,$216.00,
27006145,HC WIRE MAGIC TORQUE 260,0272,C1769,,,,,,,,$521.50,
27006414,HC STENT COVER ICAST 8MMX38MMX80C,0278,C1874,,,,,,,,"$7,725.00",
27006415,HC STENT COVER ICAST 8MMX59MMX80C,0278,C1874,,,,,,,,"$8,325.00",
27006420,HC STENT COVER ICAST 6MMX59MMX120,0278,C1874,,,,,,,,"$8,325.00",
27006473,HC STENT GRAFT VIABAHN 7X15X75,0278,C1874,,,,,,,,"$11,010.00",
27006476,HC STENT GRAFT VIABAHN 8X10X75,0278,C1874,,,,,,,,"$9,585.00",
27007195,HC CAUTERY HI TEMP FINE-TIP,0272,,,,,,,,,$130.50,
27007414,HC GLIDEWIRE ANGLED .038,0272,C1769,,,,,,,,$140.00,
27009677,HC CATHETER HOCKEY STICK 5FR,0278,C1887,,,,,,,,$226.00,
27009746,HC LEAD ISOFLEX OPTIM 1948,0275,C1898,,,,,,,,"$1,275.00",
27009764,HC CAPSULE BRAVO,0272,,,,,,,,,$614.38,
27010253,HC APLIGRAF WCC,0636,Q4101,,,,,,,,$121.00,
27010257,HC KYPHON CURETTE EXPRESS T TIP SZ 2,0272,,,,,,,,,$370.00,
27010278,HC MARKER SITE BIOPSY STEREO 9G,0278,A4648,,,,,,,,$213.00,
27010289,HC GUIDEWIRE FATHOM 16 180CM,0272,C1769,,,,,,,,$774.00,
27010323,HC CATHETER GUIDE GUIDELINER,0278,C1887,,,,,,,,"$1,060.50",
27010346,HC CATHETER FINECROSS MICROGUIDE,0278,C1887,,,,,,,,"$1,000.00",
27010359,HC PACER REVO MRI RVDR01,0275,C1785,,,,,,,,"$15,852.00",
27010410,HC MUSTANG BALLOON,0278,C1725,,,,,,,,$613.00,
27010464,HC BALLOON CUTTING,0278,C1725,,,,,,,,"$2,201.50",
