Off ID,Supply Name,Contact Date,Charge Code ID,Charge Code Name,Billed Charge
20096678,CATHETER DRAINAGE MALECOT 16FR,02/02/2017,27010964,HC OR 272 STERILE SURG SUPPLIES,40.6
0186270,CATHETER 24FR 5CC 3 WAY,02/07/2017,27010966,HC OR 272 A4346 CATH 3 WAY,40.8
20096198,CHEST TUBE SILICONE 24 STR,02/07/2017,27010419,HC OR 272 C1729 CATH DRAINAGE PERCUT,41.52
20096356,IMMOBILIZER KNEE 20IN,01/09/2018,27010963,HC OR 271 NON-STERILE SURG SUPPLIES,42.48
20096367,CHEST TUBE SILICONE 36 RTANGLE,01/26/2018,27010419,HC OR 272 C1729 CATH DRAINAGE PERCUT,44
20083739,SPRING WIRE GUIDE .02533CM,09/13/2017,27010439,HC OR 278 C1769 GUIDEWIRE,44
66S5806,GUIDEWIRE .38 BARD,04/07/2016,27010439,HC OR 278 C1769 GUIDEWIRE,44.6
20096366,CHEST TUBE SILICONE 28 RTANGLE,02/07/2017,27010419,HC OR 272 C1729 CATH DRAINAGE PERCUT,45.76
20096275,CATHETER DRAINAGE MALECOT 20FR,02/07/2017,27010419,HC OR 272 C1729 CATH DRAINAGE PERCUT,46.24
20096357,IMMOBILIZER KNEE,01/09/2018,27010963,HC OR 271 NON-STERILE SURG SUPPLIES,46.6
20087890,GUIDEWIRE STRAIGHT J .038X27,04/07/2016,27010439,HC OR 278 C1769 GUIDEWIRE,46.84
0186280,CATHETER 22FR 75CC 3 WAY,02/07/2017,27010966,HC OR 272 A4346 CATH 3 WAY,47.04
0186290,CATHETER 24FR 75CC 3 WAY,02/07/2017,27010966,HC OR 272 A4346 CATH 3 WAY,47.04
0184510,CATHETER 22FR 30CC 3 WAY,02/07/2017,27010966,HC OR 272 A4346 CATH 3 WAY,47.8
20080550,CORTICAL SCREW 4.5MMX30MM,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,48
20085756,WASHER LG ZIMMER,02/01/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,48
20092007,COLLAR BUTTON UTRASIL BLUE1.27,07/08/2016,27010970,HC OR 278 IMPLANT SURG SUPPLIES,48.76
0184505,CATHETER 20FR 30CC 3 WAY,02/07/2017,27010966,HC OR 272 A4346 CATH 3 WAY,49.04
66S5800,OPEN ENDED POLLACK,03/27/2018,27010437,HC OR 278 C1758 CATHETER URETERAL,49.4
20081035,SCREW 4.0X20MM CANC PART THR S,06/28/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,54.88
20081036,SCREW 4.0X30MM CANC PART THR S,06/28/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,54.88
20081634,SCREW 4.0X45MM CANC PART THR S,06/28/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,54.88
20081034,SCREW CANCELLOUS PART 4.0 10MM,06/28/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,54.88
20081608,SCREW CANCELLOUS PT 4.0 X 24MM,06/28/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,54.88
20080422,SCREW CANCELLOUS PT 4.0X40MM,06/28/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,54.88
20080423,SCREW CANCELLOUS PT 4.0X50MM,06/28/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,54.88
20081622,SCREW CANCELLOUS 4.0 X 22MM,07/27/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,57.68
20080419,SCREW CANCELLOUS 4.0X20MM,10/17/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,57.68
20081623,SCREW CANCELLOUS 4.0X24MM,07/27/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,57.68
20080652,SCREW CANCELLOUS 4.0X26MM,07/27/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,57.68
20080420,SCREW CANCELLOUS 4.0X30MM,10/17/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,57.68
20080655,SCREW CANCELLOUS 4.0X4.5MM,07/27/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,57.68
20081032,SCREW CANCELLOUS 4.0X40MM,12/11/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,57.68
