Charge Description,Charge Amount
0.9% SODIUM CHLORIDE MAINTENANCE FLUSH ,$65.00 
11 F CATHETER AIRWAY,$353.52 
12 HOLE HUMERAL PLATE LOCKING   00-2358-001-12,"$4,639.71 "
19 F CATHETER AIRWAY,$314.04 
2MM DRILL BIT,"$1,050.00 "
3.2 GUIDE PIN 2141-03-00,"$2,220.00 "
32  HEADLESS SCREW  202-30-032,"$1,800.00 "
6 PORT MANIFOLD,$125.34 
8.5 INTRODUCER ARROW TRAY,$92.34 
AAL HAEMONETICS 208,"$1,080.00 "
ABACAVIR SULFATE 300 MG PO TABS ,$32.00 
ABACAVIR SULFATE-LAMIVUDINE 600-300 MG PO TABS ,$24.93 
ABACAVIR-LAMIVUDINE-ZIDOVUDINE 300-150-300 MG PO TABS ,$131.90 
ABCIXIMAB 2 MG/ML IV SOLN ,"$4,910.99 "
ABLATION ANTENNA WITH THERMOSPHERE TECHNOLOGY LONG 30CM,"$12,582.50 "
ABOBOTULINUMTOXINA 300 UNITS IM SOLR ,"$2,759.92 "
ABOBOTULINUMTOXINA 500 UNITS IM SOLR ,"$4,583.20 "
ACAMPROSATE CALCIUM 333 MG PO TBEC ,$12.25 
ACARBOSE 50 MG PO TABS ,$12.25 
ACCESS PORT 8MM IAS8-120LP,$506.76 
ACCUCATH 20G 1.25IN BASIC KIT,$132.00 
ACCUCATH 20G 2.25IN BASIC KIT,$252.00 
ACD FORMULA A 0.73-2.45-2.2 GM/100ML VI SOLN ,$138.00 
ACEBUTOLOL HCL 200 MG PO CAPS ,$12.25 
ACELLUAR DERMIS 4X8CM TSD-4080M,"$9,537.50 "
ACELLULAR DERMIS 2.4X0.60,"$4,200.00 "
ACELLULAR DERMIS 4X7 TSD-4070,"$8,050.00 "
ACELLULAR DERMIX 4CMX4CM TSD-4040M,"$6,282.50 "
ACESS PORT  5MM  IAS5-120LP,$500.58 
ACESS PORT 12MM W/O IAS12-120LPI,$525.30 
ACETABULAR 4894-001-58,"$9,782.50 "
ACETABULAR 50MM 4894-050-10,"$8,645.00 "
ACETABULAR 50MMX15 4894-050-15,"$8,645.00 "
ACETABULAR 58MM 4894-058-15,"$8,645.00 "
ACETABULAR GRIPTION 1217-10-158,"$9,063.60 "
ACETABULAR LINER 36MM ID 52MM OD 1221-36-052,"$4,098.64 "
ACETABULAR LINER NEUTRAL 36MM ID  56MM OD 1221-36-056,"$4,098.64 "
ACETABULAR SHELL 52MM 1217-32-052,"$6,419.56 "
ACETABULAR SHELL 542-11-56F,"$4,831.75 "
ACETABULAR SHELL 542-11-58G,"$4,831.75 "
ACETAMINOPHEN 10 MG/ML IV SOLN ,$265.60 
ACETAMINOPHEN 120 MG RE SUPP ,$1.00 
ACETAMINOPHEN 160 MG/5ML PO SOLN ,$1.00 
ACETAMINOPHEN 160 MG/5ML PO SUSP ,$1.00 
ACETAMINOPHEN 325 MG PO TABS ,$1.00 
ACETAMINOPHEN 500 MG PO TABS ,$1.00 
ACETAMINOPHEN 650 MG RE SUPP ,$1.00 
ACETAMINOPHEN 650 MG/20.3ML PO SOLN ,$1.00 
ACETAMINOPHEN-CODEINE #3 300-30 MG PO TABS ,$1.00 
ACETAMINOPHEN-CODEINE 120-12 MG/5ML PO SOLN ,$1.00 
ACETAZOLAMIDE 25 MG/ML PO SOLN ,$320.94 
ACETAZOLAMIDE 250 MG PO TABS ,$12.25 
ACETAZOLAMIDE ER 500 MG PO CP12 ,$12.25 
ACETAZOLAMIDE SODIUM 500 MG IJ SOLR ,$100.76 
ACETIC ACID 2 % OT SOLN ,$85.50 
ACETYLCYSTEINE 10 % IN SOLN ,$20.31 
ACETYLCYSTEINE 20 % IN SOLN ,$25.08 
ACETYLCYSTEINE 20 % PO SOLN ,$25.08 
ACETYLCYSTEINE 200 MG/ML IV SOLN ,$42.00 
ACETYLCYSTEINE 600 MG PO CAPS ,$1.00 
ACHILLES SUTUREBRIDGE PACK,"$4,200.00 "
ACL T-ROPE IMPL DELIVERY SYS AR-1588RTS,"$2,700.00 "
ACLIDINIUM BROMIDE 400 MCG/ACT IN AEPB ,$401.51 
ACTIDOSE/SORBITOL 25 GM/120ML PO LIQD ,$16.44 
ACTIVE ARTICULATION E1 EP-200144,"$6,352.50 "
ACUSEAL VASCULAR GRAFT ECH060040A,"$4,480.00 "
ACUSEAL VASCULAR GRAFT ECH470045A,"$5,246.50 "
ACYCLOVIR 200 MG/5ML PO SUSP ,"$1,254.40 "
AD 4F 150CM MARINER 11722709,$509.22 
AD 4F 80CM SOS OMNI 107140235,$206.40 
AD 5F 80CM SOS OMNI 10720408,$112.68 
AD 5F 90CM OMNI FLUSH 10732202,$90.00 
AD 5FR 100CM BENTSON1 10709701,$144.00 
AD 5FR 65CM COBRA1 10709107,$144.00 
AD 5FR 65CM COBRA2 10719708,$720.00 
AD BERN 4F 65CM 0.38 107140145,$92.70 
AD BERNSTEIN 4F 65CM 10723502,$135.96 
AD BERNSTEIN 5F 038 10722108,$132.00 
AD C1 5FR 65CM 10719701,$92.70 
AD C2 5FR 65CM 10719702,$92.70 
AD C2 5FR 65CM 10731805,$90.00 
AD C2 BRAIDED 4F 65CM 10707708,$135.96 
AD C2 BRAIDED 5F 90CM 10709105,$135.96 
AD HEADHUNTER 5F100CM 10719501,$92.70 
AD KUMPE 4FR 40CM 10734301,$92.70 
AD MPB 5FR 65CM 10735001,$92.70 
AD OMNI FLUSH 4F 65CM 10632301,$85.92 
AD OMNIFLUSH 5F 20CM 13709001,$213.24 
AD PIGTAIL 5F 25CM 13709504,$803.40 
AD PIGTAIL 5F 90CM 10708502,$92.70 
AD RIM BRAID 5FR 65CM 10733301,$135.96 
AD STRAIGHT 5F 65CM 10708601,$90.00 
AD SW1 BRAID 5F100CM 10709002,$132.00 
AD SW2 BRAID 5F 100CM 10709003,$135.96 
ADALIMUMAB 40 MG/0.8ML SC PSKT ,"$8,942.62 "
ADAPTER ,"$2,503.80 "
ADAPTER ,"$2,503.80 "
ADAPTER   5866-38M,"$1,500.00 "
ADAPTER  BIOLOX OPTION HIP SYSTEM TAPER    650-1066,$906.00 
ADAPTER BOLT 96-0783,"$1,664.22 "
ADAPTER BRONCHOSCOPE EDGE SD300BA,$432.24 
ADAPTER CELL 6359,"$1,194.00 "
ADAPTER FEMORAL 96-0781,"$6,935.67 "
ADAPTER OFFSET 2MM 5570-S-020,"$4,205.25 "
ADAPTER SLEEVE 1987-06-000,"$4,299.30 "
ADAPTER SLEEVE 1987-06-005,"$5,916.00 "
ADAPTER STAY SAFE LUER LOCK,$119.70 
ADAPTOR OFFSET 2.5MM 185210,"$4,230.00 "
ADAPTOR OFFSET 75MM 185212,"$4,230.00 "
ADAPTOR STANDARD TAPER   118001,"$1,350.00 "
ADAPTOR Y CORONARY DLP,$51.30 
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN ,$286.18 
ADENOSINE 12 MCG/ML IN 500 ML BAG ,$163.00 
