"Px
Code",ID,"Medication
Description","Unit
Price"
250000006,100344,Romidepsin injection,"7,768.03"
250000006,10036,Inj filgrastim excl biosimil,468.46
250000006,10049,Fluconazole,91.45
250000006,10050,Fluconazole,93.2
250000006,10053,Fludarabine phosphate inj,350.15
250000006,100740,Ibutilide fumarate injection,275.97
250000006,10093,foscarnet per 1000 mg,"1,160.00"
250000006,10101,Ganciclovir sodium injection,210.93
250000006,101010,Collagenase  clost hist inj,"7,389.21"
250000006,101034,MCV4: quadrivalent meningococcal conjugate (PF) 10-5 mcg/0.5 mL kit 5 each KIT,151.28
250000006,10109,Garamycin gentamicin inj,80.78
250000006,10111,Garamycin gentamicin inj,80.6
250000006,10112,Garamycin gentamicin inj,80.78
250000006,10137,Goserelin acetate implant,"1,962.50"
250000006,10162,Haloperidol decanoate inj,74.8
250000006,10176,Inj heparin sodium per 1000u,41.28
250000006,10177,Inj heparin sodium per 1000u,68
250000006,10178,Inj heparin sodium per 1000u,68.54
250000006,10248,Ifosfamide injection,281.9
250000006,10249,Ifosfamide injection,457.86
250000006,10299,Interferon alfa-2b inj,658.54
250000006,10304,Interferon alfa-2b inj,"4,035.43"
250000006,10307,interferon gamma-1b per 3000000 Units,"9,449.98"
250000006,10390,Leuprolide acetate /3.75 MG,"6,666.05"
250000006,10391,Leuprolide acetate suspnsion,"6,714.98"
250000006,103935,sotalol 150 mg/10 mL (15 mg/mL) solution 10 mL Vial,"4,687.68"
250000006,104258,Capsaicin 8% patch,"2,572.53"
250000006,104264,teriparatide 20 mcg/dose - 600 mcg/2.4 mL pen injector 2.4 mL Syringe,"8,113.17"
250000006,10427,lidocaine-EPINEPHrine 1 %-1:100 000 solution 20 mL Vial,36.14
250000006,10427,lidocaine-EPINEPHrine 1 %-1:100 000 solution 30 mL Vial,37.02
250000006,10427,lidocaine-EPINEPHrine 1 %-1:100 000 solution 50 mL Vial,35.78
250000006,10427,lidocaine-EPINEPHrine 1 %-1:100 000 solution 10 mL Vial,40.3
250000006,10428,lidocaine-EPINEPHrine (PF) 1 %-1:200 000 solution 30 mL Vial,36.2
250000006,10430,lidocaine-EPINEPHrine 2 %-1:100 000 solution 50 mL Vial,35.22
250000006,10430,lidocaine-EPINEPHrine 2 %-1:100 000 solution 20 mL Vial,35.29
250000006,10430,lidocaine-EPINEPHrine 2 %-1:100 000 solution 30 mL Vial,35.46
250000006,10431,lidocaine-EPINEPHrine (PF) 2 %-1:200 000 solution 20 mL Vial,41.26
250000006,10431,lidocaine-EPINEPHrine (PF) 2 %-1:200 000 solution 10 mL Vial,50.84
250000006,10475,Lymphocyte immune globulin,"5,077.49"
250000006,105029,PenG benzathine/procaine inj,417.66
250000006,10515,Mechlorethamine hcl inj,"1,224.27"
250000006,10522,Inj melphalan hydrochl 50 MG,"1,150.05"
250000006,10529,Inj mepivacaine HCL/10 ml,37.62
250000006,10537,Mesna injection,65.4
250000006,10546,Methadone injection,"1,286.42"
250000006,105502,Denosumab injection,"3,186.83"
250000006,105551,Cefepime HCl for injection,75.77
250000006,105552,Cefepime HCl for injection,203.63
250000006,105633,bupivacaine-EPINEPHrine (PF) 0.25 %-1:200 000 solution 10 mL Vial,41.82
250000006,105633,bupivacaine-EPINEPHrine (PF) 0.25 %-1:200 000 solution 30 mL Vial,39.8
250000006,105634,bupivacaine-EPINEPHrine (PF) 0.5 %-1:200 000 solution 30 mL Vial,37.78
250000006,105634,bupivacaine-EPINEPHrine (PF) 0.5 %-1:200 000 solution 10 mL Vial,38.18
250000006,105637,Inj mepivacaine HCL/10 ml,37.74
250000006,105638,Inj mepivacaine HCL/10 ml,38.56
250000006,105640,bupivacaine PF 0.5 % (5 mg/mL) solution 30 mL Vial,36.7
250000006,105640,bupivacaine PF 0.5 % (5 mg/mL) solution 10 mL Vial,37.18
250000006,105640,bupivacaine PF 0.5 % (5 mg/mL) solution 30 mL AMPUL,38.2
250000006,105644,Cabazitaxel injection,"24,878.06"
250000006,10571,Methylergonovin maleate inj,100.85
250000006,10573,Methylprednisolone oral,10.28
250000006,10575,Methylprednisolone oral,5.87
250000006,10576,Methylprednisolone oral,8.51
250000006,10577,Methylprednisolone injection,176.91
250000006,10578,Methylprednisolone injection,85.36
250000006,10579,Methylprednisolone injection,36.55
250000006,10581,Methylprednisolone injection,119.39
250000006,105899,Inj enoxaparin sodium,51.8
250000006,105900,Inj enoxaparin sodium,57.4
250000006,105901,Inj enoxaparin sodium,116.95
250000006,105902,Inj enoxaparin sodium,95.57
250000006,105903,Inj enoxaparin sodium,95.5
250000006,105904,Inj enoxaparin sodium,104.61
250000006,105940,Inj enoxaparin sodium,156.83
250000006,105970,Incobotulinumtoxin A,757.5
250000006,105971,Incobotulinumtoxin A,727.5
250000006,10608,Inj midazolam hydrochloride,81.38
250000006,106120,hexaminolevulinate 100 mg recon soln 1 each Vial,"3,112.50"
250000006,10630,Mitomycin injection,"1,318.13"
250000006,10631,Mitomycin injection,"2,188.50"
250000006,10632,Mitomycin injection,633.5
250000006,106348,Ondansetron hcl injection,37.17
250000006,106349,Ondansetron hcl injection,36.32
250000006,106761,AbobotulinumtoxinA,534.38
250000006,106773,Eribulin mesylate injection,"3,240.00"
250000006,106783,Fosaprepitant injection,905.75
250000006,106804,Denosumab injection,"5,598.87"
250000006,107664,Pegloticase injection,"51,482.40"
250000006,107671,Ceftaroline fosamil inj,483.24
250000006,107750,Gamunex-C/Gammaked,330.38
250000006,107752,Gamunex-C/Gammaked,"1,203.38"
250000006,107753,Gamunex-C/Gammaked,"2,581.75"
250000006,107754,Gamunex-C/Gammaked,"4,738.50"
250000006,107798,Baclofen intrathecal trial,310
250000006,107799,Baclofen 10 MG injection,545.75
250000006,107800,Baclofen 10 MG injection,"1,803.45"
250000006,108021,acetaminophen 1 000 mg/100 mL (10 mg/mL) solution 100 mL Vial,135.15
250000006,108027,Fondaparinux sodium,157.84
250000006,108028,Fondaparinux sodium,148.6
250000006,108029,Fondaparinux sodium,148.72
250000006,108030,Dalteparin sodium,103.77
250000006,108031,Dalteparin sodium,55.4
250000006,108032,Dalteparin sodium,68.1
250000006,108041,darbepoetin alfa-polysorbate 25 mcg/0.42 mL syringe 0.42 mL Syringe,312.4
250000006,108042,darbepoetin alfa-polysorbate 40 mcg/0.4 mL syringe 0.4 mL Syringe,447.96
250000006,108043,darbepoetin alfa-polysorbate 60 mcg/0.3 mL syringe 0.3 mL Syringe,609.44
250000006,108044,darbepoetin alfa-polysorbate 100 mcg/0.5 mL syringe 0.5 mL Syringe,932.39
250000006,108046,darbepoetin alfa-polysorbate 150 mcg/0.3 mL syringe 0.3 mL Syringe,"1,336.09"
250000006,108047,darbepoetin alfa-polysorbate 200 mcg/0.4 mL syringe 0.4 mL Syringe,"1,839.78"
250000006,108048,darbepoetin alfa-polysorbate 300 mcg/0.6 mL syringe 0.6 mL Syringe,"2,847.17"
250000006,108049,Penicillin g benzathine inj,492.16
250000006,108051,PenG benzathine/procaine inj,417.7
250000006,108060,palivizumab 50 mg/0.5 mL solution 0.5 mL Vial,"3,921.28"
250000006,108065,Bevacizumab injection,"2,442.35"
250000006,108072,Cetuximab injection,"3,280.75"
250000006,108073,Pralatrexate injection,"27,156.05"
250000006,108074,Inj filgrastim excl biosimil,671.9
250000006,108078,Inj  rimabotulinumtoxinB,789.13
250000006,108079,Inj  rimabotulinumtoxinB,789.13
250000006,108090,Hizentra injection,360.8
250000006,108091,Hizentra injection,603.15
250000006,108092,Hizentra injection,"1,081.30"
250000006,108096,Injection  Fulvestrant,"2,678.61"
250000006,108106,Paliperidone palmitate inj,"1,078.53"
250000006,108107,Paliperidone palmitate inj,"2,332.13"
250000006,108108,Paliperidone palmitate inj,"3,285.40"
250000006,108109,Paliperidone palmitate inj,"6,145.95"
250000006,108118,Levofloxacin injection,94.6
250000006,108119,Levofloxacin injection,86.55
250000006,108120,Levofloxacin injection,88.13
250000006,108121,Piperacillin/tazobactam,189.98
250000006,108130,Ciprofloxacin iv,81.3
250000006,108131,Amikacin sulfate injection,51.88
250000006,108132,Ciprofloxacin iv,82.7
250000006,108133,Amikacin sulfate injection,72.44
250000006,108136,clindamycin per 300 mg,48.09
250000006,108156,Baclofen 10 MG injection,"2,787.85"
250000006,108842,Belimumab injection,"1,501.38"
250000006,108843,Belimumab injection,"4,679.45"
250000006,10897,Penicillin g benzathine inj,325.55
250000006,10898,Penicillin g potassium inj,184.29
250000006,10899,Penicillin g potassium inj,185.75
250000006,10900,Penicillin g potassium inj,104.58
250000006,109034,caffeine citrate per 5 mg,57.64
250000006,10910,Pentostatin injection,"5,359.58"
250000006,10947,Phentolaine mesylate inj,"1,023.40"
250000006,11023,Vitamin k phytonadione inj,68.79
250000006,110257,amiodarone in dextrose (iso-osm) 150 mg/100 mL (1.5 mg/mL) solution 100 mL Bag,255.3
250000006,110258,amiodarone 1.8 mg/mL solution 200 mL Bag,289.75
250000006,110675,Belatacept injection,"2,522.60"
250000006,11074,Inj potassium chloride,90.75
250000006,11075,Inj potassium chloride,91.28
250000006,110751,Leuprolide acetate suspnsion,"2,017.13"
250000006,11077,Inj potassium chloride,84.28
