Px Code,Supply #,Description,Unit Price
250000009,35944,VOICE PROS RDS VOCAL 1ML,2812.5
270000043,61956,PRTCL EMB EMBS 40-120UMX2ML,1235
270000043,69738,BRA DRN ELZ VLCR FRNT CLS 5XL,153
270000043,87156,NDL IVAS STYLT BVL 11GA,425.7
271000116,222,SLV KND COMFRT M F LG,168.84
271000116,657,SYS CLY ANFG CLN,246
271000116,1821,SHLD FNG PSTN WVN,210
271000116,2433,DETERGENT ULTRA ENZYME,255.72
271000116,2759,FILT VRS SMK EVAC DL PRT,595.43
271000116,6354,PAD DEFIB ADULT RADIOTRANS,191.82
271000116,22762,CLS TR BAND REG 24,150.06
271000116,27446,CLS TR BAND LNG 29,150.06
271000116,28128,FILTER VAPOR-CLEAN,449.28
271000116,31691,FILT LSR GAS DISP,360
271000116,35633,BRSH CYTO THN BRSTL 2X6X115,169.62
271000116,40996,KT TSS CAN LPSCTN 500ML,1120
271000116,41600,KT CHEMO EMERGENCY SPILL,22.17
271000116,56920,CABLE 12FT TRANSDUCER FOR H-P,550
271000116,60431,KT SHOULDER STABILIZE SPIDER I,550
271000116,60983,BRA ELIZABETH 3XL PINK,153
271000116,61076,BRA XL PINK,153
271000116,61454,BRA SMALL PINK,153
271000116,61532,BRA XXL PINK,153
271000116,61671,BRA MEDIUM PINK,153
271000116,62465,SPLINT CONFORMABLE 4INX15FT RL,297.3
271000116,62821,SPLINT CONFORMABLE 3INX15FT RL,257.28
271000116,63175,THERAPY UNIT DONJOY ICEMAN,402.3
271000116,64470,DRL BIT MXV CANN 2.4,1900
271000116,64523,LEAD RST PERQ 4 ELCTRD SYS,6000
271000116,66399,BRA ELIZABETH 4XL PINK,153
271000116,66614,FILT NPT SMK EVAC 0.12 MCRN,12.64
271000116,67110,SHEETING SILI 4X6 .080,360
271000116,67410,CABLE OXIMETRY INTERCONNECTING,10000
271000116,67572,BACKPACK VOYAGER,323.4
271000116,68118,AIRHOSE NON-INVASIVE BP ADULT,326.4
271000116,68226,SLV ARTERIAL THIGH,160.2
271000116,68537,BRA LARGE PINK,153
271000116,69874,FILT VRS SMK EVAC REPL,715.55
271000116,70220,SENSOR O2 MSA MINOX,495
271000116,70482,HLDR PSTN ARTH,174
271000116,70737,CASSETTE SONY DVCAM PDV 184N,285
271000116,71036,AIRWAY CATH EXCHANGE 14X100,314.46
271000116,86650,STOPCOCK METAL 3 WAY,551.38
271000116,88550,PAD DEFIB RADIOLUC PRO PADZ,214.5
271000116,90856,DRL BIT DVR 2.2,426.53
271000116,90857,DRL BIT DVR 2.9,426.53
271000116,92235,SLV SCD NYL M F LG,232.98
271000116,93249,DRL BIT MXV PRO CANN 3.4,1900
271000116,101976,KT COMM HNDST MYPTM,2601
271000116,555097,FILT RPD SMK EVAC ADPT 3PRT,1341.9
271000126,3568,VAC THERAPY 7 DAY,2606.4
271000126,25939,KT PRV WND DRSG NEG 20,1980
272000003,63649,INS TIB VNG SSK SZ-63-67 12,5541
272000003,64123,INS TIB NXG 5-6X10,1750
272000003,64304,INS TIB VNG SSK SZ-63-67 20,5541
272000003,65172,INS TIB NXG 10X42X66,1750
272000003,66618,INS TIB SZ-B ROT 14,5706.92
272000003,67333,INS TIB VNG SSK SZ-71-75 20,5541
272000003,68551,INS TIB VNG SSK SZ-63-67 16,5541
272000003,70090,INS TIB VNG SSK SZ-71-75 16,5541
272000003,70315,INS TIB VNG SSK SZ-71-75 18,5541
272000003,70624,INS TIB VNG SSK SZ-63-67 10,5541
272000234,9554,SHEATH FLEXOR ANSEL 7F 2.5X70,120.9
272000234,62746,SET GJ SHETTY 14FRX63CM,650.84
272000379,109,BUR RND FLUT 3,306
272000379,110,DRSG AQC AG SURG ADH 3.5X9.75,176.46
272000379,152,SUT PSR STR ELB BNNA 45D,715
272000379,156,BUR MDS DISCT FLUT 9X3,358.38
272000379,176,NRV STM PRBE VRS EXT,248.16
272000379,177,TROC VRS DIL EXP SLV 12X100,269.88
272000379,179,TB TRACH NMT ORAL 8X10.7,1517
272000379,183,SUT GD GABBAY FRATER,485.82
272000379,184,STPL ENDO GIA STR 45X4.8,462
272000379,189,TROC KF Z THRD 12X150,21
272000379,192,STPLR TA 90X3.5,430.65
272000379,194,TOOL CRUCIAL GORE SMO 9.5MM,1462.5
