Px Code,Supply #,Description,Unit Price
250000009,35944,VOICE PROS RDS VOCAL 1ML,2812.5
270000043,83222,GLOVE LINER ORTH CUT RESIST MD,155.88
270000043,83282,KT DBS VRC REM CTRL PT,2700
270000043,83913,SYS DBS VRC CHRG PT,7200
271000116,148,STRP GHL ANKL RESTRNT DSTRCT,223.26
271000116,657,SYS CLY ANFG CLN,246
271000116,670,STPLR SCRSTP TI 5,2594.79
271000116,1653,BLWR AXS MSTR CMPLT C02 16.5,330
271000116,1821,SHLD FNG PSTN WVN,210
271000116,22762,CLS TR BAND REG 24,150.06
271000116,27446,CLS TR BAND LNG 29,150.06
271000116,31691,FILT LSR GAS DISP,360
271000116,40906,BLN CVFX BRCHTX TRDCR 2X14,192
271000116,40921,BRA MASTECTOMY LG,222
271000116,40939,BRA MASTECTOMY MD,210
271000116,40969,BRA MASTECTOMY 2XL,222
271000116,40984,BRA MASTECTOMY XL,222
271000116,60431,KT SHOULDER STABILIZE SPIDER I,550
271000116,60486,GIRDLE ZIP ABOVE KNEE WHT 4XL,442.59
271000116,60518,GIRDLE ZIP ABOVE KNEE WHT 3XL,744.98
271000116,60734,GIRDLE ZIP BELOW KNEE WHT MD,395.82
271000116,60983,BRA ELIZABETH 3XL PINK,153
271000116,61076,BRA XL PINK,153
271000116,61166,GIRDLE ZIP ABOVE KNEE WHT 2XL,422.82
271000116,61314,GIRDLE ZIP ABOVE KNEE WHT LG,381
271000116,61444,GIRDLE ZIP ABOVE KNEE WHT MD,381
271000116,61454,BRA SMALL PINK,153
271000116,61520,GIRDLE ZIP ABOVE KNEE WHT XL,362.82
271000116,61532,BRA XXL PINK,153
271000116,61560,SPLINT NASAL 3X3 THERMOPLASTIC,169.14
271000116,61671,BRA MEDIUM PINK,153
271000116,61766,CUSH RK HI DENSITY RNG,492.25
271000116,64523,LEAD RST PERQ 4 ELCTRD SYS,6000
271000116,68537,BRA LARGE PINK,153
271000116,73006,FILT ELECSURG HEPA LG,500.23
271000116,75277,LASER CO2,2025
271000116,75946,PRBE LSR 22X58,3374.91
271000116,77273,WRE CLN ASN 1.4,24
271000116,88857,CAN SUCT HI-FLOW LCK LID 800ML,3.86
271000116,89250,WDG PSTN BODY ALIGNER 6X17X19,21.22
272000003,63649,INS TIB VNG SSK SZ-63-67 12,5541
272000003,64304,INS TIB VNG SSK SZ-63-67 20,5541
272000003,67333,INS TIB VNG SSK SZ-71-75 20,5541
272000003,68551,INS TIB VNG SSK SZ-63-67 16,5541
272000003,70090,INS TIB VNG SSK SZ-71-75 16,5541
272000003,70315,INS TIB VNG SSK SZ-71-75 18,5541
272000003,70624,INS TIB VNG SSK SZ-63-67 10,5541
272000379,102,TISS CLSR DRS SPRAY 5,2810.7
272000379,110,DRSG AQC AG SURG ADH 3.5X9.75,176.46
272000379,112,SLR LAPSC DIV 10X20,1753.7
272000379,114,NRV STM PRBE NMR EXT,864.44
272000379,126,STPLR ENDO GIA ROT 30X3.5,672.98
272000379,143,BLA SYS SW SAG 30.5X6.5X1.02,156.6
272000379,152,SUT PSR STR ELB BNNA 45D,715
272000379,156,BUR MDS DISCT FLUT 9X3,358.38
272000379,170,RTRC ALX ATR XL,324
272000379,176,NRV STM PRBE VRS EXT,248.16
272000379,192,STPLR TA 90X3.5,437.09
272000379,194,TOOL CRUCIAL GORE SMO 9.5MM,1462.5
272000379,200,CRR DRM SKN GRFT 1.5:1,215.1
272000379,212,SUT PSR QCK SHLDR LT 25D,880
272000379,279,DRILL PIN AND GRAFT PASS WIRE,836
272000379,292,DRL BIT STR SS 1/8X4,569.25
272000379,307,SPNG HMST SRG FIBRLR ABS 1X2,390.18
272000379,324,VALVE PRESS MTP PUSH BUTTON,178.08
272000379,338,STPLR ROT 55X4.8,975.04
272000379,349,STPL GIA RLD 100X3.8,534.99
272000379,359,PROTCT ORTH FT STMP,1345
272000379,365,TB TRACH PVC SHILEY 6X11X95,364.86
272000379,372,DV S/SI DRP CAM ARM 11X8.5X10,246.96
272000379,380,SUT FBRLP SZ 15,300
272000379,394,TRKR AXM PT ENT NON INV,559.08
272000379,411,SHR ACE ELECSURG CVD 5X36,1385.65
272000379,418,DEV ALL DIL INFLAT 60ML,1935.99
272000379,422,DRL BIT SS QC LG 3.2X145,335.34
272000379,443,DV S/SI DRP CAM HD 11X8.5X10IN,241.08
272000379,451,CTR PSH MNS KNOT MNSCL SZ:2-0,687.5
272000379,462,TROC BLN 10,816.42
272000379,477,TB TRACH SHILEY 6.4X10.4X76,233.94
272000379,501,BG INZ ENDO SP RET LAPSC 5,240
272000379,503,STPLR PRSTR 65,373.74
272000379,509,SLV STR PSTN VELCR,550
272000379,515,SLR LAPSC DIV 37X10,1753.7
