CDM Description,CDM Price,,,The information contained in this file is being provided in compliance with the Centers for Medicare and Medicaid Services (CMS) requirement [FY 2019 IPPS/LTCH PPS Final Rule; CMS-1694-F] ,
AA CLINIMIX 5/15 1000 ML,$535.00 ,,,for hospitals to post a list of their standard charges online in a machine-readable format.,
AA CLINIMIX 5/15 2000ML,$535.00 ,,,DRG charge information as described by CMS in a recent update to price transparency FAQs is being calculated and will be posted as soon as it is available.  ,
AA CLINIMIX 5/20 1000 ML,$535.00 ,,,1,The information contained in the file is current as of the last upload. Charge information is subject to periodic changes and the file will be updated as soon as practically possible to reflect such changes
AA CLINIMIX 5/20 2000ML,$535.00 ,,,,
AA CLINIMIX-E 4.25/5 2000ML,$535.00 ,,,2,The file contains both the charge amount and the charge description of the item or service as reflected in the hospital's chargemaster (CDM)
AA CLINIMIX-E 5/15 1000ML,$535.00 ,,,,
AA CLINIMIX-E 5/15 2000ML,$535.00 ,,,3,A charge represents the dollar amount assigned to specific medical services before application of any negotiated discounts to third-party payers. 
AA CLINIMIX-E 5/20 1000ML,$535.00 ,,,,"The actual hospital charges will vary based on the type of care provided, treatments, individual health conditions and other factors.  "
AA CLINIMIX-E 5/20 2000ML,$535.00 ,,,,"If you need an exact estimate of your out-of-pocket cost, please call or submit a request online as described elsewhere on this website. "
AA PREMASOL 10% 500ML,$136.00 ,,,,"PLEASE NOTE THESE CHARGES DO NOT INCLUDE FEES FROM YOUR SURGEON, ANESTHESIOLOGIST OR OTHER PROFESSIONAL SERVICES BILLED BY THE PHYSICIAN AND OTHER PROFESSIONAL PROVIDERS. "
AA TRAVASOL 10% 2000ML,$121.00 ,,,,"Typically, you will be billed separately for these professional services"
ABCIXIMAB VL 10MG,"$1,050.00 ",,,,
ACAMPROSATE TAB 333MG,$1.55 ,,,4,"Following the CMS guidelines, the information in this file represents the hospitals current standard charges as reflected in the CDM. "
ACARBOSE TAB 25MG,$1.40 ,,,,"However, it is important to understand that the information represented in the CDM is the starting point in many cases and can undergo additional adjustments through the billing process, therefore, please be aware:"
ACETAMIN CAP 500MG,$1.05 ,,,,
ACETAMIN ELX 160MG/5ML 0.94ML,$15.00 ,,,5,The charge shown is the original charge for the item or service prior to any adjustments that result from applying modifiers in certain situations
ACETAMIN ELX 160MG/5ML 1.25ML,$15.00 ,,,,
ACETAMIN ELX 160MG/5ML 1.88ML,$15.00 ,,,6,The CDM is used in multiple hospital departments and may have different charges for the same item or service and such instances will repeat in the file. 
ACETAMIN ELX 160MG/5ML 10.15ML,$1.40 ,,,,"For a single chargemaster item, the charge is consistent; however, there may be slight variation in charges for services with similar descriptions for various reasons "
ACETAMIN ELX 160MG/5ML 20ML,$1.90 ,,, ,
ACETAMIN ELX 160MG/5ML 30ML,$1.00 ,,,7,"Charges for certain items or services are based on per unit, such as – including but not limited to – surgeries, anesthesia, and recovery which can be based on the unit of time and complexity; "
