MidMichigan Medical Center-Midland,
"Updated:  April 1, 2019",
,
Charge Description,Standard Charge
" ROOM CHARGE, PRIVATE",1585
" ROOM CHARGE, NEURO STEPDOWN",2240
" ROOM CHARGE, SURGICAL STEPDOWN",2240
" ROOM CHARGE, MEDICAL STEPDOWN",2240
" ROOM CHARGE, OBSTETRICS PRIVATE",1585
" ROOM CHARGE, PSYCHIATRIC PRIVATE",1300
" ROOM CHARGE, SEMI-PRIVATE",1585
" ROOM CHARGE, PEDIATRIC SEMI-PRIVATE",1585
" ROOM CHARGE, PSYCHIATRIC SEMI-PRIVATE",1300
" ROOM CHARGE, ED",1347
" ROOM CHARGE, NURSERY, LEVEL 1",801
" ROOM CHARGE, NURSERY, LEVEL 2",1136
" ROOM CHARGE, NURSERY, LEVEL 3",1498
" ROOM CHARGE, INTENSIVE CARE UNIT, LEVEL 1",2240
" ROOM CHARGE, INTENSIVE CARE UNIT, LEVEL 1 (MIDLAND)",2240
" ROOM CHARGE, INTENSIVE CARE UNIT, LEVEL 2",3662
" ROOM CHARGE, INTENSIVE CARE UNIT, LEVEL 2 (MIDLAND)",3662
" ROOM CHARGE, INTENSIVE CARE UNIT, LEVEL 3",4973
" ROOM CHARGE, INTENSIVE CARE UNIT, LEVEL 3 (MIDLAND)",4973
" ROOM CHARGE, PROGRESSIVE CARE UNIT",2240
" ROOM CHARGE, PROGRESSIVE CARE UNIT (MIDLAND)",2240
 NEONATAL RESUSCITATION 1ST 5 MINUTES,179
 NEONATAL RESUSCITATION 5 MIN INCREMENTS,179
 APPLY ON-BODY INJECTOR,96
 IV HYDRATION INITIAL HOUR,300
 IV HYDRATION EACH ADDTL HOUR,147
 IV INFUSION INITIAL HOUR,328
 IV INFUSION EACH ADDTL HOUR,147
 IV INFUSION ADDTL SEQ 1ST HR,191
 IV INFUSION CONCURRENT,117
 INJECTION INTRAMUSCULAR OR SUBCUTANEOUS,96
 IV PUSH SINGLE/INITIAL DRUG,142
 IV PUSH EACH ADDTL SEQ NEW DRUG,147
 IV PUSH EACH ADDTL SEQ SAME DRUG,147
 PORT FLUSH/IMPLANTED VAD IRRIGATION,131
 PROCESSING CS-LEVEL 1,81
 PROCESSING CS-LEVEL 2,165
 PROCESSING CS-LEVEL 3,323
 PROCESSING CS-LEVEL 4,488
 PROCESSING CS-LEVEL 5,650
 PROCESSING CS-LEVEL 6,979
 ANESTHESIA SUPPLIES,204
 FETAL MONITOR INTERNAL,435
 ULTRASOUND/SONOSITE,207
 CEREBRAL OXIMETER/INVOS OX,151
 COVADERM DRESSING,6
 SHORT ARM CAST,121
 LONG ARM CAST,177
 LONG LEG CAST,249
 SHORT LEG CAST,249
 CAST/SPLINT,122
 SPICA HIP CAST,464
 INCENTIVE SPIROMETER INITIAL,122
 HUBER NEEDLE,29
 PURAPLY PER SQ CM,433
 PRIMATRIX PER SQ CM,183
 HDR IRIDIUM SOURCE,361
 CATHETER/COUPLING,415
 CATH ANCHORING PICC,27
" TOURNIQUET, DISPOSABLE, ED",67
 SHOULDER ORTHOSIS PREFAB,168
 ELBOW ORTHOTIC WO JOINTS,320
 EWHO WITHOUT JOINTS,829
 EWHO W JOINT/BAND/TURNBCK,869
 EWHFO WITHOUT JOINTS,1420
 EWHFO W JOINT/BAND/TURNBK,1505
 WHFO W JOINT/BAND/TURNBKL,504
 RCAI SPL-PREFAB,149
 WHFO WITHOUT JOINTS,394
 WHO W JOINT/BAND/TURNBCKL,1100
 WHO WITHOUT JOINTS,562
 HFO WITHOUT JOINTS,300
 HAND ORTHOTIC WO JOINTS,300
 HFO W JOINT/BAND/TURNBCKL,356
 FINGER ORTHOTIC WO JOINTS,236
 FO W JOINT/BAND/TURNBCKL,246
 SAFETY PIN MOD SPRINGWIRE,71
 SAFETY PIN SPRG WIRE SPLT,71
 CERVICAL COLLAR SOFT,90
" CERVICAL COLLAR, PLASTIC",165
 KNEE IMMOBILIZER,220
 ANKLE STIRRUP,100
" WALKING BOOT, DARBY",52
 SHOULDER IMMOBILIZER,85
 WRIST COCK-UP SPLINT,90
 WRIST BRACE W THUMB,116
 AIR SPLINT - ANKLE,157
 CORD BLOOD TO HOLD,0
 ANA PATTERN,0
 RENAL - MISC CYTOLOGY,723
" LEAD, TO MDCH",0
 TRAVEL ONE WAY LESS THAN 20 MILES,12
 CATH FOR URINE SPECIMEN,78
 ROUTINE VENIPUNCTURE,13
 BLOOD DRAW FEE CAPILLARY,16
 BLOOD DRAW IMPLANTED VENOUS DEVICE,137
 BLOOD DRAW CENTRAL/PICC LINE,137
 BLOOD GAS DRAW,111
" HANDLING CHARGE SPECIMEN PATIENT, EXCEPT IN OFFICE, TO LAB",70
" HANDLING CHARGE SPECIMEN PATIENT, NOT IN OFFICE, TO LAB",98
 PSA PROS SPEC ANG SCREEN,118
 DRUG TEST PRESUMPTIVE OPTICAL INSTRUMENT,162
 DRUG SCREEN QUANTALCOHOLS,112
 NICOTINE SCREEN,63
 ANALGESICS NON OPIOID 1/2,90
 PLASMA VOLUME MULTIPLE,0
 METABOLIC PANEL IONIZED CALCIUM,345
 METABOLIC PANEL TOTAL CALCIUM,112
 ELECTROLYTE PANEL,70
 COMPREHENSIVE METABOLIC PANEL,144
 LIPID PANEL,116
 RENAL FUNCTION PANEL,118
 LIVER FUNCTION PANEL,70
 CARBAMAZEPINE (TEGRETOL),220
 DIGOXIN SERUM,134
 VALPROIC ACID (DEPAKENE),193
 EVEROLIMUS DRUG ASSAY,260
 GENTAMICIN,220
 LITHIUM,59
 PHENOBARBITOL,96
 PHENYTOIN (DILANTIN) TOTAL,96
 TACROLIMUS,220
 THEOPHYLLINE,163
 TOBRAMYCIN,220
 VANCOMYCIN,112
 URINANALYSIS VOLUME MEASUREMENT EACH,13
" KETONES, ACETONE",68
 ALBUMIN SERUM,46
 ALBUMIN FLUID,46
" ALBUMIN, URINE",112
 AMMONIA,136
 AMNIOCENTESIS,84
 AMYLASE,59
 AMYLASE BODY FLUID,59
 BILIRUBIN TOTAL,46
 BILIRUBIN DIRECT,46
 VITAMIN D 25 HYDROXY,105
 CALCIUM LEVEL,46
" CALCIUM, IONIZED",47
 CALCIUM QUANT URINE,46
 CARBON DIOXIDE,34
 CARBOXYHEMOGLOBIN QUANTITATIVE,165
 CEA CARCINOEMBRYONIC,171
 CHLORIDE BLOOD,46
 CHOLESTEROL,46
 CHOLINESTERASE SERUM,52
 CORTISOL TOTAL,149
 CPK TOTAL,59
 CREATININE BLOOD,46
 CREATININE URINE,59
 CREATININE CLEARANCE,133
 VITAMIN B12,147
 DIBUCAINE NUMBER,45
 FERRITIN,100
 FETAL FIBRONECTIN,743
 FOLIC ACID,147
 ASSAY IGA IGD IGG IGM EA,87
 BLOOD GAS PH ONLY,91
 BLOOD GASES,275
 BLOOD GAS ANALYSIS,345
 GLUCOSE BODY FLUID,46
 GLUCOSE,46
 GLUCOSE TOLERANCE FASTING,0
 REAGENT STRIP BLOOD GLUCOSE,11
 GLUCOSE TEST,46
 GLUCOSE 2 HOUR POST GLUCOLA,46
 GLUCOSE TOLERANCE 1-3 SPECIMEN,145
 GLUCOSE TOLERANCE EACH ADDITIONAL BEYOND 3 SPC,46
 BLOOD GLUCOSE CHECK,39
 GLUCOSE TEST SUPPLY,5
 GAMMA GLUTAMYLTRANSFERASE,59
 FSH GONADOTROPIN,135
 LH LEUTENIZING HORMONE,114
" HAPTOGLOBIN, QUANTITATIVE",131
 HEMOGLOBIN A1C,129
 METHEMOGLOBIN,59
 HOMOCYSTEINE,73
 INSULIN BLOOD,45
 IRON TOTAL,82
 IRON BINDING CAPACITY,82
 LACTIC ACID,98
 LACTATE DEHYDROGENASE,59
 LIPASE,59
 HDL CHOLESTEROL,46
" BLOOD LIPOPROTEIN, LDL CHOLESTEROL",74
 MAGNESIUM,59
 MYOGLOBIN,96
 NATRIURETIC PEPTIDE,115
 NEPHLEOMETRY EA ANALYTE,87
 OLIGOCLONAL BANDS,198
 OSMOLALITY SERUM,72
 OSMOLALITY URINE,72
 OSTEOCALCIN,94
 PARATHYROID HORMONE INTACT,83
 PROSTATIC ACID PHOS,72
 ALKALINE PHOSPHATASE,59
 PHOSPHOROUS INORGANIC,46
 PHOSPHORUS URINE TIMED,98
 EVAL AMNIOTIC FLUID PROTEIN,139
" POTASSIUM, SERUM, PLASMA, OR WHOLE BLOOD",46
 POTASSIUM URINE 24 HOUR,46
 POTASSIUM RANDOM URINE,46
 POTASSIUM URINE BODY FLUID,80
 PREALBUMIN,26
 PROCALCITONIN (PCT),116
 PROLACTIN,243
 PROSTATE SPECIFIC ANTIGEN (PSA) TOTAL,118
 PSA FREE,71
" PROTEIN TOTAL, SERUM, PLASMA, WHOLE BLOOD",46
 PROTEIN TOTAL URINE,59
" PROTEIN, TOTAL BODY FLUID",59
 PROTEIN ELECTROPHORESIS SERUM,140
 PROTEIN ELECTROPHORESIS URINE CSF,146
 PYRUVATE,49
 SEX HORMONE BINDING GLOBULIN,66
" SODIUM, SERUM, PLASMA, OR WHOLE BLOOD",46
 SODIUM URINE,46
 SWEAT SODIUM,46
 TESTOSTERONE TOTAL,92
 THYROXIN TOTAL,149
 FREE THYROXINE,70
 THYROID STIM HORMONE,74
 TRH TSH 60 MIN SPECIMEN,133
 TRH TSH 30 MIN SPECIMEN,133
" TRANSFERASE, ASPARTATE AMINO (AST) (SGOT)",59
 TRANSFERASE ALANINE AMINO,59
 TRIGLYCERIDES,46
 TOTAL T3 (TRIIODOTHYRONINE),243
 FREE T3 (TRIIODOTHYRONINE),77
 TROPONIN QUANTITATIVE,140
 UREA NITROGEN,46
 UREA NITROGEN URINE,98
 UREA NITROGEN CLEARANCE,133
" URIC ACID, BLOOD",46
 URIC ACID,98
" GONADOTROPIN, CHORIONIC (G) QUANT",112
 POTASSIUM BODY FLUID,82
 BLOOD VISCOSITY EXAMINATION,98
 HIGH SENSITIVITY C-REACTIVE PROTEIN,85
 CA 27.29,66
 CA 15-3,47
 CA 19-9,65
 CA-125,121
 IMMUNOFIXATION ELECTROPHORESIS SERUM,383
" IMMUNOFIXATION ELECTROPHORSIS OTHER FLUIDS CONCENTRATION (URINE, CSF)",165
 HIV-1/HIV-2 1 RESULT ANTIBODY,65
 HIV-1 AB,65
 HEPATITIS B CORE ANTIBODY; TOTAL,59
 HEPATITIS B SURFACE ANTIBODY,46
 HEPATITIS A ANTIBODY,63
 HEPATITIS C ANTIBODY,89
 HEPATITIS B SURFACE ANTIGEN IA,43
 BILIRUBIN TRANSCUTANEOUS,15
" DIFFERENTIAL CELL COUNT, MISC BODY FLUID EXCEPT BLOOD",52
 PREGNANCY TEST URINE,74
" GONADOTROPIN, CHORIONIC (G) QUALT",74
 ANTI-NUCLEAR ANTIBODY,102
 ANTI-NUCLEAR ANTIBODY TITER,70
 ANTI-STREPTOLYSIN O TITER,27
 ANTI-STREPTOLYSIN O TITER,27
 C-REACTIVE PROTEIN,59
 COLD AGGLUTION TITER,70
 ANTIBODY CYCLIC CITRULLINATED PEPTIDE,47
" DNA ANTIBODY, NATIVE OR DOUBLE STRAND",140
 NEUTROPHIL SPECIFIC AB,50
 FLUORESCENT ANTIBODY TITER EACH,0
 ANTIMITROCHON TITER,48
 HTEROPHILE ANTIBODY SCREEN (MONO TEST),33
 MICROSOMAL ANTIBODIES EACH,40
 PARTICLE AGGLUTINATION ANTIBODY SCREEN EACH,63
 RHEUMATOID FACTOR TEST QUALITATIVE,33
 RHEUMATOID FACTOR QUANT,33
" SYPHILIS TEST NON-TREPONEMAL ANTIBODY, QUALITATIVE",58
 HELICOBACTER PYLORI ANTIBODY,131
 HEPATITIS B CORE ANTIBODY IGM,45
 HEPATITIS A ANTIBODY IGM,43
" LEGIONELLA PNEUMOPHILA AB, S",21
 MYCOPLASMA RAPID IGM ASSAY,115
 THYROGLOBULIN ANTIBODY SCREEN,46
 RBC ANTIBODY SCREEN EACH SERUM TECHNIQUE,46
 RBC ANTIBODY ELUTION,71
 ANTIBODY IDENTIFICATION EACH,194
 ANTIHUMAN GLOBULIN TEST COOMBS-DIRECT EACH ANTISERUM,46
 ANTIHUMAN GLOBULIN COOMBS TEST INDIRECT TITER,109
 CELL SAVER AUTOLOGOUS BLD,2447
 BLOOD TYPING  SEROLOGIC ABO,40
 BLOOD TYPING RH D,40
 BLOOD TYPE ANTIGEN DONOR EACH,45
 BLOOD TYPE-RBC ANTIGENS NO ABO OR RHD,77
 COMPATIBILITY ANTIGLOBULIN EACH UNIT,100
 ELECTRONIC COMPATIBTY TST,148
 INFLUENZA B ANTIGEN IMMUNOFLUORESCENT,42
 INFLUENZA A ANTIGEN IMMUNOFLUORESCENT,42
 INFECTIOUS AGENT DETECTION BY EIA TOXIN,62
 GIARDIA ANTIGEN,74
 STREP ANTIGEN-GROUP A,71
 INFECTIOUS AGENT DETECTION BY EIA ANTIGEN,62
 HPV HIGH RISK TYPES,153
 STREPTOCOCCUS GROUP B AMPLIFIED PROBE TECHNIQUE DNA OR RNA,135
 RSV INFECTIOUS AGENT ANTIGEN DETECTION BY IA WITH DIRECT OPTICAL OBSERVATION,226
 TRICHOMONAS VAGINALIS ASSAY WITH DIRECT OPTICAL OBSERVATION,77
 AGENT WITH DIRECT OBSERVATION NOT OTHERWISE SPECIFIED,160
" COLORECTAL CANCER SCREENING, FECAL OCCULT BLOOD, IMMUNO, 1-3 SIMULTANEOUS",59
 OCCULT BLOOD OTHER SOURCES,26
" BLOOD FECAL, OCCULT, 1-3 SIMULTANEOUS DETERMINATIONS",59
 FECAL FAT,91
 PH STOOL,21
