,MidMichigan Medical Center-Alpena,
,"Updated:  April 17, 2019",
,,AVERAGE
MS-DRG,MS-DRG Description,CHARGE
001,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,No Cases
002,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,No Cases
003,"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",No Cases
004,"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",No Cases
005,LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,No Cases
006,LIVER TRANSPLANT W/O MCC,No Cases
007,LUNG TRANSPLANT,No Cases
008,SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,No Cases
010,PANCREAS TRANSPLANT,No Cases
011,"TRACHEOSTOMY FOR FACE, MOUTH & NECK DIAGNOSES OR LARYNGECTOMY W MCC",No Cases
012,"TRACHEOSTOMY FOR FACE, MOUTH & NECK DIAGNOSES OR LARYNGECTOMY W CC",No Cases
013,"TRACHEOSTOMY FOR FACE, MOUTH & NECK DIAGNOSES OR LARYNGECTOMY W/O CC/MCC",No Cases
014,ALLOGENEIC BONE MARROW TRANSPLANT,No Cases
016,AUTOLOGOUS BONE MARROW TRANSPLANT  W CC/MCC OR T-CELL IMMUNOTHERAPY,No Cases
017,AUTOLOGOUS BONE MARROW TRANSPLANT W/O CC/MCC,No Cases
020,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,No Cases
021,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC,No Cases
022,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W/O CC/MCC,No Cases
023,CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PDX W MCC OR CHEMOTHERAPY IMPLANT OR EPILEPSY W NEUROSTIMULATOR,No Cases
024,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC,No Cases
025,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,No Cases
026,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,No Cases
027,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,No Cases
028,SPINAL PROCEDURES W MCC,No Cases
029,SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,No Cases
030,SPINAL PROCEDURES W/O CC/MCC,No Cases
031,VENTRICULAR SHUNT PROCEDURES W MCC,No Cases
032,VENTRICULAR SHUNT PROCEDURES W CC,No Cases
033,VENTRICULAR SHUNT PROCEDURES W/O CC/MCC,No Cases
034,CAROTID ARTERY STENT PROCEDURE W MCC,No Cases
035,CAROTID ARTERY STENT PROCEDURE W CC,No Cases
036,CAROTID ARTERY STENT PROCEDURE W/O CC/MCC,No Cases
037,EXTRACRANIAL PROCEDURES W MCC,42922
038,EXTRACRANIAL PROCEDURES W CC,22380.2
039,EXTRACRANIAL PROCEDURES W/O CC/MCC,18426.66667
040,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC,No Cases
041,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM,No Cases
042,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC,No Cases
052,SPINAL DISORDERS & INJURIES W CC/MCC,14113
053,SPINAL DISORDERS & INJURIES W/O CC/MCC,15328
054,NERVOUS SYSTEM NEOPLASMS W MCC,No Cases
055,NERVOUS SYSTEM NEOPLASMS W/O MCC,20610.66667
056,DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,33043.6
057,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,32550.89831
058,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W MCC,No Cases
059,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC,31466
060,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC,No Cases
061,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W MCC",45467
062,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W CC",44431.66667
