Roper St. Francis Healthcare Hospital Facilities,,
2019 Standard Charges,,
,,
ITEM,DESCRIPTION,CHARGE
1344, Dextrose 5% in Lactated Ringers with KCl 20 mEq/L Sol 1000 mL,$50.90 
48020,02 SAT TREND W/PRT CONT (CHG/8HR),$282.00 
20462,1 DECAL PROC EA,$66.00 
20800,1 DECAL PROC EA PBE,$66.00 
37538,3-D RADIOTHERAPY PLAN,"$4,838.00 "
25320,AAT ALPHA-1-ANTITRYPSIN - PPL,$179.00 
5180,abacavir 20 mg/mL Oral Soln 240 mL,$47.15 
3286,abacavir 300 mg Tab,$47.80 
4452,abacavir-lamivudine-zidovudine 300 mg-150 mg-300 mg Tab,$137.75 
4846,abatacept 250 mg IV Inj,"$3,550.70 "
1529,abciximab 2 mg/mL IV Soln 5 mL,"$23,899.15 "
27002,ABO BLOOD TYPING - P,$111.00 
4705,acamprosate 333 mg DR Tab,$5.25 
5,acarbose 50 mg Tab,$2.65 
78178,ACCLARENT AERA BALLOON DILAT SYS,"$6,030.00 "
2,acebutolol 200 mg Cap,$2.65 
5273,acebutolol 400 mg Cap,$2.65 
21004,ACETAMINOPHEN (TYLENOL) BK,$396.00 
426,acetaminophen 120 mg Rectal Supp,$0.20 
3074,acetaminophen 160 mg/5 mL Oral Liquid 20.3 mL,$1.45 
1531,acetaminophen 160 mg/5 mL Oral Susp 5 mL,$1.05 
427,acetaminophen 325 mg Rectal Supp,$0.50 
468,acetaminophen 325 mg Tab,$0.15 
6320,acetaminophen 500 mg Cap,$0.15 
8,acetaminophen 500 mg Tab,$0.15 
19,acetaminophen 650 mg Rectal Supp,$0.20 
469,acetaminophen 80 mg Chew Tab,$0.15 
10,acetaminophen 80 mg/0.8 mL Oral Liquid 15 mL,$2.55 
24,acetaminophen/butalbital/caffeine 325 mg-50 mg-40 mg Tab,$2.65 
303,acetaminophen/dichloralphenazone/isometheptene 325 mg-100 mg-65 mg Cap,$19.60 
2394,acetaminophen-codeine 120 mg-12 mg/5 mL Oral Liquid 5 mL,$5.25 
3421,acetaminophen-codeine 300 mg-30 mg Tab,$4.80 
5673,acetaminophen-HYDROcodone 325 mg-10 mg Tab,$4.80 
5672,acetaminophen-HYDROcodone 325 mg-5 mg Tab,$4.80 
5641,acetaminophen-HYDROcodone 325 mg-7.5 mg Tab,$4.80 
6007,acetaminophen-HYDROcodone 325 mg-7.5 mg/15 mL Oral Soln 15 mL,$14.90 
4787,acetaminophen-oxyCODONE 325 mg-10 mg Tab,$9.30 
1044,acetaminophen-oxyCODONE 325 mg-5 mg Tab,$4.80 
5558,acetaminophen-oxyCODONE 325 mg-7.5 mg Tab,$5.15 
4742,acetaminophen-traMADol 325 mg-37.5 mg Tab,$4.80 
27,acetaZOLAMIDE 250 mg Tab,$10.90 
26,acetaZOLAMIDE 500 mg ER Cap,$46.55 
2759,acetaZOLAMIDE 500 mg Inj,$100.85 
3282,acetic acid 0.25% Irrigation Soln 1000 mL,$50.90 
2285,acetic acid 2% Otic Soln 15 mL,$110.05 
472,acetohydroxamic acid 250 mg Tab,$9.15 
1534,acetylcholine 1% Intraocular Recon Powder,$365.05 
28054,ACETYLCHOLINE RECEPTOR BINDING AB,$209.00 
29763,ACETYLCHOLINE RECEPTOR BLCKNG AB,$233.00 
5879,acetylcysteine 10% Inh Soln 10 mL,$8.80 
2312,acetylcysteine 10% Inh Soln 30 mL,$77.70 
1535,acetylcysteine 10% Inh Soln 4 mL,$50.30 
2311,acetylcysteine 20% Inh Soln 30 mL,$58.45 
4288,acetylcysteine 20% Inh Soln 4 mL,$27.65 
4696,acetylcysteine 20% IV Soln 30 mL,$362.55 
21720,ACHR (ACETYL RECEPTOR) MOD AB,$138.00 
21926,ACINETOBACTER BAUMANNII - BCID,$84.00 
23004,ACT (ACTIVATED CLOTTING TIME),$123.00 
28016,ACTH(ADRENOCORTICOTROPIC HORMONE),$179.00 
48054,ACTIGRAPHY TEST 72 HRS-14 DAYS,$227.00 
20184,ACTIVATED PROTEIN C RESISTANCE,$83.00 
44262,ACUTE ADT/TRN NON-SPCH DEV 15 MIN,$247.00 
44264,ACUTE ADT/TRN NON-SPCH DEV 30 MIN,$354.00 
44266,ACUTE ADT/TRN NON-SPCH DEV 45 MIN,$518.00 
44268,ACUTE ADT/TRN NON-SPCH DEV 60 MIN,$657.00 
44228,ACUTE APHASIA EVAL 60 MIN,$479.00 
44128,ACUTE DYSPHAGIA EVAL 30 MIN,$293.00 
44130,ACUTE DYSPHAGIA EVAL 45 MIN,$449.00 
44132,ACUTE DYSPHAGIA EVAL 60 MIN,$571.00 
44211,ACUTE DYSPHAGIA TRMT 30 MIN,$296.00 
44213,ACUTE DYSPHAGIA TRMT 60 MIN,$385.00 
44234,ACUTE DYSPHAGIA TRTMT 45 MIN,$350.00 
44118,ACUTE DYSPHGIA EVAL 15 MIN,$245.00 
40240,ACUTE DYSPHGIA TRTMT 15 MIN,$200.00 
44246,ACUTE EVAL NON-SPEECH DEV 15 MIN,$326.00 
44248,ACUTE EVAL NON-SPEECH DEV 30 MIN,$391.00 
44250,ACUTE EVAL NON-SPEECH DEV 45 MIN,$574.00 
44252,ACUTE EVAL NON-SPEECH DEV 60 MIN,$762.00 
44306,ACUTE EVAL SPEECH GEN DEV 1ST HR,$603.00 
44114,ACUTE EVAL/FIT VOICE PROS 15 MIN,$326.00 
44278,ACUTE EVAL/FIT VOICE PROS 30 MIN,$391.00 
44280,ACUTE EVAL/FIT VOICE PROS 45 MIN,$511.00 
44282,ACUTE EVAL/FIT VOICE PROS 60 MIN,$762.00 
44066,ACUTE FIBEROPTIC SWALL 15 MIN,$314.00 
44176,ACUTE FIBEROPTIC SWALL 30 MIN,$377.00 
44178,ACUTE FIBEROPTIC SWALL 45 MIN,$561.00 
