CDM,BILLING DESCRIPTION  ,CPT   , LOURDES WCH PRICE 
610202,MED/SURG R&B,00000," $1,251.41 "
610204,R B CORR CHG 610 111,00000, $-   
634102,MED SURG R&B,00000," $1,251.41 "
785001,SDS,00000," $1,806.00 "
610201,2 E R&B,00000," $1,434.00 "
610203,R B CORR CHG 610 112,00000, $-   
634104,L&D R&B,00000," $1,434.00 "
660050,L&D R&B,00000," $1,434.00 "
660052,R B CORR CHG 660 112,00000, $-   
660054,R B CORR CHG 660 112,00000, $-   
661020,ANTE R&B,00000," $1,434.00 "
661033,R B CORR CHG 661 112,00000, $-   
634100,PEDIATRIC R&B,00000," $2,205.00 "
634103,PEDIATRIC R&B,00000," $2,205.00 "
640500,PEDIATRIC R&B,00000," $2,205.00 "
640501,R B CORR CHG 640 113,00000, $-   
670001,NURSERY R&B,00000, $891.00 
670002,R B CORR CHG 670 171,00000, $-   
675001,LEVEL III REG,00000," $12,301.00 "
675002,NICU R&B,00000," $12,301.00 "
675003,RB CORR CHG 675 174,00000, $-   
611035,R  B CORR CHG 661  200,00000, $-   
660051,ADULT ICU,00000," $3,295.76 "
660053,R B CORR CHG 660 200,00000, $-   
661040,ADULT  ICU,00000," $3,295.76 "
636105,PICU R&B,00000," $5,514.00 "
645001,PICU ROOM,00000," $5,514.00 "
645002,R B CORR CHG  645 203,00000, $-   
002036,LIPIDS 20% 500ML,00000," $1,440.00 "
002055,FLAGYL 500MG PREMIXED,00000, $487.00 
004451,ANTIVENIN POLYVALENT,00000," $3,310.00 "
004461,ANTILIRIUM 2CC INJ,00000, $174.00 
004484,APLISOL PPD,00000, $119.00 
004633,AVITENE 1GM,00000," $2,453.00 "
004634,AZACTAM 1GM INJ,00000, $390.00 
004635,AZACTAM 2GMS,00000, $822.00 
004674,BACITRACIN 50 M,00000, $383.00 
004870,BREVITAL 500 MG INJ,00000, $174.00 
004873,BREVIBLOC/CC MDV INJ,00000, $85.00 
004905,BSS OPTH DROPS,00000, $211.00 
004917,BUMEX 4 CC INJ,00000, $52.00 
004966,CALCIUM CHLOR 1GM IV,00000, $156.00 
005040,CARDIZEM 25MG LYOJECT SY,00000, $388.00 
005045,CARDIZEM INJ 10MLINJ,00000, $632.00 
005268,CLEOCIN 600 MG INJ,00000, $526.00 
005269,CLEOCIN 600 MG PREMIX,00000, $487.00 
005270,CLEOCIN 900 MG PREMIX,00000, $520.00 
005294,COCAINE 4% 4ML SOL,00000, $487.00 
005330,CO-LYTE,00000, $416.00 
005555,CYCLOGYL 1%-2CC UD,00000, $161.00 
005607,DANTRIUM 20MG INJ,00000, $745.00 
005868,DEXTROSE 50PC-SYRNGE,00000, $691.00 
006198,EMLA CREAM 5GM,00000, $200.00 
006230,EPHEDRINE 50MG/CC IN,00000, $116.00 
006433,FOLIC ACID INJ,00000, $97.00 
006516,GELFILM,00000," $2,852.00 "
006538,GENTIAN VIOLT 1PC 1Z,00000, $10.00 
006654,HESPAN 500ML,00000," $1,062.00 "
006680,HURRICAINE SPRAY,00000, $354.00 
006804,INDIGO CARMNE INJ,00000, $271.00 
007013,KETAMINE 50MG/CC INJ,00000, $92.00 
007063,LANOXIN 0.1MG/ML PED INJ,00000, $52.00 
007126,LEVAPHED 4ML INJ,00000, $211.00 
007154,LIDOCAINE 100MG SYR,00000, $228.00 
007157,LIDO 4% AMP 5ML,00000, $71.00 
007206,LOPRESSOR 5MG INJ,00000, $52.00 
007335,MARCAINE 0.25% 30MLI,00000, $212.00 
007336,MARCAINE .5 30ML INJ,00000, $233.00 
007340,MARCAINE .25/EP 30MI,00000, $251.00 
007424,MEPERIDINE 25MG INJ,00000, $203.00 
007425,MEPERIDINE 50MG INJ,00000, $228.00 
007578,MVI-12 INJ,00000, $143.00 
007901,NTG 50MG IV,00000, $404.00 
007955,NUTRILYTE II SDV20ML,00000, $108.00 
008096,PENICLN-G 5MIL UN,00000, $143.00 
008134,PEPCID MDV 10 MG/ML,00000, $161.00 
008246,PITRESSIN 20UN-1CC I,00000, $283.00 
008338,POT ACETATE INJ,00000, $94.00 
008347,POT PHOSPHATE INJ,00000, $160.00 
008672,SENSORCAINE MFP/DEXTROSE,00000, $97.00 
008717,SILVER NIT APPLI EA,00000, $45.00 
008756,SOD ACETATE INJ,00000, $52.00 
008761,SOD BICARB 50MEQ SYR,00000, $404.00 
009232,TIMENTIN,00000, $259.00 
009245,DEPAKON 500MG INJ,00000, $250.00 
009288,TRANDATE 5MG/ML,00000, $85.00 
009336,NITROGLYCERIN PREMIX,00000, $600.00 
009533,VASOTEC IV 1.25MG/CC,00000, $383.00 
009605,VIBRAMYCIN 100MG INJ,00000, $416.00 
009686,XYLOCAINE 1%/EPI 20M,00000, $212.00 
009688,XYLOCAINE 2PC 20CCIJ,00000, $133.00 
009693,XYLOCANE 4PC TOP-50C,00000, $954.00 
009694,XYLOC. 2% PF 10ML,00000, $212.00 
009695,XYCOCAINE 1PC 2CCAMP,00000, $212.00 
009696,XYLOCAINE2%/EPI 20CC,00000, $212.00 
712054,TETRACAINE OPTH 2CC,00000, $85.00 
712057,THAM UD INJ,00000, $498.00 
712061,THORAZINE 25MG INJ,00000, $160.00 
712063,TIMENTIN 100MG PM,00000, $25.00 
712067,TRACE ELE INJ 1ML,00000, $86.00 
712068,TRANDATE 4ML VIAL,00000, $67.00 
712097,VERSED LIQUID 5CC,00000, $651.00 
712114,ZINC SULFATE INJ.,00000, $10.00 
712124,XYLOCAINE 1% W/EPI 1ML,00000, $8.00 
712174,COPPER 0.4 MG/ML 10ML,00000, $1.00 
712176,MANGANESE 0.1 MG/ML 10ML,00000, $2.00 
712177,MULTITRACE-4 10 ML VIAL,00000, $55.00 
712212,AK-FLUOR 10MG/ML INJ,00000, $111.00 
712226,AMIKACIN 50MG/ML INJ,00000, $259.00 
712236,AMIDATE INJ 10ML,00000, $228.00 
712238,AMNIONIC SOLN 25ML,00000, $746.00 
712251,AMPICILLIN INJ 125MG,00000, $54.00 
712252,AMPICILLIN 30 MG/ML SYR,00000, $1.00 
712253,AMPICILLIN INJ 250MG,00000, $54.00 
712254,AMPICILLIN UD,00000, $48.00 
712278,AZACTAM UD CHG,00000, $138.00 
712304,BUMEX 0.5MG VIALS,00000, $31.00 
712306,BUPIVACAINE HCL 0.125%,00000, $144.00 
712312,MAG SULFATE 4 MEQ/ML UD,00000, $1.00 
712321,CA CHLORIDE SYRINGE,00000, $284.00 
712333,CARNITOR 200MG/ML INJ,00000, $501.00 
712353,DINOPROSTONE 10MG SUPP,00000," $2,625.00 "
