Itemcode,Itemcode Description,HCPCS Code,Average Price
00020,ANESTH:  IP LOCAL,,353.00
00030,ANESTH:  OP LOCAL,,353.00
00040,ANESTH:  IP 0-30 MINUTES,,891.00
00050,ANESTH:  OP 0-30 MINUTES,,891.00
00051,ANESTHESIA FOR PROPOFOL ONLY,,55.00
00060,ANESTH:  IP EACH ADD'L 15 MIN,,64.00
00070,ANESTH:  OP EACH ADD'L 15 MIN,,64.00
0029580,APPLICATION OF UNA BOOT,29580,300.00
0029826,"ARTHRO SHOULDER, DECOMPRESSION",29826,"8,435.70"
0029827,ARTHROSCOPY SH ROT CUFF REPAIR,29827,"8,435.70"
0065400,LESION EXCISION CORNEA,65400,"3,094.02"
0065855,TRABECULOPLASTY LASER SURGERY,65855,765.40
0066821,POST CATARACT LASER SURGERY,66821,"1,675.80"
0066982,CATARACT REM W/IMPL COMPLICATE,66982,"4,607.40"
0066984,CATARACT REM W/LENS PROSTHESIS,,"4,830.55"
0067005,"REM VITREOUS, PARTIAL REMOVAL",67005,"8,139.60"
0069436,"TYMPANOSTOMY, GENERAL ANESTHES",69436,"3,709.65"
00V2630,ANTERIOR CHAMBER INTRAOCULAR L,V2630,587.06
00V2632,POST CHAMBER INTRAOCULAR LENS,V2632,587.06
01155,DRUG SCREEN PROCESSING,80307,74.00
0260100,"HYDRATE IV INF,INITAL 31-60MIN",96360,327.00
0260101,HYDRATE IV INF ADD-ON/HOUR,96361,64.00
0260102,TX/PROPH/DX IVINF INITIAL<1 HR,96365,327.00
0260103,"THER/PROPH/DG IV INF,ADD-ON/HR",96366,64.00
0260104,TX/PRPH/DG ADTL SEQ IV INF 1HR,96367,64.00
0260105,THER/DIAG CONCURRENT INF,96368,64.00
0260106,IV PUSH INJ TX/PRPH/DX INITIAL,96374,327.00
0260107,TX/PRPH/DX SEQ IV PUSH NEW SUB,96375,64.00
0260108,SEQ IV PUSH SAME DRUG ADD-ON,96376,64.00
0260109,"CHEMO THER, IV INFUSION, 1 HR",96413,600.00
0260110,"CHEMO THER, IV INFSN, ADDL HR",96415,175.00
0260120,IM/SQ INJECTION IP,96372,96.00
0300101,BRAF GENE MUTATION #480450,,972.00
0300104,C DIFF GENE TOXIN AMP PROBE,87493,300.00
0300107,GLUCOSE BLOOD FINGER STICK,82962,20.00
0301101,PROCALCITONIN,84145,300.00
0301102,"HELICOBACTR PYLORI IGG,IGA,IGM",86677,321.00
0301105,ARTERIAL BLOOD GAS,82803,92.00
0301106,ARTERIAL BLOOD GAS W/CO-OX,82805,106.00
0301111,PANCREATIC ELASTASE FECAL,82656,294.00
0301112,CALPROTECTIN FECAL,83993,240.00
0301113,ALPHA GAL IGE,83516,75.00
0301114,"SULFONYLUREA SCREEN, QT",82542,202.00
0301115,NICOTINE,80307,96.00
0301116,"HEAVY METAL, COBALT, QUANT",83018,176.00
0301117,"POTASSIUM, FECAL",84999,81.00
0301118,"SODIUM, FECAL",84302,81.00
0301124,BASIC FOOD ALLERGY PROFILE,,418.00
0301126,"IMMUNOASSAY, RIA NONANTIBODY",83519,900.00
0301128,LACOSAMIDE LEVEL,82542,230.00
0301131,VENOUS BLOOD GAS,82803,92.00
0301132,CAPILLARY BLOOD GAS,82803,92.00
0301136,THIOPURINE TPMT,82542,415.00
0301137,DRUG SCREEN BY INSTRUMENT,80307,205.00
0301138,"DRUG SCREEN, SNGLE DRUG IMMUNO",80305,96.00
0301139,AMPHETAMINES; 5 OR MORE,80307,96.00
0301140,"ANALGESICS, NON-OPIOD; 6+",80331,96.00
0301141,ANTIDEPRESSANT SEROTONERGIC 6+,80334,96.00
0301142,ANTIDEPRESSANT TRICYCLIC 6+,80337,96.00
