Supply Name,Charge
MEDIA CONTRAST 50 ML MEDICAL IMAGING 320 MG/ML VISIPAQUE STERILE,$3.33
BLADE INFER TURB L11CM OD2.9MM,$786.18
KNIFE OPHTHALMIC OD.9 MM STRAIGHT TAPERED TIP EDGEAHEAD F/SELF SEALING WOUND,$73.62
IMPLANT OPHTHALMIC THK1 MM 1.4 GM 3 DIMENSIONAL DESIGN EYELID CONTOUR GOLD STERILE,$830.00
NEEDLE INSUFFLATION L120 MM OD14 GA STAINLESS STEEL STERILE,$141.75
GRAFT DERMAL L3.9 IN X W3.9 IN SQUARE PROCESSED MATRIX ALLOMAX ACELLULAR HUMAN DERMIS,"$9,746.10"
GRAFT DERMAL L3.9 IN X W2 IN RECTANGULAR PROCESSED MATRIX ALLOMAX ACELLULAR HUMAN DERMIS,"$4,873.05"
GRAFT DERMAL L3.9 IN X W2.8 IN RECTANGULAR PROCESSED MATRIX ALLOMAX ACELLULAR HUMAN DERMIS,"$6,828.90"
GRAFT HUMAN TISSUE L15 CM X W10 CM RECTANGULAR PROCESSED ALLOMAX DERMAL COLLAGEN,"$14,685.30"
GUIDEWIRE VASCULAR L200 CM OD.014 IN STANDARD L10 CM FLATTENED INNER RIBBON RADIOPAQUE TIP SOFT ACCESS LENGTH SYNCHRO2 NITINOL HYDROPHILIC,"$1,953.82"
FORCEPS OPHTHALMIC OD25 GA ILM GRIESHABER REVOLUTION STERILE DISPOSABLE,$610.05
DEVICE VASCULAR CLOSURE 6FR FEMORAL ARTERY INTRAVASCULAR COLLAGEN PLUG ANGIOSEAL ( 610130 ),$788.50
BAND ANNULOPLASTY 29 MM FLEXIBLE W/ CHORDAL GUIDE DURAN ANCORE STERILE DISPOSABLE 620B,"$5,850.00"
BAND ANNULOPLASTY 27 MM FLEXIBLE W/ CHORDAL GUIDE DURAN ANCORE STERILE DISPOSABLE 620B,"$5,850.00"
BAND ANNULOPLASTY 31 MM FLEXIBLE W/ CHORDAL GUIDE DURAN ANCORE STERILE DISPOSABLE 620B,"$5,850.00"
SEAL CANNULA OD8 MM FLIP TOP ENDOWRIST DA VINCI DISPOSABLE,$67.50
COVER SCISSORS OD8 MM TIP STANDARD ROBOTIC ENDOWRIST DA VINCI DISPOSABLE F/MONOPOLAR CURVED SCISSORS,$90.00
KIT ELECTROSURGICAL 4X BIPOLAR OPEN SURGERY HABIB,"$9,897.50"
SCREW BONE CORTICAL 2X14MM STAINLESS STEEL NSTRL DISTAL RADIUS STARDRIVE 201814,$102.51
SCREW BONE CORTICAL 2X18MM STAINLESS STEEL NSTRL DISTAL RADIUS STARDRIVE 201818,$102.51
SCREW BONE L22 MM OD2 MM SELF TAPPING CORTICAL STAINLESS STEEL NONSTERILE,$102.51
SCREW BONE L24 MM OD2 MM SELF TAPPING CORTICAL STAINLESS STEEL NONSTERILE,$102.51
ROD EXTERNAL FIXATION L45MM OD3MM CARBON FIBER F/ MINI FIXATOR,$183.87
ROD EXTERNAL FIXATION L60 MM OD3 MM CARBON FIBER F/MINI FIXATOR,$183.87
ROD EXTERNAL FIXATION L75 MM OD3 MM CARBON FIBER F/MINI FIXATOR,$183.87
CLAMP EXTERNAL FIXATION OD1.25MM HOLDING,"$2,839.12"
CLAMP EXTERNAL FIXATION OD1.6MM HOLDING,"$2,839.12"
CLAMP EXTERNAL FIXATION 3X3 MM CONNECTING COUPLING PIN TO ROD,"$2,634.33"
CLAMP EXTERNAL FIXATION 3X4 MM CONNECTING COUPLING PIN TO ROD,"$2,634.33"
4.0MM CARBON FIBER ROD 80MM,$174.00
ROD EXTERNAL FIXATION L220 MM OD4 MM CONNECTING STAINLESS STEEL NONSTERILE,$660.47
ROD EXTERNAL FIXATION L200 MM OD8 MM CONNECTING DISTAL RADIAL CARBON FIBER NONSTERILE,$773.02
ROD EXTERNAL FIXATION L320 MM OD8 MM CONNECTING CARBON FIBER NONSTERILE REUSABLE,$777.09
CLAMP EXTERNAL FIXATION MEDIUM SELF HOLDING CLIP ON COMBINATION NONSTERILE REUSABLE,"$2,563.67"
CLAMP EXTERNAL FIXATION MEDIUM SELF HOLDING CLIP ON NONSTERILE,"$2,113.96"
SCREW SPINAL L125 MM L50 MM OD5 MM THREADED BLUNT TROCAR TIP SCHANZ STAINLESS STEEL NONSTERILE F/LARGE EXTERNAL FIXATOR,$328.85
SCREW SPINAL L250 MM L50 MM OD5 MM THREADED BLUNT TROCAR TIP SCHANZ STAINLESS STEEL NONSTERILE F/LARGE EXTERNAL FIXATOR,$382.26
SCREW BONE CORTICAL 3.5X46MM STAINLESS STEEL FULL THREAD NSTRL FOR SMALL FRAGMENT SET LC DCP 204846,$102.51
SCREW BONE CORTICAL 3.5X85MM STAINLESS STEEL FULL THREAD NSTRL FOR SMALL FRAGMENT SET LC DCP 204885,$102.51
SCREW BONE 3.5X32MM CANNULATED STAINLESS STEEL PARTIAL THREAD NSTRL RADIAL HAND 205032,$768.66
SCREW BONE 3.5X28MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 205228,$768.66
SCREW BONE 3.5X40MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 205240,$768.66
SCREW BONE CANCELLOUS 4X85MM NON CANNULATED STAINLESS STEEL PARTIAL THREAD NSTRL SMALL FRAGMENT SET LC DCP 207085,$94.73
SCREW BONE 4X44MM CANNULATED STAINLESS STEEL PARTIAL THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207644,$809.75
SCREW BONE CANCELLOUS 4X68MM CANNULATED STAINLESS STEEL LONG THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207768,$809.75
SCREW SPINAL PEDICLE 7X40 SOLID STAINLESS STEEL USS SCHANZ 296792,"$1,508.28"
SCREW BONE CANCELLOUS 7.3X90MM CANNULATED STAINLESS STEEL 16MM THREAD NSTRL FEMUR 208890,"$1,052.27"
SCREW BONE CANCELLOUS 7.3X50MM CANNULATED STAINLESS STEEL 32MM THREAD NSTRL 209850,"$1,052.27"
SCREW BONE CANCELLOUS 7.3X70MM CANNULATED STAINLESS STEEL 32MM THREAD NSTRL 209870,"$1,052.27"
SCREW BONE CANCELLOUS 7.3X100MM CANNULATED STAINLESS STEEL 32MM THREAD NSTRL 209900,"$1,052.27"
SCREW BONE CANCELLOUS 7.3X110MM CANNULATED STAINLESS STEEL 32MM THREAD NSTRL 209910,"$1,052.27"
SCREW BONE CANCELLOUS 7.3X115MM CANNULATED STAINLESS STEEL 32MM THREAD NSTRL 209915,"$1,052.27"
SCREW BONE CANCELLOUS 7.3X125MM CANNULATED STAINLESS STEEL 32MM THREAD NSTRL 209925,"$1,052.27"
SCREW BONE CANCELLOUS 7.3X135MM CANNULATED STAINLESS STEEL 32MM THREAD NSTRL 209935,"$1,052.27"
SCREW BONE CANCELLOUS 7.3X140MM CANNULATED STAINLESS STEEL 32MM THREAD NSTRL 209940,"$1,052.27"
SCREW BONE CANCELLOUS 7.3X145MM CANNULATED STAINLESS STEEL 32MM THREAD NSTRL 209945,"$1,052.27"
SCREW BONE CANCELLOUS 7.3X150MM CANNULATED STAINLESS STEEL 32MM THREAD NSTRL 209950,"$1,052.27"
SCREW BONE CANCELLOUS 7.3X30MM CANNULATED STAINLESS STEEL 16MM THREAD NSTRL FEMUR 208830,"$1,052.27"
SCREW BONE CANCELLOUS 7.3X80MM CANNULATED STAINLESS STEEL 16MM THREAD NSTRL FEMUR 208880,"$1,052.27"
SCREW BONE CANCELLOUS 7.3X115MM CANNULATED STAINLESS STEEL 16MM THREAD NSTRL FEMUR 208915,"$1,052.27"
SCREW BONE CANCELLOUS 7.3X120MM CANNULATED STAINLESS STEEL 16MM THREAD NSTRL FEMUR 208920,"$1,052.27"
SCREW BONE 4/3X80X20MM STAINLESS STEEL PARTIAL THREAD NON STERILE HUMERUS ULNA SCHANZ XXXXXXXX 294771,$563.16
SCREW SPINAL L125 MM L40 MM OD4 MM SELF DRILLING THREADED SELDRIL SCHANZ STAINLESS STEEL NONSTERILE,$563.16
SCREW SPINAL L175 MM L40 MM OD4 MM SELF DRILLING THREADED SELDRIL SCHANZ STAINLESS STEEL NONSTERILE,$563.16
SCREW BONE 5X175MM STAINLESS STEEL NON STERILE FOR LARGE EXTERNAL FIXATION SYSTEM CONDYLE HIP SCHANZ XXXXXXXX 294785,$637.07
SCREW BONE L42 MM L14 MM OD3.5 MM ODSEC5 MM CANNULATED PARTIALLY THREADED W/ SMALL HEXAGONAL SOCKET CORTICAL STAINLESS STEEL,$768.66
SCREW BONE 3.5X10MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 205210,$768.66
SCREW BONE 3.5X12MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 205212,$768.66
SCREW BONE 3.5X14MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 205214,$768.66
SCREW BONE 3.5X16MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 205216,$768.66
SCREW BONE 3.5X18MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 205218,$768.66
SCREW BONE L20 MM OD3.5 MM CANNULATED FULLY THREADED NONSTERILE,$768.66
SCREW BONE 3.5X22MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 205222,$768.66
SCREW BONE 3.5X24MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 205224,$768.66
SCREW BONE 3.5X26MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 205226,$768.66
SCREW BONE 3.5X30MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 205230,$768.66
SCREW BONE 3.5X32MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 205232,$768.66
SCREW BONE 3.5X34MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 205234,$768.66
SCREW BONE 3.5X36MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 205236,$768.66
SCREW BONE 3.5X38MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 205238,$768.66
SCREW BONE 3.5X42MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 205242,$768.66
SCREW BONE 3.5X44MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 205244,$768.66
SCREW BONE 3.5X46MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 205246,$768.66
SCREW BONE 3.5X48MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 205248,$768.66
SCREW BONE CANCELLOUS 4X32MM STAINLESS STEEL FULL THREAD NSTRL FOR SMALL FRAGMENT SET LCP 206032,$85.82
SCREW BONE CANCELLOUS 4X36MM STAINLESS STEEL FULL THREAD NSTRL FOR SMALL FRAGMENT SET LCP 206036,$85.82
SCREW BONE CORTICAL 2.7X46MM STAINLESS STEEL NSTRL CLAVICLE SCAPULA OLECRANON HUMERUS 202846,$102.51
SCREW BONE CORTICAL 2.7X48MM STAINLESS STEEL NSTRL CLAVICLE SCAPULA OLECRANON HUMERUS 202848,$102.51
SCREW BONE CORTICAL 2.7X10MM STAINLESS STEEL NSTRL FOREFOOT MIDFOOT STARDRIVE 202870,$152.64
SCREW BONE CORTICAL 2.7X20MM STAINLESS STEEL NSTRL ANKLE FOOT STARDRIVE 202880,$152.64
SCREW BONE CORTICAL 2.7X22MM STAINLESS STEEL NSTRL ANKLE FOOT STARDRIVE 202882,$152.64
SCREW BONE CORTICAL 2.7X24MM STAINLESS STEEL NSTRL ANKLE FOOT STARDRIVE 202884,$152.64
SCREW BONE CORTICAL 2.7X26MM STAINLESS STEEL NSTRL ANKLE FOOT STARDRIVE 202886,$152.64
SCREW BONE CORTICAL 2.7X28MM STAINLESS STEEL NSTRL ANKLE FOOT STARDRIVE 202888,$152.64
SCREW BONE CORTICAL 2.7X30MM STAINLESS STEEL NSTRL ANKLE FOOT STARDRIVE 202890,$152.64
SCREW BONE CORTICAL 2.7X10MM NON CANNULATED STAINLESS STEEL NSTRL DISTAL FIBULA HUMERAL SYNTHES 20221,$460.40
SCREW BONE CORTICAL 2.7X20MM NON CANNULATED STAINLESS STEEL FULL THREAD NSTRL DISTAL FIBULA HUMERAL SYNTHES 20222,$460.40
SCREW BONE 2.7X22MM STAINLESS STEEL NSTRL FOR MODULAR MINI FRAGMENT SYSTEM STARDRIVE 202222,$460.40
SCREW BONE 2.7X26MM STAINLESS STEEL NSTRL FOR MODULAR MINI FRAGMENT SYSTEM STARDRIVE 202226,$460.40
SCREW BONE 2.7X28MM STAINLESS STEEL NSTRL FOR MODULAR MINI FRAGMENT SYSTEM STARDRIVE 202228,$460.40
SCREW BONE L40 MM L13 MM OD3.5 MM ODSEC5 MM CANNULATED PARTIALLY THREADED W/ SMALL HEXAGONAL SOCKET CORTICAL STAINLESS STEEL,$768.66
SCREW BONE 3.5X50MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 205250,$768.66
SCREW BONE 4X58MM CANNULATED STAINLESS STEEL PARTIAL THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207658,$809.75
SCREW BONE 4X60MM CANNULATED STAINLESS STEEL PARTIAL THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207660,$809.75
SCREW BONE CANCELLOUS 4X64MM CANNULATED STAINLESS STEEL PARTIAL THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207664,$809.75
SCREW BONE CANCELLOUS 4X68MM CANNULATED STAINLESS STEEL PARTIAL THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207668,$809.75
SCREW BONE CANCELLOUS 4X72MM CANNULATED STAINLESS STEEL PARTIAL THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207672,$809.75
SCREW BONE CANCELLOUS 4X16MM CANNULATED STAINLESS STEEL LONG THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207716,$809.75
SCREW BONE CANCELLOUS 4X18MM CANNULATED STAINLESS STEEL LONG THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207718,$809.75
SCREW BONE CANCELLOUS 4X24MM CANNULATED STAINLESS STEEL LONG THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207724,$809.75
SCREW BONE CANCELLOUS 4X30MM CANNULATED STAINLESS STEEL LONG THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207730,$809.75
