Medication,Charge
1/2 NS WITH POTASSIUM CHLORIDE 20 MEQ/L IV,$71.75
2-OCTYL CYANOACRYLATE TOPICAL SKIN ADHESIVE,$82.34
ABACAVIR 150 MG (HALF-TAB),$41.04
ABACAVIR 300 MG TAB,$34.54
ABACAVIR 600 MG-DOLUTEGRAVIR 50 MG-LAMIVUDINE 300 MG TABLET,$187.78
ABACAVIR-LAMIVUDINE-ZIDOVUDINE 300 MG-150 MG-300 MG TAB,$140.36
ABCIXIMAB 10 MG/5 ML IV,"$2,582.53"
"ACAMPROSATE 333 MG TAB, DELAYED RELEASE",$9.23
ACARBOSE 25 MG (HALF-TAB),$15.87
ACARBOSE 50 MG TAB,$9.55
ACEBUTOLOL 200 MG CAP,$15.85
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) IV - ROPH",$152.88
ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY,$7.90
ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY,$8.04
ACETAMINOPHEN 32 MG/ML ORAL SOLUTION (PEDS),$7.94
ACETAMINOPHEN 325 MG RECTAL SUPPOSITORY,$8.01
ACETAMINOPHEN 325 MG TAB,$6.99
ACETAMINOPHEN 325 MG TAB,$6.75
ACETAMINOPHEN 325 MG/10.15 ML ORAL SOLN,$7.94
ACETAMINOPHEN 500 MG TAB,$6.57
ACETAMINOPHEN 650 MG RECTAL SUPPOSITORY,$8.25
ACETAMINOPHEN-CAFFEINE-BUTALBITAL 325 MG-40 MG-50 MG TAB,$6.85
ACETAMINOPHEN-CODEINE 300 MG-30 MG TAB,$15.51
ACETAMINOPHEN-CODEINE 300 MG-60 MG TAB,$18.21
ACETAMINOPHEN-CODEINE 300 MG-60 MG TAB,$15.45
ACETATE (TPN) INJECTION - ROPH,$44.00
ACETAZOLAMIDE 125 MG TAB,$6.92
ACETAZOLAMIDE 250 MG TAB,$7.06
ACETAZOLAMIDE 500 MG SOLUTION FOR INJECTION,$135.39
ACETAZOLAMIDE 500 MG SOLUTION FOR INJECTION,$106.89
ACETAZOLAMIDE 62.5 MG TAB (HALF TAB),$13.17
ACETAZOLAMIDE SR 500 MG CAP,$20.15
ACETIC ACID (BULK) 3 % LIQUID,$101.84
