SERVICE CATEGORY,CHARGE DESCRIPTION,2019 PRICING
Cardiology,ADMIN PHARM AGENT W/HEMODYNAMIC ASSESS,"$1,353.00 "
Cardiology,ANGIO DURING CARD CATH ILIAC ART,$272.75 
Cardiology,ATHERECTOMY EA ADL BRANCH CORONARY ART,"$17,032.75 "
Cardiology,ATHERECTOMY SGL CORONARY ARTERY/BRANCH,"$17,032.75 "
Cardiology,ATHRECTOMY W/DES EA AD BRNCH COR ARTERY,"$20,424.25 "
Cardiology,ATHRECTOMY W/DES SGL CORONARY ART/BRNCH,"$20,424.25 "
Cardiology,ATHRECTOMY W/STENT EA AD BRANCH COR ART,"$16,910.00 "
Cardiology,ATHRECTOMY W/STENT SGL COR ARTERY/BRNCH,"$16,910.00 "
Cardiology,CARDIOPULMONARY RESUSCITATION (CPR),$962.75 
Cardiology,CARDIOVERSION ELECTIVE EXTERNAL,"$1,568.75 "
Cardiology,CARDIOVERSION ELECTIVE INTERNAL,$893.75 
Cardiology,CATH PLACE CORONARY ANGIO GRAFT W/ S&I,"$9,847.50 "
Cardiology,CATH PLACE CORONARY ANGIO W/ S&I,"$9,847.50 "
Cardiology,DOPPLER ECHO COLOR FLOW VELOCITY MAP,$767.50 
Cardiology,DOPPLER ECHO COMPLETE,$466.75 
Cardiology,DOPPLER ECHO FOLLOW-UP/LIMITED,$401.25 
Cardiology,ECG 12 LEAD TRACING ONLY,$329.75 
Cardiology,ECG MONITOR SCAN ANAL W/ REPORT 48 HRS,$765.50 
Cardiology,ECG MONITORING RECORD UP TO 48 HRS,$668.75 
Cardiology,ECG MONITORNG RECRD OVR 48HRS/TO 21DAYS,$530.00 
Cardiology,ED ECG 12 LEAD TRACING ONLY,$329.75 
Cardiology,ED THROMBOLYSIS HEART IV INFUSION,$911.00 
Cardiology,EVENT RECORDER W/ HOOKUP & DISCONNECT,$536.75 
Cardiology,INJ CONDUIT/GRAFT 1+ CORN ART CNG W/S&I,"$2,023.25 "
Cardiology,INJ LT VENTRICULAR/ATRIAL ANGIO W/ S&I,"$1,923.75 "
Cardiology,INJ PULMONARY ANGIO W/ S&I,$833.00 
Cardiology,INJ RT VENTRICULAR/ATRIAL ANGIO W/ S&I,"$1,923.75 "
Cardiology,INJ SUPRAVALVULAR AORTOGRAPHY W/ S&I,$833.00 
Cardiology,INSERT IABP,"$4,231.25 "
Cardiology,IVUS DOPPLER FLOW W/ MEASURE INIT VESSL,"$3,228.75 "
Cardiology,IVUS DOPPLER FLOW W/MEASUR EA ADD VESSL,"$1,985.50 "
Cardiology,IVUS HEART W/ DX/TX  EA ADL VESSL,"$3,326.00 "
Cardiology,IVUS/OCT HEART W/ DX/TX INIT VESSEL,"$5,333.75 "
Cardiology,LHC CORN ANGIO LT VENTRIC GRAFT W/ S&I,"$15,773.00 "
Cardiology,LHC CORN ANGIO LT VENTRICULGRPHY W/ S&I,"$16,559.00 "
Cardiology,LHC W/ LT VENTRICULOGRAPHY INJ W/ S&I,"$9,847.50 "
Cardiology,OP CARDIAC REHAB W/CONT ECG MONITORING,$275.00 
Cardiology,OP CARDIAC REHAB W/O CONT ECG MONITORNG,$245.00 
Cardiology,PLACE DES EA ADL BRANCH CORONARY ARTERY,"$20,424.25 "
Cardiology,PLACE DES SINGLE CORONARY ARTERY/BRANCH,"$20,424.25 "
Cardiology,PLACE STENT HEART EA ADL BRANCH COR ART,"$16,910.00 "
Cardiology,PLACE STENT HEART SGL COR ARTERY/BRANCH,"$16,910.00 "
Cardiology,PLACEMENT OF VASCULAR CLOSURE DEVICE,$610.00 
Cardiology,PTCA EA ADL BRANCH CORONARY ARTERY,"$9,334.00 "
Cardiology,PTCA SINGLE CORONARY ARTERY/BRANCH,"$11,667.50 "
Cardiology,REVAS ACUTE  OCCL SNT/ATHR/PTCA SGL VSL,"$16,910.00 "
