NDC,Description,Number Units Charged,Charge Amount Units,Charge
0409-9257-39 ,"0.45% NaCl with KCl 20 mEq 20-0.45 MEQ/L-% Soln 1,000 mL Flex Cont",1000,mL,$40.00
0338-0691-04 ,"0.9 % NaCl with KCl 20 mEq 20-0.9 MEQ/L-% Soln 1,000 mL Flex Cont",1000,mL,$72.50
43825-102-01 ,acetaminophen 10 MG/ML Soln 100 mL Vial,100,mL,$179.00
43825-102-01 ,acetaminophen 10 MG/ML Soln 100 mL Vial,100,mL,$179.00
0904-1985-20 ,acetaminophen 160 MG/5ML Liqd 118 mL Bottle,118,mL,$5.00
0904-1985-20 ,acetaminophen 160 MG/5ML Liqd 118 mL Bottle,118,mL,$5.00
0904-1985-00 ,ACETAMINOPHEN 160 MG/5ML PO LIQD ,118,mL,$5.00
0045-0122-30 ,ACETAMINOPHEN 160 MG/5ML PO SUSP ,30,mL,$5.50
0045-0123-04 ,ACETAMINOPHEN 160 MG/5ML PO SUSP ,120,mL,$6.50
0713-0164-12 ,acetaminophen 325 MG Supp 12 Each Box,1,Each,$1.00
50580-501-10 ,acetaminophen 325 MG Tabs 100 Each Box,1,Each,$0.50
50580-600-02 ,acetaminophen 325 MG Tabs 100 Each Box,1,Each,$0.50
50580-501-30 ,acetaminophen 325 MG Tabs 150 Each Bottle,1,Each,$0.50
50580-412-02 ,acetaminophen 500 MG Tabs 100 Each Box,1,Each,$0.50
50580-451-10 ,acetaminophen 500 MG Tabs 100 Each Box,1,Each,$0.50
45802-730-33 ,ACETAMINOPHEN 650 MG RE SUPP ,1,Each,$0.50
0713-0165-01 ,acetaminophen 650 MG Supp 100 Each Box,1,Each,$1.00
50383-079-16 ,acetaminophen-codeine 120-12 MG/5ML Soln 473 mL Bottle,473,mL,$95.00
0406-0484-23 ,acetaminophen-codeine 300-30 MG Tabs 1 Each Blister,1,Each,$31.50
51552-051-06 ,acetic acid 3 % Soln 500 mL Bottle,500,mL,$67.00
0904-5789-61 ,acyclovir 200 MG Caps 100 Each Box,1,Each,$13.00
50268-061-15 ,acyclovir 400 MG Tabs 50 Each Box,1,Each,$15.00
55150-154-11 ,acyclovir 50 MG/ML Soln 10 mL Vial,10,mL,$94.00
55150-155-20 ,ACYCLOVIR SODIUM 50 MG/ML IV SOLN ,20,mL,$125.50
55150-155-21 ,ACYCLOVIR SODIUM 50 MG/ML IV SOLN ,20,mL,$125.50
8380-007906 ,adapt stoma Powd 28.3 g Bottle,28.3,g,$8.00
44206-251-10 ,ALBUMIN HUMAN 25 % IV SOLN ,100,mL,$426.00
0053-7680-33 ,albumin human 25 % Soln 100 mL Vial,100,mL,$442.00
13533-684-71 ,albumin human 25 % Soln 100 mL Vial,100,mL,$250.00
44206-251-05 ,albumin human 25 % Soln 50 mL Vial,50,mL,$231.50
