Technical Description,Charge
 LENS IOL +20 DIOP BCNVX 12.5M,258.00
 LENS IOL +20 DIOP BCNVX 12.5M,300.00
"""L"" PLATE LEFT EXTENDED",832.00
.008  MAGIC,1316.00
.009  MAGIC,1194.00
.010 TRANSEND,530.00
.012  MAGIC,1194.00
.014 300 CM GUIDEWIRE,790.00
.014 300CM GRAND SLAM 300CM,166.00
.014 300CM MIRACLEBROS 300,280.00
.018 180CM ANGLED GLIDEWIRE,138.00
.018 VISIONS PV IVUS CATH,1500.00
.035 VISION PV DIGIT IVUS CATH,1900.00
.035/9/180CM KATZEN INFUS WIRE,379.00
0.45 NORM.SALINE 500ML,6.11
014 135CM SUPPORT CATH RUBICON,300.00
014X182CM V-14 CONTROL WIRE,366.00
014X300CM V-14 CONTROL WIRE,403.00
021 RENEGADE STC18 STR MCRO CA,808.00
1 GRAM ADHESIVE TRUFILL,4590.00
"1 LEVEL KIT, 1.4 MM",1681.00
1.5MMX2CM DELETAPAQS C,2471.00
1.5MMX2CM DELTAPAQS P,2471.00
1.5MMX4CM DELTAPAQS C,2471.00
1.5MMX4CM DELTAPAQS P,2471.00
1.5MMX6CM DELTAPAQS C,2471.00
1.5X15MM GATEWAY PTA,1990.00
1.5X15MM RX APEX BALLOON,508.00
1.5X20MM GATEWAY PTA,1990.00
1.5X6CM DELTAPAQS P,2471.00
1.5X9MM GATEWAY PTA,1990.00
1.7F 150CM ECHELON 10MICROCATH,1186.00
1.7MM CRYOPROBE PERC17,2315.00
1.7MM CRYOPROBE ROUND PERC15,2315.00
1.7MM TURBO ELITE,5600.00
1.8MM X 19CM PMTA ACCU2I INTER,5430.00
1.9F 150CM ECHELON 10MICROCATH,1186.00
10-7X30 PROT?G? STENT TAPR,4300.00
10-7X40 PROTEGE STENT TAPR,4100.00
10CM 4MM AZUR COIL 035,2210.00
10CM 6MM AZUR COIL 035,2210.00
10CMX14CM COAXIAL BIOPSY,750.00
10F 20 X 55 WALLSTENT,3946.00
10F 20 X 80 WALLSTENT,3946.00
10F 25CM DRAINAGE CATHETER,182.00
10F 35CM ARROW FLEX SHEATH,179.00
10F 40CM BILARY CATHETER,182.00
10F 45CM ARROW FLEX SHEATH,210.00
10FX30CM INTRODUCER SET,102.00
10MM 10CM AZUR DETACH 18 COIL,1600.00
10MM 15CM AZUR COIL,1600.00
10MM 20CM AZUR COIL,1600.00
10MM 26CM AZUR COIL,1600.00
10MM 26CM AZUR FRAMING COIL035,2210.00
10MM 29MMX80CM GENESIS STENT,2340.00
10MM ABUTMENT,4100.00
10MM VASCULAR PLUG,1600.00
10MMX 17.1CM MICRUSPHERE 18 C,3164.00
10MMX 30CM HELIPAQ C,2518.00
10MMX 34CM PRESIDIO 18,5150.00
10MMX16CM CASHMERE C,3297.00
10MMX17.1CM SPHERICAL 18,2180.00
10MMX25CM CASHMERE,2290.00
10MMX25CM DELTAPAQS C,2471.00
10MMX25CM DELTAPAQS P,2471.00
10MMX30CM HELICAL 18,1100.00
10X25X180CM FATHOM GUIDEWIRE,549.00
10X38X120 ICAST COVERED STENT,4893.00
11 VOLT LI-ION SYSTEM CONTROLL,1000.00
11-12 NERVE CONDUCTION STUDIES,1588.00
11-DEOXYCORTISOL,33.00
11FX30CM INTRODUCER SET,102.00
11G MAMMATOME PROBE,301.00
11MMX 18.9CM MICRUSPHERE 18 C,3174.00
11MMX 27CM CASHMERE,2318.00
11MMX 37CM PRESIDIO 18,5234.00
11MMX18.9CM SPHERICAL 18,2200.00
11MMX18CM CASHMERE C,3316.00
11X320MMX130 DEG LEFT,5274.00
