Current Procedural Terminology (CPT),CPT Description,Median Charge for Total Case (CY 2017)
10061,Drainage of skin abscess,"$14,188.11 "
10140,Drainage of hematoma/fluid,"$15,663.42 "
11042,Deb subq tissue 20 sq cm/<,"$11,482.94 "
11043,Deb musc/fascia 20 sq cm/<,"$10,809.40 "
11606,Exc tr-ext mal+marg >4 cm,"$18,167.04 "
11771,Remove pilonidal cyst exten,"$9,752.16 "
11970,Replace tissue expander,"$27,196.51 "
12052,Intmd rpr face/mm 2.6-5.0 cm,"$9,950.79 "
13101,Cmplx rpr trunk 2.6-7.5 cm,"$11,621.68 "
13121,Cmplx rpr s/a/l 2.6-7.5 cm,"$13,777.29 "
13132,Cmplx rpr f/c/c/m/n/ax/g/h/f,"$11,408.54 "
14040,Tis trnfr f/c/c/m/n/a/g/h/f,"$11,071.78 "
14041,Tis trnfr f/c/c/m/n/a/g/h/f,"$13,174.38 "
14060,Tis trnfr e/n/e/l 10 sq cm/<,"$9,177.46 "
14061,Tis trnfr e/n/e/l10.1-30sqcm,"$16,639.88 "
14301,Tis trnfr any 30.1-60 sq cm,"$20,708.86 "
15100,Skin splt grft trnk/arm/leg,"$16,666.16 "
15120,Skn splt a-grft fac/nck/hf/g,"$13,989.72 "
15731,Forehead flap w/vasc pedicle,"$21,802.47 "
15823,Revision of upper eyelid,"$23,150.86 "
15830,Exc skin abd,"$30,940.39 "
17110,Destruct b9 lesion 1-14,"$5,674.47 "
19120,Removal of breast lesion,"$11,916.10 "
19125,Excision breast lesion,"$12,466.59 "
19300,Removal of breast tissue,"$24,616.79 "
19301,Partial mastectomy,"$13,457.82 "
19302,P-mastectomy w/ln removal,"$36,913.49 "
19303,Mast simple complete,"$26,311.40 "
19307,Mast mod rad,"$34,957.73 "
19316,Suspension of breast,"$33,889.92 "
19318,Reduction of large breast,"$34,723.55 "
19340,Immediate breast prosthesis,"$46,928.24 "
19357,Breast reconstruction,"$76,246.97 "
19371,Removal of breast capsule,"$24,161.47 "
19380,Revise breast reconstruction,"$29,830.17 "
20005,I&d abscess subfascial,"$12,386.56 "
20670,Removal of support implant,"$5,626.79 "
20680,Removal of support implant,"$9,019.49 "
21014,Exc face tum deep 2 cm/>,"$10,181.37 "
21016,Resect face/scalp tum 2 cm/>,"$9,070.95 "
21025,Excision of bone lower jaw,"$9,417.08 "
21270,Augmentation cheek bone,"$28,215.51 "
21320,Closed tx nose fx w/ stablj,"$5,580.31 "
21335,Open tx nose & septal fx,"$15,036.42 "
21552,Exc neck les sc 3 cm/>,"$10,028.50 "
21554,Exc neck tum deep 5 cm/>,"$9,817.45 "
21556,Exc neck tum deep < 5 cm,"$8,809.60 "
21930,Exc back les sc < 3 cm,"$11,155.08 "
21931,Exc back les sc 3 cm/>,"$11,726.95 "
21933,Exc back tum deep 5 cm/>,"$11,627.31 "
22551,Neck spine fuse&remov bel c2,"$38,616.97 "
22554,Neck spine fusion,"$30,197.65 "
22856,Cerv artific diskectomy,"$47,348.39 "
23071,Exc shoulder les sc 3 cm/>,"$11,214.40 "
23120,Partial removal collar bone,"$14,837.45 "
23412,Repair rotator cuff chronic,"$27,563.84 "
23515,Treat clavicle fracture,"$31,119.84 "
23552,Treat clavicle dislocation,"$32,296.48 "
23615,Treat humerus fracture,"$36,918.35 "
23700,Fixation of shoulder,"$6,372.94 "
24075,Exc arm/elbow les sc < 3 cm,"$16,837.59 "
24341,Repair arm tendon/muscle,"$22,819.79 "
24342,Repair of ruptured tendon,"$22,064.34 "
24685,Treat ulnar fracture,"$30,040.42 "
25000,Incision of tendon sheath,"$6,004.35 "
25111,Remove wrist tendon lesion,"$7,268.92 "
25405,Repair/graft radius or ulna,"$23,634.91 "
25447,Repair wrist joints,"$20,388.38 "
