Charge Code,Description,CPT/HCPCS,Fee
00000F,INVALID PROCEDURE CODE TES - HPA BOUND,,$0.00 
0042T,"CEREBRAL PERF ANALYSIS W/CTR ADM, INCL POST PROCESS - FAC",0042T,$966.00 
0071T,"US ABLATION OF UTERINE LEIOMYOMATA, LESS THAN 200 CC TISSUE",0071T,"$5,605.00 "
0072T,"US ABLATION OF UTERINE LEIOMYOMATA, GRTR THAN 200 CC TISSUE",0072T,"$5,605.00 "
0075T,TRSCTH PLCMNT EXTRACRANIAL VERTEBRAL/INTRATHORACIC CA STENT,0075T,"$13,053.00 "
0076T,"TRNSCTH PLC XTRACRNL VRTBRL/INTRTHRC CA STNT EA ADTNL,TECH",0076T,"$13,013.00 "
0100T,PROSTH RETINA RECEIVE&GEN,0100T,"$107,615.00 "
0101T,"EXTRACORP SHOCKWV TX,HI ENRG",0101T,"$7,479.00 "
0102T,"EXTRACORP SHOCKWV TX,ANESTH",0102T,"$7,479.00 "
0106T,TOUCH QUANT SENSORY TEST,0106T,$155.00 
0107T,VIBRATE QUANT SENSORY TEST,0107T,$155.00 
0108T,COOL QUANT SENSORY TEST,0108T,$388.00 
0109T,HEAT QUANT SENSORY TEST,0109T,$155.00 
0110T,NOS QUANT SENSORY TEST,0110T,$155.00 
0126T,CHD RISK IMT STUDY,0126T,$598.00 
0159T,CAD BREAST MRI,0159T,$96.00 
16001,APPLICATION OF AMPUTEE RIGID DRESSING- FAC,29799,$377.00 
0190T,PLACE INTRAOC RADIATION SRC - FAC,0190T,"$3,802.00 "
0191T,INSERT ANT SEGMENT DRAIN INT - FAC,0191T,"$8,526.00 "
0198T,OCULAR BLOOD FLOW MEASURE - FAC,0198T,$297.00 
0200T,PERQ SACRAL AUGMT UNILAT INJ,0200T,"$8,601.00 "
0201T,PERQ SACRAL AUGMT BILAT INJ,0201T,"$7,106.00 "
0206T,REMOTE ALGORITHM ANALYS ECG,0206T,$388.00 
0207T,CLEAR EYELID GLAND W/HEAT - FAC,0207T,$154.00 
0208T,AUTOMATED AUDIOMETRY AIR,0208T,$128.00 
0209T,AUTO AUDIOMETRY AIR/BONE,0209T,$128.00 
0210T,AUTO AUDIOMETRY SP THRESH,0210T,$128.00 
0211T,AUTO AUDIOMETRY  SP THRESH,0211T,$128.00 
0212T,COMPREHEN AUTO AUDIOMETRY,0212T,$348.00 
0213T,US FACET JT INJ CERV/T 1 LEV - FAC,0213T,"$2,017.00 "
0214T,US FACET JT INJ CERV/T 2 LEV - FAC,0214T,$673.00 
0215T,US FACET JT INJ CERV/T 3 LEV - FAC,0215T,$745.00 
0216T,US FACET JT INJ LS 1 LEVEL - FAC,0216T,"$1,932.00 "
0217T,US FACET JT INJ LS 2 LEVEL - FAC,0217T,$716.00 
0218T,US FACET JT INJ LS 3 LEVEL - FAC,0218T,$970.00 
0221T,FUSE SPINE FACET JT LUMBAR - FAC,0221T,"$8,601.00 "
0222T,FUSE SPINE FACET JT ADD SEG - FAC,0222T,"$6,081.00 "
0228T,"US TRANS EPI INJ, CERVICAL OR THORACIC, SNGL",0228T,"$1,932.00 "
0229T,"US TRANS EPI INJ, CERVICAL OR THORACIC, EA ADDL",0229T,$861.00 
0230T,"US TRANS EPI INJ, LUMBAR OR SACRAL, SNGL",0230T,"$1,932.00 "
0231T,"US TRANS EPI INJ, LUMBAR OR SACRAL, EA ADDL",0231T,"$1,309.00 "
0232T,"INJ PLATELET RICH PLASMA, GUIDED, HARVEST AND PREP",0232T,$388.00 
0234T,TRLUML PERIP ATHRC RENAL ART - FAC,0234T,"$16,134.00 "
0236T,TRLUML PERIP ATHRC ABD AORTA - FAC,0236T,"$19,531.00 "
0237T,"TRLUML PERIP ATHRC BRCHIOCPH, EA VESSEL - FAC",0237T,"$19,531.00 "
0238T,"TRLUML PERIP ATHRC ILIAC ART, EA VESSEL - FAC",0238T,"$16,134.00 "
0249T,LIGATION HEMORRHOID W/US - FAC,0249T,"$7,476.00 "
0253T,INSERT AQUEOUS DRAIN DEVICE - FAC,0253T,"$8,974.00 "
0263T,IM B1 MRW CEL THER CMPL,0263T,"$9,406.00 "
0264T,IM B1 MRW CEL THER XCL HRVST,0264T,"$9,406.00 "
0265T,IM B1 MRW CEL THER HRVST ONL,0265T,"$9,406.00 "
0266T,IMPLT/RPL CRTD SNS DEV TOTAL,0266T,"$8,471.00 "
0267T,IMPLT/RPL CRTD SNS DEV LEAD,0267T,"$4,804.00 "
0268T,IMPLT/RPL CRTD SNS DEV GEN,0268T,"$5,723.00 "
0269T,REV/REMVL CRTD SNS DEV TOTAL,0269T,"$8,471.00 "
0270T,REV/REMVL CRTD SNS DEV LEAD,0270T,"$6,118.00 "
0271T,REV/REMVL CRTD SNS DEV GEN,0271T,"$6,118.00 "
0272T,INTERROGATE CRTD SNS DEV,0272T,$468.00 
0273T,INTERROGATE CRTD SNS W/PGRMG,0273T,$468.00 
0274T,PERQ LAMOT/LAM CRV/THRC,0274T,"$12,718.00 "
0275T,PERQ LAMOT/LAM LUMBAR,0275T,"$12,718.00 "
0278T,TEMPR - FAC,0278T,$280.00 
0296T,EXT ECG RECORDING - FAC,0296T,$224.00 
0297T,EXT ECG SCAN W/REPORT - FAC,0297T,$399.00 
0308T,INSJ OCULAR TELESCOPE PROSTH,0308T,"$46,257.00 "
0313T,LAPS RMVL NSTIM ARRAY VAGUS - FAC,0313T,"$6,118.00 "
0314T,LAPS RMVL VGL ARRY & PLS GEN - FAC,0314T,"$6,118.00 "
0315T,RMVL VAGUS NERVE PLS GEN - FAC,0315T,"$6,118.00 "
0316T,REPLC VAGUS NERVE PLS GEN - FAC,0316T,"$7,519.00 "
0317T,ELEC ALYS VAGUS NRV PLS GEN - FAC,0317T,$104.00 
0330T,TEAR FILM IMG UNI OR BILAT W INT AND REPORT,0330T,$154.00 
0331T,HEART SYMP IMAGE PLANAR,0331T,"$3,473.00 "
0332T,HEART SYMP IMAGE PLANAR SPECT,0332T,"$3,473.00 "
0335T,EXTRAOSSEOUS JOINT STBLZTION - FAC,0335T,"$6,182.00 "
0337T,ENDOTHEL FXNASSMNT NON-INVAS - FAC,0337T,$332.00 
0338T,TRNSCTH RENAL SYMP DENRV UNL - FAC,0338T,"$7,105.00 "
0339T,TRNSCTH RENAL SYMP DENRV BIL - FAC,0339T,"$7,105.00 "
0342T,THXP APHERESIS W/HDL DELIP - FAC,0342T,"$9,406.00 "
0347T,INS BONE DEVICE FOR RSA,0347T,$388.00 
0348T,RSA SPINE EXAM,0348T,$316.00 
0349T,RSA UPPER EXTR EXAM,0349T,$316.00 
0350T,RSA LOWER EXTR EXAM,0350T,$316.00 
0355T,GI TRACT CAPSULE INTRALUMINAL ENDOSCOPY,0355T,"$2,818.00 "
0356T,INSRT DRUG DEVICE FOR IOP,0356T,$297.00 
0357T,CRYOPRESERVATION OOCYTE(S) IMMATURE - FAC,0357T,$541.00 
0358T,BIA WHOLE BODY,0358T,$155.00 
0359T,BEHAVIORAL ID ASSESSMENT,0359T,$313.00 
0360T,OBSERV BEHAV ASSESSMENT,0360T,$313.00 
3617,PHYSICAL CAPACITIES EXAM (PCE),97799,"$1,150.00 "
0361T,OBSERV BEHAV ASSESS ADDL,0361T,$204.00 
0362T,EXPOSE BEHAV ASSESSMENT,0362T,$313.00 
3636,ELECTRICAL STIMULTION (UNATTENDED) BY OT,97014,$60.00 
0363T,EXPOSE BEHAV ASSESS ADDL,0363T,$204.00 
0364T,BEHAVIOR TREATMENT,0364T,$297.00 
0365T,BEHAVIOR TREATMENT ADDL,0365T,$178.00 
0366T,GROUP BEHAVIOR TREATMENT,0366T,$219.00 
0367T,GROUP BEHAV TREATMENT ADDL,0367T,$147.00 
0368T,BEHAVIOR TREATMENT MODIFIED,0368T,$297.00 
0369T,BEHAV TREATMENT MODIFY ADDL,0369T,$178.00 
3703,MASSAGE THERAPY BY OT,97124,$101.00 
0370T,FAM BEHAV TREATMENT GUIDANCE,0370T,$385.00 
0371T,MULT FAM BEHAV TREAT GUIDE,0371T,$385.00 
3721,HOT OR COLD PACKS THERAPY BY OT,97010,$23.00 
0372T,SOCIAL SKILLS TRAINING GROUP,0372T,$219.00 
3730,"WHEELCHAIR MANAGEMENT, EACH 15MINS",97542,$138.00 
3731,GROUP THERAPEUTIC PROCEDURE,97150,$80.00 
3736,"NEUROMUSCULAR REEDUCATION, EACH 15MINS",97112,$153.00 
3738,MYOFASCIAL RELEASE/SOFT TISSUE MOBILIZATION,97140,$135.00 
3739,"THERAPEUTIC  EXERCISES,EACH 15MIN",97110,$147.00 
0373T,EXPOSURE BEHAVIOR TREATMENT,0373T,$383.00 
3740,BIOFEEDBACK  TRAINING BY ANY MODALITY,90901,$109.00 
3742,"SENSORY  INTEG, DIRECT PATIENT CONTACT BY PROV, EA 15 MIN",97533,$110.00 
3743,"MANUAL THERAPY, ONE OR MORE REGIONS, EACH 15 MINS, SLP",97140,$135.00 
3745,"APPLIC  OF A MODALITY TO ONE OR MORE AREAS, ELEC STIMUL",97032,$88.00 
3746,"COGNITIVE  SKILLS DEVEL, PATIENT CONTACT BY OT, PER VISIT",97127,$316.00 
3747,"COGNITIVE  SKILLS DEVEL, PATIENT CONTACT BY SLP, PER VISIT",97127,$316.00 
0374T,EXPOSE BEHAV TREATMENT ADDL,0374T,$242.00 
3750,"EVAL FOR RX OF NON-SPEECH GEN, W/PAT, 1ST HOUR BY ST",92607,$391.00 
3751,"EVAL FOR RX OF NON-SPEECH GEN, W/PAT, EA ADDL 30 MIN BY ST",92608,$164.00 
3752,"THERAPEUTIC SVCS, INCL PROGRAM & MODIF BY ST",92609,$340.00 
3754,"SELF CARE/HOME MANAGEMENT TRAINING, BY PT, EA 15MINS",97535,$159.00 
3755,"PHYSICAL PERFORMANCE TEST OR MEASURE, BY OT, EACH 15 MIN",97750,$101.00 
3756,"EVAL FOR USE AND/OR FITTING OF VOICE PROSTHETIC, BY ST",92597,$219.00 
3757,"APPLIC OF MODALITY TO ONE OR MORE AREAS, US, EACH BY OT",97035,$58.00 
3761,"ACTIVE WOUND CARE/20 CM OR LESS, BY PT",97597,$404.00 
3762,"ACTIVE WOUND CARE, EA ADDL 20 CM, OR PART - BY PT",97598,$153.00 
3763,"WOUND CARE NON-SELECTIVE, W/O ANESTH, PER SESSION, BY PT",97602,$418.00 
3764,"NEG PRESS WOUND TX, LESS THAN 50 CM, BY PT",97605,$230.00 
3765,"NEG PRESS WOUND TX, GREATER THAN 50 CM, BY PT",97606,$418.00 
3771,"ACTIVE WOUND CARE/20 CM OR LESS, BY OT",97597,$404.00 
3772,"ACTIVE WOUND CARE, EA ADDL 20 CM, OR PART - BY OT",97598,$153.00 
3773,"WOUND CARE NON-SELECTIVE, W/O ANESTH, PER SESSION, BY OT",97602,$418.00 
3774,"NEG PRESS WOUND TX, LESS THAN 50 CM, BY OT",97605,$230.00 
3775,"NEG PRESS WOUND TX, GREATER THAN 50 CM, BY OT",97606,$418.00 
3776,FLEX FIBEROPT ENDO EVAL OF SWALLOW (FEES) - BY SLP,92612,$474.00 
3777,"FLEX LARYNGOSCOPY,WITH STROBOSCOPYBY SLP",31579,"$1,102.00 "
3778,"SPEECH EVALUATION, COMPLEX - BY SLP",70371,$605.00 
3779,NASOPHARYNGOSCOPY W/ENDOSC - BY SLP,92511,$430.00 
0377T,ANOSCPY INJ AGENT FOR INCONT - FAC,0377T,"$7,476.00 "
3780,TEAM CONF W/PAT BY HC PRO - PT,99366,$151.00 
3781,TEAM CONF W/PAT BY HC PRO - OT,99366,$151.00 
3782,TEAM CONF W/PAT BY HC PRO - SLP,99366,$151.00 
3783,TEAM CONF W/O PAT BY HC PRO - PT,99368,$151.00 
3784,TEAM CONF W/O PAT BY HC PRO - OT,99368,$151.00 
3785,TEAM CONF W/O PAT BY HC PRO - SLP,99368,$151.00 
3786,COGNITIVE TEST BY HC PRO - BY OT,96125,$355.00 
3787,"VOICE BANKING, PER HOUR, BY SLP",92700,$340.00 
3791,"COGNITIVE SKILLS DEVELOPMENT,  BY OT, EA 15 MIN",G0515,$79.00 
3792,"COGNITIVE SKILLS DEVELOPMENT,  BY SLP, EA 15 MIN",G0515,$79.00 
0379T,VIS FIELD ASSMNT TECH SUPPT - FAC,0379T,$154.00 
0380T,COMP ANIMAT RET IMAG SERIES - FAC,0380T,$154.00 
0387T,LEADLESS C PM INS/RPL VENTR - FAC,0387T,"$23,832.00 "
0388T,LEADLESS C PM REMOVE VENTR - FAC,0388T,"$4,721.00 "
0389T,PROG EVAL INPER LEADLS PM - FAC,0389T,$104.00 
0391T,INTERGT EVAL INPER LEADLS PM - FAC,0391T,$104.00 
0394T,HDR ELCTRNC SKN SURF BRCHYTX - FAC,0394T,$624.00 
0395T,HDR ELCTR NTRST/NTRCV BRCHTX - FAC,0395T,"$2,252.00 "
0399T,MYOCARDIAL STRAIN IMAGING - FAC,0399T,$97.00 
4010,THERAPEUTIC ACTIVITIES EACH 15 MIN,97530,$159.00 
4012,COMMUNITY/WORK REINTEGRATION EACH 15 MIN,97537,$136.00 
0402T,COLLAGEN CROSSLINKING CORNEA - FAC,0402T,"$2,019.00 "
0404T,TRNSCRV UTERIN FIBROID ABLTJ - FAC,0404T,"$7,612.00 "
0408T,INSJ/RPLC CARDIAC MODULJ SYS - FAC,0408T,"$29,292.00 "
0409T,INSJ/RPLC CARDIAC MODULJ PLS - FAC,0409T,"$29,292.00 "
0410T,INSJ/RPLC CAR MODULJ ATR ELT - FAC,0410T,"$8,945.00 "
0411T,INSJ/RPLC CAR MODULJ VNT ELT - FAC,0411T,"$8,945.00 "
0412T,RMVL CARDIAC MODULJ PLS GEN - FAC,0412T,"$5,566.00 "
0413T,RMVL CAR MODULJ TRANVNS ELT - FAC,0413T,"$5,566.00 "
0414T,RMVL & RPL CAR MODULJ PLS GN - FAC,0414T,"$29,292.00 "
0415T,REPOS CAR MODULJ TRANVNS ELT - FAC,0415T,"$2,500.00 "
0416T,RELOC SKIN POCKET PLS GEN - FAC,0416T,"$4,090.00 "
0417T,PRGRMG EVAL CARDIAC MODULJ - FAC,0417T,$100.00 
0418T,INTERRO EVAL CARDIAC MODULJ - FAC,0418T,$100.00 
