"Category","Department","Charge","Cost"
"24 HOUR HOLTER MONITOR","CARDIOLOGY","HOLTER MONITOR HOOK UP",$86.48
"24 HOUR HOLTER MONITOR","CARDIOLOGY","HOLTER MONITOR SCAN & ANALYSIS",$432.41
"ADMISSION FEE","ADMISSION CHARGE","ADMISSION FEE",$138.00
"AMBULANCE-MED TRANSPORT","AMBULANCE REG.","AMBULANCE - MRI",$572.57
"AMBULATORY  SURGERY","MEDICAL ONCOLOGY","BLADDER INSTILLATION",$147.07
"AMBULATORY  SURGERY","MEDICAL ONCOLOGY","BONE MARROW",$294.15
"AMBULATORY  SURGERY","MEDICAL ONCOLOGY","DECLOTTING VAD",$330.92
"AMBULATORY  SURGERY","MEDICAL ONCOLOGY","LUMBAR PUNCTURE",$220.61
"AMBULATORY  SURGERY","MEDICAL ONCOLOGY","OMMAYA PUNCTURE",$147.07
"AMBULATORY  SURGERY","MEDICAL ONCOLOGY","STRAIGHT CATHETER",$147.07
"AMBULATORY  SURGERY","MEDICAL ONCOLOGY","URETHERAL CATH INSERT",$147.07
"AMBULATORY  SURGERY","OUTPATIENT/INFUSION SERVICES","LUMBAR PUNCTURE",$220.61
"AMBULATORY  SURGERY","OUTPATIENT/INFUSION SERVICES","PARACENTESIS OTHER THAN CHEMO",$441.22
"AMBULATORY  SURGERY","OUTPATIENT/INFUSION SERVICES","STRAIGHT CATHETER",$147.07
"AMBULATORY  SURGERY","SAME DAY SURGERY","SDS-3 HOURS",$1216.55
"AMBULATORY  SURGERY","SAME DAY SURGERY","SDS-BASIC",$1216.55
"AMBULATORY  SURGERY","SAME DAY SURGERY","SDS-EXTENDED STAY/OBSERVATION",$1216.55
"ANESTHESIA","ANESTHESIA","ANESTHESIA - PER MIN",$2.32
"BLOOD ADMINISTRATION","MEDICAL ONCOLOGY","TRANS,BLOOD OR COMPS(0-90 MIN)",$441.22
"BLOOD ADMINISTRATION","MEDICAL ONCOLOGY","TRANS,BLOOD/COMP (151-210 MIN)",$882.44
"BLOOD ADMINISTRATION","MEDICAL ONCOLOGY","TRANS,BLOOD/COMP (211-270 MIN)",$1103.05
"BLOOD ADMINISTRATION","MEDICAL ONCOLOGY","TRANS,BLOOD/COMP (271-330 MIN)",$1323.66
"BLOOD ADMINISTRATION","MEDICAL ONCOLOGY","TRANS,BLOOD/COMP (331-390 MIN)",$1544.27
"BLOOD ADMINISTRATION","MEDICAL ONCOLOGY","TRANS,BLOOD/COMP (391-450 MIN)",$1764.88
"BLOOD ADMINISTRATION","MEDICAL ONCOLOGY","TRANS,BLOOD/COMP (451-510 MIN)",$1985.49
"BLOOD ADMINISTRATION","MEDICAL ONCOLOGY","TRANS,BLOOD/COMPS (91-151 MIN)",$661.83
"BLOOD ADMINISTRATION","OUTPATIENT/INFUSION SERVICES","TRANS,BLOOD OR COMPS(0-90 MIN)",$441.22
"BLOOD ADMINISTRATION","OUTPATIENT/INFUSION SERVICES","TRANS,BLOOD/COMP(151-210 MIN)",$882.44
"BLOOD ADMINISTRATION","OUTPATIENT/INFUSION SERVICES","TRANS,BLOOD/COMP(211-270 MIN)",$1103.05
"BLOOD ADMINISTRATION","OUTPATIENT/INFUSION SERVICES","TRANS,BLOOD/COMP(271-330 MIN)",$1323.66
"BLOOD ADMINISTRATION","OUTPATIENT/INFUSION SERVICES","TRANS,BLOOD/COMP(331-390 MIN)",$1544.27
"BLOOD ADMINISTRATION","OUTPATIENT/INFUSION SERVICES","TRANS,BLOOD/COMP(391-450 MIN)",$1764.88
"BLOOD ADMINISTRATION","OUTPATIENT/INFUSION SERVICES","TRANS,BLOOD/COMP(451-510 MIN)",$1985.49
"BLOOD ADMINISTRATION","OUTPATIENT/INFUSION SERVICES","TRANS,BLOOD/COMP(91-150 MIN)",$661.83
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","ARC DIRECT PHERESED PLAT PROC",$947.61
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","ARC DIRECT/AUTOLOG DONOR FEE",$350.21
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","ARC IRAD PLATE CONC PROCESS",$133.90
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","ARC IRRAD DIR PHERE PROC PLATE",$1112.42
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","ARC IRRAD HLA PHERE PLAT PROC",$1287.52
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","ARC IRRAD LEUKO-RED PEDI RBC",$504.71
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","ARC IRRAD LEUKO-RED RBC PROC",$463.51
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","ARC IRRAD PEDIATRIC RBC PROCES",$350.21
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","ARC IRRAD PHERESED PLAT PROCES",$1112.42
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","ARC IRRAD RBC PROCESS",$350.21
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","ARC IRRADIATION BP EXC RP",$164.80
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","ARC IRRADIATION RAND PLT",$164.80
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","ARC LEUKO-RED PHERE PLATE PROC",$1030.02
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","ARC LEUKO-RED PLAT CONC",$123.60
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","ARC LEUKO-RED, IRRAD PLAT CONC",$144.20
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","ARC LEUKO-REDUCT PLATELET",$82.40
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","ARC PEDIATRIC LEUKO-RED RBC PR",$339.91
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","ARC PEDIATRIC RBC PROCESS",$226.60
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","ARC PEDIATRIC WB PROCESSING",$226.60
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","ARC RBC LEUKO-REDUCT",$113.30
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","ARC WASHING OF PLATELETS",$144.20
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","ARC WASHING OF RBC",$144.20
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","CRYO ARC PROCESSING",$72.10
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","DIRECTED RBC ARC PROCESS",$442.91
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","DIRECTED WB ARC PROCESSING",$442.91
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","FFP ARC PROCESSING",$82.40
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","FROZEN DEGLYC RBC PROCESSING",$535.61
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","LEUKO REDUCED RBC ARC PROCESSI",$298.70
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","PLASMA FRESH 24 HOURS",$82.40
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","PLATE PHER,HLA MAT,IRRAD,LEUKO",$1287.52
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","PLATE, PHER,WASHED,LEUKO-RED",$1194.82
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","PLATELET CONC ARC PROCESSING",$113.30
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","PLATELET PHERESIS ARC PROCESSI",$947.61
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","PLATELETS PHERESIS WASHED",$1112.42
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","PLATELETS,PHERESIS,IRRAD,LEUKO",$1194.82
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","RBC ARC PROCESSING",$185.40
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","RBC AUTOLOG,LEUKO RED,FROZ,DEG",$813.71
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","RBC, WMHS ALIQUOT",$226.60
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","RBC,DIRECTED,IRRAD,LEUKO RED",$463.51
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","RBC,LEUKO RED,FROZ,DEGL/WASHED",$648.91
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","WASHED RBC ARC PROCESSING",$329.61
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","WBC PHERESIS ARC PROCESSING",$1236.02
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","WHOLE BLOOD ARC PROCESSING",$278.10
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","WHOLE BLOOD IRRAD DIRECT",$556.21
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","WHOLE BLOOD IRRAD PEDIATRIC",$556.21
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","WHOLE BLOOD, IRRADIATED",$556.21
"BLOOD STORAGE AND PROCESSING","BLOOD BANK","WHOLE BLOOD, WMHS ALIQUOT",$226.60
"BLOOD STORAGE AND PROCESSING","BLOOD TEST","SPLITTING OF BLOOD/BL PROD EA",$41.20
"BLOOD/COMPONENTS","BLOOD BANK","ARC AUTOLOGOUS LEUKO-RED WB",$442.91
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","ABLAT OF ARR DIST DIFF FROM PR",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","AORTIC VALVULOPLASTY",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","BIOPSY MUSCLE DEEP",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","CARDIAC BIOPSY",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","CATH PLACE CORONARY ART",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","COM ED MUL CATH W IND SVT",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","COM EP AFIB PUL VEIN ISOLAT",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","COM EP MUL CATH W IND VT",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","COR ANG BY GR INT MAM W/ LT RT",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","COR ANG RIGHT & LEFT CATH",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","COR ANG W/ LEFT HEART CATH",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","COR ANG W/ RIGHT HEART CATH",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","COR ANG,BY GR INT MAM W/LT HT",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","COR ANG,BYP GRA INT MAM &RT HT",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","COR ANG,BYPASS GRAFTS INT MAMM",$1.00
