Current Price 1,Default CPT Code,Item Active,Item Description - Item Master,Item Number,Item Termination Date
103.88,80053,Y,COMPREHENSIVE METABOLIC PANEL w/ Reflex-,6090610,
0,,Y,NF-Premarin Oral Tablet 0.9MG,5387,
0,,Y,NF-Falmina Tab 0.2MF-0.1MG,5398,
0,,Y,NF-LaMICtal XR Extended Release Tab 100M,5517,
0,,Y,NF-Nuedexta Oral Capsule 20MG-10MG,6130,
0,,Y,NF-Terazosin HCl Oral Capsule 2MG,5992,
0,,Y,DRAIN 19 FR JACKSON-PRATT SU130-1325,6203390,
0,,Y,RXNF Minocycline HCl Capsule 50MG,5288,
0,,Y,RXNF oxyMORphone HCl Tab ER 15MG,5310,
5100,C1783,Y,STENT TRABECULAR BYPASS (IMPLANT),6213920,
0,,Y,RXNF aMILoride HCl Tablet 5MG,5388,
0,,Y,NF- Felodipine Tablet ER 5MG,5564,
298.36,,Y,ANSPACH BURR 6MM FLUTED BALL MIA166B,6213174,
205.8,,Y,BIT 2.3,8025916,
0,,Y,SUTURE 3-0 PDS II PS-2             Z497G,6215094,
0,,Y,SUCTION IRRIGATOR SURGIFLEX 007200-903,6200062,
568.75,C1713,Y,SCREW INCM PLYO 8.5X60MM 5.5MM TI,8040033,12/22/2018
0,,Y,RXNF PARoxetine HCL Tab ER 25MG,5287,
0,,Y,SUTURE 3-0 VICRYL PS-2             J497G,6215042,
0,,Y,NF-Adderall XR Oral Cap ER 30MG,6138,
0,,Y,NF-Systane Ophth Solution,5337,
0,,Y,RXNF Premarin Oral Tablet 0.9MG,3774,
0,,Y,RXNF Chloroquine Phosphate Tablet 250,6162,
0,,Y,RXNF Ziprasidone HCl Oral Capsule 20MG,5756,
740,C1713,Y,SCREW 3.0MM CANNULATED LAG 26MM,8011071,
0,,Y,RXNF Glyxambi Oral Tablet 25MG-5MG,5427,
205.8,,Y,BIT 2.5,8025918,
0,,Y,NF-EXCEDRIN EXTRA STRENGTH 250MG-250MG-6,5959,
0,,Y,NF-Glyxambi Oral Tablet 25MG-5MG,5428,
740,C1713,Y,SCREW 3.0MM CANNULATED LAG 24MM,8011072,
0,,Y,NF-Lansoprazole Oral Cap DR 30MG,5273,
0,,Y,NF-Glyxambi Oral Tablet 25MG-5MG,5429,
180.2,,Y,WASHER TRI MED,8015391,
0,,Y,RXNF Movantik Oral Tablet 25MG,5504,
175,,Y,CABLE SPECTRA 2' 1X16/ EXT,8025765,
0,,Y,RXNF Acebutolol HCl Capsule 200MG,5336,
0,,Y,erythromycin 0.5% ophth OINT 3.5 gm,2290384,
0,,Y,RXNF Alendronate Sod Oral Tablet 35MG,5399,
0,,Y,RXNF Azopt Ophth Suspension 1%,6233,
0,,Y,NF-CeleBREX Capsule 100MG,5440,
