System Generated Service Id,Description,Price,,
33667,RAD PRO ABSCESS IMAGING/WHOLE BODY,100.27,,
33108,REMOVAL OF BREAST LESION 1+,1000.08,,
30026,REMOVE HEPATIC SHUNT (TIPS),1001.47,,
29941,"DESTRUCTION BY NEUROLYTIC AGENT, PARAVERTEBRAL FACET JOINT NERVE(S), WITH IMAGING GUIDANCE (FLUOROSCOPY OR CT); CERVICAL OR THORACIC, SINGLE FACET JOINT",1006.28,,
30567,BX DONE W/COLPOSCOPY ADD-ON,101.00,,
30826,APPLY SHORT ARM SPLINT; STATIC,101.22,,
29977,ELECTRNC ANALY IMPLANT NEUROSTIMULATOR PULSE/SIMPLE W/INTRAOP OR SUB PRO,101.28,,
30463,ULTRASOUND PREGNANT TRANSVAGINAL,101.55,,
33714,RAD PRO BONE SCAN WHOLE BODY,101.88,,
33973,"RAD PRO OB US < 14 WKS, ADD'L FETUS",101.88,,
33878,RAD PRO LEVEEN SHUNT SCAN,101.93,,
32689,RA TRACER ID OF SENTINL NODE,101.95,,
30210,NASAL/ORAGASTRIC W/STENT,101.96,,
30406,"SUBSEQUENT INPATIENT PEDIATRIC CRITICAL CARE, PER DAY, FOR THE",1010.80,,
33524,EXC THIGH/KNEE LES SC 3 CM/>,1012.71,,
31991,PROF AMPUTATE TOE; MTP JOINT,1014.27,,
30263,"PERCUTANEOUS TRANSLUMINAL MECHANICAL THROMBECTOMY, VEIN(S), INCLUDING",1015.97,,
34184,RAD PRO CT - HEAD/BRAIN WO CONTRAST,102.68,,
33779,RAD PRO DENTA SCAN MANDIBLE/MAXILLA,102.72,,
30047,"IMPLANTATION, REVISION OR REPOSITIONING OF TUNNELED INTRATHECAL OR",1020.18,,
30054,INDUCED ABORTION BY ONE OR MORE VAGINAL SUPPOSITORIES W OR W/O CERVICAL,1025.49,,
30481,"VASCULAR BLOCK, TEMPORARY",103.69,,
33802,RAD PRO DISKOGRAPHY,103.85,,
30404,"SUBSEQUENT HOSPITAL CARE, PER DAY, FOR EVALUATION AND MANAGEMENT OF",103.96,,
30350,"REVASCULARIZATION, ENDOVASCULAR, OPEN OR PERCUTANEOUS, ILIAC ARTERY,",1034.68,,
30109,"INJECTION, TENDON SHEATH/LIGAMENT/TRIGGER POINTS/GANGLION CY",104.69,,
30293,"PROF COMP,FETAL BIOPHYSICAL PROFILE",104.96,,
32952,"REPAIR TCAT MITRAL VALVE PRO, ADDL",1043.02,,
32530,EXC SHOULDER LES SC 3 CM/>,1046.04,,
33967,"RAD PRO OB US, FOLLOW-UP, PER FETUS",105.25,,
30252,PERCUTAN IMPLANTATION NEUROSTIMULATOR ELECTRODE ARRAY EPIDURAL,1058.62,,
31671,IMAGE GUIDED CATH FLUID COLXN VISC,1059.12,,
30360,RIGHT&LEFT HRT ART/GRAFT/VENTRICLE ANGIO CATH PLACEMENT,1059.21,,
33997,RAD PRO PLACE DEVICE LOC BREAST EACH LESION US,106.07,,
