Charge description, Average charge/unit , Average self-pay charge/unit (30% discount) 
CVU FLOOR CARE PER DAY," $1,949.00 "," $1,364.30 "
ICU FLOOR CARE PER DAY," $1,949.00 "," $1,364.30 "
MEDICAL/ONCOLOGY FLR CARE PER DAY," $1,949.00 "," $1,364.30 "
MEDICAL/ONCOLOGY PER DAY," $1,949.00 "," $1,364.30 "
PEDIATRICS PER DAY," $1,949.00 "," $1,364.30 "
SIERRA SGY - PVT ROOM PER DAY," $1,138.00 ", $796.60 
SURGICAL FLOOR CARE PER DAY," $1,949.00 "," $1,364.30 "
SURGICAL PER DAY," $1,949.00 "," $1,364.30 "
W&C NON OB PER DAY," $1,949.00 "," $1,364.30 "
W&C OBS FLOOR CARE PED PER DAY," $1,949.00 "," $1,364.30 "
W&C OBSTETRICS PER DAY," $2,016.80 "," $1,411.76 "
MEDICAL/ONCOLOGY SEMI PVT PER DAY," $1,949.00 "," $1,364.30 "
GEM," $3,279.00 "," $2,295.30 "
PSYCHIATRIC," $3,279.00 "," $2,295.30 "
CD DETOX," $3,017.00 "," $2,111.90 "
CD REHAB," $1,624.00 "," $1,136.80 "
GEN WELL BABY PED FLR CARE PER DAY," $1,179.00 ", $825.30 
NURSERY GENERAL WELL BABY PER DAY," $1,179.00 ", $825.30 
NURSERY NEWBORN LEVEL 1 PER DAY," $1,395.00 ", $976.50 
PED NEWBORN LEVEL 1 PER DAY," $1,395.00 ", $976.50 
NURSERY NEWBORN LEVEL II PER DAY," $1,593.00 "," $1,115.10 "
PED NEWBORN LEVEL II PER DAY," $1,593.00 "," $1,115.10 "
NURSERY NEWBORN LEVEL III PER DAY," $1,793.00 "," $1,255.10 "
ICU SURGICAL UNIT PER DAY," $4,018.00 "," $2,812.60 "
ICU MEDICAL UNIT PER DAY," $4,018.00 "," $2,812.60 "
CV TELE PER DAY," $2,497.00 "," $1,747.90 "
ICU TELE PER DAY," $2,497.00 "," $1,747.90 "
MEDICAL/ONCOLOGY TELE PER DAY," $2,497.00 "," $1,747.90 "
SUR TELEMETRY PER DAY," $2,497.00 "," $1,747.90 "
TELEMETRY PER DAY," $2,497.00 "," $1,747.90 "
CARDIOVASCULAR ICU PER DAY," $4,018.00 "," $2,812.60 "
CVICU LEVEL PER DAY," $5,469.00 "," $3,828.30 "
CVICU STEPDOWN PER DAY ," $4,018.00 "," $2,812.60 "
TRANSITIONAL CARE UNIT PER DAY," $3,258.00 "," $2,280.60 "
0 BAR FEM08040 ENDOVASC STENT 8X40, $553.32 , $387.32 
0 BOS H96540XXXX WALLSTENT XXX90X75," $1,081.75 ", $757.23 
0 SKE SPLS-20140-TS SMOOTH PEG, $673.60 , $471.52 
0 SMI 25-2800 Q-FIX ANCHOR, $551.18 , $385.83 
"0 SMI 42824020S TMT FUSION PLT,LONG", $618.30 , $432.81 
0 SMI 72465209 PLATE FIBULA 2.7/3.5, $773.69 , $541.58 
0 SYN 209.XXX 7.3 CANN SCREW FT, $9.80 , $6.86 
0.9% NACL 25 ML IVPB, $91.99 , $64.39 
1 ART AR-8725-XX SCREW HEADLESS, $2.74 , $1.92 
1 BAR FEL10100 ENDOVAS STENT 10X100," $1,900.60 "," $1,330.42 "
1 BOS H965403310 WALLSTENT 16X40X75," $2,261.40 "," $1,582.98 "
1 SJM PM3222 LV GENERATOR, $575.80 , $403.06 
1 SKE TPLS-231XX-TS THR PG LCK 2.3, $386.23 , $270.36 
2 4WEB MOBIC-ADR CERVICAL DISC, $68.18 , $47.73 
2 ACU 7007-0107X LAT FIB PLATE, $46.26 , $32.38 
2 BOS H965404110 WALLSTENT 18X40X75, $23.21 , $16.25 
2 CAT 4FR MERIT BERN IMPRESS 46535, $0.95 , $0.67 
250 ML ALTERNATE POST OP EPIDURAL, $694.70 , $486.29 
250 ML STANDARD OB EPIDURAL, $529.16 , $370.41 
250 ML STANDARD POST OP EPIDURAL, $529.80 , $370.86 
3 BAR SM0002-USA ARISTA, $1.95 , $1.37 
3 BIO 185211 REV OFFSET ADAP EXPLAN, $129.47 , $90.63 
3 DEP SPI COMP CERVICAL SCREW, $967.50 , $677.25 
3 MED 97745 CONTROLLER, $2.25 , $1.58 
3 NUV SPI COMP RELINE MAS SHANK, $46.57 , $32.60 
3 SJM CAP PAIN TRIAL LEAD(S)/CABLE," $2,371.30 "," $1,659.91 "
3 ZAV SPI COMP CERV PLATE 1&2 LEVEL, $46.47 , $32.53 
4 ABB 1550300-38 STENT XIENCE SIERR, $68.70 , $48.09 
4 ART AR-3651TT FIBERTAK DR, $100.20 , $70.14 
4 BIO 185264 REV FEM W/SCR EXPLANT, $82.98 , $58.08 
4 MED 97725 WIRELESS EXT NEUROSTIM, $22.21 , $15.55 
4 NUV SPI COMP RELINE MAS TULIPHEAD, $65.60 , $45.92 
5 ACU 70-0338 DORSAL LUNATE PLATE, $280.24 , $196.17 
5 ACU 7008-0105 1/3 SEMI-TUB PL 5HL, $151.10 , $105.77 
5 ART AR-3602 FIBERTAK ANCHOR, $622.46 , $435.72 
5 BAR FEL07040 FLUENCY PLUS STENT, $59.70 , $41.79 
5 BIO 185344 REV PST AUG W/BLT EXPL, $25.08 , $17.56 
6 ACU 7008-0107 1/3 SEMI-TUB PL 7HL, $810.10 , $567.07 
6 BIO 148316 REV SPLINED V2 STEM, $225.13 , $157.59 
6 SYN 02.001.306 4.5 LCP CRVD CON P, $441.50 , $309.05 
7 ABI 005062 IMPELLA 5.0 PUMP, $603.20 , $422.24 
7 NUV 16016545 RELINE MAS SCREW CAN, $24.80 , $17.36 
7 ZAV SPI COMP CERV PLT 3&4 LEVEL, $2.20 , $1.54 
8 BIO 11-300919 REV WASTED DIST STM, $61.62 , $43.14 
8 BIO 8163-35-0XX 3.5 MULTI DIR SCR," $1,239.00 ", $867.30 
8 GLO SPI COMP STAND ALONE LUMBAR, $107.29 , $75.10 
9 CAT 86700 VOLCANO VISIONS PV.018, $154.70 , $108.29 
9 SKE GMN-RTS-3HL VOLAR PLATE, $69.18 , $48.43 
ACETAMINOPHEN 1000MG/100ML SDV, $377.63 , $264.34 
ACETYLCHOLINE CL 1%, $2.00 , $1.40 
ACETYLCYSTEINE 20% 30ML AMIH, $282.83 , $197.98 
ACETYLCYSTEINE 20MG/ML 4ML SDV, $177.39 , $124.17 
ACTIVATED CHARCOAL W/SORB 25GM, $125.90 , $88.13 
ACU 70-0288 CLAVICLE PLATE, $147.82 , $103.48 
ACU AT2-S24-S STAND ACUTRAK 2 SCR, $57.96 , $40.57 
ACU COL-3240 3.5 LOCKING SCREW, $4.10 , $2.87 
ACULAR 0.5% DROPS, $333.90 , $233.73 
ACYCLOVIR 1000MG/20ML SDV, $309.60 , $216.72 
ACYCLOVIR 200 MG/5 ML SUSP, $6.64 , $4.65 
