SVC CODE,SERVICES DESCRIPTION,CHGAMT,
441025115,IMMUNOTHERAPY SINGL INJECTION,$45.00 ,
441025117,IMMUNOTHERAPY 2+ INJECTION,$61.00 ,
441090471,IMMUNIZATION ADMIN 1 VACCINE,$86.00 ,
441090472,"IMMUNIZATION ADM,EA ADDTL VACCINE",$72.00 ,
441096361,OP HYDRATE IN INF ADD-ON EA HR,$545.00 ,
441096365,OP IV INF INITIAL UP TO 1HR,$700.00 ,
441096366,THERPROPHDIAG IV INF ADDON,$325.00 ,
441096369,SC THER INFUSION UP TO 1 HR,$229.00 ,
441096370,OP SC THER INFUSION ADDL HR,$70.00 ,
441096372,OP THERPROPHDIAG INJ SC IM,$461.00 ,
441096374,OP THERPROPHDIAG INJ IV PUSH,$512.00 ,
441096375,OP TXPRODX INJ NEW DRUG ADDON,$284.00 ,
260019212,LEVEL 2 TECH,$159.00 ,
260597802,MED NUTRI TX I,$89.00 ,
260597803,NUTRI TX RE-AS,$91.00 ,
65000001,"ANESTH SUPPLIES, LEVEL 1",$867.00 ,
65000010,ENDOTRACH REINF TUBE 8.0 CUFFED,$119.00 ,
65000011,ENDOTRACH REINF TUBE 7.5 CUFFED,$119.00 ,
65000012,ENDOTRACH REINF TUBE 7.0 CUFFED,$119.00 ,
65001250,SOMA SENSOR,$366.00 ,
65000013,ENDOTRACH REINF TUBE 6.5 CUFFED,$116.00 ,
65000133,PULMONARY ARTERY CATH,$172.00 ,
65000137,CVP DOUBLE LUMEN CATH TRAY 4.8FR,$311.00 ,
65000138,CVP DOUBLE LUMEN CATH TRAY 5.12,$311.00 ,
65000139,CVP DOUBLE LUMEN CATH TRAY 4.5FR,$311.00 ,
65000014,ENDOTRACH REINF TUBE 6.0 CUFFED,$119.00 ,
65000140,CVP DOUBLE LUMEN CATH TRAY 7.12FR,$311.00 ,
65000016,UNCUFFED REINF TRACHEAL TUBE 4.5,$107.00 ,
65000017,UNCUFFED REINF TRACHEAL TUBE 4.0,$107.00 ,
65000018,REINFORCED TRACH TUBE,$411.00 ,
65000019,UNCUFFED REINF TRACHEAL TUBE 3.0,$104.00 ,
65000002,"ANESTH SUPPLIES, LEVEL 2","$1,338.00 ",
65000020,UNCUFFED REINF TRACHEAL TUBE 2.5,$104.00 ,
65000240,CVP CATHETER SINGLE LUMEN,$152.00 ,
65000241,CVP CATHETER TRAY 7.12,$836.00 ,
65000242,EPIDURAL PUMP TUBING,$335.00 ,
65000244,CEREBRAL OXIMETER SENSOR,$466.00 ,
65000245,SENSOR BIS STANDARD,$130.00 ,
65000246,LEFT DBL LUMEN ENDOTRACHAEL TUBE,$320.00 ,
65000247,RT DBL LUMEN ENDOTRACH TUBE 26,$320.00 ,
65000248,LT DBL LUMEN ENDOTRACH TUBE 37,$417.00 ,
65000249,ENDOBRONCHIAL TUBE ARDNT 5FR,$406.00 ,
65000250,ENDOTRACHIAL TUBE ARDNT 9FR,$406.00 ,
65000003,"ANESTH SUPPLIES, LEVEL 3","$2,789.00 ",
65000004,"ANESTH SUPPLIES, LEVEL 4","$3,226.00 ",
65004011,MRI PACU 1ST 30M OP,"$1,260.00 ",
65004012,MRI PACU 2ND 1/2HR OP,$612.00 ,
65004500,LASER TUBE,$200.00 ,
65000500,BRONCH BLOCKERS,$250.00 ,
65000051,ENDOTRACH DBL LUMEN 35FR LEFT (3),$707.00 ,
65000052,ENDOTRACH DB LUMEN 35FR RIGHT (2),$707.00 ,
65000053,ENDOTRACH DB LUMEN 41FR RIGHT (2),$707.00 ,
65000054,ENDOTRACH DB LUMEN 39FR RIGHT (2),$554.00 ,
65000055,ENDOTRACH DBL LUMEN 39FR LEFT (3),$707.00 ,
65000056,ENDOTRACH DB LUMEN 37FR RIGHT (2),$554.00 ,
65000057,ENDOTRACH DBL LUMEN 41FR LEFT (3),$707.00 ,
65000058,ENDOTRACH DBL LUMEN 28FR LEFT (3),$707.00 ,
65000059,ENDOTRACH DB LUMEN 28FR RIGHT (2),$554.00 ,
65000650,MULTIPACK,$955.00 ,
65006500,NORA LEVEL 1 CHARGE,$229.00 ,
