CPT Code,CPT/Charge Description,List Price
10021,FINE NEEDLE ASPIRATION WO IMAGING (FAC),"$1,554.00 "
10021,FINE NEEDLE ASPIRATION WO IMAGING (PHY),"$1,554.00 "
10060,ABSCESS SIMPLE,$844.75 
10060,ABSCESS SIMPLE ER PHY,$844.75 
10060,ABSCESS SIMPLE FAC,$844.75 
10061,I&D ABSCESS COMPLX MULTI-ER PHY,"$1,554.00 "
10061,INCISION/DRAINAGE OF ABSCESS COMP (FAC),"$1,554.00 "
10080,I&D PILONIDAL CYST (FAC),"$2,864.25 "
10080,INCISION&DRAINAGE OF PILONIDAL CYST PHYS,"$2,864.25 "
10081,I&D PILONIDAL CYST COMPLEX,"$2,864.25 "
10120,10120 REMOVAL FB SUB Q SIMPLE,"$1,554.00 "
10120,10120 REMOVAL FB SUB Q SIMPLE FAC,"$1,554.00 "
10120,I&D FOREIGN BODY SIMPLE ER PHY,"$1,554.00 "
10121,REMOVE FOREIGN BODY-COMPLEX,"$6,740.15 "
10140,HEMATOMA,"$6,740.15 "
10140,HEMATOMA (FAC),"$6,740.15 "
10160,NEEDLE ASPIRAT ABSCESS HEMATOMA CYST PHY,"$1,554.00 "
10160,NEEDLE ASPIRATION ABSCESS HEMATOMA CYST,"$1,554.00 "
10160,PUNCTURE ASPIRATON (FAC),"$1,554.00 "
10180,POST-OP WOUND INFECTION - COMPLEX,"$11,624.35 "
11000,DEBRID ECZMT/INFECT SKIN <10% BSA,"$2,441.00 "
11042,"DEBRIDEMENT: SUB TISSUE, 1ST 20 CM OR <","$1,554.00 "
11043,"DEBRID SKIN, SQ, MUSCLE","$2,441.00 "
11044,DEBRIDEMENT BONE FIRS 20 SQ CM OR <,"$6,740.15 "
11045,"DEBRID SKIN, SQ EACH ADD 20 SQ CM","$4,286.70 "
11055,CALLUS REMOVAL (SINGLE),$844.75 
11056,CALLUS REMOVAL (2-4),$844.75 
11057,CALLUS REMOVAL (>4),$844.75 
11100,SKIN BIOPSY 1ST LESION,"$1,554.00 "
11101,SKIN BIOPSY ADDITIONAL LESION,"$2,255.50 "
11200,"REMOVAL OF SKIN TAGS, MULTI FIBRO, PHY",$844.75 
11200,"REMOVAL OF SKIN TAGS, MULTIPLE FIBRO FAC",$844.75 
11300,EXC LESION TRUNK <0.5,$844.75 
11303,SHAVE SKIN LESION <2CM,"$1,554.00 "
11400,EXC TR-EXT B9+ MARG .05 CM <,"$2,864.25 "
11401,"EXC LESION 0.6-1.0CM TRUNK, ARM, LEG","$1,554.00 "
11402,EXCISION BENIGN LESION 1.1 TO 2.0 CM FAC,"$2,864.25 "
11402,EXCISION BENIGN LESION 1.1 TO 2.0 CM PHY,"$2,864.25 "
11403,"EXC LESION 2.1-3.0CM TRUNK, ARM, LEG","$2,864.25 "
11404,"EXC LESION 3.1-4.0CM TRUNK, ARM, LEG","$6,740.15 "
11420,EXC H-F-NK-SP B9 + MARG .05 /<,"$6,740.15 "
11421,"EXC LESION 0.6-1.0 SCALP,NECK,HAND,FEET","$2,864.25 "
11422,"EXC LESION 1.1-2.0 SCALP,NECK,HAND,FEET","$6,740.15 "
11423,"EXC LESION 2.1-3.0 SCALP,NECK,HAND,FEET","$6,740.15 "
11440,"EXC LESION <0.5 FACE, EAR","$2,864.25 "
11441,"EXC LESION 0.6-1.0 FACE, EAR","$2,864.25 "
11442,"EXC LESION 1.1-2.0 FACE, EAR","$2,864.25 "
11443,"EXC LESION 2.1-3.0 FACE, EAR","$6,740.15 "
11450,EXCISION OF SKIN SIMPLE INTERMEDIATE REP,"$11,624.35 "
11720,DEBRIDEMENT NAIL 1-5,$279.80 
11721,DEBRIDEMENT NAIL 6+,$279.80 
11730,AVULSION NAIL PLATE SINGLE,$844.75 
11730,AVULSION NAIL PLATE SINGLE-PHY,$844.75 
11730,REMOVAL OF NAIL,$844.75 
11730,REMOVAL OF NAIL (FAC),$844.75 
11732,AVULSION NAIL PLATE EA  ADDL,$286.70 
11732,AVULSION NAIL PLATE EA  ADDL-FAC,$573.40 
11732,AVULSION NAIL PLATE EA  ADDL-PHY,$844.75 
11740,SUBUNGUAL HEMATOMA (FAC),$525.20 
11740,SUBUNGUAL HEMATOMA ER PHY,$525.20 
11750,EXCISE INGROWN TOENAIL (FAC),"$1,554.00 "
11750,REMOVAL OF NAILBED,"$1,554.00 "
11760,REPAIR OF NAIL BED,"$2,441.00 "
11760,REPAIR OF NAIL BED (FAC),"$2,441.00 "
11760,REPAIR OF NAIL BED (PHYS),"$2,441.00 "
11760,WADE EX OF SKIN INGROWN TOE NAIL (PHYS),"$2,441.00 "
11765,WADE EX OF SKIN INGROWN TOE NAIL (FAC),"$1,554.00 "
11900,INJECTION SKIN LESION 1-7,$844.75 
12001,REP LAC 2.5 CM OR LESS,$844.75 
12001,REP LAC 2.5 CM OR LESS (FAC),$844.75 
12001,RPR S/N/AX/GEN/TRNK 2.5CM/<,$844.75 
12002,REP LAC 2.6 CM-7.5 CM,$844.75 
12002,REP LAC 2.6 CM-7.5 CM (FAC),$844.75 
12002,SIMP REPAIR SUPERFIC WOUND 2.6/7.5 PHYS,$844.75 
