HOSPITAL,DESCRIPTION, STD CHARGE 
UPMC PINNACLE MEMORIAL,ROOM ROUTINE ACUTE,"$1,390.00 "
UPMC PINNACLE MEMORIAL,ROOM TELEMETRY RESP,"$1,964.00 "
UPMC PINNACLE MEMORIAL,ROOM ICU,"$3,501.00 "
UPMC PINNACLE MEMORIAL,ROOM INTERMEDIATE,"$1,965.00 "
UPMC PINNACLE MEMORIAL,ROOM NURSERY,"$1,243.00 "
UPMC PINNACLE MEMORIAL,ROOM NURSERY L2,"$1,012.00 "
UPMC PINNACLE MEMORIAL,HEMOGLOBIN A1C,$104.00 
UPMC PINNACLE MEMORIAL,UREA NITROGEN URINE,$33.00 
UPMC PINNACLE MEMORIAL,URIC ACID URINE,$33.00 
UPMC PINNACLE MEMORIAL,VANCOMYCIN,$160.00 
UPMC PINNACLE MEMORIAL,T4 TOTAL (THYROXINE),$80.00 
UPMC PINNACLE MEMORIAL,CBC AUTO DIFFERENTIAL,$51.00 
UPMC PINNACLE MEMORIAL,DRUG SCREEN URINE-A,$145.00 
UPMC PINNACLE MEMORIAL,TSH T-F,$134.00 
UPMC PINNACLE MEMORIAL,CARBAMAZEPINE (TEGRETOL),$145.00 
UPMC PINNACLE MEMORIAL,FERRITIN,$140.00 
UPMC PINNACLE MEMORIAL,PHENOBARBITAL,$145.00 
UPMC PINNACLE MEMORIAL,THEOPHYLLINE,$145.00 
UPMC PINNACLE MEMORIAL,DILANTIN (PHENYTOIN),$145.00 
UPMC PINNACLE MEMORIAL,VALPROIC ACID (DEPAKOTE),$145.00 
UPMC PINNACLE MEMORIAL,THROMBIN TIME,$65.00 
UPMC PINNACLE MEMORIAL,DIGOXIN,$131.00 
UPMC PINNACLE MEMORIAL,LACTIC ACID,$158.00 
UPMC PINNACLE MEMORIAL,IRON AND IRON BINDING CAPAC-A,$42.00 
UPMC PINNACLE MEMORIAL,IRON AND IRON BINDING CAPAC-B,$108.00 
UPMC PINNACLE MEMORIAL,OSMOLALITY,$134.00 
UPMC PINNACLE MEMORIAL,OSMOLALITY URINE,$134.00 
UPMC PINNACLE MEMORIAL,CBC (HEMOGRAM),$35.00 
UPMC PINNACLE MEMORIAL,T4 FREE (THYROXINE ),$80.00 
UPMC PINNACLE MEMORIAL,MALARIA SMEAR,$28.00 
UPMC PINNACLE MEMORIAL,GGT,$37.00 
UPMC PINNACLE MEMORIAL,CK,$114.00 
UPMC PINNACLE MEMORIAL,T3 UPTAKE,$102.00 
UPMC PINNACLE MEMORIAL,LITHIUM,$110.00 
UPMC PINNACLE MEMORIAL,AMYLASE,$55.00 
UPMC PINNACLE MEMORIAL,TRIGLYCERIDES,$41.00 
UPMC PINNACLE MEMORIAL,PTT,$48.00 
UPMC PINNACLE MEMORIAL,LD,$35.00 
UPMC PINNACLE MEMORIAL,ALKALINE PHOSPHATASE,$34.00 
UPMC PINNACLE MEMORIAL,SGOT(AST),$34.00 
UPMC PINNACLE MEMORIAL,SGPT (ALT),$34.00 
UPMC PINNACLE MEMORIAL,BILIRUBIN DIRECT,$41.00 
UPMC PINNACLE MEMORIAL,BILIRUBIN TOTAL,$22.00 
UPMC PINNACLE MEMORIAL,PHOSPHOROUS,$22.00 
