CDM DESCRIPTION,PRIMARY PRICE
24 HR HOLTER MONITOR,$744.00 
3D ECHOCARDIOGRAM,$837.00 
5 HIAA URINE               WMC,$121.00 
AAA SCREENING,$845.00 
AB TO EARLY AG-DIFFUSE (EBVA),$143.00 
AB TO NUCLEAR AG (EBNA),$136.00 
ABD FLAT + ERECT AND/OR DECUB,$442.00 
ABD. SERIES COMPLETE/V CHEST,$665.00 
ABDOMEN/KUB (1 AP VIEW) (EX),$437.00 
ABDOMINAL AORTOGRAM W/SER,"$5,212.00 "
ABG POC,$228.00 
ABI/LOWER EXT ART LTD,$487.00 
ABLATION LASER FIST VEIN,"$4,199.00 "
ABO GROUP                  WMC,$71.00 
ABSCESS DRAIN/SPEC COL/TUBE PL,"$1,939.00 "
AC JOINTS/BILATERAL,$298.00 
ACETONE BLD QUALITATIVE,$29.00 
ACROMINO CLAVIC BRACE,$630.00 
ACT KAOLIN POC,$133.00 
ACUCAIR AC200 ACUTE CARE,$91.00 
ACUCAIR AC200 SB,$91.00 
ACYCARNITINES QUANT NEONATE,$337.00 
ADD VESSEL AFTER BASIC/ANGIO,"$2,878.00 "
"ADH,ANTIDIURETIC HORMONE",$244.00 
ADM FEE INFLUENZA VACCINE,$53.00 
ADM FEE PNEUMACOCCAL VACCINE,$53.00 
ADM FEE PNEUMACOCCAL VACCINE,$53.00 
ADM FEE-INFLUENZA VACCINE,$53.00 
ADRENOCORTICOTROPHIC HORM  WMC,$303.00 
ADSORPTION                 WMC,$143.00 
ADULT NONINVASIVE VENT INITIAL,$857.00 
ADULT VENT INITIAL DAY,"$1,714.00 "
AERO/VAPOR INHAL FOR SPUT INDU,$137.00 
AERO/VAPOR INHAL SPUT IND SUB,$179.00 
AEROBIC ID,$103.00 
AEROBIC ISOLATE ID,$103.00 
AEROSOL INITIAL,$137.00 
AEROSOL PENTAM,$242.00 
AEROSTENT SIZING DEVICE,$918.00 
AFB SUSCEPT PROPORTION METH,$132.00 
AFP L3 FRAC ISOFORM& TOT AFP,$500.00 
AIRWAY RESIST BY OSCILLOMETRY,$358.00 
