Enc - MS DRG,DRG Desc,Avg Charges
39,EXTRACRANIAL PROCEDURES W/O CC/MCC,"14,705"
62,ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W CC,"37,015"
64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,"41,066"
65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,"26,472"
66,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,"25,315"
69,TRANSIENT ISCHEMIA W/O THROMBOLYTIC,"21,506"
70,NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,"53,756"
71,NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,"33,332"
74,CRANIAL  PERIPHERAL NERVE DISORDERS W/O MCC,"23,835"
91,OTHER DISORDERS OF NERVOUS SYSTEM W MCC,"39,419"
92,OTHER DISORDERS OF NERVOUS SYSTEM W CC,"26,085"
101,SEIZURES W/O MCC,"23,174"
103,HEADACHES W/O MCC,"25,677"
149,DYSEQUILIBRIUM,"19,736"
153,OTITIS MEDIA  URI W/O MCC,"14,697"
163,MAJOR CHEST PROCEDURES W MCC,"129,090"
164,MAJOR CHEST PROCEDURES W CC,"61,336"
166,OTHER RESP SYSTEM O.R. PROCEDURES W MCC,"62,629"
167,OTHER RESP SYSTEM O.R. PROCEDURES W CC,"46,395"
175,PULMONARY EMBOLISM W MCC,"36,536"
176,PULMONARY EMBOLISM W/O MCC,"20,434"
177,RESPIRATORY INFECTIONS  INFLAMMATIONS W MCC,"39,185"
178,RESPIRATORY INFECTIONS  INFLAMMATIONS W CC,"33,730"
189,PULMONARY EDEMA  RESPIRATORY FAILURE,"31,184"
190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,"25,799"
191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,"22,859"
192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,"16,499"
193,SIMPLE PNEUMONIA  PLEURISY W MCC,"30,174"
194,SIMPLE PNEUMONIA  PLEURISY W CC,"23,458"
195,SIMPLE PNEUMONIA  PLEURISY W/O CC/MCC,"17,273"
202,BRONCHITIS  ASTHMA W CC/MCC,"23,582"
203,BRONCHITIS  ASTHMA W/O CC/MCC,"16,479"
208,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS,"54,823"
220,CARDIAC VALVE  OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,"125,157"
226,CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W MCC,"81,861"
227,CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W/O MCC,"82,216"
228,OTHER CARDIOTHORACIC PROCEDURES W MCC,"175,519"
229,OTHER CARDIOTHORACIC PROCEDURES W/O MCC,"105,327"
233,CORONARY BYPASS W CARDIAC CATH W MCC,"184,598"
234,CORONARY BYPASS W CARDIAC CATH W/O MCC,"113,535"
235,CORONARY BYPASS W/O CARDIAC CATH W MCC,"130,269"
236,CORONARY BYPASS W/O CARDIAC CATH W/O MCC,"106,954"
242,PERMANENT CARDIAC PACEMAKER IMPLANT W MCC,"83,487"
243,PERMANENT CARDIAC PACEMAKER IMPLANT W CC,"51,300"
244,PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,"37,772"
246,PERCUTANEOUS CARDIOVASCULAR PROCEDURES W DRUG-ELUTING STENT W MCC OR 4+ ARTERIES OR STENTS,"69,154"
247,PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,"49,432"
252,OTHER VASCULAR PROCEDURES W MCC,"82,879"
253,OTHER VASCULAR PROCEDURES W CC,"70,532"
264,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,"70,610"
271,OTHER MAJOR CARDIOVASCULAR PROCEDURES W CC,"106,620"
273,PERCUTANEOUS INTRACARDIAC PROCEDURES W MCC,"70,568"
274,PERCUTANEOUS INTRACARDIAC PROCEDURES W/O MCC,"65,629"
280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC","43,309"
281,ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,"31,600"
282,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC","27,159"
286,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC","47,142"
287,CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,"33,701"
291,HEART FAILURE  SHOCK W MCC OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),"30,253"
292,HEART FAILURE  SHOCK W CC,"24,807"
293,HEART FAILURE  SHOCK W/O CC/MCC,"19,440"
299,PERIPHERAL VASCULAR DISORDERS W MCC,"40,946"
300,PERIPHERAL VASCULAR DISORDERS W CC,"21,347"
303,ATHEROSCLEROSIS W/O MCC,"21,470"
305,HYPERTENSION W/O MCC,"23,612"
308,CARDIAC ARRHYTHMIA  CONDUCTION DISORDERS W MCC,"39,819"
309,CARDIAC ARRHYTHMIA  CONDUCTION DISORDERS W CC,"20,028"
310,CARDIAC ARRHYTHMIA  CONDUCTION DISORDERS W/O CC/MCC,"15,807"
312,SYNCOPE  COLLAPSE,"26,851"
313,CHEST PAIN,"23,696"
314,OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,"38,960"
315,OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,"22,700"
329,MAJOR SMALL  LARGE BOWEL PROCEDURES W MCC,"102,871"
330,MAJOR SMALL  LARGE BOWEL PROCEDURES W CC,"46,871"
331,MAJOR SMALL  LARGE BOWEL PROCEDURES W/O CC/MCC,"32,035"
336,PERITONEAL ADHESIOLYSIS W CC,"48,206"
371,MAJOR GASTROINTESTINAL DISORDERS  PERITONEAL INFECTIONS W MCC,"43,254"
372,MAJOR GASTROINTESTINAL DISORDERS  PERITONEAL INFECTIONS W CC,"23,760"
373,MAJOR GASTROINTESTINAL DISORDERS  PERITONEAL INFECTIONS W/O CC/MCC,"16,340"
377,G.I. HEMORRHAGE W MCC,"48,081"
378,G.I. HEMORRHAGE W CC,"27,682"
386,INFLAMMATORY BOWEL DISEASE W CC,"24,784"
389,G.I. OBSTRUCTION W CC,"18,468"
390,G.I. OBSTRUCTION W/O CC/MCC,"15,728"
391,"ESOPHAGITIS, GASTROENT  MISC DIGEST DISORDERS W MCC","39,098"
392,ESOPHAGITIS GASTROENT  MISC DIGEST DISORDERS W/O MCC,"22,213"
393,OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC,"39,807"
394,OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,"25,583"
395,OTHER DIGESTIVE SYSTEM DIAGNOSES W/O CC/MCC,"15,754"
417,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,"43,578"
