Supply Name,Calculated Charge
BLADE INFER TURB L11CM OD2.9MM,$781.33
BLADE INFER TURB L11CM OD2.9MM,$781.33
KNIFE OPHTHALMIC OD.9 MM STRAIGHT TAPERED TIP EDGEAHEAD F/SELF SEALING WOUND,$73.62
IMPLANT OPHTHALMIC THK1 MM 1.4 GM 3 DIMENSIONAL DESIGN EYELID CONTOUR GOLD STERILE,"$1,224.25"
NEEDLE INSUFFLATION L120 MM OD14 GA STAINLESS STEEL STERILE,$14.18
GRAFT DERMAL L3.9 IN X W3.9 IN SQUARE PROCESSED MATRIX ALLOMAX ACELLULAR HUMAN DERMIS,"$9,480.90"
GRAFT DERMAL L3.9 IN X W2 IN RECTANGULAR PROCESSED MATRIX ALLOMAX ACELLULAR HUMAN DERMIS,"$4,742.40"
GRAFT DERMAL L3.9 IN X W2.8 IN RECTANGULAR PROCESSED MATRIX ALLOMAX ACELLULAR HUMAN DERMIS,"$6,641.70"
GRAFT HUMAN TISSUE L15 CM X W10 CM RECTANGULAR PROCESSED ALLOMAX DERMAL COLLAGEN,"$13,490.20"
GUIDEWIRE VASCULAR L200 CM OD.014 IN STANDARD L10 CM FLATTENED INNER RIBBON RADIOPAQUE TIP SOFT ACCESS LENGTH SYNCHRO2 NITINOL HYDROPHILIC,"$1,953.82"
FORCEPS OPHTHALMIC OD25 GA ILM GRIESHABER REVOLUTION STERILE DISPOSABLE,$473.10
DEVICE VASCULAR CLOSURE 6FR FEMORAL ARTERY INTRAVASCULAR COLLAGEN PLUG ANGIOSEAL ( 610130 ),$788.50
BAND ANNULOPLASTY 29 MM FLEXIBLE W/ CHORDAL GUIDE DURAN ANCORE STERILE DISPOSABLE 620B,"$5,850.00"
BAND ANNULOPLASTY 27 MM FLEXIBLE W/ CHORDAL GUIDE DURAN ANCORE STERILE DISPOSABLE 620B,"$5,850.00"
BAND ANNULOPLASTY 31 MM FLEXIBLE W/ CHORDAL GUIDE DURAN ANCORE STERILE DISPOSABLE 620B,"$5,850.00"
SEAL CANNULA OD8 MM FLIP TOP ENDOWRIST DA VINCI DISPOSABLE,$67.50
COVER SCISSORS OD8 MM TIP STANDARD ROBOTIC ENDOWRIST DA VINCI DISPOSABLE F/MONOPOLAR CURVED SCISSORS,$90.00
KIT ELECTROSURGICAL 4X BIPOLAR OPEN SURGERY HABIB,"$10,785.13"
SCREW BONE CORTICAL 2X14MM STAINLESS STEEL NSTRL DISTAL RADIUS STARDRIVE 201814,$166.77
SCREW BONE CORTICAL 2X18MM STAINLESS STEEL NSTRL DISTAL RADIUS STARDRIVE 201818,$166.77
SCREW BONE L22 MM OD2 MM SELF TAPPING CORTICAL STAINLESS STEEL NONSTERILE,$166.77
