ProcedureID,Description,Charge
0,HOLDING BIN,$0.00
18,ACYCLOVIR CAP (ZOVIRAX) 200 MG,$3.30
34,ACYCLOVIR OINT(ZOVIRAX) 5%,$644.10
59,VIT-A&D OINT 2 OZ.,$12.20
232,AMLODIPINE 10MG TABLET,$1.00
240,METFORMIN 1000MG TABLET,$3.00
273,ACETAMINOPHEN SUPP 325MG,$1.78
281,ACETAMINOPHEN SUPP 120MG,$1.48
323,LISINOPRIL 20MG TABLET,$2.30
331,ACETAMINOPHEN SUPP 650MG,$1.26
349,WARFARIN 4MG TABLET,$5.36
620,LISINOPRIL 40MG TABLET,$1.80
638,SIMVASTATIN 40MG TABLET,$9.70
646,COUMADIN TABLET 3MG,$5.37
695,EPINEPHRINE INJ 1:1000 1ML,$37.58
737,DIVALPROEX 500MG TABLET,$6.50
794,CEFTRIAZONE 2GM VIAL,$15.03
869,OXYMETAZOLINE NASAL SPRAY 15ML,$13.77
943,HYDROCORTISONE INJ 100 MG,$35.90
950,HYDROCORTISONE INJ 250 MG,$62.14
1032,ALBUTEROL INHALER (PROVENTIL),$2.39
1057,SPIRONOLACTONE TAB 25MG,$1.20
1081,ALDACTONE 12.5MG PER 1/2 TAB,$1.00
1099,CHLOROTHIAZIDE INJ 500MG,$387.10
1172,METHYLDOPA TAB  250 MG,$1.10
1222,TAMIFLU 75MG CAPSULE,$29.70
1248,NEMBUTAL 50 MG/ML 20ML VIAL,$3.19
1313,DEPO-MEDROL 80MG/ML VIAL,$48.20
1339,CUTIVATE 0.05% CREAM 30GM,$71.20
1347,CIPRO HC OTIC SUSPENSION,$570.44
1420,TYLENOL TABLET 325MG,$1.00
1530,FOSAMAX TAB 35MG TABLET,$39.50
1578,EMLA CREAM 5GM,$21.30
1586,ALBUTEROL SULF 2.5 MG/0.5 ML,$2.56
1602,LANOLIN HYDROUS 30GM OINT,$10.20
1628,FERROUS SULFATE 300MG/5ML UDC,$3.90
1636,TOPROL XL 12.5MG HALF TAB,$2.50
1644,AGGRENOX CAPSULE,$16.20
1693,HYDROPHOR OINTMENT,$16.40
1719,EXCEDRIN TABLET,$1.00
1735,ERYTHROM.ETHYLSUC.200MG SUSP,$35.80
1750,SODIUM BICARBONATE 325MG TAB,$1.00
1784,LOVENOX 120MG/0.8ML SYRINGE,$195.80
1792,ALCOHOL DEHYDRATED INJ 5ML,$193.00
1826,AZOPT 1% OPHTHALMIC SUSP,$546.06
1867,AMINOCAPROIC ACID TAB 500MG,$46.80
1875,LOVENOX 150MG/1ML SYRINGE,$243.60
1909,AVELOX IV 400 MG/250 ML BAG,$102.58
1941,DIAZEPAM 10 MG/2 ML INJ LL,$65.36
1990,CETAPHIL SKIN CLEANSER 240ML,$12.03
2063,CUROSURF 120MG/1.5ML VIAL,$781.72
2089,AUGMENTIN ES 600MG/5ML 75MLBTL,$1.50
2098,PRIVIGEN 10% 10GM 100ML BOTTLE,"$3,846.40"
2106,ULTIVA 1MG 3ML VIAL,$120.36
2113,LOTRIMIN AF 2 % POWDER,$21.00
2147,PLETAL TABLET 100MG,$3.80
2154,ROBITUSSIN SUGAR FREE,$1.08
2170,RISPERDAL 0.25MG TAB,$7.20
2197,PRIVIGEN 10% 5GM 50ML BOTTLE,"$1,928.20"
2220,PROTONIX 40MG INJECTION,$16.35
2246,METROGEL VAGINAL 70GM GEL,$266.90
2279,S-2 2.25% 0.5MLUD INHALATION,$4.31
2295,TYLENOL ARTHRITIS PAIN 650MG,$1.69
2303,MAGNESIUM OXIDE 400MG TABLET,$1.00
2402,AMOXICILLIN CAP 500 MG,$1.20
2436,AMOXICILLIN CAP 250 MG,$1.00
2451,VFEND 200 MG TABLET,$76.80
2469,DAKIN'S SOLUTION,$29.33
2543,PAXIL CR 25 MG TABLET,$11.40
2659,TACROLIMUS 0.5MG CAPSULE,$4.60
2667,LEVAQUIN TABLET 750MG,$47.10
2766,LEVAQUIN 750MG/150ML BAG,$18.76
2782,TRIAMCINOLONE ACTEON 0.025% CR,$27.20
2790,AMPICILLIN INJ 250MG,$13.00
2808,IPRATROPIUM BROMIDE HFA 12.9GM,$8.40
2824,AMPICILLIN INJ 125 MG,$15.00
2832,MAGNESIUM SULFATE 20GM/500ML,$20.00
2840,MEPERIDINE 50MG/ML 1ML VIAL,$7.74
2873,APAP/HYDROCODONE 325MG/7.5MG,$4.16
2881,AMPICILLIN INJ 1 GM,$21.36
2899,MINOXIDIL 10MG TABLET,$2.90
2915,AMPICILLIN INJ 500 MG,$13.40
2931,AMPICILLIN INJ 2 GM,$36.83
2964,DULOXETINE 20MG CAPSULE,$15.90
2972,LEVOTHYROXINE 0.0625MG 1/2 TAB,$1.00
3004,DEXTROSE 10%/0.45% NACL 1000ML,$18.26
3012,HYDROCHLOROTHIAZIDE 12.5MG CAP,$1.10
3046,RISPERDONE 1MG M-TAB,$11.30
3079,WARFARIN 1.25MG PER 1/2 TABLET,$4.60
3087,ACETAMINOPHEN 325MG TAB(2X325),$1.00
3103,DEXAMETHASONE 10MG/1ML PF VIAL,$8.76
3137,QUININE SULFATE 324MG CAPSULE,$13.41
3186,ANALGESIC BALM 1 OZ,$12.90
3244,ANBESOL LIQUID,$10.00
3251,CEFAZOLIN INJ(KEFZOL) 1 GM,$5.93
3277,SUCCINYLCHOLINE INJ (ANECTINE),$48.80
3350,DAPTOMYCIN 1MG INJ (500MG),$860.34
3392,PHYSOSTIGMINE INJ 2MG/2ML,$84.59
3426,MECLIZINE TAB 12.5MG,$1.70
3459,MECLIZINE 25 MG TABLET,$1.90
3475,INVEGA 3MG ER TAB,$58.40
3517,ANUSOL-HC CREAM 1OZ.,$145.80
3541,ANUSOL-HC SUPP,$43.60
3558,SOLIFENACIN 5MG TABLET,$26.64
3566,TYGACIL INJ 50MG/5ML,$300.48
3590,TROSPIUM CHLORIDE 20MG TABLET,$5.49
3699,HYDRALAZINE INJ 20MG/ML,$10.57
3723,HYDRALAZINE TAB 10 MG,$1.09
3749,DEXTROMETHORPHAN 540MG/90ML SU,$2.80
3756,HYDRALAZINE TAB 50 MG,$1.00
3764,KCL 20MEQ IN 0.45%NACL 1000ML,$19.95
3772,DOPAMINE 800MG/500MLBAG IN D5W,$50.07
3780,HYDRALAZINE TAB 25 MG,$1.00
3798,SITAGLIPTIN 50MG TABLET,$32.00
3855,IBUPROFEN 100MG/5ML SUSP UDC,$2.14
3863,TRIMETHOBENZAMIDE 300MG CAP,$3.12
3905,PHYTONADIONE INJ 10 MG/1 ML,$98.22
3939,PHYTONADIONE INJ 1 MG/0.5ML,$47.71
3954,BUDESONIDE EC 3MG TABLET,$43.70
3962,PREGABALIN 100MG CAPSULE,$20.52
3970,CEFDINIR 125MG/5ML 60ML SUSP,$8.89
4051,ARANESP 100MCG/0.5ML SYR,"$2,172.28"
4052,ARANESP INJ 100MCG,"$2,144.77"
4077,CEFDINIR 300MG CAPSULE,$10.10
4168,PREGABALIN 25MG CAPSULE,$20.14
4283,DECAVAC 0.5ML SYRINGE,$59.60
4291,TRIAMCINOLONE CREAM 0.1% 15GM,$16.70
4317,OXYCODONE CR 20MG TABLET,$16.07
4325,TRIAMCINOLONE INJ 40MG/1ML,$24.79
4341,SODIUM CHLORIDE 0.9% NASAL GEL,$12.13
4382,TRIAMCINOLONE OINT 0.1% 15GM,$15.39
4457,BUDESONIDE 180MCG INHALER,$436.59
4465,ROPIVACAINE 0.5% 20ML INJ,$18.77
4515,ZOLPIDEM 10MG TABLET,$11.78
4598,FENOFIBRATE 145MG TABLET,$10.10
4614,LORAZEPAM 2MG TABLET,$5.51
4697,FENOFIBRATE 48MG TABLET,$4.00
4721,CANDESARTAN 16MG TABLET,$6.60
4762,RIFAMPIN 150MG CAPSULE,$4.10
4770,TRIHEXYPHENIDYL TAB 2MG,$1.40
4788,LANTHANUM CARBONATE 500MG CHTB,$27.76
4861,SOD.CHLOR.HYPER. 3%/15ML NEB,$2.60
4879,ASCORBIC ACID TAB 250 MG,$1.00
4887,ASCORBIC ACID TAB 500 MG,$1.00
4937,MOXIFLOXACIN 400MG TABLET,$51.50
4960,HYDROMORPHONE 1MG/ML SYRINGE,$8.76
4986,ASPIRIN TAB CHEW TAB 81MG,$1.00
5009,DULOXETINE 30 MG CAPSULE,$11.60
5033,ACYCLOVIR 500MG/10ML VIAL,$14.80
5041,ASPIRIN TAB 325MG,$1.00
5058,ASPIRIN SUPP 650MG,$3.40
5082,DOBUTAMINE 250MG/250ML BAG,$43.89
5090,DOPAMINE 400MG/500ML BAG,$40.21
5108,HYDROXYZINE SYRUP 10MG/5ML,$4.90
5132,HYDROXYZINE TAB 10 MG,$1.00
5140,GEODON INJ 10MG (20MG),$100.40
5165,HYDROXYZINE TAB 50 MG,$2.50
5181,DOBUTAMINE 500MG/250ML BAG,$84.55
5199,HYDROXYZINE TAB 25 MG,$1.10
5215,MORPHINE SULF 4MG/1ML SYRINGE,$14.29
5264,MULTIVITAMIN PEDIATRIC INJ,$130.73
5298,TELMISARTAN 20MG TABLET,$10.80
5306,RISPERIDONE CONSTA 37.5MG INJ,"$1,250.10"
5322,TIOTROPIUM INHALER,$36.30
5330,NON-FORMULARY MEDICATION,$9.80
5355,ACETYLCYSTEINE 6000MG/30ML IV,$565.00
5363,ZONISAMIDE 100MG CAPSULE,$4.10
5397,ALTEPLASE 2 MG/2 ML VIAL,$496.55
5414,ARANESP INJ 40MCG,$864.50
5447,ACETYLCYSTEINE 20% 4ML VIAL,$29.00
5462,ATROPINE SULFATE INJ  0.4MG/ML,$21.15
5470,ATROPINE SULFATE INJ 1MG/10ML,$15.84
5553,RISPERDONE CONSTA 25MG/2ML INJ,$875.70
5595,METFORMIN XR 750MG TABLET,$2.60
5629,METAXALONE 800MG TABLET,$11.50
5637,SIMVASTATIN 5MG TABLET,$1.00
5653,HEPARIN FLUSH PF SYRINGE 10UNI,$9.99
5686,RIZATRIPTAN MLT 10MG TABLET,$83.70
5694,BUPROION XL 150MG TABLET,$10.30
5769,ZIPRASIDONE 80MG CAPSULE,$19.90
5777,IPRATROPIUM 0.03% NASAL SPRAY,$87.50
5801,CIPRO 200MG IV BAG,$12.37
5819,PRAVASTIN 20MG TABLET,$5.10
5827,AVEENO BATH REGULAR PACKET,$7.40
5835,ARANESP 1MCG X 300=(300MCG),"$6,418.80"
5836,ARANESP INJ 300MCG,"$6,418.80"
5876,ARIPIRAZOLE 10MG TABLET,$4.30
5877,ABILIFY 5MG TABLET,$4.30
5900,ATOMOXETINE HCL 40MG CAPSULE,$33.00
5934,VANCOMYCIN IV 500MG/10ML INJ,$10.34
6007,PROPOFOL 1000 MG/100 ML VIAL,$33.35
6023,TEARS NATURALE FREE OPHTH DROP,$7.00
6049,MONTELUKAST 4MG CHEW TABLET,$7.30
6098,BACID CAPSULES,$1.00
6114,PALIVIZUMAB 50MG VIAL,"$4,145.40"
6148,BACITRACIN OINT 1 OZ,$12.60
6189,"BACITRACIN POWDER 50,000U",$30.20
6221,CALCITONIN NASAL SPRAY 3.7ML,$195.70
6239,PRIVIGEN 10% 20GM 200ML BOTTLE,"$7,682.80"
6247,GASTROGRAFIN SOLUTION 30ML,$38.26
6254,GARAMYCIN/NACL 100MG/100ML,$13.19
6262,BETADINE 5% OPHTH PREP SOL,$35.36
6270,ERTAPENEM 1GM/20ML INJECTION,$239.39
6320,ARIXTRA 2.5 MG/0.5 ML SYRINGE,$91.99
6338,BALANCED SALT SOLN 15ML,$24.00
6346,READI-CAT-2 450ML SUSP,$9.60
6353,GARAMYCIN/NACL 80MG/100ML,$12.66
6379,TOLTERODINE LA 2MG CAP,$26.10
6411,HEPA. B VIR. VACC. 40MCG/ML VL,$323.60
6445,AZATHIOPRINE TAB (IMURAN) 50MG,$4.80
6585,GENTAMICIN 10MG/ML VIAL,$8.77
6692,DIPHENHYDRAMINE CAP 25MG,$1.00
6783,DIPHENHYDRAMINE CAP 50MG,$1.01
6825,BENADRYL CREAM 1% 1OZ,$13.44
6833,DIPHENHYDRAMINE INJ 50MG/1 ML,$6.57
6882,HUMATE-P 1 IU vWF:RCof,$3.61
6908,PROBENECID (BENEMID) TAB 500MG,$2.96
6965,DICYCLOMINE (BENTYL)CAP 10MG,$1.68
6999,DICYCLOMINE INJ 10MG/ML,$156.29
7120,RITUXIMAB 100MG/10ML VIAL,"$1,824.77"
7138,FENTANYL 75MCG/HR PATCH,$97.58
7161,AMINOCAPROIC ACID INJ 250MG/ML,$29.30
7187,CLARINEX 5 MG TABLET,$9.90
7195,OLMESARTAN MEDOXOMIL 20 MG TAB,$16.30
7302,LINEZOLID 600MG/300ML,$151.58
7377,ARIPIRAZOLE 15MG TABLET,$4.30
7393,NIASPAN 500MG TAB,$11.30
7419,LIDOCAINE 2% PF 10ML POLYAMP,$13.19
7443,LEXAPRO 10 MG TABLET,$8.60
7444,LEXAPRO 5MG  TABLET,$8.90
7492,PRONTONIX 20 MG TABLET,$7.90
7518,MEMANTINE 5MG TABLET,$2.20
7526,GUAIFENESIN ER 600MG TABLET,$2.20
7534,NIFEREX CAPSULE 150MG,$2.80
