"Sanford Hospital Rock Rapids, Rock Rapids, IA",
,
Description,Unit Charge
ROUTINE ROOM & BOARD,"$1,631.00 "
SKILLED SWING ROOM & BRD SEMI,"$1,024.00 "
SKILLED SWING ISOLATION ROOM,"$1,063.00 "
CRITICAL CARE ROOM CHARGE,"$2,563.00 "
INTERMEDIATE ROOM & BOARD,"$1,748.00 "
IV HYDRAT INITIAL 31-60MINS,$268.00 
IV HYDRATION EACH ADDL HR,$89.00 
IV INFUSION EA ADD HR,$149.00 
IV INFUS ADD SEQUEN NEW DRG1HR,$148.00 
SC IM INJECTION,$138.00 
IV PUSH INITIAL,$204.00 
INFUSION TX PROP DX,$324.00 
IV PUSH SEQUENTIAL NEW DRUG,$139.00 
IV PUSH ADDL SAME DRUG >30MINS,$138.00 
HB LAB GLUCOSE,$32.00 
HB LAB ARTERIAL PUNCTURE,$75.00 
HB LAB ABO,$25.00 
HB LAB ANTIBODY SCREEN,$67.00 
HB LAB RH,$25.00 
HB LAB DIRECT COOMBS,$39.00 
HB LAB CAPILLARY COLLECTION,$15.00 
HB LAB PROCESSING FEE,$43.00 
HB LAB VENIPUNCTURE,$13.00 
HB LAB CROSSMATCH ANTIGLOBULIN,$166.00 
HB LAB ANTIBODY ID,$134.00 
HB LAB CROSSMATCH IMMEDIATESPIN ,$146.00 
HB LAB VEN BLD COLLECTION IVAD,$136.00 
HB LAB URINE DRUG SCR COLLECTCORP CHG,$43.00 
HB LAB BLOOD ALCOHOL DRAW,$40.00 
HB LAB HCG QUANT,$100.00 
HB LAB AFP TUMOR MRKR,$115.00 
HB LAB ALBUMIN,$32.00 
HB LAB ALKALINE PHOSPHATE,$23.00 
HB LAB ALT,$36.00 
HB LAB AMYLASE,$45.00 
HB LAB AST,$31.00 
HB LAB TOTAL BILI,$34.00 
HB LAB DIRECT BILI,$32.00 
HB LAB BUN,$31.00 
HB LAB CALCIUM,$32.00 
HB LAB CARBON DIOXIDE,$28.00 
HB LAB CHLORIDE,$20.00 
HB LAB CHOLESTEROL,$30.00 
HB LAB CPK,$32.00 
HB LAB CREATININE,$31.00 
HB LAB IRON,$43.00 
HB LAB LDH,$42.00 
HB LAB PHOSPHORUS,$33.00 
HB LAB POTASSIUM,$32.00 
HB LAB SODIUM,$33.00 
HB LAB TRIGLYCERIDES,$40.00 
HB LAB URIC ACID,$32.00 
HB LAB DIGOXIN,$91.00 
HB LAB MAGNESIUM,$46.00 
HB LAB PSA,$126.00 
HB LAB TROPONIN QUANT,$99.00 
HB LAB TSH,$115.00 
HB LAB HCG QUAL ,$56.00 
HB LAB BASIC METABOLIC PANEL,$59.00 
HB LAB COMPREHENS METABOLC PANL,$72.00 
HB LAB PANEL HEPATIC FUNCTION,$56.00 
HB LAB LIPID PROFILE,$92.00 
HB LAB RENAL FUNCTION PANEL,$60.00 
HB LAB ELECTROLYTE PANEL,$36.00 
HB LAB MICROALBUMIN,$58.00 
HB LAB VITAMIN B12,$104.00 
HB LAB CREATININE CLEARANCE,$44.00 
HB LAB CEA,$129.00 
HB LAB PHENYTOIN,$91.00 
HB LAB FERRITIN,$93.00 
HB LAB FOLATE,$100.00 
HB LAB FREE T4 ,$86.00 
HB LAB LIPASE,$91.00 
HB LAB TACROLIMUS,$155.00 
HB LAB CARBAMAZEPINE (TEGRETOL),$110.00 
HB LAB GLUC TOL 3 SPEC & DOSE,$91.00 
HB LAB PROTEIN TOT SER,$25.00 
HB LAB B-TYPE NATRI PEPT,$231.00 
HB LAB GLYCOSYLATED (A1C) HGB,$64.00 
HB LAB IRON BINDING,$59.00 
HB LAB PHENOBARBITOL,$49.00 
HB LAB AMMONIA,$100.00 
HB LAB CALCIUM IONIZED,$125.00 
HB LAB PSA FREE,$126.00 
HB LAB SODIUM URINE,$34.00 
HB LAB C PEPTIDE,$143.00 
HB LAB PSA SCREENING,$126.00 
HB LAB STONE ANAL,$88.00 
HB LAB CORTISOL TOTAL SER,$95.00 
HB LAB FSH,$124.00 
HB LAB LUTENIZING HORMONE,$124.00 
HB LAB INSULIN LEVEL,$78.00 
HB LAB LITHIUM,$46.00 
HB LAB ELECTROPHORESIS SER,$80.00 
HB LAB CALCIUM 24 HR UR,$34.00 
HB LAB VIT D 1 25-DIHYDROXY SER,$263.00 
HB LAB VIT D 25-HYDR,$202.00 
HB LAB VALPROIC ACID (DEPAKANE),$110.00 
HB LAB PRIMIDONE (MYSOLINE),$120.00 
HB LAB ALDOLASE,$67.00 
