Tufts Medical Center -- 2018,,
,,
,,
Medicare Severity Diagnosis Related Groups (MS DRGs),MS DRG Description 2018, 2018 Average Charge / Inpatient Case 
1,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC," 627,642 "
2,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC," 266,759 "
3,"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R."," 543,744 "
4,"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R."," 408,695 "
11,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC"," 150,435 "
12,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC"," 99,667 "
13,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC"," 76,370 "
14,ALLOGENEIC BONE MARROW TRANSPLANT," 449,187 "
16,AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC," 180,400 "
20,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC," 295,231 "
23,CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE CNS PDX W MCC OR CHEMOTHERAPY IMPLANT OR EPILEPSY W NEUROSTIMULATOR," 155,326 "
24,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC," 75,850 "
25,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC," 74,068 "
26,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC," 74,523 "
27,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC," 80,335 "
28,SPINAL PROCEDURES W MCC," 80,441 "
29,SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS," 47,916 "
30,SPINAL PROCEDURES W/O CC/MCC," 46,429 "
31,VENTRICULAR SHUNT PROCEDURES W MCC," 83,086 "
32,VENTRICULAR SHUNT PROCEDURES W CC," 29,271 "
33,VENTRICULAR SHUNT PROCEDURES W/O CC/MCC," 33,170 "
37,EXTRACRANIAL PROCEDURES W MCC," 107,906 "
38,EXTRACRANIAL PROCEDURES W CC," 68,841 "
39,EXTRACRANIAL PROCEDURES W/O CC/MCC," 28,057 "
40,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC," 60,522 "
41,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM," 54,393 "
42,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC," 39,256 "
52,SPINAL DISORDERS & INJURIES W CC/MCC," 25,537 "
54,NERVOUS SYSTEM NEOPLASMS W MCC," 32,846 "
55,NERVOUS SYSTEM NEOPLASMS W/O MCC," 25,167 "
56,DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC," 98,794 "
57,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC," 31,593 "
59,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC," 55,394 "
60,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC," 21,765 "
61,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W MCC"," 72,023 "
62,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W CC"," 51,358 "
63,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W/O CC/MCC"," 73,645 "
64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC," 61,519 "
65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS," 35,825 "
66,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC," 27,017 "
68,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC," 69,353 "
69,TRANSIENT ISCHEMIA W/O THROMBOLYTIC," 23,698 "
70,NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC," 61,960 "
71,NONSPECIFIC CEREBROVASCULAR DISORDERS W CC," 14,960 "
72,NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC," 13,494 "
73,CRANIAL & PERIPHERAL NERVE DISORDERS W MCC," 30,950 "
74,CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC," 27,435 "
75,VIRAL MENINGITIS W CC/MCC," 47,640 "
76,VIRAL MENINGITIS W/O CC/MCC," 14,421 "
78,HYPERTENSIVE ENCEPHALOPATHY W CC," 15,440 "
81,NONTRAUMATIC STUPOR & COMA W/O MCC," 5,718 "
82,"TRAUMATIC STUPOR & COMA, COMA >1 HR W MCC"," 58,656 "
83,"TRAUMATIC STUPOR & COMA, COMA >1 HR W CC"," 23,733 "
84,"TRAUMATIC STUPOR & COMA, COMA >1 HR W/O CC/MCC"," 13,226 "
85,"TRAUMATIC STUPOR & COMA, COMA <1 HR W MCC"," 68,695 "
86,"TRAUMATIC STUPOR & COMA, COMA <1 HR W CC"," 20,913 "
87,"TRAUMATIC STUPOR & COMA, COMA <1 HR W/O CC/MCC"," 15,381 "
89,CONCUSSION W CC," 17,822 "
90,CONCUSSION W/O CC/MCC," 8,148 "
91,OTHER DISORDERS OF NERVOUS SYSTEM W MCC," 44,853 "
92,OTHER DISORDERS OF NERVOUS SYSTEM W CC," 26,157 "
93,OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC," 21,555 "
94,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W MCC," 115,466 "
95,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W CC," 54,633 "
96,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W/O CC/MCC," 63,799 "
97,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W MCC," 103,397 "
98,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W CC," 87,385 "
99,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W/O CC/MCC," 447,289 "
100,SEIZURES W MCC," 38,998 "
101,SEIZURES W/O MCC," 11,818 "
102,HEADACHES W MCC," 104,368 "
103,HEADACHES W/O MCC," 24,371 "
113,ORBITAL PROCEDURES W CC/MCC," 46,353 "
114,ORBITAL PROCEDURES W/O CC/MCC," 45,150 "
115,EXTRAOCULAR PROCEDURES EXCEPT ORBIT," 52,567 "
116,INTRAOCULAR PROCEDURES W CC/MCC," 42,244 "
117,INTRAOCULAR PROCEDURES W/O CC/MCC," 18,315 "
121,ACUTE MAJOR EYE INFECTIONS W CC/MCC," 17,516 "
122,ACUTE MAJOR EYE INFECTIONS W/O CC/MCC," 9,711 "
123,NEUROLOGICAL EYE DISORDERS," 23,169 "
124,OTHER DISORDERS OF THE EYE W MCC," 38,292 "
125,OTHER DISORDERS OF THE EYE W/O MCC," 28,537 "
129,MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE," 50,431 "
130,MAJOR HEAD & NECK PROCEDURES W/O CC/MCC," 87,385 "
131,CRANIAL/FACIAL PROCEDURES W CC/MCC," 103,214 "
132,CRANIAL/FACIAL PROCEDURES W/O CC/MCC," 53,758 "
133,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC"," 50,774 "
134,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC"," 21,272 "
135,SINUS & MASTOID PROCEDURES W CC/MCC," 42,665 "
136,SINUS & MASTOID PROCEDURES W/O CC/MCC," 30,014 "
137,MOUTH PROCEDURES W CC/MCC," 28,502 "
138,MOUTH PROCEDURES W/O CC/MCC," 19,037 "
139,SALIVARY GLAND PROCEDURES," 26,451 "
146,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC"," 40,008 "
147,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC"," 124,491 "
148,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W/O CC/MCC"," 19,587 "
149,DYSEQUILIBRIUM," 12,217 "
151,EPISTAXIS W/O MCC," 21,256 "
152,OTITIS MEDIA & URI W MCC," 24,537 "
153,OTITIS MEDIA & URI W/O MCC," 12,434 "
154,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W MCC"," 49,761 "
155,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC"," 16,000 "
156,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC"," 23,434 "
157,DENTAL & ORAL DISEASES W MCC," 66,075 "
158,DENTAL & ORAL DISEASES W CC," 15,597 "
159,DENTAL & ORAL DISEASES W/O CC/MCC," 12,758 "
163,MAJOR CHEST PROCEDURES W MCC," 95,027 "
164,MAJOR CHEST PROCEDURES W CC," 53,340 "
165,MAJOR CHEST PROCEDURES W/O CC/MCC," 38,926 "
166,OTHER RESP SYSTEM O.R. PROCEDURES W MCC," 103,238 "
167,OTHER RESP SYSTEM O.R. PROCEDURES W CC," 34,952 "
168,OTHER RESP SYSTEM O.R. PROCEDURES W/O CC/MCC," 29,934 "
175,PULMONARY EMBOLISM W MCC," 58,398 "
176,PULMONARY EMBOLISM W/O MCC," 21,732 "
177,RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC," 36,307 "
178,RESPIRATORY INFECTIONS & INFLAMMATIONS W CC," 25,293 "
179,RESPIRATORY INFECTIONS & INFLAMMATIONS W/O CC/MCC," 18,083 "
180,RESPIRATORY NEOPLASMS W MCC," 46,557 "
181,RESPIRATORY NEOPLASMS W CC," 21,567 "
183,MAJOR CHEST TRAUMA W MCC," 17,369 "
184,MAJOR CHEST TRAUMA W CC," 21,756 "
185,MAJOR CHEST TRAUMA W/O CC/MCC," 17,035 "
186,PLEURAL EFFUSION W MCC," 45,230 "
187,PLEURAL EFFUSION W CC," 38,304 "
188,PLEURAL EFFUSION W/O CC/MCC," 9,083 "
189,PULMONARY EDEMA & RESPIRATORY FAILURE," 43,442 "
190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC," 19,758 "
191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC," 13,566 "
192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC," 14,759 "
193,SIMPLE PNEUMONIA & PLEURISY W MCC," 27,622 "
194,SIMPLE PNEUMONIA & PLEURISY W CC," 15,175 "
195,SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC," 12,271 "
196,INTERSTITIAL LUNG DISEASE W MCC," 32,704 "
199,PNEUMOTHORAX W MCC," 38,359 "
200,PNEUMOTHORAX W CC," 22,631 "
201,PNEUMOTHORAX W/O CC/MCC," 15,383 "
202,BRONCHITIS & ASTHMA W CC/MCC," 22,808 "
203,BRONCHITIS & ASTHMA W/O CC/MCC," 11,260 "
204,RESPIRATORY SIGNS & SYMPTOMS," 21,105 "
205,OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC," 30,277 "
206,OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC," 19,629 "
207,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT >96 HOURS," 214,159 "
208,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS," 73,752 "
215,OTHER HEART ASSIST SYSTEM IMPLANT," 332,530 "
216,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W MCC," 240,732 "
217,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W CC," 197,648 "
219,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W MCC," 168,793 "
220,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC," 118,776 "
221,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W/O CC/MCC," 92,828 "
222,CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W MCC," 271,448 "
223,CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W/O MCC," 276,945 "
224,CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W MCC," 255,386 "
225,CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W/O MCC," 187,512 "
226,CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W MCC," 243,036 "
227,CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W/O MCC," 160,575 "
228,OTHER CARDIOTHORACIC PROCEDURES W MCC," 172,668 "
