Tufts Medical Center -- Standard Charges eff. 1/1/2019,,
,,
Item Number,Description,Price
1,PRIVATE,3000
2,PRIVATE,1512
3,SEMI-PRIVATE,2600
4,LOA,0
5,INTERMEDIATE CARE PG5N,2859
6,HOSPICE,665
7,INITIAL OBSERVATION CARE LOW,1060
8,OBSERVATION - MEDIUM - HOURLY,101
9,INITIAL OBSERVATION CARE,200
10,INJECT EPIDURAL PATCH,2394
11,DRAIN/INJ JOINT/BURSA W/O US,645
12,ESRD HOME PT SERV P DAY 20+,8
13,ADMIN INFLUENZA VIRUS VACCINE,77
14,IV INFUSION HYDRATION 1 HR,585
15,IV INF  HYDRATION EACH ADDL HR,174
16,THER/PROPHA/DIAG IV INF INT,925
17,IV INFUSION  EA  ADDL HOUR,155
18,IV INF PROPHY ADD SEQ TO 1 HR,254
19,THER/DIAG CONCURRENT INF,173
20,THER/PROPHA/DIAG IV INJ  SC/IM,270
21,THER/PROPH/DIAG INJ IV PUSH,521
22,TX/PRO/DX INJ NEW DRUG ADDON,206
23,SPINAL FLUID PUNCTURE DIAGN,2394
24,CHEMO IV PUSH SNGL DRUG,925
25,IV PUSH EACH ADDL DRUG,426
26,CHEMO INFUSION INITAL HOUR,1444
27,CHEMO INFUSION EACH ADD'L HR,300
28,CHEMO IV INFUSION EA ADD'L SEQ,363
29,TX/PRO/DX INJ SAME DRUG ADON,307
30,TRANSFUSION BLOOD COMPONENTS,1873
31,INSRT PICC W/O SUBCUT P/P >5YR,5291
32,PRIVATE,1512
33,PRIVATE,1512
34,SEMI-PRIVATE,1412
35,SEMI-PRIVATE,2129
36,LOA,0
37,INITIAL OBSERVATION CARE LOW,1060
38,OBSERVATION-MEDIUM-HOURLY,101
39,INITIAL OBSERVATION CARE,144
40,INJECT EPIDURAL PATCH,2394
41,DRAIN/INJ JOINT/BURSA W/O US,645
42,ESRD HOME PT SERV P DAY 20+,8
43,ADMIN INFLUENZA VIRUS VACCINE,77
44,IV INFUSION HYDRATION 1 HR,585
45,IV INF  HYDRATION EACH ADDL HR,174
46,THER/PROPHA/DIAG IV INF INT,925
47,IV INFUSION  EA  ADDL HOUR,155
48,IV INF PROPHY ADD SEQ TO 1 HR,254
49,THER/DIAG CONCURRENT INF,173
50,THER/PROPHA/DIAG IV INJ  SC/IM,270
51,THER/PROPH/DIAG INJ IV PUSH,521
52,TX/PRO/DX INJ NEW DRUG ADDON,206
53,SPINAL FLUID PUNCTURE DIAGN,2394
54,CHEMO IV PUSH SNGL DRUG,925
55,IV PUSH EACH ADDL DRUG,426
56,CHEMO INFUSION INTIAL HOUR,1444
57,CHEMO INFUSION EACH ADD'L HR,300
58,CHEMO IV INFUSION EA ADDL SEQ,363
59,TX/PRO/DX INJ SAME DRUG ADON,307
60,TRANSFUSION BLOOD COMPONENTS,1873
61,INSRT PICC W/O SUBCUT P/P >5YR,5291
62,AFTERCARE SESSION (DSCH),30
63,PRIVATE ROOM CHARGE,3000
64,PRIVATE,1512
65,SEMI-PRIVATE,2600
66,"SEMI-PRIVATE, BONE",2594
67,LOA,0
68,BOARD-BONE,1309
69,HOSPICE,734
70,INITIAL OBSERVATION CARE LOW,1060
71,OBSERVATION - MEDIUM - HOURLY,101
72,INITIAL OBSERVATION CARE,144
73,INJECT EPIDURAL PATCH,2394
74,DRAIN/INJ JOINT/BURSA W/O US,645
75,ESRD HOME PT SERV P DAY 20+,8
76,IV INFUSION HYDRATION 1 HR,585
77,IV INF  HYDRATION EACH ADDL HR,174
78,THER/PROPHA/DIAG IV INF INT,925
79,IV INFUSION  EA  ADDL HOUR,155
80,IV INF PROPHY ADD SEQ TO 1 HR,254
81,THER/DIAG CONCURRENT INF,173
82,THER/PROPHA/DIAG IV INJ  SC/IM,270
83,THER/PROPH/DIAG INJ IV PUSH,521
84,TX/PRO/DX INJ NEW DRUG ADDON,206
85,SPINAL FLUID PUNCTURE DIAGN,2394
86,CHEMO IV PUSH SNGL DRUG,925
87,IV PUSH EACH ADDL DRUG,426
88,CHEMO INFUSION INITIAL HOUR,1444
89,CHEMO INFUSION EACH ADD'L HR,300
90,CHEMO IV INFUSION EA ADDL SEQ,363
91,TX/PRO/DX INJ SAME DRUG ADON,307
92,TRANSFUSION BLOOD COMPONENTS,1873
93,INSRT PICC W/O SUBCUT P/P >5YR,5291
94,ADMIN PNEUMOCOCCAL VACCINE,154
95,ADMIN INFLUENZA VACCINE,126
96,ADMIN INFLUENZA VIRUS VACCINE,77
97,IMMUNIZATION ADMIN EACH ADDL,84
98,PRIVATE,1777
99,PRIVATE,1851
100,SEMI-PRIVATE,2600
101,LOA,0
102,INTERMEDIATE CARE,5000
103,HOSPICE,665
104,INITIAL OBSERVATION CARE LOW,796
105,OBSERVATION - MEDIUM - HOURLY,101
106,INITIAL OBSERVATION CARE,200
107,INJECT EPIDURAL PATCH,2394
108,ADMIN IMMUNIZATION SNGL/COMBO,77
109,ADMIN INFLUENZA VIRUS VACCINE,77
110,DRAIN/INJ JOINT/BURSA W/O US,645
111,ESRD HOME PT SERV P DAY 20+,8
112,IV INFUSION HYDRATION 1 HR,585
113,IV INF  HYDRATION EACH ADDL HR,174
114,THER/PROPHA/DIAG IV INF INT,925
115,IV INFUSION  EA  ADDL HOUR,155
116,IV INF PROPHY ADD SEQ TO 1 HR,254
117,THER/DIAG CONCURRENT INF,173
118,THER/PROPHA/DIAG IV INJ  SC/IM,270
119,"THER/PROPH/DIAG INJ,IV PUSH",521
120,TX/PRO/DX INJ NEW DRUG ADDON,206
121,SPINAL FLUID PUNCTURE DIAGN,2394
122,CHEMO IV PUSH SNGL DRUG,925
123,IV PUSH EACH ADDL DRUG,426
124,CHEMO INFUSION INITAL HOUR,1444
125,CHEMO INFUSION EACH ADDL HR,300
126,CHEMO IV INFUSION EA ADDL SEQ,363
127,TX/PRO/DX INJ SAME DRUG ADON,307
128,TRANSFUSION BLOOD COMPONENTS,1873
129,INSRT PICC W/O SUBCUT P/P >5YR,5291
130,PRIVATE,1512
131,PRIVATE,1512
132,SEMI-PRIVATE,2600
133,LOA,0
134,HOSPICE,699
135,INITIAL OBSERVATION CARE LOW,796
136,"OBSERVATION HOURLY,MEDIUM",101
137,INITIAL OBSERVATION CARE,200
138,INJECT EPIDURAL PATCH,2394
139,DRAIN/INJ JOINT/BURSA W/O US,645
140,ESRD HOME PT SERV P DAY 20+,8
141,ADMIN INFLUENZA VIRUS VACCINE,77
142,IV INFUSION HYDRATION 1 HR,585
143,IV INF  HYDRATION EACH ADDL HR,174
144,THER/PROPHA/DIAG IV INF INT,925
145,IV INFUSION  EA  ADDL HOUR,155
146,IV INF PROPHY ADD SEQ TO 1 HR,254
147,THER/DIAG CONCURRENT INF,173
148,THER/PROPHA/DIAG IV INJ  SC/IM,270
149,THER/PROPH/DIAG INJ IV PUSH,521
150,TX/PRO/DX INJ NEW DRUG ADDON,206
151,SPINAL FLUID PUNCTURE DIAGN,2394
152,CHEMO IV PUSH SNGL DRUG,925
153,IV PUSH EACH ADDL DRUG,426
154,CHEMO INFUSION INITIAL HOUR,1444
155,CHEMO INFUSION EACH ADDL HR,300
156,CHEMO IV INFUSION EA ADDL SEQ,363
157,TX/PRO/DX INJ SAME DRUG ADON,307
158,TRANSFUSION BLOOD COMPONENTS,1873
159,INSRT PICC W/O SUBCUT P/P >5YR,5291
160,PRIVATE,1851
161,PRIVATE,1512
162,"PRIVATE,BONE",2594
163,SEMI-PRIVATE,2600
164,LOA,0
165,BOARD-BONE,1309
166,HOSPICE,699
167,INITIAL OBSERVATION CARE LOW,1060
168,OBSERVATION - MEDIUM - HOURLY,101
169,INITIAL OBSERVATION CARE,200
170,DRAIN/INJ JOINT/BURSA W/O US,645
171,INJECT EPIDURAL PATCH,2394
172,ESRD HOME PT SERV P DAY 20+,8
173,IV INFUSION HYDRATION 1 HR,585
174,IV INF  HYDRATION EACH ADDL HR,174
175,THER/PROPHA/DIAG IV INF INT,925
176,IV INFUSION  EA  ADDL HOUR,155
177,IV INF PROPHY ADD SEQ TO 1 HR,254
178,THER/DIAG CONCURRENT INF,173
179,THER/PROPHA/DIAG IV INJ  SC/IM,270
180,THER/PROPH/DIAG INJ IV PUSH,521
181,TX/PRO/DX INJ NEW DRUG ADDON,206
182,SPINAL FLUID PUNCTURE DIAGN,2394
183,CHEMO IV PUSH SNGL DRUG,925
184,IV PUSH EACH ADDL DRUG,426
185,CHEMO INFUSION INITIAL HOUR,1444
186,CHEMO INFUSION EACH ADDL HR,300
187,CHEMO IV INFUSION EA ADDL SEQ,363
188,TX/PRO/DX INJ SAME DRUG ADON,307
189,TRANSFUSION BLOOD COMPONENTS,1873
190,PICC LINE INSERTION,5291
191,IMMUNIZATION ADM/PNEUMOCOCCAL,77
192,ADMIN INFLUENZA VIRUS VACCINE,77
193,VFC IMMUNIZATION ADMIN,23.29
194,VFC IMMUNIZATION ADMIN EA ADD,23.29
195,VFC IMMUN ADMIN ORAL/NASAL,23.29
196,VFC IMMUN ADMIN ORAL/NASAL ADD,23.29
197,PRIVATE,1777
198,PRIVATE,1512
199,SEMI-PRIVATE,2600
200,LOA,0
201,INTERMEDIATE CARE,2336
202,HOSPICE,699
203,INITIAL OBSERVATION CARE LOW,1060
204,OBSERVATION - MEDIUM - HOURLY,101
205,INITIAL OBSERVATION CARE,200
206,INJECT EPIDURAL PATCH,2394
207,ADMIN INFLUENZA VIRUS VACCINE,77
208,DRAIN/INJ JOINT/BURSA W/O US,645
209,ESRD HOME PT SERV P DAY 20+,8
210,IV INFUSION HYDRATION 1 HR,585
211,IV INF  HYDRATION EACH ADDL HR,174
212,THER/PROPHA/DIAG IV INF INT,925
213,IV INFUSION  EA  ADDL HOUR,155
214,IV INF PROPHY ADD SEQ TO 1 HR,254
215,THER/DIAG CONCURRENT INF,173
216,THER/PROPHA/DIAG IV INJ  SC/IM,270
217,THER/PROPH/DIAG INJ IV PUSH,521
218,TX/PRO/DX INJ NEW DRUG ADDON,206
219,SPINAL FLUID PUNCTURE DIAGN,2394
220,CHEMO IV PUSH SNGL DRUG,925
221,IV PUSH EACH ADDL DRUG,426
222,CHEMO INFUSION INITIAL HOUR,1444
223,CHEMO INFUSION EACH ADDL HR,300
224,CHEMO IV INFUSION EA ADDL SEQ,363
225,TX/PRO/DX INJ SAME DRUG ADON,307
226,TRANSFUSION BLOOD COMPONENTS,1873
227,PICC LINE INSERTION,5291
228,PRIVATE,1777
229,PRIVATE,1512
230,SEMI-PRIVATE,2600
231,LOA,0
232,HOSPICE,665
233,ADMIN INFLUENZA VIRUS VACCINE,77
234,IMMUNIZATION ADM/PNEUMOCOCCAL,77
235,INITIAL OBSERVATION CARE LOW,796
236,OBSERVATION - MEDIUM - HOURLY,101
237,INITIAL OBSERVATION CARE,200
238,INJECT EPIDURAL PATCH,2394
239,DRAIN/INJ JOINT/BURSA W/O US,645
240,IV INFUSION HYDRATION 1 HR,585
241,IV INF  HYDRATION EACH ADDL HR,174
242,THER/PROPHA/DIAG IV INF INT,925
243,IV INFUSION  EA  ADDL HOUR,155
244,IV INFUSION  EA  ADDL HOUR,254
245,THER/DIAG CONCURRENT INF,173
246,THER/PROPHA/DIAG IV INJ  SC/IM,270
247,THER/PROPH/DIAG INJ IV PUSH,521
248,TX/PRO/DX INJ NEW DRUG ADDON,206
249,SPINAL FLUID PUNCTURE DIAGN,2394
250,CHEMO IV PUSH SNGL DRUG,925
251,IV PUSH EACH DRUG,426
252,CHEMO INFUSION INITIAL HOUR,1444
253,CHEMO INFUSION EACH ADDL HR,300
254,CHEMO IV INFUSION EA ADDL SEQ,363
255,TX/PRO/DX INJ SAME DRUG ADON,307
256,TRANSFUSION BLOOD COMPONENTS,1873
257,PICC LINE INSERTION,5291
258,VFC IMMUNIZATION ADMIN,23.29
259,VFC IMMUNIZATION ADMIN EA ADD,23.29
260,VFC IMMUN ADMIN ORAL/NASAL,23.29
261,VFC IMMUN ADMIN ORAL/NASAL ADD,23.29
262,PRIVATE ROOM CHARGE,3000
263,PRIVATE,1512
264,"PRIVATE, BONE",2594
265,CHEMO ADM  SC  IM  NONHORMONAL,218
266,CHEMO ADM  SC  IM  HORMONAL,282
267,CHEMO IV PUSH SNGL DRUG,925
268,IV PUSH EACH ADDL DRUG,426
269,CHEMO INFUSION INITIAL HOUR,1444
270,CHEMO INFUSION EACH ADDL HR,300
271,IV CHEMO  PROLONG INFUS PUMP,1444
272,SEMI-PRIVATE,2600
273,CHEMO IV INF EA ADDL SEQ 1HR,363
274,INTRA ARTERIAL TECHNIQUE,775
275,CHEMO  INTRA ARTERIAL  IV,1156
276,CHEMO IA INFUSION EACH ADD HR,351
277,CHEMO ADMIN  PLEURAL CAVITY,1324
278,CHEMOTHERAPY INTO CNS,1105
279,MEASURE BLOOD OXYGEN LEVEL,120
280,MEASURE BLOOD OXYGEN LEV MULTI,194
281,LOA,0
282,BOARD-BONE,1309
283,SPINAL FLUID PUNCTURE DIAGN,2394
284,DRAIN/INJ JOINT/BURSA W/O US,645
285,PICC LINE INSERTION,5291
286,PRATT 8 INTERMEDIATE,5000
287,NASAL CANNULA,45
288,NON REBREATHER 02 MASKS,24
289,BINDER ABDOM SZ34-45 9IN 3 PAN,24
290,BINDER ABDOM SZ46-62 12IN 4PAN,33
291,HOSPICE,665
292,IV INFUSION HYDRATION 1 HR,585
293,IV INF  HYDRATION EACH ADDL HR,174
294,IV INFUSION UP TO ONE HOUR,925
295,IV INFUSION  EA  ADDL HOUR,155
296,IV INF PROPHYL ADDL SEQ TO 1HR,254
297,THER/DIAG CONCURRENT INF,173
298,THER/PROPHA/DIAG IV INJ SC/IM,270
299,THER  PROPH  DIAG INJIV PUSH,521
300,TX/PRO/DX INJ NEW DRUG ADDON,206
301,BLOOD GLUCOSE BY MONITOR DEVIC,27
302,AIRWAY INHALATION TREATMENT,539
303,INITIAL OBSERVATION CARE LOW,1060
304,PRATT 8 OBSERVATION MEDIUM,101
305,INITIAL OBSERVATION CARE,200
306,POWER MODULE DC INPUT CABLE,450
307,HOLSTER VEST MEDIUM,790
308,HOLSTER VEST LARGE,790
309,MODULAR BELT SMALL/MEDIUM,690
310,MODULAR BELT LARGE,690
311,CONSOLIDATED BAG/BLACK,650
312,PUMP TO POWER BASE,650
313,CONTROLLER HEARTMATE2,9000
314,DISPLAY MODULE,600
315,MODULE POWER PATIENT HEARTMATE,3750
316,BATT 14V LI ION HEARTMATE2 EA,1250
317,SET 14V LI ION CLIP HEARTMATE2,2200
318,BAG SHOWER HEARTMATE2,450
319,BATTERY CELL CONTROLLER,177
320,CASE TRAVEL VE LAS,320
321,MODULE DISPLAY VE,5600
322,PACK EMERGENCY POWER VE,1700
323,SET BATTERY CLIP,720
324,SET BATTERY RECHARGE VE 6/ST,300
325,CABLE MONITOR PATIENT LVAD,1200
326,LEAD LVAD ELECTRICAL ST RED,550
327,LEAD LVAD EXT BLU NS 7FT,590
328,LEAD LVAD EXT RED NS 7FT,590
329,LEAD LVAD PNEUMATIC BLU 5FT,500
330,LEAD LVAD PNWUMATIC BLU 7FT,570
331,LEAD LVAD PNEUMATIC RED 5FT,500
332,LEAD LVAD PNEUMATIC RED 7FT NS,570
333,LEAD RVAD ELECTRICAL ST BLU,550
334,BINDER PATIENT LG,800
335,BINDER PATIENT SMALL,800
336,ANCHOR FOLEY CATH SECURE,7
337,ANCHOR FOLEY CATH SECURE,7
338,HMII 11V BATTERY FOR CONTROLLE,1000
339,HMII RT SIDED CONSOLIDATED BAG,650
340,HMII POCKET CONTR SHOWER BAG,450
341,DRIVELINE STABILIZATION KIT,26
342,TX/PRO/DX INJ SAME DRUG ADON,307
343,DRIVELINE STABILIZATION KIT AG,44
344,INJECT EPIDURAL PATCH,2394
345,HW KIT HEARTWARE CONTROLLER,14300
346,HW CHARGER BATTERY HEARTWARE,12200
347,HW BAG SHOWER HEARTWARE,600
