,, We are provider based - so you may be charged column C or column D & E ,,
CDM,DESCRIPTION OF CHARGE, Professional Charge , Provider Based Professional Charge , Facility Charge 
1,OT Assistive Technology Eval Units, $-   , $-   ,$1.00 
11,PT Sensory Integration Units, $-   , $-   ,$11.00 
12,PT Assistive Technology Eval Units, $-   , $-   ,$11.00 
310000,ROOM/BED: Med/Surg Rate, $-   , $-   ,"$1,008.00 "
310100,ROOM/BED: FBC Rate, $-   , $-   ,"$1,008.00 "
310200,ROOM/BED: MSP/FBC - Overflow, $-   , $-   ,"$1,008.00 "
340000,ROOM/BED: ICU Rate w/o Monitor, $-   , $-   ,"$1,962.00 "
340100,ROOM/BED: ICU Rate w/ Monitor, $-   , $-   ,"$1,962.00 "
343000,ROOM/BED: DBM Rate, $-   , $-   ,"$1,139.00 "
350000,ROOM/BED: Nursery - Regular, $-   , $-   ,$650.00 
350100,ROOM/BED: Nursery - Issolette, $-   , $-   ,$750.00 
350200,ROOM/BED: Newborn Level 1, $-   , $-   ,$650.00 
350201,ROOM/BED: Newborn Level 2, $-   , $-   ,$750.00 
350202,ROOM/BED: Newborn Level 3, $-   , $-   ,"$1,150.00 "
350203,ROOM/BED: Newborn Level 4, $-   , $-   ,"$1,600.00 "
375146,PESSARY GEHRUNG FLODING SIZE 4, $-   , $-   ,$158.00 
409000,COLLECTION: Capillary, $-   , $-   ,$22.00 
410210,Drug Scrn: Umbilical Tissue, $-   , $-   ,$179.00 
436040,"Nasotracheal, left", $-   , $-   ,$109.00 
438223,Tubular Dressing Level 1, $-   , $-   ,$0.50 
602925,GLIMEPIRIDE TAB 1 MG, $-   , $-   ,$1.00 
603025,RX AMOXICILLIN/CLAVULANATE SUSP ES 600 M, $-   , $-   ,$26.97 
603066,PIPERAC/TAZOB INJ 2.25 GM, $-   , $-   ,$24.00 
603125,METHYLENE BLUE OP SOL 0.06% 0.5 mL, $-   , $-   ,$256.00 
603265,BUDESONIDE EC CAP 3 MG, $-   , $-   ,$34.43 
603425,carBAMazepine ER CAP 300 MG, $-   , $-   ,$2.38 
603426,FENOFIBRATE TAB 145 MG, $-   , $-   ,$2.79 
603505,HAEMOPHILUS B CONJUGATE VACCINE (PRP-T), $-   , $-   ,$13.65 
604127,TENECTEPLASE INJ 50 MG, $-   , $-   ,"$10,920.66 "
604508,OXYBUTYNIN XL TAB 10 MG, $-   , $-   ,$2.39 
604566,METOPROLOL TARTRATE TAB 25 MG, $-   , $-   ,$1.00 
604625,levoFLOXacin INJ 250 MG/50 mL PREMIX, $-   , $-   ,$34.93 
604725,POTASSIUM CHLORIDE PREMIX 10 MEQ/100 mL, $-   , $-   ,$24.00 
604782,FLUTICASONE/SALMETEROL 250/50 DISKUS, $-   , $-   ,$390.09 
604865,AZELASTINE NASAL SPRAY 0.1%, $-   , $-   ,$136.50 
604888,FLUoxetine CAP 20 MG, $-   , $-   ,$1.00 
605325,MYCOPHENOLATE CAP 250 MG, $-   , $-   ,$2.16 
605625,ANALGESIC BALM OINTMENT 6%/14% 30 GM, $-   , $-   ,$7.19 
605766,DIAZEPAM TAB 10 MG, $-   , $-   ,$4.00 
606265,FENOFIBRATE TAB 48 MG, $-   , $-   ,$1.00 
606445,PHENYTOIN ER CAP 30 MG, $-   , $-   ,$2.98 
606465,HYALURONATE INJ 30 MG/2 mL (ORTHOVISC), $-   , $-   ,$511.74 
606485,ACAMPROSATE EC TAB 333 MG, $-   , $-   ,$3.23 
606585,ENOXAPARIN INJ 120 MG/0.8 mL, $-   , $-   ,$53.50 
606605,INSULIN GLARGINE SOLOSTAR (3 mL SYRINGE), $-   , $-   ,$354.06 
606645,MUPIROCIN CR 2%, $-   , $-   ,$10.00 
700318,ACRIDINE ORANGE STAIN 250ML DIAGNOSTIC, $-   , $-   ,$116.00 
700321,SODIUM HYDROXIDE 0.1 N 1 L, $-   , $-   ,$103.00 
700322,HYDROCHLORIC ACID 1 N 1 L, $-   , $-   ,$165.00 
700348,RETIC CHEX LINEARITY, $-   , $-   ,$154.00 
700352,ALBUMIN 22%, $-   , $-   ,$71.00 
700353,FORMALIZER -D ALDEHYDE NEUTRALIZING POWDER, $-   , $-   ,$25.00 
700354,INOCULATING LOOP GREEN HANDLE, $-   , $-   ,$41.00 
700355,TRI-CHECK PH BUFF CAPSULE SET, $-   , $-   ,$102.00 
700360,PROCALCITONIN TEST KIT, $-   , $-   ,$82.00 
700361,PROCALCITONIN LINEARITY FD, $-   , $-   ,$605.00 
700362,PROCALCITONIN METHOD VALIDATION, $-   , $-   ,"$1,136.00 "
700363,PBP2A SA CULTURE COLONY TEST KIT, $-   , $-   ,$34.00 
700366,BATTERY LITHIUM F/STATSTRIP NOVA, $-   , $-   ,$97.00 
700371,WIPE BIOHAZARD ORANGE 3X3, $-   , $-   ,$1.00 
700375,BLADE LOW PROFILE DISPOSABLE, $-   , $-   ,$225.00 
700376,FROST BITE, $-   , $-   ,$80.00 
700377,SLIDES FROSTED GLASS, $-   , $-   ,$1.00 
700378,GLASS COVER MICRO 2440-1, $-   , $-   ,$76.00 
700382,STAT-SITE(R) M BHB TEST STIPS, $-   , $-   ,$19.00 
700384,"CHECK, KETOSITE LINEARITY 1X1ML VIAL", $-   , $-   ,$112.00 
700385,CONTROLS KETOSITE HIGH AND LOW 1X3ML VL, $-   , $-   ,$182.00 
700386,ASPIRATOR TIPS, $-   , $-   ,$1.00 
700396,TOX DRUG SCREEN TEST KIT BIORAD, $-   , $-   ,$696.00 
700397,HEMATOXYLIN 560 MX 4-500ML BTL, $-   , $-   ,$63.00 
700398,KIT PYROSATE 0.125 ML ASSOCIATES OF CAPE COD, $-   , $-   ,$58.00 
700399,TOX QUALITATIVE URINE NEGATIVE CONTROL, $-   , $-   ,$45.00 
700400,TOX QUALITATIVE URINE POSITIVE, $-   , $-   ,$65.00 
700404,TUBE VACUTAINER RED TOP HEMOGARD, $-   , $-   ,$1.00 
700405,SLIDES WHITE EXTRA, $-   , $-   ,$1.00 
700406,XYLENE PURIFIED, $-   , $-   ,$39.00 
700407,MICROMOUNT MEDIUM, $-   , $-   ,$53.00 
700408,MEDPURE L1 FILTER, $-   , $-   ,$585.00 
770140,Rad Outside Read,$54.00 ,, $-   
770543,RAD Interpretation,$646.00 ,, $-   
778480,NM EJECTION FRACTION -PC,$90.00 ,, $-   
817506,PREDNISONE ORAL PER 5 MG, $-   , $-   ,$1.00 
1024999,GUNDERSON CLINIC LASER ROOM RENT, $-   , $-   ,$130.00 
3001000,Nurse to Transfuse Blood Product, $-   , $-   ,$809.00 
3100014,SUTURE - MSP, $-   , $-   ,$28.00 
3100180,BLOOD PRODUCT ADMINISTRATION (PER TRANS), $-   , $-   ,$809.00 
3101040,INJECTION ADMINISTRATION - MSP, $-   , $-   ,$71.00 
3102050,EXTENDED SURGICAL STAY (PER HR) - MSP, $-   , $-   ,$42.00 
3102051,PRE OP CARE TIME PER HR - MSP, $-   , $-   ,$37.00 
3102070,Newborn Hearing Screen, $-   , $-   ,$278.00 
3102070,NEWBORN HEARING SCREEN CHARGE, $-   , $-   ,$246.00 
3102080,"Evoked Otoacoustic emissions, limited", $-   , $-   ,$74.00 
3103002,PATIENT WHIRLPOOL USE - MSP, $-   , $-   ,$74.00 
3103010,AQUAFLO HYDROGEL WOUND DRESSING/PAIR, $-   , $-   ,$5.00 
3103070,Bladder Scan, $-   , $-   ,$140.00 
3103070,Bladder Scanner - MSP/FBC, $-   , $-   ,$140.00 
3105570,HOSPICE I/P RESPITE CARE, $-   , $-   ,$140.00 
3105571,HOSPICE I/P GENERAL, $-   , $-   ,$655.00 
3106000,Interpretive Services: FBC/MSP, $-   , $-   ,$18.75 
3106100,ADMIN INJFLUENZA VAC - MSP, $-   , $-   ,$30.00 
3106101,ADMIN PNEUMOC VAC - MSP, $-   , $-   ,$30.00 
3108001,BLOOD PRODUCT ADMINISTRATION, $-   , $-   ,$73.00 
3108002,SPECIAL VITAL SIGNS MONITORS, $-   , $-   ,$68.00 
3108003,SPECIMEN COLLECTION & NURSING PROCEDURES, $-   , $-   ,$110.00 
3108010,"US- OB Limited, Technical Charge", $-   , $-   ,$480.00 
3109111,IV LG VOLUME AND/OR 0-2 PIGGYBACKS - MSP, $-   , $-   ,$54.00 
3109113,IV TITRATION DRIP OR HYPERAL/DAY - MSP, $-   , $-   ,$92.00 
3109894,INTRAVENOUS START - MSP, $-   , $-   ,$62.00 
3109950,LACTATION CONSULT-INDIVIDUAL - MSP, $-   , $-   ,$45.00 
3109951,LACTATION CONSULT 2-4 PTS - MSP, $-   , $-   ,$20.00 
3109989,OBSERVATION HOURLY FEE - MSP, $-   , $-   ,$42.00 
3109993,BLOOD GLUCOSE MONITORING - LAB, $-   , $-   ,$37.00 
3400030,PAR 30 MIN ICCU, $-   , $-   ,$352.00 
3400036,OXYGEN ICU, $-   , $-   ,$81.00 
3400045,PAR 45 MIN  ICCU, $-   , $-   ,$407.00 
3400060,PAR 60 MIN  ICCU, $-   , $-   ,$462.00 
3400115,PAR 1 HR 15 MIN  ICCU, $-   , $-   ,$479.00 
3400130,PAR 1 HR 30 MIN  ICCU, $-   , $-   ,$374.00 
3400145,PAR 1 HR 45 MIN  ICCU, $-   , $-   ,$420.00 
3400200,PAR 2 HR  ICCU, $-   , $-   ,$435.00 
3400215,PAR 2 HR 15 MIN  ICCU, $-   , $-   ,$429.00 
3400230,PAR 2 HR 30 MIN  ICCU, $-   , $-   ,$511.00 
3400245,PAR 2 HR 45 MIN ICCU, $-   , $-   ,$491.00 
3400300,PAR 3 HR  ICCU, $-   , $-   ,$678.00 
3400315,PAR 3 HR 15 MIN ICCU, $-   , $-   ,$530.00 
3400330,PAR 3 HR 30 MIN ICCU, $-   , $-   ,$558.00 
3400345,PAR 3 HR 45 MIN  ICCU, $-   , $-   ,$584.00 
3400400,PAR 4 HR  ICCU, $-   , $-   ,$613.00 
3400415,PAR 4 HR 15 MIN ICCU, $-   , $-   ,$639.00 
3400430,PAR 4 HR 30 MIN  ICCU, $-   , $-   ,$665.00 
3400445,PAR 4 HR 45 MIN ICCU, $-   , $-   ,$691.00 
3400500,PAR 5 HR ICCU, $-   , $-   ,$718.00 
3400515,PAR 5 HR 15 MIN ICCU, $-   , $-   ,$746.00 
3400530,PAR 5 HR 30 MIN ICCU, $-   , $-   ,$773.00 
3400545,PAR 5 HR 45 MIN  ICCU, $-   , $-   ,$800.00 
3401111,TELEMETRY, $-   , $-   ,$113.00 
3401301,SWANZ GANZ SETUP, $-   , $-   ,$217.00 
3401302,SWANZ GANZ READINGS (PER DAY), $-   , $-   ,$157.00 
3401303,BLOOD GLUCOSE MONITORING -ICU, $-   , $-   ,$37.00 
3401402,CARDIAC OUTPUT PER DAY, $-   , $-   ,$351.00 
3401450,CARDIOVERSION ELECTIVE EXTERNAL, $-   , $-   ,$593.00 
3401455,CARDIOVERSION ELECTIVE INTERNAL, $-   , $-   ,$250.00 
3401500,IV LG VOL AND/OR 0-2 PIGGYBACKS/DAY -ICU, $-   , $-   ,$54.00 
3401505,IV LG VOL AND 3 OR MORE PIGGYBACKS/DAY - ICU, $-   , $-   ,$63.00 
3401510,IV TITRATION DRIP OR HYPERAL/DAY - ICU, $-   , $-   ,$97.00 
3401515,INTRAVENOUS START - ICU, $-   , $-   ,$66.00 
3402000,PULSE OXIMETRY LEVEL I, $-   , $-   ,$68.00 
3402003,PULSE OXIMETRY LEVEL IV, $-   , $-   ,$143.00 
3402010,NIBP, $-   , $-   ,$73.00 
3402020,RESPIRATORY MONITOR, $-   , $-   ,$68.00 
3402030,INVASIVE PRESSURE SETUP, $-   , $-   ,$62.00 
3402031,INVASIVE PRESSURE PER DAY, $-   , $-   ,$132.00 
3402050,EXTENDED SURGICAL STAY ( PER HR ) - ICU, $-   , $-   ,$81.00 
3402051,PRE OP CARE TIME PER HR - ICU, $-   , $-   ,$37.00 
3403070,Bladder Scanner - ICU, $-   , $-   ,$140.00 
3406100,ADMIN INFLUENZA VAC - ICU, $-   , $-   ,$30.00 
3406101,ADMIN PNEUMOC VAC - ICU, $-   , $-   ,$30.00 
3409978,BLOOD PRODUCTS ADMIN (PER TRANSFUSION), $-   , $-   ,$809.00 
3409990,OBSERVATION HOURLY FEE ICU, $-   , $-   ,$81.00 
3409993,CRASH CART SERVICE, $-   , $-   ,$238.00 
3430044,AIMS TEST (AB INVOLUNTARY MOVEMENT), $-   , $-   ,$68.00 
3431111,CHEMICAL DEPENDENCY EVALUATION, $-   , $-   ,$313.00 
3431150,E/R PSYCH CONSULT (15 MIN), $-   , $-   ,$176.00 
3435001,O/P Group Psychotherapy, $-   , $-   ,$87.00 
3435500,Recreation Therapy - Group (15 min), $-   , $-   ,$32.00 
3435501,Recreation Therapy - Individual (15 min), $-   , $-   ,$41.00 
3436000,Interpretive Services: DBM, $-   , $-   ,$18.75 
3439850,Interactive Psych Exam w/Devices,$315.00 , $-   , $-   
3439891,IV LG VOLUME AND/OR 0-2 PIGGYBACKS/DAY DBM, $-   , $-   ,$35.00 
3439892,IV LG VOL AND 3 OR MORE PIGGYBACKS/DAY DBM, $-   , $-   ,$54.00 
3439893,IV TITRATION DRIP OR HYPERAL/DAY DBM, $-   , $-   ,$73.00 
3439980,PSYCH TEST MMPI (PER HR), $-   , $-   ,$349.00 
3439985,BECK DEPRESSION PSYCH TEST, $-   , $-   ,$53.00 
3439989,DBM OBSERVATION HOURLY FEE, $-   , $-   ,$47.00 
3439990,PSYCHIATRIC NURSING PER HR, $-   , $-   ,$177.00 
3439991,INTRAVENOUS START SUPPLIES, $-   , $-   ,$26.00 
3439992,I/P GROUP PSCHOTHERAPY,$70.00 , $-   , $-   
3439993,BLOOD GLUCOSE MONITORING - DBM, $-   , $-   ,$37.00 
3439995,Patient Education Materials, $-   , $-   ,$30.00 
3470002,ADDITIONAL TIME-DELIVERY RM - FBC, $-   , $-   ,$518.00 
3470003,DELIVERY CHARGE - FBC, $-   , $-   ,"$2,216.00 "
3470014,SUTURE - FBC, $-   , $-   ,$28.00 
3471003,LABOR ROOM CLASS I QTR HR - FBC, $-   , $-   ,$37.00 
3471005,Oxytocin Challenge Test, $-   , $-   ,$151.00 
3471005,STRESS TEST, $-   , $-   ,$151.00 
3471006,NON STRESS TEST, $-   , $-   ,$173.00 
3471006,Non-Stress Test, $-   , $-   ,$173.00 
3471007,FETAL BLOOD SAMPLING, $-   , $-   ,$173.00 
3471008,PRE OP CARE TIME PER HR - FBC, $-   , $-   ,$37.00 
3471040,INJECTION ADMINISTRATION - FBC, $-   , $-   ,$71.00 
3471125,INTERNAL ELECTRODE - FBC, $-   , $-   ,$7.00 
3472050,EXTENDED SURGICAL STAY  (PER HR) - FBC, $-   , $-   ,$42.00 
3473002,PATIENT WHIRLPOOL USE - FBC, $-   , $-   ,$83.00 
3479111,IV LG VOLUME AND/OR 0-2 PIGGYBACKS - FBC, $-   , $-   ,$54.00 
3479113,IV TITRATION DRIP OR HYPERAL/DAY - FBC, $-   , $-   ,$92.00 
3479500,OBSTETRICS CHECK - FBC, $-   , $-   ,$366.00 
3479501,OBSTETRICS EXAM II - FBC, $-   , $-   ,$549.00 
3479502,NEWBORN NURSE VISIT - FBC,$53.00 , $-   , $-   
3479502,OFFICE VISIT 1 - EST PT,$53.00 , $-   , $-   
3479894,INTRAVENOUS START - FBC, $-   , $-   ,$62.00 
3479950,LACTATION CONSULT-INDIVIDUAL - FBC, $-   , $-   ,$45.00 
3479951,LACTATION CONSULT 2-4 PTS - FBC, $-   , $-   ,$20.00 
3479989,OBSERVATION HOURLY FEE - FBC, $-   , $-   ,$42.00 
3500014,SUTURE - NUR, $-   , $-   ,$28.00 
3501003,BILI LITES, $-   , $-   ,$174.00 
3501004,Transcutaneous Bilimeter Reading, $-   , $-   ,$10.00 
3501005,COLLECTION: Capillary Nurse, $-   , $-   ,$22.00 
3501012,DISPOSABLE DIAPERS - PKG, $-   , $-   ,$7.00 
3501021,ARTERIAL CATHETER TRAY, $-   , $-   ,$27.00 
3501040,INJECTION ADMINISTRATION - NUR, $-   , $-   ,$71.00 
3509111,IV LG VOLUME AND/OR 0-2 PIGGYBACKS - NUR, $-   , $-   ,$54.00 
3509113,IV TITRATION DRIP OR HYPERAL/DAY - NUR, $-   , $-   ,$92.00 
3509894,INTRAVENOUS START - NUR, $-   , $-   ,$62.00 
3509998,CIRCUMCISION - TC, $-   , $-   ,$150.00 
3509998,Circumcision Procedure, $-   , $-   ,$150.00 
3600015,SURG 15 MIN, $-   , $-   ,$726.00 
3600030,SURG 30 MIN, $-   , $-   ,"$1,056.00 "
3600045,SURG 45 MIN, $-   , $-   ,"$1,346.00 "
3600060,SURG 60 MIN, $-   , $-   ,"$1,604.00 "
3600099,SURG TREATMENT ROOM (PER HR), $-   , $-   ,$125.00 
3600115,SURG 1 HR 15 MIN, $-   , $-   ,"$1,811.00 "
3600130,SURG 1 HR 30 MIN, $-   , $-   ,"$2,018.00 "
3600145,SURG 1 HR 45 MIN, $-   , $-   ,"$2,225.00 "
3600200,SURG 2 HR, $-   , $-   ,"$2,432.00 "
3600215,SURG 2 HR 15 MIN, $-   , $-   ,"$2,588.00 "
3600230,SURG 2 HR 30 MIN, $-   , $-   ,"$2,743.00 "
3600245,SURG 2 HR 45 MIN, $-   , $-   ,"$2,898.00 "
3600300,SURG 3 HR, $-   , $-   ,"$3,053.00 "
3600315,SURG 3 HR 15 MIN, $-   , $-   ,"$3,209.00 "
3600330,SURG 3 HR 30 MIN, $-   , $-   ,"$3,364.00 "
3600345,SURG 3 HR 45 MIN, $-   , $-   ,"$3,519.00 "
3600400,SURG 4 HR, $-   , $-   ,"$3,650.00 "
3600415,SURG 4 HR 15 MIN, $-   , $-   ,"$3,750.00 "
3600430,SURG 4 HR 30 MIN, $-   , $-   ,"$3,850.00 "
3600445,SURG 4 HR 45 MIN, $-   , $-   ,"$3,950.00 "
3600500,SURG 5 HR, $-   , $-   ,"$4,050.00 "
3600515,SURG 5 HR 15 MIN, $-   , $-   ,"$4,150.00 "
3600530,SURG 5 HR 30 MIN, $-   , $-   ,"$4,250.00 "
3600545,SURG 5 HR 45 MIN, $-   , $-   ,"$4,350.00 "
3600600,SURG 6 HR, $-   , $-   ,"$4,450.00 "
3600615,SURG 6 HR 15 MIN, $-   , $-   ,"$4,550.00 "
3600630,SURG 6 HR 30 MIN, $-   , $-   ,"$4,650.00 "
3600645,SURG 6 HR 45 MIN, $-   , $-   ,"$4,750.00 "
3600700,SURG 7 HR, $-   , $-   ,"$4,850.00 "
3600715,SURG 7 HR 15 MIN, $-   , $-   ,"$4,950.00 "
3600730,SURG 7 HR 30 MIN, $-   , $-   ,"$5,050.00 "
3600745,SURG 7 HR 45 MIN, $-   , $-   ,"$5,150.00 "
3600800,SURG 8 HR, $-   , $-   ,"$5,250.00 "
3600815,SURG 8 HR 15 MIN, $-   , $-   ,"$5,350.00 "
3600830,SURG 8 HR 30 MIN, $-   , $-   ,"$5,450.00 "
3600845,SURG 8 HR 45 MIN, $-   , $-   ,"$5,550.00 "
3600900,SURG 9 HR, $-   , $-   ,"$5,650.00 "
3600975,SIGMOIDOSCOPY  FLEXIBLE, $-   , $-   ,$289.00 
3601003,BLADE ACROMIONIZER 4.0MM, $-   , $-   ,$130.00 
3601004,BLADE MINI INCISOR DYONICS 2.9MM, $-   , $-   ,$153.00 
3601006,CATHETER EMBOLECTOMY ART. 4FR 120404F, $-   , $-   ,$172.00 
3601007,NEEDLE  VERRES 150MM, $-   , $-   ,$48.00 
3601009,"BANDAGE ESMARK 4""", $-   , $-   ,$10.00 
3601020,"DRAPE LARGE INCISE 35 X 18""", $-   , $-   ,$10.00 
3601021,GOWN IMPERVIOUS XXLARGE LONG SLEEVE, $-   , $-   ,$5.00 
3601027,ENDOCLIP II PISTOL GRIP SINGLE USE 10MM, $-   , $-   ,$198.00 
3601030,RETAINER VISCERA MEDIUM, $-   , $-   ,$83.00 
3601034,STAPLER GIA 80-3.8 SINGLE USE RELOADABLE, $-   , $-   ,$335.00 
3601035,STAPLER GIA 80-3.8 SINGLE USE LOADING UNIT, $-   , $-   ,$175.00 
3601039,STAPLER TA 30-3.5 SINGLE USE RELOADABLE, $-   , $-   ,$210.00 
3601040,"STAPLER LOADING UNIT, TA30-3.5 SINGLE USE", $-   , $-   ,$130.00 
3601041,STAPLER TA 90 4.8MM, $-   , $-   ,$228.00 
3601043,STAPLER GIA 60-3.8 SINGLE USE RELOADABLE, $-   , $-   ,$227.00 
3601044,STAPLER GIA 60-3.8 SINGLE USE LOADING UNIT, $-   , $-   ,$167.00 
3601049,STAPLER TA 60-3.5 SINGLE USE RELOADABLE, $-   , $-   ,$217.00 
3601050,STAPLER TA60-3.5 SINGLE USE LOADING UNIT, $-   , $-   ,$146.00 
3601051,STAPLER ROTICULATOR 55-3.5 TITANIUM, $-   , $-   ,$465.00 
3601062,GUIDEWIRE UROLOGY STRAIGHT .035, $-   , $-   ,$158.00 
3601067,CATHETER BILIARY BALLOON 6FR, $-   , $-   ,$125.00 
3601072,"WIRE CUTTER ROGERS ANGLED 4 3/4""", $-   , $-   ,$63.00 
3601076,"NEEDLE RETROBULAR 23 X 1 1/2""", $-   , $-   ,$16.00 
3601077,STAPLER EEA 28MM SINGLE USE, $-   , $-   ,$522.00 
3601079,PACK ARTHROSCOPY II, $-   , $-   ,$99.00 
3601081,CATHETER CHOLANGIOGRAPHY 4FR, $-   , $-   ,$81.00 
3601082,ADAPTER LUER LOCK, $-   , $-   ,$2.00 
3601083,BLADE MYRINGOTOMY, $-   , $-   ,$47.00 
3601088,NEEDLE INJECTION CARR-LOCKE, $-   , $-   ,$158.00 
3601101,CATHETER ADHERENT CLOT 6MM, $-   , $-   ,$361.00 
3601102,ETHICON BABCOCK 5MM, $-   , $-   ,$387.00 
3601105,CLIP AMBI HIP SCREW, $-   , $-   ,$182.00 
3601109,PHACO SLIT KNIFE 3.0MM, $-   , $-   ,$71.00 
3601115,STAPLES COVENTRY 4.8MM, $-   , $-   ,$85.00 
3601116,STAPLES STONE LARGE, $-   , $-   ,$172.00 
3601117,STAPLES SPIKED 1/4 XSMALL, $-   , $-   ,$560.00 
3601120,STONE RETRIEVER 4 WIRE, $-   , $-   ,$143.00 
3601128,PLATE DHS  HIP 2 HOLE 46MM X 150DG, $-   , $-   ,"$1,200.00 "
3601136,BLADE OSCILLATING 10.0 LINVATEC 163, $-   , $-   ,$70.00 
3601138,STAPLES SPIKED 5/16 SMALL, $-   , $-   ,$560.00 
3601139,STAPLES STONE MEDIUM, $-   , $-   ,$722.00 
3601140,STAPLES STONE SMALL, $-   , $-   ,$722.00 
3601141,STAPLES COVENTRY 9.5MM, $-   , $-   ,$85.00 
3601142,STAPLES COVENTRY 14MM, $-   , $-   ,$85.00 
3601145,BLADE MINI FULL DYONICS 2.9MM, $-   , $-   ,$152.00 
3601163,SURGICEL  2 X 14, $-   , $-   ,$171.00 
3601164,PLATE DHS HIP  2 HOLE 46MM X 135DG, $-   , $-   ,"$1,200.00 "
3601166,PLATE DHS HIP  2 HOLE 46MM X 145DG, $-   , $-   ,"$1,200.00 "
3601167,PLATE DHS HIP  4 HOLE 78MM X 135DG, $-   , $-   ,"$1,431.00 "
3601168,PLATE DHS HIP  4 HOLE 78MM X 140DG, $-   , $-   ,"$1,101.00 "
3601169,PLATE DHS HIP  4 HOLE 78MM X 145DG, $-   , $-   ,"$1,101.00 "
3601171,GRAFT VASCULAR WOVEN 16 X 8, $-   , $-   ,"$1,417.00 "
3601172,GRAFT VASCULAR WOVEN 18 X 9, $-   , $-   ,"$1,417.00 "
3601174,GRAFT VASCULAR WOVEN 22 X 11, $-   , $-   ,"$1,417.00 "
3601179,GRAFT VASCULAR WOVEN 10 X 20, $-   , $-   ,"$1,417.00 "
3601180,CURETTE PIPELLE SUCTION UNIMAR 3.1MM X 23.5CM, $-   , $-   ,$23.00 
3601186,"PACK LAPAROTOMY SPONGES 18 X 18""", $-   , $-   ,$7.00 
