MNEMONIC,DESCRIPTION,CHRG AMT
2898,"EXTRACTOR,PERC N CIRCLE 12FR",349.65
3068,KIT HEMOGLIDE CATH REPAIR,381.15
3146,"CATH,URET. 16FR STERILE",1.06
3369,"DRARE,ARTHRO W/POUCH",49.81
3528,"KIT,NEEDLE GUIDE 20G",72.76
3713,"LMA,SUPREME SIZE 4 DISP",40.63
3714,LMA SUPREME 5,40.46
4130,"LMA,AIR Q 4.5 DISP",54.4
4131,"LMA, AIR Q 2.5 DISP",54.4
4281,"STENT,DBL PIG 4.5X 18",201.69
4717,4x7 ULTRA THICK GRAFT JACKET,7721.7
4727,"DRAPE,C-ARMOR",110.5
5146,"DRESSING,MEPILEX AG 4X12",70.59
5260,"BALL,ROLLER 12/30 OLYMPUS",1210.3
5450,SYNERGY MR DES 2.50X012,2992.5
5654,"NEEDLE,DAVIS TONSIL",14.38
7077,"DRESSING,MEPILEX BORDER 4X10",20.31
7218,"ANCHOR,MINI TACK 2.4MM",910
7219,"KIT,DISP MINI ANCHOR",551.25
7220,"TUBE,SALEM SUMP 10FR",3.67
52001,Cystoscopy removal of clots,649
52005,Cystoscopy and ureter cath,455
74064,PANTOPRAZOLE 40 MG POWDER PACK,4.35
75474,CEFTRIAXONE 1GM INJ,43.65
75588,ETOMINDATE 40MG/20 ML,59.2
374215,GLIDESCOPE BLADE DISP GVL3,47.6
374448,"TURBOHAWK,LX-C",6709.5
374456,DAVINCI CAM ARM DRAPE,142.8
374490,"FORCEP,PIRANHA BX 3FR",1050.7
374582,"BUR,3MM BALL LEGEND",488.25
374887,"BLADE,CRESCENTIC",293.2
759801,GLYCOPYRROLATE 0.2 MG SYRINGE,23.52
2745951,REBEL MR BMS 3.50X32,1475
3030030,EXPOSURE COUNSELING,46.1
3040001,ENTEROSTOMAL EVAL 0-30 MIN,110.71
3040002,ENTERSTOMAL EVAL 30-60 MIN,218.84
3040003,ENTERSTOMAL EVAL > 60 MIN,328.99
3040006,ENTEROSTOMAL MILEAGE,0.78
3040007,ET VISIT/OUTSIDE ENTITY/HR,89.17
3050002,PIC INSERTION,1244.46
3050010,MEDICATION ADMIN SQ/IM (96372),64.12
3050011,CHEMOTHERAPY ADMIN (INP),863.86
3050012,REFILL/MAINT PORT(96521),321.21
3050013,REPAIR PICC LINE,992.43
3050014,DECLOTTING VAD OR CATH (36593),510.51
3050015,IV THERAPY VISIT,198.65
3050016,IV THERAPY PORT FLUSH,100.47
3050017,BLOOD DRAW/CENT LINE OR PICC,101.49
3050018,THERAPEUTIC PHLEBOTOMY,198.65
3050019,BLOOD DRAW/PORT,101.49
3050020,"IV HYDRATION,INITIAL (96360)",250.06
3050021,"IV HYDRATION,EA ADD HR (96361)",48.21
3050022,"IV THER OR DIAG,INITIAL(96365)",250.06
3050023,"IV THER OR DIAG,EA ADD (96366)",48.21
3050024,"IV THER OR DIAG,ADD SEQ(96367)",64.12
3050025,"IV THER OR DIAG,CONC INF(96368",43.09
3050026,"IV PUSH INJ, INITIAL (96374)",131.44
3050027,"IV PUSH INJ, EA ADD (96375)",117.33
3050028,"IV PUSH,SAME DRUG,SEQ (96376)",123.85
3050029,PNEUMONIA VACCINE ADMIN,64.12
3050030,INFLUENZA VACCINE ADMIN,64.12
3050032,"CHEMO ADMIN, SUBQ OR IM",131.44
