file_urls,time
http://www.sphp.com/workfiles/PatientResources/NON-DISCRIMINATION-NOTICE-IN-ARABIC.pdf,06 12 2019 02:38:39
http://www.sphp.com/workfiles/PatientResources/NON-DISCRIMINATION-NOTICE-IN-VIETNAMESE.pdf,06 12 2019 02:38:39
http://www.sphp.com/workfiles/PatientResources/NON-DISCRIMINATION-NOTICE-IN-RUSSIAN.pdf,06 12 2019 02:38:39
http://www.sphp.com/workfiles/PatientResources/NON-DISCRIMINATION-NOTICE-IN-GERMAN.pdf,06 12 2019 02:38:39
http://www.sphp.com/workfiles/PatientResources/NON-DISCRIMINATION-NOTICE-IN-FRENCH-CREOLE.pdf,06 12 2019 02:38:39
http://www.sphp.com/workfiles/PatientResources/NON-DISCRIMINATION-NOTICE-IN-TAGALOG.pdf,06 12 2019 02:38:39
http://www.sphp.com/workfiles/PatientResources/NON-DISCRIMINATION-NOTICE-IN-KOREAN.pdf,06 12 2019 02:38:39
http://www.sphp.com/workfiles/Billing/Insurance/Disclosure_ParPlans_.v14_20190101_SVW_P.pdf,06 12 2019 02:38:39
http://www.sphp.com/workfiles/PatientResources/NON-DISCRIMINATION-NOTICE-IN-SPANISH.pdf,06 12 2019 02:38:39
http://www.sphp.com/workfiles/Billing/Insurance/Disclosure_ParPlans_.v14_20190101_SAM_P.pdf,06 12 2019 02:38:39
http://www.sphp.com/workfiles/PatientResources/NON-DISCRIMINATION-NOTICE-IN-ENGLISH.pdf,06 12 2019 02:38:39
http://www.sphp.com/workfiles/Billing/ContractedPhysicians/Section24.6(c)-List-of-PhysicianGroups-Sam.pdf,06 12 2019 02:38:39
http://www.sphp.com/workfiles/PatientResources/NON-DISCRIMINATION-NOTICE-IN-FRENCH.pdf,06 12 2019 02:38:39
http://www.sphp.com/workfiles/Billing/Insurance/Disclosure_ParPlans_.v14_20190101_SPH_P.pdf,06 12 2019 02:38:39
http://www.sphp.com/workfiles/PatientResources/NON-DISCRIMINATION-NOTICE-IN-CHINESE.pdf,06 12 2019 02:38:39
http://www.sphp.com/workfiles/Billing/ContractedPhysicians/Section24.6(c)-List-of-PhysicianGroups-AMH.pdf,06 12 2019 02:38:39
http://www.sphp.com/workfiles/PatientResources/UnderstandingHealthcarePrices-AConsumerGuide-HFMA.PDF,06 12 2019 02:38:39
http://www.sphp.com/workfiles/Billing/ContractedPhysicians/Section24.6(c)-List-of-PhysicianGroups-SMH.pdf,06 12 2019 02:38:39
http://www.sphp.com/workfiles/Billing/Insurance/Disclosure_ParPlans_.v14_20190214_SPMA_P.pdf,06 12 2019 02:38:39
http://www.sphp.com/workfiles/Billing/Insurance/Disclosure_ParPlans_.v14_20190214_SVW_P.pdf,06 12 2019 02:38:39
http://www.sphp.com/workfiles/Billing/Insurance/Disclosure_ParPlans_.v14_20190101_AMH_P.pdf,06 12 2019 02:38:39
http://www.sphp.com/workfiles/Billing/ContractedPhysicians/Section24.6(c)-List-of-PhysicianGroups-SVH.pdf,06 12 2019 02:38:39
http://www.sphp.com/workfiles/Billing/Insurance/Disclosure_ParPlans_.v14_20190514_SPH_H.pdf,06 12 2019 02:38:39
http://www.sphp.com/workfiles/Billing/Insurance/Disclosure_ParPlans_.v14_20190214_SAM_P.pdf,06 12 2019 02:38:39
http://www.sphp.com/workfiles/PatientResources/NYS_Taglines.pdf,06 12 2019 02:38:39
http://www.sphp.com/workfiles/Billing/Insurance/Disclosure_ParPlans_.v14_20190214_AMH_P.pdf,06 12 2019 02:38:39
http://www.sphp.com/workfiles/Billing/ContractedPhysicians/Section24.6(c)-List-of-PhysicianGroups-SPH.pdf,06 12 2019 02:38:40
http://www.trinity-health.org/workfiles/30140_Final.csv,06 12 2019 02:38:40
https://www.trinity-health.org/workfiles/30101_Final.xlsx,06 12 2019 02:38:40
http://www.trinity-health.org/workfiles/30120_Final.xlsx,06 12 2019 02:38:40
http://www.trinity-health.org/workfiles/30105_Final.xlsx,06 12 2019 02:38:40
https://www.medicare.gov/sites/default/files/2018-07/11435.pdf,06 12 2019 02:38:49
