file_urls,time
https://www.baptisthealth.com/louisville/pages/patients-and-visitors/billing-information.aspx,06 11 2019 23:38:55
https://www.baptisthealth.com/Pages/careers/our-locations/louisville.aspx,06 11 2019 23:38:56
https://www.baptisthealth.com/louisville/Pages/about-baptist-health-louisville.aspx,06 11 2019 23:38:56
https://www.baptisthealth.com/louisville/Pages/about-baptist-health/baptist-health-auxiliary.aspx,06 11 2019 23:38:56
https://www.baptisthealth.com/louisville/Pages/patients-and-visitors/pastoral-care.aspx,06 11 2019 23:38:56
https://www.baptisthealth.com/louisville/Pages/patients-and-visitors/health-risk-assessments.aspx,06 11 2019 23:38:56
https://www.baptisthealth.com/louisville/Pages/patients-and-visitors/send-an-ecard.aspx,06 11 2019 23:38:57
https://www.baptisthealth.com/louisville/Pages/about-baptist-health/awards-and-accreditations.aspx,06 11 2019 23:38:57
https://www.baptisthealth.com/louisville/Pages/about-baptist-health/community-health-and-outreach.aspx,06 11 2019 23:38:57
https://www.baptisthealth.com/louisville/Pages/patients-and-visitors/patient-and-visitor-information.aspx,06 11 2019 23:38:58
https://www.baptisthealth.com/louisville/Pages/patients-and-visitors/patient-and-visitor-information/requesting-a-medical-record.aspx,06 11 2019 23:38:58
https://www.baptisthealth.com/Pages/patients-and-visitors/billing-information.aspx,06 11 2019 23:38:58
https://www.baptisthealth.com/louisville/Pages/patients-and-visitors/send-a-thank-you.aspx,06 11 2019 23:38:58
https://www.baptisthealth.com/lexington/Pages/about-baptist-health/community-health-and-outreach/community-health-needs-assessment.aspx,06 11 2019 23:38:58
https://www.baptisthealth.com/louisville/Pages/patients-and-visitors/online-check-in.aspx,06 11 2019 23:38:58
https://www.baptisthealth.com/Pages/patients-and-visitors/pre-register.aspx,06 11 2019 23:38:58
https://www.baptisthealth.com/louisville/Pages/patients-and-visitors/patient-safety-and-quality.aspx,06 11 2019 23:38:59
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/safety-goals-and-rankings/system-wide-infection-goals.aspx,06 11 2019 23:38:59
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/safety-education-and-faq/staying-safe/hand-hygiene.aspx,06 11 2019 23:39:00
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/safety-education-and-faq/staying-safe/self-and-caregiver-advocacy.aspx,06 11 2019 23:39:00
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/recognize-a-nurse.aspx,06 11 2019 23:39:01
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/safety-education-and-faq/staying-safe/caring-for-an-aging-parent.aspx,06 11 2019 23:39:02
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/safety-education-and-faq/staying-safe/medication-safety.aspx,06 11 2019 23:39:03
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/staying-safe.aspx,06 11 2019 23:39:03
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/contact-us.aspx,06 11 2019 23:39:04
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/safety-education-and-faq/staying-safe/falls-prevention.aspx,06 11 2019 23:39:04
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/safety-goals-and-rankings.aspx,06 11 2019 23:39:05
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/safety-education-and-faq.aspx,06 11 2019 23:39:05
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/safety-culture/standardization.aspx,06 11 2019 23:39:05
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/safety-education-and-faq/frequently-asked-questions.aspx,06 11 2019 23:39:07
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/safety-education-and-faq/staying-safe/transitioning-from-hospital-to-home.aspx,06 11 2019 23:39:07
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/safety-culture.aspx,06 11 2019 23:39:07
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/online-check-in/make-a-reservation-brannon-crossing-urgent-care.aspx,06 11 2019 23:39:08
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/safety-culture/your-voice-matters.aspx,06 11 2019 23:39:08
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/online-check-in/make-a-reservation-paris-express-care.aspx,06 11 2019 23:39:09
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/online-check-in/make-a-reservation-nicholasville-express-care.aspx,06 11 2019 23:39:10
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/nondiscrimination-and-accessibility-policy/oromo.aspx,06 11 2019 23:39:11
