file_urls,time
https://www.baptisthealth.com/lexington/pages/patients-and-visitors/billing-information/chargemaster.aspx,06 11 2019 22:02:52
https://www.baptisthealth.com/louisville/pages/patients-and-visitors/billing-information.aspx,06 11 2019 22:02:52
https://www.baptisthealth.com/lexington/Pages/about-baptist-health/leadership.aspx,06 11 2019 22:02:53
https://www.baptisthealth.com/lexington/Pages/about-baptist-health/accreditations-and-awards.aspx,06 11 2019 22:02:53
https://www.baptisthealth.com/lexington/Pages/about-baptist-health/donate-or-volunteer.aspx,06 11 2019 22:02:53
https://www.baptisthealth.com/lexington/Pages/about-baptist-health-lexington.aspx,06 11 2019 22:02:53
https://www.baptisthealth.com/lexington/Pages/about-baptist-health/community-health-and-outreach.aspx,06 11 2019 22:02:53
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/health-risk-assessments.aspx,06 11 2019 22:02:53
https://www.baptisthealth.com/Pages/careers/our-locations/lexington.aspx,06 11 2019 22:02:54
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/pastoral-care.aspx,06 11 2019 22:02:54
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/send-a-thank-you.aspx,06 11 2019 22:02:54
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/Requesting-a-Medical-Record.aspx,06 11 2019 22:02:54
https://www.baptisthealth.com/Pages/patients-and-visitors/pre-register.aspx,06 11 2019 22:02:54
https://www.baptisthealth.com/Documents/59300bd2-5ee8-4021-97f5-6e38d2e946d3.pdf,06 11 2019 22:02:55
https://www.baptisthealth.com/Pages/patients-and-visitors/billing-information/online-bill-pay.aspx,06 11 2019 22:02:55
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality.aspx,06 11 2019 22:02:55
https://www.baptisthealth.com/louisville/Pages/about-baptist-health/community-health-and-outreach/community-health-needs-assessment.aspx,06 11 2019 22:02:55
https://www.baptisthealth.com/Documents/81ca794a-db85-47f4-b16c-78c567f17f3a.pdf,06 11 2019 22:02:55
https://www.baptisthealth.com/louisville/Pages/patients-and-visitors/join-our-advisory-council.aspx,06 11 2019 22:02:56
https://www.baptisthealth.com/louisville/Pages/patients-and-visitors/patient-safety-and-quality/contact-us.aspx,06 11 2019 22:02:56
https://www.baptisthealth.com/louisville/Pages/patients-and-visitors/patient-safety-and-quality/safety-goals-and-rankings/system-wide-infection-goals.aspx,06 11 2019 22:02:56
https://www.baptisthealth.com/louisville/Pages/patients-and-visitors/patient-safety-and-quality/safety-education-and-faq/staying-safe/transitioning-from-hospital-to-home.aspx,06 11 2019 22:02:57
https://www.baptisthealth.com/louisville/Pages/patients-and-visitors/patient-safety-and-quality/safety-goals-and-rankings.aspx,06 11 2019 22:02:58
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/send-an-ecard.aspx,06 11 2019 22:02:58
