file_urls,time
https://www.baptisthealth.com/louisville/pages/patients-and-visitors/billing-information.aspx,06 12 2019 02:59:58
https://www.baptisthealth.com/louisville/Pages/about-baptist-health/awards-and-accreditations.aspx,06 12 2019 02:59:59
https://www.baptisthealth.com/louisville/Pages/patients-and-visitors/health-risk-assessments.aspx,06 12 2019 02:59:59
https://www.baptisthealth.com/louisville/Pages/about-baptist-health-louisville.aspx,06 12 2019 02:59:59
https://www.baptisthealth.com/louisville/Pages/about-baptist-health/baptist-health-auxiliary.aspx,06 12 2019 02:59:59
https://www.baptisthealth.com/louisville/Pages/about-baptist-health/community-health-and-outreach.aspx,06 12 2019 03:00:00
https://www.baptisthealth.com/louisville/Pages/patients-and-visitors/pastoral-care.aspx,06 12 2019 03:00:00
https://www.baptisthealth.com/Pages/careers/our-locations/louisville.aspx,06 12 2019 03:00:00
https://www.baptisthealth.com/louisville/Pages/patients-and-visitors/patient-and-visitor-information.aspx,06 12 2019 03:00:00
https://www.baptisthealth.com/Pages/patients-and-visitors/billing-information.aspx,06 12 2019 03:00:01
https://www.baptisthealth.com/louisville/Pages/patients-and-visitors/patient-and-visitor-information/requesting-a-medical-record.aspx,06 12 2019 03:00:01
https://www.baptisthealth.com/louisville/Pages/patients-and-visitors/online-check-in.aspx,06 12 2019 03:00:03
https://www.baptisthealth.com/louisville/Pages/patients-and-visitors/send-a-thank-you.aspx,06 12 2019 03:00:03
https://www.baptisthealth.com/louisville/Pages/patients-and-visitors/send-an-ecard.aspx,06 12 2019 03:00:03
https://www.baptisthealth.com/Pages/patients-and-visitors/pre-register.aspx,06 12 2019 03:00:03
https://www.baptisthealth.com/louisville/Pages/patients-and-visitors/patient-safety-and-quality.aspx,06 12 2019 03:00:04
https://www.baptisthealth.com/lexington/Pages/about-baptist-health/community-health-and-outreach/community-health-needs-assessment.aspx,06 12 2019 03:00:04
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/recognize-a-nurse.aspx,06 12 2019 03:00:04
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/contact-us.aspx,06 12 2019 03:00:04
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/safety-goals-and-rankings/system-wide-infection-goals.aspx,06 12 2019 03:00:05
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/safety-goals-and-rankings.aspx,06 12 2019 03:00:05
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/safety-education-and-faq/staying-safe/self-and-caregiver-advocacy.aspx,06 12 2019 03:00:05
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/safety-education-and-faq/staying-safe/falls-prevention.aspx,06 12 2019 03:00:06
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/safety-education-and-faq/staying-safe/transitioning-from-hospital-to-home.aspx,06 12 2019 03:00:07
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/safety-education-and-faq/staying-safe/caring-for-an-aging-parent.aspx,06 12 2019 03:00:07
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/safety-education-and-faq.aspx,06 12 2019 03:00:09
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/safety-culture/your-voice-matters.aspx,06 12 2019 03:00:09
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/safety-education-and-faq/frequently-asked-questions.aspx,06 12 2019 03:00:10
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/safety-culture.aspx,06 12 2019 03:00:11
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/online-check-in/make-a-reservation-nicholasville-road-urgent-care.aspx,06 12 2019 03:00:12
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/safety-education-and-faq/staying-safe/medication-safety.aspx,06 12 2019 03:00:12
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/online-check-in/make-a-reservation-harrodsburg-road-urgent-care.aspx,06 12 2019 03:00:13
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/safety-culture/standardization.aspx,06 12 2019 03:00:13
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/online-check-in/make-a-reservation-paris-express-care.aspx,06 12 2019 03:00:14
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/safety-education-and-faq/staying-safe/hand-hygiene.aspx,06 12 2019 03:00:15
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/online-check-in/make-a-reservation-brannon-crossing-urgent-care.aspx,06 12 2019 03:00:15
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/safety-culture/safety-everyday.aspx,06 12 2019 03:00:15
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/online-check-in/make-a-reservation-hamburg-express-care.aspx,06 12 2019 03:00:17
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/staying-safe.aspx,06 12 2019 03:00:17
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/nondiscrimination-and-accessibility-policy/serbian.aspx,06 12 2019 03:00:18
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/nondiscrimination-and-accessibility-policy/pennsylvania-dutch.aspx,06 12 2019 03:00:19
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/nondiscrimination-and-accessibility-policy/vietnamese.aspx,06 12 2019 03:00:20
https://www.baptisthealth.com:443/lexington/Pages/patients-and-visitors/advance-care-planning/advance-directives.aspx,06 12 2019 03:00:22
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/nondiscrimination-and-accessibility-policy/tagalog.aspx,06 12 2019 03:00:23
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/nondiscrimination-and-accessibility-policy/russian.aspx,06 12 2019 03:00:24
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/nondiscrimination-and-accessibility-policy/german.aspx,06 12 2019 03:00:25
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/nondiscrimination-and-accessibility-policy/french.aspx,06 12 2019 03:00:26
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/online-check-in/make-a-reservation-nicholasville-express-care.aspx,06 12 2019 03:00:27
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/nondiscrimination-and-accessibility-policy/spanish.aspx,06 12 2019 03:00:28
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/nondiscrimination-and-accessibility-policy/oromo.aspx,06 12 2019 03:00:29
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/nondiscrimination-and-accessibility-policy/nepali.aspx,06 12 2019 03:00:30
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/nondiscrimination-and-accessibility-policy/japanese.aspx,06 12 2019 03:00:31
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-advisory-council/join-our-advisory-council.aspx,06 12 2019 03:00:32
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/health-risk-assessments/health-risk-assessment-disclaimer.aspx,06 12 2019 03:00:34
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/admitting.aspx,06 12 2019 03:00:35
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/nondiscrimination-and-accessibility-policy/korean.aspx,06 12 2019 03:00:36
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/financial-assistance.aspx,06 12 2019 03:00:37
