file_urls,time
https://www.baptisthealth.com/louisville/pages/patients-and-visitors/billing-information.aspx,06 12 2019 06:20:02
https://www.baptisthealth.com/Pages/patients-and-visitors/pre-register.aspx,06 12 2019 06:20:03
https://www.baptisthealth.com/louisville/Pages/patients-and-visitors/pastoral-care.aspx,06 12 2019 06:20:04
https://www.baptisthealth.com/louisville/Pages/patients-and-visitors/health-risk-assessments.aspx,06 12 2019 06:20:04
https://www.baptisthealth.com/Pages/patients-and-visitors/billing-information.aspx,06 12 2019 06:20:04
https://www.baptisthealth.com/louisville/Pages/patients-and-visitors/send-a-thank-you.aspx,06 12 2019 06:20:04
https://www.baptisthealth.com/louisville/Pages/patients-and-visitors/patient-and-visitor-information/requesting-a-medical-record.aspx,06 12 2019 06:20:04
https://www.baptisthealth.com/louisville/Pages/patients-and-visitors/patient-and-visitor-information.aspx,06 12 2019 06:20:04
https://www.baptisthealth.com/louisville/Pages/patients-and-visitors/send-an-ecard.aspx,06 12 2019 06:20:04
https://www.baptisthealth.com/louisville/Pages/patients-and-visitors/patient-safety-and-quality.aspx,06 12 2019 06:20:05
https://www.baptisthealth.com/louisville/Pages/patients-and-visitors/community-classes-and-support-groups.aspx,06 12 2019 06:20:05
https://www.baptisthealth.com/louisville/Pages/patients-and-visitors/online-check-in.aspx,06 12 2019 06:20:05
https://www.baptisthealth.com/louisville/Pages/patients-and-visitors.aspx,06 12 2019 06:20:05
https://www.baptisthealth.com/louisville/Pages/patients-and-visitors/patient-and-visitor-information/gift-shop.aspx,06 12 2019 06:20:05
https://www.baptisthealth.com/lexington/Pages/about-baptist-health/community-health-and-outreach/community-health-needs-assessment.aspx,06 12 2019 06:20:05
https://www.baptisthealth.com/louisville/Pages/services/mother-and-baby-care/online-nursery.aspx,06 12 2019 06:20:05
https://www.baptisthealth.com/louisville/Pages/patients-and-visitors/nondiscrimination-and-accessibility-policy/french.aspx,06 12 2019 06:20:06
