file_urls,time
https://www.baptisthealth.com/louisville/pages/patients-and-visitors/billing-information.aspx,06 11 2019 21:50:30
https://www.baptisthealth.com/lexington/pages/patients-and-visitors/billing-information/chargemaster.aspx,06 11 2019 21:50:30
https://www.baptisthealth.com/Pages/careers/our-locations/louisville.aspx,06 11 2019 21:50:31
https://www.baptisthealth.com/louisville/Pages/about-baptist-health-louisville.aspx,06 11 2019 21:50:31
https://www.baptisthealth.com/louisville/Pages/patients-and-visitors/patient-and-visitor-information.aspx,06 11 2019 21:50:31
https://www.baptisthealth.com/louisville/Pages/patients-and-visitors/pastoral-care.aspx,06 11 2019 21:50:31
https://www.baptisthealth.com/louisville/Pages/patients-and-visitors/send-a-thank-you.aspx,06 11 2019 21:50:32
https://www.baptisthealth.com/louisville/Pages/patients-and-visitors/health-risk-assessments.aspx,06 11 2019 21:50:32
https://www.baptisthealth.com/Pages/patients-and-visitors/pre-register.aspx,06 11 2019 21:50:32
https://www.baptisthealth.com/louisville/Pages/patients-and-visitors/patient-and-visitor-information/requesting-a-medical-record.aspx,06 11 2019 21:50:32
https://www.baptisthealth.com/louisville/Pages/patients-and-visitors/send-an-ecard.aspx,06 11 2019 21:50:32
https://www.baptisthealth.com/Pages/patients-and-visitors/billing-information.aspx,06 11 2019 21:50:32
https://www.baptisthealth.com/louisville/Pages/services/mother-and-baby-care/online-nursery.aspx,06 11 2019 21:50:33
https://www.baptisthealth.com/louisville/Pages/patients-and-visitors/online-check-in.aspx,06 11 2019 21:50:33
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/recognize-a-nurse.aspx,06 11 2019 21:50:33
https://www.baptisthealth.com/louisville/Pages/patients-and-visitors/patient-safety-and-quality.aspx,06 11 2019 21:50:33
https://www.baptisthealth.com/louisville/Pages/patients-and-visitors/patient-and-visitor-information/gift-shop.aspx,06 11 2019 21:50:33
https://www.baptisthealth.com/lexington/Pages/about-baptist-health/community-health-and-outreach/community-health-needs-assessment.aspx,06 11 2019 21:50:33
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/contact-us.aspx,06 11 2019 21:50:33
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/safety-education-and-faq/staying-safe/transitioning-from-hospital-to-home.aspx,06 11 2019 21:50:34
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/safety-education-and-faq/staying-safe/hand-hygiene.aspx,06 11 2019 21:50:36
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/safety-education-and-faq/staying-safe/falls-prevention.aspx,06 11 2019 21:50:37
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/safety-education-and-faq/staying-safe/caring-for-an-aging-parent.aspx,06 11 2019 21:50:38
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/staying-safe.aspx,06 11 2019 21:50:40
https://www.baptisthealth.com/pages/patients-and-visitors/website-privacy-information/compliance.aspx,06 11 2019 21:50:41
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/safety-education-and-faq.aspx,06 11 2019 21:50:41
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/safety-education-and-faq/staying-safe/self-and-caregiver-advocacy.aspx,06 11 2019 21:50:42
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/safety-culture/standardization.aspx,06 11 2019 21:50:42
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/safety-education-and-faq/frequently-asked-questions.aspx,06 11 2019 21:50:43
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/safety-culture.aspx,06 11 2019 21:50:43
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/online-check-in/make-a-reservation-harrodsburg-road-urgent-care.aspx,06 11 2019 21:50:45
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/safety-education-and-faq/staying-safe/medication-safety.aspx,06 11 2019 21:50:45
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/safety-culture/safety-everyday.aspx,06 11 2019 21:50:46
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/safety-goals-and-rankings.aspx,06 11 2019 21:50:46
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/online-check-in/make-a-reservation-nicholasville-road-urgent-care.aspx,06 11 2019 21:50:47
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/online-check-in/make-a-reservation-nicholasville-express-care.aspx,06 11 2019 21:50:48
https://www.baptisthealth.com/lexington/Pages/patients-and-visitors/patient-safety-and-quality/safety-goals-and-rankings/system-wide-infection-goals.aspx,06 11 2019 21:50:48
