file_urls,time
https://www.bronsonhealth.com/app/files/public/7183/drg-2018.csv,06 11 2019 23:44:15
https://www.bronsonhealth.com/app/files/public/6799/hb-fee-schedule-2019.csv,06 11 2019 23:44:15
https://www.bronsonhealth.com/app/files/public/6848/pharm-cm-complete.csv,06 11 2019 23:44:16
https://www.bronsonhealth.com/app/files/public/2580/BBC-Donor-Thank-You-2014.pdf,06 11 2019 23:44:16
https://www.bronsonhealth.com/classes-events/search-results-detail/?eventId=5fb24617-3ace-e811-a2c9-001dd8b71cd4,06 11 2019 23:44:21
https://www.bronsonhealth.com/search-pages/results/?searchId=13ce8f55-c48c-e911-a820-000d3a611c21&sort=10&page=1&altSearchId=13ce8f55-c48c-e911-a820-000d3a611c21,06 11 2019 23:44:22
https://www.bronsonhealth.com/doctors/mujahed-abbas/?searchId=0dce8f55-c48c-e911-a820-000d3a611c21&sort=3,06 11 2019 23:44:26
https://www.bronsonhealth.com/classes-events/search-results-detail/?eventId=c0ba8d5f-bbde-e811-a2cc-001dd8b71cd5,06 11 2019 23:44:28
https://www.bronsonhealth.com/classes-events/search-results/,06 11 2019 23:44:29
https://www.bronsonhealth.com/classes-events/search-results-detail/?eventId=47bfa785-39ce-e811-a2c9-001dd8b71cd4,06 11 2019 23:44:31
https://www.bronsonhealth.com/classes-events/search-results-detail/?eventId=863fcc24-195a-e911-a81b-000d3a611c21,06 11 2019 23:44:34
https://www.bronsonhealth.com/find-a-doctor/results/?searchId=0dce8f55-c48c-e911-a820-000d3a611c21&sort=3&page=1&altSearchId=0dce8f55-c48c-e911-a820-000d3a611c21,06 11 2019 23:44:34
https://www.bronsonhealth.com/classes-events/search-results-detail/?eventId=7f1c1b11-155a-e911-a81b-000d3a611c21,06 11 2019 23:44:37
