file_urls,time
http://coalingamedicalcenter.com/wp-content/uploads/2018/08/Mammography-Letter-8-1-2018-Spanish.pdf,06 11 2019 21:35:06
http://coalingamedicalcenter.com/wp-content/uploads/2018/08/Mammography-Letter-8-1-2018-English.pdf,06 11 2019 21:35:06
http://coalingamedicalcenter.com/wp-content/uploads/2018/05/Authorization-for-Release-of-Records.pdf,06 11 2019 21:35:06
http://coalingamedicalcenter.com/wp-content/uploads/2018/10/Medical-Records-Requests-English.pdf,06 11 2019 21:35:06
http://coalingamedicalcenter.com/wp-content/uploads/2018/10/Medical-Records-Requests-Spanish.pdf,06 11 2019 21:35:06
http://coalingamedicalcenter.com/wp-content/uploads/2019/06/Escrow-Agreement.pdf,06 11 2019 21:35:06
http://coalingamedicalcenter.com/wp-content/uploads/2019/06/Bond-Purchase-Agreement.pdf,06 11 2019 21:35:06
http://coalingamedicalcenter.com/wp-content/uploads/2018/05/Autorizaci%C3%B3n-para-la-liberaci%C3%B3n-de-los-registros.pdf,06 11 2019 21:35:06
http://coalingamedicalcenter.com/wp-content/uploads/2019/06/Resolution.pdf,06 11 2019 21:35:07
http://coalingamedicalcenter.com/wp-content/uploads/2019/06/Indenture-of-Trust.pdf,06 11 2019 21:35:07
http://coalingamedicalcenter.com/wp-content/uploads/2019/02/BOT-Agenda-February-27-2019.pdf,06 11 2019 21:35:07
