file_urls,time
http://www.heartlandregional.com/Uploads/Public/Documents/NDD/Heartland-Regional-Medical-Center-nd.pdf,06 12 2019 06:29:23
http://www.heartlandregional.com/heartland-regional-medical-center/services.aspx,06 12 2019 06:29:23
http://www.heartlandregional.com/heartland-regional-medical-center/marketingandprcontact.aspx,06 12 2019 06:29:24
http://www.heartlandregional.com/heartland-regional-medical-center/mediaandvendors.aspx,06 12 2019 06:29:26
http://www.heartlandregional.com/heartland-regional-medical-center/hospital-sites-hospital-fact-sheet.aspx,06 12 2019 06:29:27
http://www.heartlandregional.com/heartland-regional-medical-center/phonedirectory.aspx,06 12 2019 06:29:28
http://www.heartlandregional.com/heartland-regional-medical-center/campusmapandamenities.aspx,06 12 2019 06:29:29
http://www.heartlandregional.com/Heartland-Regional-Medical-Center/PatientsandCaregivers.aspx,06 12 2019 06:29:30
http://www.heartlandregional.com/Heartland-Regional-Medical-Center/Community.aspx,06 12 2019 06:29:32
http://www.heartlandregional.com/heartland-regional-medical-center/volunteers.aspx,06 12 2019 06:29:33
http://www.heartlandregional.com/heartland-regional-medical-center/returninghome.aspx,06 12 2019 06:29:34
http://www.heartlandregional.com/Heartland-Regional-Medical-Center/Visitors.aspx,06 12 2019 06:29:35
http://www.heartlandregional.com/heartland-regional-medical-center/pricing-transparency.aspx,06 12 2019 06:29:36
http://www.heartlandregional.com/heartland-regional-medical-center/hospital-sites---notice-of-privacy-practices.aspx,06 12 2019 06:29:38
http://www.heartlandregional.com/heartland-regional-medical-center/billingandinsurance.aspx,06 12 2019 06:29:39
http://www.heartlandregional.com/heartland-regional-medical-center/contactus.aspx,06 12 2019 06:29:40
http://www.heartlandregional.com/heartland-regional-medical-center/your-stay.aspx,06 12 2019 06:29:42
http://www.heartlandregional.com/Heartland-Regional-Medical-Center/FindADoctor.aspx?atoz=1,06 12 2019 06:29:48
http://www.heartlandregional.com/Uploads/Public/Documents/Pricing/Heartland_CMList_1_1_2019.csv,06 12 2019 06:29:49
http://www.heartlandregional.com/Uploads/Public/Documents/Pricing/DRGrev/Heartland_DRG_1_2_19.csv,06 12 2019 06:29:49
http://www.heartlandregional.com/heartland-regional-medical-center/admissions.aspx,06 12 2019 06:29:50
http://www.heartlandregional.com/heartland-regional-medical-center/onlinepreregistration.aspx,06 12 2019 06:29:51
http://www.heartlandregional.com/heartland-regional-medical-center/online-services1.aspx,06 12 2019 06:29:52
http://www.heartlandregional.com/Heartland-Regional-Medical-Center/privacypolicystandard.aspx,06 12 2019 06:29:54
http://www.heartlandregional.com/heartland-regional-medical-center/medicalprofessionals.aspx,06 12 2019 06:29:54
http://www.heartlandregional.com/heartland-regional-medical-center/myhealthhomepatientportal.aspx,06 12 2019 06:29:55
http://www.heartlandregional.com/heartland-regional-medical-center/employment.aspx,06 12 2019 06:29:57
http://www.heartlandregional.com/heartland-regional-medical-center/newsletter.aspx,06 12 2019 06:29:58
http://www.heartlandregional.com/heartland-regional-medical-center/sponsorshiprequests.aspx,06 12 2019 06:29:59
http://www.heartlandregional.com/heartland-regional-medical-center/eventsandclasses.aspx,06 12 2019 06:30:00
http://www.heartlandregional.com/heartland-regional-medical-center/press1.aspx,06 12 2019 06:30:01
http://www.heartlandregional.com/heartland-regional-medical-center/community.aspx,06 12 2019 06:30:02
http://www.heartlandregional.com/heartland-regional-medical-center/giftshopandcafeteria.aspx,06 12 2019 06:30:03
http://www.heartlandregional.com/heartland-regional-medical-center/visitors.aspx,06 12 2019 06:30:04
http://www.heartlandregional.com/heartland-regional-medical-center/patientrightsandresponsibilities.aspx,06 12 2019 06:30:06
http://www.heartlandregional.com/heartland-regional-medical-center/aboutus.aspx,06 12 2019 06:30:06
http://www.heartlandregional.com/heartland-regional-medical-center/patient-resources.aspx,06 12 2019 06:30:07
http://www.heartlandregional.com/heartland-regional-medical-center/insuranceacceptedplans.aspx,06 12 2019 06:30:09
http://www.heartlandregional.com/Heartland-Regional-Medical-Center/Home.aspx,06 12 2019 06:30:11
http://www.heartlandregional.com/heartland-regional-medical-center/patientsandcaregivers.aspx,06 12 2019 06:30:12
http://www.heartlandregional.com/Heartland-Regional-Medical-Center/TermsandConditions.aspx,06 12 2019 06:30:14
http://www.heartlandregional.com/heartland-regional-medical-center/our-healthy-circle.aspx,06 12 2019 06:30:15
http://www.heartlandregional.com/heartland-regional-medical-center/privacypolicystandard.aspx,06 12 2019 06:30:16
http://www.heartlandregional.com/heartland-regional-medical-center/Events.aspx?calendar=y,06 12 2019 06:30:17
http://www.heartlandregional.com/Heartland-Regional-Medical-Center/home.aspx,06 12 2019 06:30:19
http://www.heartlandregional.com/Heartland-Regional-Medical-Center/hospital-sites---notice-of-privacy-practices.aspx,06 12 2019 06:30:20
