file_urls,time
http://www.hendrickhealth.org/respiratory/respiratory-care.aspx,06 11 2019 23:56:24
http://www.hendrickhealth.org/emergency/emergency-care.aspx,06 11 2019 23:56:24
http://www.hendrickhealth.org/diabetes/diabetes-care.aspx,06 11 2019 23:56:25
http://www.hendrickhealth.org/breast-health/breast-health.aspx,06 11 2019 23:56:25
http://www.hendrickhealth.org/home-health/home-health.aspx,06 11 2019 23:56:26
http://www.hendrickhealth.org/palliative/palliative-care.aspx,06 11 2019 23:56:27
http://www.hendrickhealth.org/asthma/asthma-care.aspx,06 11 2019 23:56:27
http://www.hendrickhealth.org/stroke/stroke.aspx,06 11 2019 23:56:28
http://www.hendrickhealth.org/ostomy/ostomy.aspx,06 11 2019 23:56:28
http://www.hendrickhealth.org/foundation/foundation-donate.aspx,06 11 2019 23:56:28
http://www.hendrickhealth.org/main/classes-events/blood-drive-ranger-care-center-10-am4-pm-10881.aspx,06 11 2019 23:56:29
http://www.hendrickhealth.org/main/classes-events/mall-of-abilene-in-the-dillards-womens--10888.aspx,06 11 2019 23:56:30
http://www.hendrickhealth.org/radiology/radiology-imaging.aspx,06 11 2019 23:56:30
http://www.hendrickhealth.org/pharmacy/pharmacy.aspx,06 11 2019 23:56:31
http://www.hendrickhealth.org/pulmonary/pulmonary-rehab.aspx,06 11 2019 23:56:31
http://www.hendrickhealth.org/main/noticeofnon-discrimination.aspx,06 11 2019 23:56:32
http://www.hendrickhealth.org/main/news/hendrick-hospice-care-named-2019-hospice-honors-re-196.aspx,06 11 2019 23:56:32
http://www.hendrickhealth.org/balance/balance-health.aspx,06 11 2019 23:56:33
https://safepayservices.com/messages?msg=BADREQUEST,06 11 2019 23:56:33
http://www.hendrickhealth.org/main/for-employees.aspx,06 11 2019 23:56:33
http://www.hendrickhealth.org/main/for-physicians.aspx,06 11 2019 23:56:34
http://www.hendrickhealth.org/lab/laboratory-services.aspx,06 11 2019 23:56:35
http://www.hendrickhealth.org/main/newsroom.aspx,06 11 2019 23:56:35
http://www.hendrickhealth.org/medical-staff-office/medical-staff-office.aspx,06 11 2019 23:56:35
http://www.hendrickhealth.org/foundation/ways-to-donate.aspx,06 11 2019 23:56:35
https://www.hendrickhealth.org/patients/online-bill-pay1.aspx,06 11 2019 23:56:36
http://www.hendrickhealth.org/main/news.aspx,06 11 2019 23:56:36
http://www.hendrickhealth.org/Uploads/Public/Documents/Billing/Hendrick-Financial-Assistance-Summary-2016-Spanish.pdf,06 11 2019 23:56:37
http://www.hendrickhealth.org/main/legal.aspx,06 11 2019 23:56:37
http://www.hendrickhealth.org/careers/careers-home.aspx,06 11 2019 23:56:37
http://www.hendrickhealth.org/Uploads/Public/Documents/Billing/Request-For-Assistance-03-230-Spanish.pdf,06 11 2019 23:56:37
http://www.hendrickhealth.org/Uploads/Public/Documents/CardiologyConsultants/AGB%202018%20Appendix.pdf,06 11 2019 23:56:37
http://www.hendrickhealth.org/Uploads/Public/Documents/Billing/Physicians-for-Charity-Policy.pdf,06 11 2019 23:56:37
http://www.hendrickhealth.org/Uploads/Public/Documents/Billing/Hendrick-Financial-Assistance-Summary-2016.pdf,06 11 2019 23:56:37
http://www.hendrickhealth.org/Uploads/Public/Documents/Billing/Request-For-Assistance-03-230.pdf,06 11 2019 23:56:37
http://www.hendrickhealth.org/Uploads/Public/Documents/Billing/BP-03-Financial-Assistance-Policy-including-Charity-Classification-08-31-18.pdf,06 11 2019 23:56:38
http://www.hendrickhealth.org/main/news/hendrick-earns-ceo-cancer-gold-standardreaccredita-195.aspx,06 11 2019 23:56:38
http://www.hendrickhealth.org/main/classes-events/blood-drive-merkel-care-center-10-am4-pm-10882.aspx,06 11 2019 23:56:38
http://www.hendrickhealth.org/patients/patient-care-team.aspx,06 11 2019 23:56:39
http://www.hendrickhealth.org/patients/patient-relations.aspx,06 11 2019 23:56:39
http://www.hendrickhealth.org/main/follow-my-health.aspx,06 11 2019 23:56:40
http://www.hendrickhealth.org/patients/medical-records.aspx,06 11 2019 23:56:40
http://www.hendrickhealth.org/patients/admissions.aspx,06 11 2019 23:56:40
http://www.hendrickhealth.org/patients/financial-assistance.aspx,06 11 2019 23:56:40
http://www.hendrickhealth.org/patients/unfunded-care.aspx,06 11 2019 23:56:41
http://www.hendrickhealth.org/patients/billing-contact.aspx,06 11 2019 23:56:41
http://www.hendrickhealth.org/patients/billing.aspx,06 11 2019 23:56:41
http://www.hendrickhealth.org/patients/insurance-information.aspx,06 11 2019 23:56:41
http://www.hendrickhealth.org/patients/for-patients.aspx,06 11 2019 23:56:42
http://www.hendrickhealth.org/foundation/foundation.aspx,06 11 2019 23:56:42
http://www.hendrickhealth.org/women/hope-fund.aspx,06 11 2019 23:56:43
