file_urls,time
https://www.jupitermed.com/documents/financial-assistance/Financial-Assistance-Policy-(5490_3).pdf,06 12 2019 06:12:31
https://www.jupitermed.com/documents/Perks-at-Work/Perks-List-_Updated_05.09.19.pdf,06 12 2019 06:12:31
https://www.jupitermed.com/documents/financial-assistance/Jupiter-Medical-Center-Employed-Physicians_updated-July-2018.pdf,06 12 2019 06:12:31
https://www.jupitermed.com/documents/financial-assistance/Billing-and-Collection-Policy-Spanish-version-(6775_3).pdf,06 12 2019 06:12:31
https://www.jupitermed.com/documents/financial-assistance/Billing-and-Collection-Policy-(1252_1).pdf,06 12 2019 06:12:31
https://www.jupitermed.com/documents/financial-assistance/financial-assistance-plain-language-statement-in-spanish[1].pdf,06 12 2019 06:12:31
https://www.jupitermed.com/documents/patients-visitors/JMC-FINAL-Implementation-Strategy_2016.pdf,06 12 2019 06:12:31
https://www.jupitermed.com/documents/patients-visitors/JMC-FINAL-CHNA.pdf,06 12 2019 06:12:31
https://www.jupitermed.com/documents/financial-assistance/Financial-Assistance-Application-Form-Spanishnew.pdf,06 12 2019 06:12:31
https://services.ctsmartdesk.com/ssp/admin/FormBuilder/FormEngine/FormEngine.aspx?pid=128&fid=243&urlkey=b5c893e5-3637-4891-a633-d7b4d8f46ca6&mspg=Anonymous&LoginID=JMHS-POSTAFF&POS=YES,06 12 2019 06:12:31
https://www.jupitermed.com/documents/financial-assistance/Financial-Assistance-Policy-Spanish-Version-(6758_3).pdf,06 12 2019 06:12:31
https://www.jupitermed.com/documents/financial-assistance/FAP-Application.pdf,06 12 2019 06:12:32
https://www.jupitermed.com/documents/APPROVED_59708-JMC-2016-Community-Report-v1r1.pdf,06 12 2019 06:12:33
https://www.jupitermed.com/documents/Annual-Report_2018.pdf,06 12 2019 06:12:33
https://www.jupitermed.com/documents/Jupiter-Medical-Center-CHNA-2013-2016.pdf,06 12 2019 06:12:39
