file_urls,time
https://www.legacyhealth.org/campaign-pages/MyHealth.aspx,06 12 2019 08:55:27
https://www.legacyhealth.org/patients-and-visitors/visit-or-volunteer/patient-family-partners.aspx,06 12 2019 08:55:27
https://www.legacyhealth.org/patients-and-visitors/paying-for-your-care/pay-a-bill.aspx,06 12 2019 08:55:27
https://www.legacyhealth.org/patients-and-visitors/paying-for-your-care.aspx,06 12 2019 08:55:27
https://www.legacyhealth.org/patients-and-visitors/about-your-care/medical-records.aspx,06 12 2019 08:55:27
https://www.legacyhealth.org/patients-and-visitors/visit-or-volunteer.aspx,06 12 2019 08:55:27
https://www.legacyhealth.org/patients-and-visitors/about-your-care/additional-support.aspx,06 12 2019 08:55:27
https://www.legacyhealth.org/patients-and-visitors/about-your-care/your-hospital-stay.aspx,06 12 2019 08:55:27
https://www.legacyhealth.org/patients-and-visitors/about-your-care.aspx,06 12 2019 08:55:27
https://www.legacyhealth.org/patients-and-visitors.aspx,06 12 2019 08:55:27
https://www.legacyhealth.org/patients-and-visitors/paying-for-your-care/questions.aspx,06 12 2019 08:55:28
https://www.legacyhealth.org/for-health-professionals/tools-and-resources-for-providers/edoctalk/subscribe-now.aspx,06 12 2019 08:55:28
https://www.legacyhealth.org/for-health-professionals/tools-and-resources-for-providers/edoctalk/2019/2019-01-edition/Jan-2019-Personal-Use-EHR.aspx,06 12 2019 08:55:28
https://www.legacyhealth.org/for-health-professionals/tools-and-resources-for-providers/edoctalk/2019/2019-01-edition/Jan-2019-Opioid-Update.aspx,06 12 2019 08:55:28
https://www.legacyhealth.org/for-health-professionals/tools-and-resources-for-providers/edoctalk/2019/2019-01-edition/Jan-201-LL-Predictions-Revisited.aspx,06 12 2019 08:55:28
https://www.legacyhealth.org/for-health-professionals/tools-and-resources-for-providers/edoctalk/2019/2019-01-edition.aspx,06 12 2019 08:55:28
https://www.legacyhealth.org/for-health-professionals/tools-and-resources-for-providers/edoctalk/2019/2019-01-edition/Jan-2019-Pricing-Transparency.aspx,06 12 2019 08:55:28
https://www.legacyhealth.org/for-health-professionals/tools-and-resources-for-providers/edoctalk/2019.aspx,06 12 2019 08:55:28
https://www.legacyhealth.org/patients-and-visitors/about-your-care/patient-rights/nondiscrimination-and-accessibility.aspx,06 12 2019 08:55:29
https://www.legacyhealth.org/patients-and-visitors/paying-for-your-care/contact-us.aspx,06 12 2019 08:55:29
https://www.legacyhealth.org/contact-us/email-us.aspx,06 12 2019 08:55:29
https://www.legacyhealth.org/policies/privacy-policy.aspx,06 12 2019 08:55:29
https://www.legacyhealth.org/for-health-professionals/tools-and-resources-for-providers/edoctalk/2019/2019-01-edition/jan-2019-pricing-transparency.aspx,06 12 2019 08:55:29
https://www.legacyhealth.org/policies/terms-of-use.aspx,06 12 2019 08:55:29
https://www.legacyhealth.org/-/media/Files/CSV/Hospital-Pricing-Jan-2019/Legacy-Health---Diagnosis-Related-Group-by-Facility-FY19.csv?la=en,06 12 2019 08:55:29
https://www.legacyhealth.org/-/media/Files/CSV/Hospital-Pricing-Apr-2019/Legacy-Silverton-Medical-Center.csv?la=en,06 12 2019 08:55:29
https://www.legacyhealth.org/contact-us/phone-numbers.aspx,06 12 2019 08:55:29
https://www.legacyhealth.org/-/media/Files/CSV/Hospital-Pricing-Apr-2019/Legacy-Salmon-Creek-Medical-Center.csv?la=en,06 12 2019 08:55:29
https://www.legacyhealth.org/patients-and-visitors/about-your-care/patient-rights.aspx,06 12 2019 08:55:29
https://authoring.legacyhealth.org//patients-and-visitors/paying-for-your-care/contact-us.aspx,06 12 2019 08:55:30
https://www.legacyhealth.org/for-health-professionals/tools-and-resources-for-providers/edoctalk.aspx,06 12 2019 08:55:30
https://www.legacyhealth.org/patients-and-visitors/paying-for-your-care/payment-plans-and-assistance/health-exchange.aspx,06 12 2019 08:55:30
https://www.legacyhealth.org/patients-and-visitors/paying-for-your-care/payment-plans-and-assistance/hospital-pricing.aspx,06 12 2019 08:55:30
https://www.legacyhealth.org/-/media/Files/CSV/Hospital-Pricing-Apr-2019/Legacy-Mount-Hood-Medical-Center.csv?la=en,06 12 2019 08:55:30
https://www.legacyhealth.org/-/media/Files/CSV/Hospital-Pricing-Apr-2019/Legacy-Meridian-Park-Medical-Center.csv?la=en,06 12 2019 08:55:30
https://www.legacyhealth.org/-/media/Files/CSV/Hospital-Pricing-Apr-2019/Legacy-Good-Samaritan-Medical-Center.csv?la=en,06 12 2019 08:55:30
https://www.legacyhealth.org/for-health-professionals/careers/benefiting-you.aspx,06 12 2019 08:55:30
https://www.legacyhealth.org/-/media/Files/CSV/Hospital-Pricing-Apr-2019/Legacy-Emanuel-Medical-Center-including-Randall-Childrens-Hospital-and-Unity-Center-for-Behavioral-Health.csv?la=en,06 12 2019 08:55:31
https://www.legacyhealth.org/for-health-professionals/careers/life-at-legacy.aspx,06 12 2019 08:55:31
https://www.legacyhealth.org/patients-and-visitors/visit-or-volunteer/lodging-near-us.aspx,06 12 2019 08:55:31
https://www.legacyhealth.org/for-health-professionals/careers/nursing.aspx,06 12 2019 08:55:31
https://www.legacyhealth.org/for-health-professionals/careers.aspx,06 12 2019 08:55:31
https://www.legacyhealth.org/for-health-professionals/education-for-health-professionals/continuing-nursing-education.aspx,06 12 2019 08:55:31
https://www.legacyhealth.org/for-health-professionals/education-for-health-professionals/graduate-medical-education.aspx,06 12 2019 08:55:31
https://www.legacyhealth.org/for-health-professionals/education-for-health-professionals/continuing-medical-education.aspx,06 12 2019 08:55:31
https://www.legacyhealth.org/for-health-professionals/education-for-health-professionals/conferences.aspx,06 12 2019 08:55:31
https://www.legacyhealth.org/for-health-professionals/education-for-health-professionals/clinical-pastoral-education.aspx,06 12 2019 08:55:32
https://www.legacyhealth.org/for-health-professionals/careers/provider.aspx,06 12 2019 08:55:32
https://www.legacyhealth.org/for-health-professionals/education-for-health-professionals/pedinet.aspx,06 12 2019 08:55:32
https://www.legacyhealth.org/for-health-professionals/legacy-research-institute/Support.aspx,06 12 2019 08:55:32
https://www.legacyhealth.org/for-health-professionals/legacy-research-institute/SummerStudents.aspx,06 12 2019 08:55:32
https://www.legacyhealth.org/for-health-professionals/legacy-research-institute/SeminarSeries.aspx,06 12 2019 08:55:32
https://www.legacyhealth.org/for-health-professionals/legacy-research-institute/Services.aspx,06 12 2019 08:55:32
https://www.legacyhealth.org/for-health-professionals/legacy-research-institute/Scientists.aspx,06 12 2019 08:55:33
https://www.legacyhealth.org/for-health-professionals/education-for-health-professionals.aspx,06 12 2019 08:55:33
https://www.legacyhealth.org/patients-and-visitors/paying-for-your-care/payment-plans-and-assistance.aspx,06 12 2019 08:55:33
https://www.legacyhealth.org/for-health-professionals/legacy-research-institute/Departments.aspx,06 12 2019 08:55:33
https://www.legacyhealth.org/for-health-professionals/legacy-research-institute.aspx,06 12 2019 08:55:33
https://www.legacyhealth.org/for-health-professionals/tools-and-resources-for-providers/physician-liaisons.aspx,06 12 2019 08:55:33
https://www.legacyhealth.org/for-health-professionals/tools-and-resources-for-providers/Provider-Profiles.aspx,06 12 2019 08:55:33
https://www.legacyhealth.org/for-health-professionals/tools-and-resources-for-providers/medical-staff-credentialing.aspx,06 12 2019 08:55:34
https://www.legacyhealth.org/for-health-professionals/careers/health-care-careers.aspx,06 12 2019 08:55:34
https://www.legacyhealth.org/for-health-professionals/tools-and-resources-for-providers/library-services.aspx,06 12 2019 08:55:34
https://www.legacyhealth.org/for-health-professionals/tools-and-resources-for-providers/legacy-health-partners.aspx,06 12 2019 08:55:34
https://www.legacyhealth.org/for-health-professionals/tools-and-resources-for-providers/legacy-connect.aspx,06 12 2019 08:55:34
https://www.legacyhealth.org/for-health-professionals/tools-and-resources-for-providers/legacy-access.aspx,06 12 2019 08:55:34
https://www.legacyhealth.org/for-health-professionals/tools-and-resources-for-providers/epic.aspx,06 12 2019 08:55:34
https://www.legacyhealth.org/for-health-professionals/refer-a-patient/referral-forms.aspx,06 12 2019 08:55:34
https://www.legacyhealth.org/patients-and-visitors/visit-or-volunteer/visit-us.aspx,06 12 2019 08:55:34
https://www.legacyhealth.org/for-health-professionals/refer-a-patient/physical-therapy-and-rehab.aspx,06 12 2019 08:55:34
https://www.legacyhealth.org/for-health-professionals/refer-a-patient/laboratory-services.aspx,06 12 2019 08:55:34
https://www.legacyhealth.org/for-health-professionals/refer-a-patient/pain-management-center-info-for-referring-providers.aspx,06 12 2019 08:55:34
https://www.legacyhealth.org/for-health-professionals/tools-and-resources-for-providers/wellness.aspx,06 12 2019 08:55:34
https://www.legacyhealth.org/for-health-professionals/refer-a-patient/lmg-providers-and-services.aspx,06 12 2019 08:55:34
https://www.legacyhealth.org/for-health-professionals/tools-and-resources-for-providers.aspx,06 12 2019 08:55:35
https://www.legacyhealth.org/for-health-professionals/refer-a-patient/Critical-care-services-for-the-region.aspx,06 12 2019 08:55:35
https://www.legacyhealth.org/for-health-professionals/refer-a-patient/one-call-consult-and-transfer.aspx,06 12 2019 08:55:35
https://www.legacyhealth.org/for-health-professionals/refer-a-patient.aspx,06 12 2019 08:55:35
https://www.legacyhealth.org/for-health-professionals.aspx,06 12 2019 08:55:35
https://www.legacyhealth.org/our-legacy/doing-business-with/randall-childrens-hospital-art-donation.aspx,06 12 2019 08:55:35
https://www.legacyhealth.org/our-legacy/doing-business-with/pharmacy-services.aspx,06 12 2019 08:55:35
https://www.legacyhealth.org/our-legacy/doing-business-with/conducting-business-with.aspx,06 12 2019 08:55:35
https://www.legacyhealth.org/our-legacy/doing-business-with/building-a-partnership.aspx,06 12 2019 08:55:35
https://www.legacyhealth.org/our-legacy/doing-business-with.aspx,06 12 2019 08:55:35
https://www.legacyhealth.org/for-health-professionals/refer-a-patient/imaging.aspx,06 12 2019 08:55:35
https://www.legacyhealth.org/our-legacy/stay-connected/contact-us.aspx,06 12 2019 08:55:36
https://www.legacyhealth.org/our-legacy/stay-connected/multimedia-center.aspx,06 12 2019 08:55:36
https://www.legacyhealth.org/our-legacy/stay-connected/story-center.aspx,06 12 2019 08:55:36
https://www.legacyhealth.org/for-health-professionals/refer-a-patient/ECMO-for-providers.aspx,06 12 2019 08:55:38
https://www.legacyhealth.org/our-legacy/stay-connected/newsroom.aspx,06 12 2019 08:55:38
https://www.legacyhealth.org/our-legacy/stay-connected/legacy-image-library.aspx,06 12 2019 08:55:38
https://www.legacyhealth.org/our-legacy/legacy-values/sustainability.aspx,06 12 2019 08:55:38
