file_urls,time
https://www.nm.org/-/media/Northwestern/Resources/patients-and-visitors/billing-and-insurance/northwestern-memorial-hospital.xlsx?la=en,06 11 2019 17:36:56
https://www.nm.org/-/media/Northwestern/Resources/patients-and-visitors/billing-and-insurance/northwestern-medicine-marianjoy-hospital.xlsx?la=en,06 11 2019 17:36:56
https://www.nm.org/-/media/Northwestern/Resources/patients-and-visitors/billing-and-insurance/northwestern-medicine-valley-west-hospital.xlsx?la=en,06 11 2019 17:36:56
https://www.nm.org/-/media/Northwestern/Resources/patients-and-visitors/billing-and-insurance/northwestern-medicine-delnor-hospital.xlsx?la=en,06 11 2019 17:36:56
https://www.nm.org/-/media/Northwestern/Resources/patients-and-visitors/billing-and-insurance/northwestern-medicine-lake-forest-hospital.xlsx?la=en,06 11 2019 17:36:56
https://www.nm.org/-/media/Northwestern/Resources/patients-and-visitors/billing-and-insurance/northwestern-medicine-kishwaukee-hospital.xlsx?la=en,06 11 2019 17:36:56
https://www.nm.org/-/media/Northwestern/Resources/patients-and-visitors/billing-and-insurance/northwestern-medicine-centegra-hospital.xlsx?la=en,06 11 2019 17:36:57
https://www.nm.org/-/media/Northwestern/Resources/patients-and-visitors/billing-and-insurance/northwestern-medicine-central-dupage-hospital.xlsx?la=en,06 11 2019 17:36:57
https://www.nm.org/-/media/Northwestern/Resources/locations/northwestern-memorial-hospital/northwestern-medicine-parking-naming-update-nmh.pdf?la=en,06 11 2019 17:36:57
https://www.nm.org/-/media/Northwestern/Resources/locations/northwestern-memorial-hospital/northwestern-medicine-hotel-guide-nmh.pdf?la=en,06 11 2019 17:36:57
https://www.transitchicago.com/travel-information/,06 11 2019 17:36:58
https://www.nm.org/-/media/Northwestern/Resources/locations/northwestern-memorial-hospital/northwestern-medicine-nmh-medical-campus-map-en.pdf?la=en,06 11 2019 17:36:58
https://www.nm.org/-/media/Northwestern/Resources/locations/northwestern-memorial-hospital/northwestern-medicine-nmh-medical-campus-map-es.pdf?la=en,06 11 2019 17:36:58
https://www.nm.org/-/media/Northwestern/Resources/locations/northwestern-memorial-hospital/northwestern-medicine-hospital-amenities-map-nmh.pdf?la=en,06 11 2019 17:36:58
