file_urls,time
https://plains-regional-medical-center.phs.org/services/Pages/default.aspx,06 11 2019 17:53:55
https://plains-regional-medical-center.phs.org/visiting/Pages/maps-directions.aspx,06 11 2019 17:53:55
https://www.phs.org/tools-resources/patient/Pages/recommended-health-resources.aspx,06 11 2019 17:53:55
https://www.phs.org/Pages/find-a-doctor.aspx,06 11 2019 17:53:56
https://plains-regional-medical-center.phs.org/services/Pages/patient-support-services.aspx,06 11 2019 17:53:56
https://plains-regional-medical-center.phs.org/services/Pages/medical-specialties.aspx,06 11 2019 17:53:56
https://plains-regional-medical-center.phs.org/visiting/Pages/visiting-hours-policies.aspx,06 11 2019 17:53:56
https://plains-regional-medical-center.phs.org/about/Pages/board-of-trustees.aspx,06 11 2019 17:53:57
https://plains-regional-medical-center.phs.org/about/Pages/awards.aspx,06 11 2019 17:53:57
https://www.phs.org/careers/Pages/default.aspx?vu=careers,06 11 2019 17:53:58
https://plains-regional-medical-center.phs.org/services/Pages/clinics.aspx,06 11 2019 17:53:58
https://plains-regional-medical-center.phs.org/about/news/Pages/default.aspx,06 11 2019 17:53:59
https://plains-regional-medical-center.phs.org/visiting/Pages/default.aspx,06 11 2019 17:53:59
https://plains-regional-medical-center.phs.org/about/events/Pages/default.aspx,06 11 2019 17:54:00
https://plains-regional-medical-center.phs.org/about/our-community/Pages/report-to-community.aspx,06 11 2019 17:54:01
https://plains-regional-medical-center.phs.org/about/our-community/Pages/ways-to-give-back.aspx,06 11 2019 17:54:01
https://plains-regional-medical-center.phs.org/about/our-community/Pages/default.aspx,06 11 2019 17:54:01
https://plains-regional-medical-center.phs.org/about/Pages/default.aspx,06 11 2019 17:54:02
https://plains-regional-medical-center.phs.org/Pages/default.aspx,06 11 2019 17:54:02
https://mypres.phs.org/Pages/default.aspx,06 11 2019 17:54:02
https://plains-regional-medical-center.phs.org/visiting/Pages/gift-shop.aspx,06 11 2019 17:54:02
https://www.phs.org/Pages/default.aspx,06 11 2019 17:54:02
https://plains-regional-medical-center.phs.org/about/Pages/contact-us.aspx,06 11 2019 17:54:03
https://plains-regional-medical-center.phs.org/visiting/Pages/preparing-for-your-stay.aspx,06 11 2019 17:54:03
https://plains-regional-medical-center.phs.org/services/Pages/accepted-insurance.aspx,06 11 2019 17:54:04
https://plains-regional-medical-center.phs.org/visiting/Pages/parking-security.aspx,06 11 2019 17:54:04
