file_urls,time
https://www.thedacare.org/Why-Thedacare.aspx,06 12 2019 06:32:49
https://www.thedacare.org/Home-Care-and-Senior-Living/Home-Care.aspx,06 12 2019 06:32:49
https://www.thedacare.org/Hospitals-and-Clinics/Occupational-Health.aspx,06 12 2019 06:32:49
https://www.thedacare.org/Health-Library-and-Conditions/Pregnancy-and-Birth/ThedaCare-Services/family-birth-care.aspx,06 12 2019 06:32:49
https://www.wipricepoint.org/Home.aspx,06 12 2019 06:32:49
https://www.thedacare.org/Hospitals-and-Clinics/Doctors-Offices.aspx,06 12 2019 06:32:49
https://www.thedacare.org/Hospitals-and-Clinics/Cardiology.aspx,06 12 2019 06:32:50
https://www.thedacare.org/AtWork.aspx,06 12 2019 06:32:50
https://www.thedacare.org/Hospitals-and-Clinics/Bone-Muscle-and-Joint.aspx,06 12 2019 06:32:50
https://www.thedacare.org/Hospitals-and-Clinics/Behavioral-Health.aspx,06 12 2019 06:32:50
https://www.thedacare.org/Hospitals-and-Clinics/Encircle-Health.aspx,06 12 2019 06:32:50
https://www.thedacare.org/~/media/Files/Important%20Documents/ThedaCare%20Medical%20Center%20-%20Wild%20Rose_Wild%20Rose.csv?la=en,06 12 2019 06:32:50
https://www.thedacare.org/Hospitals-and-Clinics/walk-in-care.aspx,06 12 2019 06:32:50
https://www.thedacare.org/~/media/Files/Important%20Documents/ThedaCare%20Medical%20Center%20-%20Waupaca_Waupaca.csv?la=en,06 12 2019 06:32:50
https://www.thedacare.org/~/media/Files/Important%20Documents/ThedaCare%20Medical%20Center%20-%20Shawano_Shawano.csv?la=en,06 12 2019 06:32:50
https://www.thedacare.org/~/media/Files/Important%20Documents/ThedaCare%20Medical%20Center%20-%20New%20London_New%20London.csv?la=en,06 12 2019 06:32:50
https://www.thedacare.org/~/media/Files/Important%20Documents/ThedaCare%20Regional%20Medical%20Center%20-%20Neenah_Neenah.csv?la=en,06 12 2019 06:32:50
https://www.thedacare.org/~/media/Files/Important%20Documents/ThedaCare%20Medical%20Center%20%20Berlin%20IncBerlin.csv?la=en,06 12 2019 06:32:50
https://www.thedacare.org/~/media/Files/Important%20Documents/ThedaCare%20Regional%20Medical%20Center%20%20Appleton%20IncAppleton.csv?la=en,06 12 2019 06:32:50
https://www.thedacare.org/Hospitals-and-Clinics/regional-cancer-center.aspx,06 12 2019 06:32:50
https://www.thedacare.org/Policies-and-Legal-Forms/payment-options.aspx,06 12 2019 06:32:50
https://www.thedacare.org/about-us/statement-of-compliance/tagalog.aspx,06 12 2019 06:32:51
https://www.thedacare.org/about-us/statement-of-compliance/russian.aspx,06 12 2019 06:32:51
https://www.thedacare.org/Hospitals-and-Clinics/Back-and-Neck.aspx,06 12 2019 06:32:51
https://www.thedacare.org/about-us/statement-of-compliance/polish.aspx,06 12 2019 06:32:51
https://www.thedacare.org/about-us/statement-of-compliance/pennsylvania-dutch.aspx,06 12 2019 06:32:51
https://www.thedacare.org/about-us/statement-of-compliance/lao.aspx,06 12 2019 06:32:51
https://www.thedacare.org/about-us/statement-of-compliance/spanish.aspx,06 12 2019 06:32:51
https://www.thedacare.org/about-us/statement-of-compliance/hmong.aspx,06 12 2019 06:32:51
https://www.thedacare.org/about-us/statement-of-compliance/hindi.aspx,06 12 2019 06:32:51
https://www.thedacare.org/about-us/statement-of-compliance/german.aspx,06 12 2019 06:32:51
https://www.thedacare.org/about-us/statement-of-compliance/french.aspx,06 12 2019 06:32:51
https://www.thedacare.org/about-us/statement-of-compliance/chinese.aspx,06 12 2019 06:32:51
https://www.thedacare.org/about-us/statement-of-compliance/korean.aspx,06 12 2019 06:32:52
https://www.thedacare.org/about-us/statement-of-compliance/english.aspx,06 12 2019 06:32:52
https://www.thedacare.org/thedacare-school-of-radiologic-technology.aspx,06 12 2019 06:32:52
https://www.thedacare.org/about-us/statement-of-compliance/arabic.aspx,06 12 2019 06:32:52
https://www.thedacare.org/about-us/statement-of-compliance/albanian.aspx,06 12 2019 06:32:52
https://www.thedacare.org/News-and-Events.aspx,06 12 2019 06:32:52
https://www.thedacare.org/Contact-Us.aspx,06 12 2019 06:32:52
https://www.thedacare.org/Policies-and-Legal-Forms.aspx,06 12 2019 06:32:53
https://www.thedacare.org/For-Suppliers.aspx,06 12 2019 06:32:53
https://www.thedacare.org/about-us.aspx,06 12 2019 06:32:53
https://www.thedacare.org/Health-Library-and-Conditions/Diabetes/Taking-Charge-of-Your-Health/sharps-disposal-locations.aspx,06 12 2019 06:32:53
https://www.thedacare.org/Health-Library-and-Conditions/Diabetes/Taking-Charge-of-Your-Health/Insurance-Coverage.aspx,06 12 2019 06:32:53
https://www.thedacare.org/Health-Library-and-Conditions/Diabetes/Taking-Charge-of-Your-Health/Food-and-Recipes.aspx,06 12 2019 06:32:54
https://www.thedacare.org/Careers.aspx,06 12 2019 06:32:54
https://www.thedacare.org/Health-Library-and-Conditions/Diabetes/Diabetes-Education.aspx,06 12 2019 06:32:54
https://www.thedacare.org/Health-Library-and-Conditions/Diabetes/self-care-for-diabetes.aspx,06 12 2019 06:32:54
https://www.thedacare.org/Getting-Involved/Donations.aspx,06 12 2019 06:32:54
https://www.thedacare.org/about-us/statement-of-compliance/vietnamese.aspx,06 12 2019 06:32:54
https://www.thedacare.org/Health-Library-and-Conditions/Diabetes/Taking-Charge-of-Your-Health/Diabetes-Education-Costs.aspx,06 12 2019 06:32:54
https://www.thedacare.org/Health-Library-and-Conditions/Diabetes/Taking-Charge-of-Your-Health.aspx,06 12 2019 06:32:54
https://www.thedacare.org/Health-Library-and-Conditions/Diabetes/Diabetes-Tips.aspx,06 12 2019 06:32:54
https://www.thedacare.org/Getting-Involved/How-You-Can-Help.aspx,06 12 2019 06:32:55
https://www.thedacare.org/standard-hospital-charges.aspx,06 12 2019 06:32:55
https://www.thedacare.org/Getting-Involved/Foundations.aspx,06 12 2019 06:32:55
https://www.thedacare.org/Getting-Involved/Volunteer.aspx,06 12 2019 06:32:55
https://www.thedacare.org/Getting-Involved/Classes-and-Events.aspx,06 12 2019 06:32:55
https://www.thedacare.org/Home-Care-and-Senior-Living.aspx,06 12 2019 06:32:55
https://www.thedacare.org/Health-Library-and-Conditions/Diabetes/ThedaCare-Services.aspx,06 12 2019 06:32:55
https://www.thedacare.org/Home-Care-and-Senior-Living/Home-Medical-Equipment.aspx,06 12 2019 06:32:55
https://www.thedacare.org/Home-Care-and-Senior-Living/Home-Safety.aspx,06 12 2019 06:32:55
https://www.thedacare.org/Getting-Involved.aspx,06 12 2019 06:32:55
https://www.thedacare.org/Hospitals-and-Clinics/Emergency-Care.aspx,06 12 2019 06:32:56
https://www.thedacare.org/Hospitals-and-Clinics/Surgery-Centers.aspx,06 12 2019 06:32:56
https://www.thedacare.org/Hospitals-and-Clinics/Doctors-Offices/Childrens-Hospital-of-Wisconsin-Fox-Valley.aspx,06 12 2019 06:32:56
https://www.thedacare.org/Hospitals-and-Clinics/thedacare-medical-center-wild-rose.aspx,06 12 2019 06:32:56
https://www.thedacare.org/Hospitals-and-Clinics/thedacare-regional-medical-center-neenah.aspx,06 12 2019 06:32:56
https://www.thedacare.org/Getting-Involved/Improving-Community-Health.aspx,06 12 2019 06:32:56
https://www.thedacare.org/Hospitals-and-Clinics/thedacare-medical-center-shawano.aspx,06 12 2019 06:32:56
https://www.thedacare.org/Hospitals-and-Clinics/FastCare.aspx,06 12 2019 06:32:56
https://www.thedacare.org/Getting-Involved/Improving-Community-Health/Contributions-and-Sponsorships.aspx,06 12 2019 06:32:56
https://www.thedacare.org/Hospitals-and-Clinics/ThedaCare-Medical-Center-New-London.aspx,06 12 2019 06:32:56
https://www.thedacare.org/Hospitals-and-Clinics/thedacare-medical-center-waupaca.aspx,06 12 2019 06:32:57
https://www.thedacare.org/Hospitals-and-Clinics/thedacare-medical-center-berlin.aspx,06 12 2019 06:32:57
https://www.thedacare.org/Health-Library-and-Conditions/Sleep-Problems.aspx,06 12 2019 06:32:57
https://www.thedacare.org/Health-Library-and-Conditions/Pregnancy-and-Birth.aspx,06 12 2019 06:32:57
https://www.thedacare.org/Health-Library-and-Conditions/Neurologic-Care.aspx,06 12 2019 06:32:57
https://www.thedacare.org/Health-Library-and-Conditions/Diabetes.aspx,06 12 2019 06:32:57
https://www.thedacare.org/Health-Library-and-Conditions/cardiovascular.aspx,06 12 2019 06:32:57
https://www.thedacare.org/Health-Library-and-Conditions/Cancer.aspx,06 12 2019 06:32:57
https://www.thedacare.org/Health-Library-and-Conditions/Bone-Muscle-and-Joint-Pain.aspx,06 12 2019 06:32:57
https://www.thedacare.org/Health-Library-and-Conditions/Behavioral-Health.aspx,06 12 2019 06:32:57
https://www.thedacare.org/Health-Library-and-Conditions/Obesity/bariatric-care.aspx,06 12 2019 06:32:57
https://www.thedacare.org/Health-Library-and-Conditions/Back-and-Neck-Pain.aspx,06 12 2019 06:32:57
https://www.thedacare.org/Home-Care-and-Senior-Living/Hospice.aspx,06 12 2019 06:32:58
https://www.thedacare.org/For-Medical-Professionals/Education.aspx,06 12 2019 06:32:58
https://www.thedacare.org/Home-Care-and-Senior-Living/Senior-Living-Residences.aspx,06 12 2019 06:32:58
https://www.thedacare.org/For-Medical-Professionals/Level-2-Trauma-Center.aspx,06 12 2019 06:32:58
https://www.thedacare.org/For-Medical-Professionals.aspx,06 12 2019 06:32:58
https://www.thedacare.org/Medical-Team/MyThedaCare.aspx,06 12 2019 06:32:58
https://www.thedacare.org/Medical-Team/Wellness-Tools.aspx,06 12 2019 06:32:58
https://www.thedacare.org/Hospitals-and-Clinics.aspx,06 12 2019 06:33:12
https://www.thedacare.org/Medical-Team/ThedaCare-Physicians.aspx,06 12 2019 06:33:12
https://www.thedacare.org/Medical-Team/Hospital-Care-Teams.aspx,06 12 2019 06:33:12
https://www.thedacare.org/Medical-Team.aspx,06 12 2019 06:33:12
https://www.thedacare.org/Medical-Team/Your-Health.aspx,06 12 2019 06:33:13
https://www.thedacare.org/Why-Thedacare/Cost-and-Quality.aspx,06 12 2019 06:33:13
https://www.thedacare.org/Why-Thedacare/Convenient-Care.aspx,06 12 2019 06:33:13
https://www.thedacare.org/Medical-Team/Specialists.aspx,06 12 2019 06:33:14
https://www.thedacare.org/Why-Thedacare/accountable-care-organization.aspx,06 12 2019 06:33:14
https://www.thedacare.org/For-Medical-Professionals/ThedaStar.aspx,06 12 2019 06:33:14
https://www.thedacare.org/Why-Thedacare/Always-Listening.aspx,06 12 2019 06:33:15
https://www.thedacare.org/Health-Library-and-Conditions/Stroke.aspx,06 12 2019 06:33:15
https://www.thedacare.org/Why-Thedacare/Community-Dedication.aspx,06 12 2019 06:33:15
https://www.thedacare.org/Hospitals-and-Clinics/thedacare-regional-medical-center-appleton.aspx,06 12 2019 06:33:16
https://www.thedacare.org/Health-Library-and-Conditions.aspx,06 12 2019 06:33:16
https://www.thedacare.org/Medical-Team/evisits.aspx,06 12 2019 06:33:17
